# _root_ Az első hidegzuhany az esztergomi ralin ért , ahol a motor úgy kikészült , hogy a kukába lehetett dobni .
#goldHeads=3,3,7,6,6,7,0,7,13,11,13,13,7,13,13,17,19,13,18,7,
#predictedHeads=3,3,7,6,6,7,0,7,13,11,13,13,7,13,13,17,19,13,18,7,
(7,5),(7,11),-0.0119384 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.00746113 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0230347 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0035811 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0372106 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0119384 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0282885 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.022835 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0171171 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.017004 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0440302 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0281664 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0368164 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.00754279 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0388443 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.017004 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00227913 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0368164 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0278825 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0400146 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.00933926 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0440753 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.103899 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0239993 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0351355 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.168194 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0380264 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.793481 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0239993 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.189229 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.164023 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.0278648 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0439034 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00661183 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0296762 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0232058 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0282635 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.04166 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.00661183 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.00920743 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0256503 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0252188 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0108862 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0267931 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0389894 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.00654727 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.067758 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0108862 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0249678 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0406747 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.0328578 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0308263 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0435049 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0166573 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.024555 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0674051 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0267185 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0459341 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.0259973 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0332063 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0760151 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0906279 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0220398 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.0472047 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0307618 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.0132708 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0576629 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.00245061 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0285874 # DEPENDENCYPART_SIBL
