# _root_ A junior lányok versenyén Mester_Orsolyáé ( 347 ) az első hely , a fiúk között Dienes_Miklósé ( 505 ) , aki mögött Varga_Zoltán a harmadik lett ( 495 ) .
#goldHeads=3,3,4,5,0,7,5,7,11,11,5,5,14,15,16,5,18,16,18,16,22,26,26,25,26,16,28,26,28,5,
#predictedHeads=3,3,4,5,0,7,5,7,11,11,15,15,14,15,16,26,18,16,18,26,22,26,26,25,26,0,28,26,28,26,
(7,3),-0.777078 # DEPENDENCYPART_ARC
(7,4),-1.35642 # DEPENDENCYPART_ARC
(7,5),-0.487486 # DEPENDENCYPART_ARC
(7,6),0.344604 # DEPENDENCYPART_ARC
(7,8),0.108255 # DEPENDENCYPART_ARC
(7,11),-1.13753 # DEPENDENCYPART_ARC
(7,12),-0.702818 # DEPENDENCYPART_ARC
(7,14),-1.59791 # DEPENDENCYPART_ARC
(7,16),-1.6044 # DEPENDENCYPART_ARC
(7,17),-0.601748 # DEPENDENCYPART_ARC
(7,18),-1.33396 # DEPENDENCYPART_ARC
(7,19),-0.45162 # DEPENDENCYPART_ARC
(7,20),-0.765079 # DEPENDENCYPART_ARC
(7,23),-1.77539 # DEPENDENCYPART_ARC
(7,26),-0.897487 # DEPENDENCYPART_ARC
(7,27),-0.747599 # DEPENDENCYPART_ARC
(7,28),-1.40595 # DEPENDENCYPART_ARC
(7,29),-0.621588 # DEPENDENCYPART_ARC
(7,30),-0.618621 # DEPENDENCYPART_ARC
(9,8),-0.146747 # DEPENDENCYPART_ARC
(9,10),-0.466718 # DEPENDENCYPART_ARC
(9,12),-0.614053 # DEPENDENCYPART_ARC
(9,14),-1.50394 # DEPENDENCYPART_ARC
(10,6),-1.41413 # DEPENDENCYPART_ARC
(10,9),-0.574209 # DEPENDENCYPART_ARC
(11,1),-1.66611 # DEPENDENCYPART_ARC
(11,2),-1.91518 # DEPENDENCYPART_ARC
(11,3),-2.73229 # DEPENDENCYPART_ARC
(11,4),-3.57669 # DEPENDENCYPART_ARC
(11,5),-1.61788 # DEPENDENCYPART_ARC
(11,6),-1.42434 # DEPENDENCYPART_ARC
(11,7),-0.464633 # DEPENDENCYPART_ARC
(11,8),-0.769634 # DEPENDENCYPART_ARC
(11,9),0.717964 # DEPENDENCYPART_ARC
(11,10),1.92945 # DEPENDENCYPART_ARC
(11,12),-0.604663 # DEPENDENCYPART_ARC
(11,14),-1.36023 # DEPENDENCYPART_ARC
(11,15),-1.43544 # DEPENDENCYPART_ARC
(11,16),-1.82129 # DEPENDENCYPART_ARC
(11,17),-1.11942 # DEPENDENCYPART_ARC
(11,18),-1.68234 # DEPENDENCYPART_ARC
(11,19),-1.04906 # DEPENDENCYPART_ARC
(11,20),-1.34495 # DEPENDENCYPART_ARC
(11,22),-1.82964 # DEPENDENCYPART_ARC
(11,26),-1.6287 # DEPENDENCYPART_ARC
(11,27),-1.65377 # DEPENDENCYPART_ARC
(11,29),-1.36812 # DEPENDENCYPART_ARC
(11,30),-1.19087 # DEPENDENCYPART_ARC
(14,4),-4.63142 # DEPENDENCYPART_ARC
(14,7),-2.46046 # DEPENDENCYPART_ARC
(14,9),-0.889246 # DEPENDENCYPART_ARC
(14,10),-1.51153 # DEPENDENCYPART_ARC
(14,11),-1.65711 # DEPENDENCYPART_ARC
(14,12),-1.13629 # DEPENDENCYPART_ARC
(14,13),1.91849 # DEPENDENCYPART_ARC
(14,15),-1.07949 # DEPENDENCYPART_ARC
(14,16),-1.95175 # DEPENDENCYPART_ARC
(14,18),-1.68107 # DEPENDENCYPART_ARC
(14,22),-1.69343 # DEPENDENCYPART_ARC
(14,23),-2.46525 # DEPENDENCYPART_ARC
(15,2),-1.37772 # DEPENDENCYPART_ARC
(15,3),-1.78981 # DEPENDENCYPART_ARC
(15,4),-1.57528 # DEPENDENCYPART_ARC
(15,5),-1.08334 # DEPENDENCYPART_ARC
(15,6),-0.673014 # DEPENDENCYPART_ARC
(15,7),-0.695827 # DEPENDENCYPART_ARC
(15,8),-0.699165 # DEPENDENCYPART_ARC
(15,9),-1.03003 # DEPENDENCYPART_ARC
(15,11),-0.0501404 # DEPENDENCYPART_ARC
(15,12),-0.074519 # DEPENDENCYPART_ARC
(15,13),-0.0955075 # DEPENDENCYPART_ARC
(15,14),2.58939 # DEPENDENCYPART_ARC
(15,16),-0.894274 # DEPENDENCYPART_ARC
(15,17),-0.959959 # DEPENDENCYPART_ARC
(15,18),-1.20593 # DEPENDENCYPART_ARC
(15,19),-1.01252 # DEPENDENCYPART_ARC
(15,20),-1.04775 # DEPENDENCYPART_ARC
(15,23),-1.66767 # DEPENDENCYPART_ARC
(15,26),-1.43204 # DEPENDENCYPART_ARC
(15,29),-1.21066 # DEPENDENCYPART_ARC
(16,3),-3.57884 # DEPENDENCYPART_ARC
(16,4),-4.69628 # DEPENDENCYPART_ARC
(16,5),-3.24145 # DEPENDENCYPART_ARC
(16,6),-1.35796 # DEPENDENCYPART_ARC
(16,8),-1.29071 # DEPENDENCYPART_ARC
(16,9),-1.25512 # DEPENDENCYPART_ARC
(16,10),-1.49192 # DEPENDENCYPART_ARC
(16,11),-1.79473 # DEPENDENCYPART_ARC
(16,12),-0.901614 # DEPENDENCYPART_ARC
(16,13),-0.0859157 # DEPENDENCYPART_ARC
(16,14),-0.288784 # DEPENDENCYPART_ARC
(16,15),0.196814 # DEPENDENCYPART_ARC
(16,17),-0.173726 # DEPENDENCYPART_ARC
(16,18),-0.83599 # DEPENDENCYPART_ARC
(16,19),-0.428255 # DEPENDENCYPART_ARC
(16,20),-0.666065 # DEPENDENCYPART_ARC
(16,22),-1.13369 # DEPENDENCYPART_ARC
(16,23),-1.38003 # DEPENDENCYPART_ARC
(16,26),-1.21298 # DEPENDENCYPART_ARC
(16,27),-1.07959 # DEPENDENCYPART_ARC
(16,28),-1.29556 # DEPENDENCYPART_ARC
(16,29),-0.954549 # DEPENDENCYPART_ARC
(16,30),-0.818689 # DEPENDENCYPART_ARC
(18,8),-1.09279 # DEPENDENCYPART_ARC
(18,12),-0.954002 # DEPENDENCYPART_ARC
(18,14),-0.78823 # DEPENDENCYPART_ARC
(18,15),-0.589689 # DEPENDENCYPART_ARC
(18,16),-0.503404 # DEPENDENCYPART_ARC
(18,17),0.338609 # DEPENDENCYPART_ARC
(18,19),0.150877 # DEPENDENCYPART_ARC
(18,20),-0.52202 # DEPENDENCYPART_ARC
(18,23),-1.37734 # DEPENDENCYPART_ARC
(18,26),-0.76415 # DEPENDENCYPART_ARC
(18,27),-0.742511 # DEPENDENCYPART_ARC
(18,28),-1.42585 # DEPENDENCYPART_ARC
(18,29),-0.586045 # DEPENDENCYPART_ARC
(18,30),-0.872713 # DEPENDENCYPART_ARC
(21,22),-0.735523 # DEPENDENCYPART_ARC
(22,3),-2.9233 # DEPENDENCYPART_ARC
(22,4),-2.7966 # DEPENDENCYPART_ARC
(22,5),-2.53125 # DEPENDENCYPART_ARC
(22,6),-1.5979 # DEPENDENCYPART_ARC
(22,8),-1.67077 # DEPENDENCYPART_ARC
(22,11),-2.08055 # DEPENDENCYPART_ARC
(22,12),-1.39251 # DEPENDENCYPART_ARC
(22,14),-1.26068 # DEPENDENCYPART_ARC
(22,16),-1.3248 # DEPENDENCYPART_ARC
(22,17),-1.25062 # DEPENDENCYPART_ARC
(22,18),-0.958805 # DEPENDENCYPART_ARC
(22,19),-0.921744 # DEPENDENCYPART_ARC
(22,20),-0.75603 # DEPENDENCYPART_ARC
(22,21),1.55952 # DEPENDENCYPART_ARC
(22,23),-1.14942 # DEPENDENCYPART_ARC
(22,27),-1.42487 # DEPENDENCYPART_ARC
(22,28),-1.61695 # DEPENDENCYPART_ARC
(22,29),-1.33473 # DEPENDENCYPART_ARC
(23,3),-4.70513 # DEPENDENCYPART_ARC
(23,4),-5.56254 # DEPENDENCYPART_ARC
(23,5),-4.46041 # DEPENDENCYPART_ARC
(23,9),-2.01815 # DEPENDENCYPART_ARC
(23,10),-2.66335 # DEPENDENCYPART_ARC
(23,11),-3.69776 # DEPENDENCYPART_ARC
(23,13),-1.18741 # DEPENDENCYPART_ARC
(23,14),-3.02723 # DEPENDENCYPART_ARC
(23,15),-1.79563 # DEPENDENCYPART_ARC
(23,16),-2.58118 # DEPENDENCYPART_ARC
(23,17),-1.227 # DEPENDENCYPART_ARC
(23,19),-0.964644 # DEPENDENCYPART_ARC
(23,20),-0.85936 # DEPENDENCYPART_ARC
(23,21),-0.760945 # DEPENDENCYPART_ARC
(23,22),0.0820704 # DEPENDENCYPART_ARC
(23,25),-0.827527 # DEPENDENCYPART_ARC
(23,27),-0.743556 # DEPENDENCYPART_ARC
(23,28),-1.09245 # DEPENDENCYPART_ARC
(23,29),-0.692756 # DEPENDENCYPART_ARC
(23,30),-0.886991 # DEPENDENCYPART_ARC
(24,25),-0.399233 # DEPENDENCYPART_ARC
(24,27),-0.70049 # DEPENDENCYPART_ARC
(25,23),-0.955249 # DEPENDENCYPART_ARC
(25,24),-0.280018 # DEPENDENCYPART_ARC
(26,2),-2.40593 # DEPENDENCYPART_ARC
(26,3),-1.79807 # DEPENDENCYPART_ARC
(26,4),-0.94234 # DEPENDENCYPART_ARC
(26,5),-1.61954 # DEPENDENCYPART_ARC
(26,6),-0.777869 # DEPENDENCYPART_ARC
(26,7),-2.06286 # DEPENDENCYPART_ARC
(26,8),-1.05831 # DEPENDENCYPART_ARC
(26,9),-1.53979 # DEPENDENCYPART_ARC
(26,11),-1.52681 # DEPENDENCYPART_ARC
(26,12),-0.429614 # DEPENDENCYPART_ARC
(26,13),-1.81155 # DEPENDENCYPART_ARC
(26,14),-1.52432 # DEPENDENCYPART_ARC
(26,15),-0.620404 # DEPENDENCYPART_ARC
(26,16),-0.744815 # DEPENDENCYPART_ARC
(26,17),-0.505733 # DEPENDENCYPART_ARC
(26,18),-1.38197 # DEPENDENCYPART_ARC
(26,19),-0.685372 # DEPENDENCYPART_ARC
(26,20),-0.393543 # DEPENDENCYPART_ARC
(26,21),0.706721 # DEPENDENCYPART_ARC
(26,22),0.738289 # DEPENDENCYPART_ARC
(26,23),1.55958 # DEPENDENCYPART_ARC
(26,24),-0.711567 # DEPENDENCYPART_ARC
(26,25),0.90854 # DEPENDENCYPART_ARC
(26,27),0.4071 # DEPENDENCYPART_ARC
(26,28),-0.500176 # DEPENDENCYPART_ARC
(26,29),-0.17283 # DEPENDENCYPART_ARC
(26,30),-0.335019 # DEPENDENCYPART_ARC
(28,16),-1.84487 # DEPENDENCYPART_ARC
(28,17),-0.965339 # DEPENDENCYPART_ARC
(28,19),-1.16309 # DEPENDENCYPART_ARC
(28,20),-1.2257 # DEPENDENCYPART_ARC
(28,23),-1.21279 # DEPENDENCYPART_ARC
(28,24),-1.27376 # DEPENDENCYPART_ARC
(28,26),-0.203923 # DEPENDENCYPART_ARC
(28,27),0.214108 # DEPENDENCYPART_ARC
(28,29),0.0655195 # DEPENDENCYPART_ARC
(28,30),-0.933081 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0668032 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0668032 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0394508 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0669516 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0270278 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0394508 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0199535 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0668032 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.037165 # DEPENDENCYPART_SIBL
(0,3),(0,26),-0.107794 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.0394508 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0661097 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0394506 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0662581 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0264135 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0394506 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0193392 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0661097 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.0371647 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.107493 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.0394506 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0394506 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0662581 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0264135 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0394506 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0193392 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0661097 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.0371647 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.107493 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.0394506 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0362483 # DEPENDENCYPART_SIBL
(0,7),(0,15),0.00338876 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0122125 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.0065023 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0361437 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.0122125 # DEPENDENCYPART_SIBL
(0,7),(0,26),-0.079237 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.0122125 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0264135 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0394506 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.0193392 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0674339 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.0371647 # DEPENDENCYPART_SIBL
(0,11),(0,26),-0.109029 # DEPENDENCYPART_SIBL
(0,11),(0,28),-0.0394506 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.00378448 # DEPENDENCYPART_SIBL
(0,15),(0,22),0.00530862 # DEPENDENCYPART_SIBL
(0,15),(0,23),0.00939855 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.00378448 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.107168 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.00378448 # DEPENDENCYPART_SIBL
(0,18),(0,22),0.0065023 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.0361437 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0122125 # DEPENDENCYPART_SIBL
(0,18),(0,26),-0.079237 # DEPENDENCYPART_SIBL
(0,18),(0,28),-0.0122125 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.005796 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.00182556 # DEPENDENCYPART_SIBL
(0,22),(0,26),-0.102469 # DEPENDENCYPART_SIBL
(0,22),(0,28),-0.00182556 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.0371647 # DEPENDENCYPART_SIBL
(0,23),(0,26),-0.107493 # DEPENDENCYPART_SIBL
(0,23),(0,28),-0.0394506 # DEPENDENCYPART_SIBL
(0,25),(0,26),-0.079237 # DEPENDENCYPART_SIBL
(0,25),(0,28),-0.0122125 # DEPENDENCYPART_SIBL
(0,26),(0,28),-0.110003 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.015515 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.112591 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00698403 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0882771 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0191129 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0124352 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.0106 # DEPENDENCYPART_SIBL
(3,1),(3,26),0.000387102 # DEPENDENCYPART_SIBL
(3,1),(3,30),-0.0300031 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00912229 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0729298 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0038008 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00849156 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0139008 # DEPENDENCYPART_SIBL
(3,2),(3,26),-0.0452694 # DEPENDENCYPART_SIBL
(3,2),(3,30),-0.00716841 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0361745 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0308216 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0150597 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0251458 # DEPENDENCYPART_SIBL
(3,5),(3,26),0.0548145 # DEPENDENCYPART_SIBL
(3,5),(3,30),0.0484837 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0374098 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00988165 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0133824 # DEPENDENCYPART_SIBL
(3,6),(3,26),0.213458 # DEPENDENCYPART_SIBL
(3,6),(3,30),0.0328308 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0232373 # DEPENDENCYPART_SIBL
(3,7),(3,22),0.0276649 # DEPENDENCYPART_SIBL
(3,7),(3,26),0.0495163 # DEPENDENCYPART_SIBL
(3,7),(3,30),0.120833 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.0733764 # DEPENDENCYPART_SIBL
(3,15),(3,26),0.0711749 # DEPENDENCYPART_SIBL
(3,15),(3,30),0.172312 # DEPENDENCYPART_SIBL
(3,22),(3,26),0.0675897 # DEPENDENCYPART_SIBL
(3,22),(3,30),0.159342 # DEPENDENCYPART_SIBL
(3,26),(3,30),0.217169 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.152491 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00629956 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00331961 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0761411 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0176286 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0857761 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00331961 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0109509 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.00911572 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.00187139 # DEPENDENCYPART_SIBL
(4,1),(4,30),-0.0285178 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00639519 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00411379 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0578376 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0067183 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.05574 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00411552 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00557408 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0109833 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.0423519 # DEPENDENCYPART_SIBL
(4,2),(4,30),-0.00425058 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00182674 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0688913 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0565451 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.08177 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00349475 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0255613 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0212271 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0146992 # DEPENDENCYPART_SIBL
(4,3),(4,30),0.0381362 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0365003 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0309029 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.13015 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00456551 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.015141 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0252271 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.0548958 # DEPENDENCYPART_SIBL
(4,5),(4,30),0.0485651 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0378028 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0878173 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0741755 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0102746 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0137754 # DEPENDENCYPART_SIBL
(4,6),(4,26),0.213851 # DEPENDENCYPART_SIBL
(4,6),(4,30),0.0332239 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0613647 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0252824 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0232374 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0276649 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.0495163 # DEPENDENCYPART_SIBL
(4,7),(4,30),0.120833 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0637231 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00407569 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.00837811 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.169548 # DEPENDENCYPART_SIBL
(4,8),(4,30),0.0285417 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.015141 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0252271 # DEPENDENCYPART_SIBL
(4,11),(4,26),0.0533602 # DEPENDENCYPART_SIBL
(4,11),(4,30),0.0499857 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.0733764 # DEPENDENCYPART_SIBL
(4,15),(4,26),0.0711749 # DEPENDENCYPART_SIBL
(4,15),(4,30),0.172312 # DEPENDENCYPART_SIBL
(4,22),(4,26),0.0675897 # DEPENDENCYPART_SIBL
(4,22),(4,30),0.159342 # DEPENDENCYPART_SIBL
(4,26),(4,30),0.217169 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.152491 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00629956 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0129962 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0761411 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0176286 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0857761 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00331961 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.00907785 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00331961 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0109509 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00331961 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0761411 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0857761 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.00907785 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.00187139 # DEPENDENCYPART_SIBL
(5,1),(5,27),-0.0761411 # DEPENDENCYPART_SIBL
(5,1),(5,29),-0.0857761 # DEPENDENCYPART_SIBL
(5,1),(5,30),-0.0285178 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00639519 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00307406 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0578376 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0067183 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.05574 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00411552 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0329118 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00411379 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00557408 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.00411379 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0578376 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.05574 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0329118 # DEPENDENCYPART_SIBL
(5,2),(5,26),-0.0423519 # DEPENDENCYPART_SIBL
(5,2),(5,27),-0.0578376 # DEPENDENCYPART_SIBL
