# _root_ Az ÁPTF április 30-ig meghosszabbította a CB_Bróker_Értékpapír-forgalmazó_Rt.-nek , a LaSalle_Értékpapír-forgalmazó_Rt.-nek , a Pannonbróker_Értékpapír-forgalmazó_Rt.-nek és a Pest-Buda_Értékház_Értékpapír-kereskedő_és_Befektetési_Tanácsadó_Rt.-nek a Központi_Elszámolóház_és_Értéktár_(KELER)_Rt.-nél vezetett valamennyi számlája feletti rendelkezési joga felfüggesztését .
#goldHeads=2,5,4,5,0,7,14,14,10,14,14,13,14,5,16,14,18,19,21,21,22,23,24,25,5,5,
#predictedHeads=2,5,4,5,0,7,5,5,10,5,5,13,14,5,16,14,18,19,21,21,22,24,24,25,5,5,
(19,2),-2.41909 # DEPENDENCYPART_ARC
(19,3),-2.75637 # DEPENDENCYPART_ARC
(19,5),-1.60836 # DEPENDENCYPART_ARC
(19,7),-2.32615 # DEPENDENCYPART_ARC
(19,8),-1.10685 # DEPENDENCYPART_ARC
(19,10),-1.85266 # DEPENDENCYPART_ARC
(19,11),-0.927977 # DEPENDENCYPART_ARC
(19,12),-1.47631 # DEPENDENCYPART_ARC
(19,13),-1.37466 # DEPENDENCYPART_ARC
(19,14),-0.645307 # DEPENDENCYPART_ARC
(19,15),-1.19308 # DEPENDENCYPART_ARC
(19,16),-0.856276 # DEPENDENCYPART_ARC
(19,17),-0.585694 # DEPENDENCYPART_ARC
(19,18),1.57082 # DEPENDENCYPART_ARC
(19,20),-1.18133 # DEPENDENCYPART_ARC
(19,21),-1.10789 # DEPENDENCYPART_ARC
(19,22),-1.50593 # DEPENDENCYPART_ARC
(19,24),-1.5392 # DEPENDENCYPART_ARC
(19,25),-1.93586 # DEPENDENCYPART_ARC
(19,26),-1.3792 # DEPENDENCYPART_ARC
(21,12),-2.72425 # DEPENDENCYPART_ARC
(21,13),-2.69775 # DEPENDENCYPART_ARC
(21,14),-1.04615 # DEPENDENCYPART_ARC
(21,15),-1.69326 # DEPENDENCYPART_ARC
(21,16),-1.98222 # DEPENDENCYPART_ARC
(21,17),-0.918932 # DEPENDENCYPART_ARC
(21,18),-1.42184 # DEPENDENCYPART_ARC
(21,19),0.449198 # DEPENDENCYPART_ARC
(21,20),1.42124 # DEPENDENCYPART_ARC
(21,22),-1.24186 # DEPENDENCYPART_ARC
(21,23),-1.41849 # DEPENDENCYPART_ARC
(21,24),-0.98164 # DEPENDENCYPART_ARC
(21,25),-1.79046 # DEPENDENCYPART_ARC
(22,3),-2.62892 # DEPENDENCYPART_ARC
(22,5),-1.39948 # DEPENDENCYPART_ARC
(22,7),-2.25794 # DEPENDENCYPART_ARC
(22,8),-1.06244 # DEPENDENCYPART_ARC
(22,10),-2.00581 # DEPENDENCYPART_ARC
(22,11),-0.966533 # DEPENDENCYPART_ARC
(22,13),-1.36273 # DEPENDENCYPART_ARC
(22,14),-0.432546 # DEPENDENCYPART_ARC
(22,15),-1.35328 # DEPENDENCYPART_ARC
(22,16),-1.26943 # DEPENDENCYPART_ARC
(22,17),-1.20719 # DEPENDENCYPART_ARC
(22,18),0.418248 # DEPENDENCYPART_ARC
(22,19),-0.704336 # DEPENDENCYPART_ARC
(22,20),-0.295937 # DEPENDENCYPART_ARC
(22,21),0.647602 # DEPENDENCYPART_ARC
(22,23),-1.24409 # DEPENDENCYPART_ARC
(22,25),-1.7626 # DEPENDENCYPART_ARC
(23,3),-3.29153 # DEPENDENCYPART_ARC
(23,7),-2.97572 # DEPENDENCYPART_ARC
(23,10),-2.70523 # DEPENDENCYPART_ARC
(23,13),-2.13134 # DEPENDENCYPART_ARC
(23,14),-0.828232 # DEPENDENCYPART_ARC
(23,16),-2.0011 # DEPENDENCYPART_ARC
(23,17),-1.49076 # DEPENDENCYPART_ARC
(23,18),-0.454909 # DEPENDENCYPART_ARC
(23,19),-1.18375 # DEPENDENCYPART_ARC
(23,20),-0.990535 # DEPENDENCYPART_ARC
(23,21),-0.692848 # DEPENDENCYPART_ARC
(23,22),0.49768 # DEPENDENCYPART_ARC
(24,7),-4.04327 # DEPENDENCYPART_ARC
(24,8),-1.52203 # DEPENDENCYPART_ARC
(24,9),-3.30063 # DEPENDENCYPART_ARC
(24,10),-3.53084 # DEPENDENCYPART_ARC
(24,11),-1.35311 # DEPENDENCYPART_ARC
(24,12),-2.55353 # DEPENDENCYPART_ARC
(24,13),-2.59426 # DEPENDENCYPART_ARC
(24,14),-0.555242 # DEPENDENCYPART_ARC
(24,15),-1.42075 # DEPENDENCYPART_ARC
(24,16),-2.05951 # DEPENDENCYPART_ARC
(24,17),-0.913814 # DEPENDENCYPART_ARC
(24,18),-1.55572 # DEPENDENCYPART_ARC
(24,19),-0.149422 # DEPENDENCYPART_ARC
(24,20),-0.0302838 # DEPENDENCYPART_ARC
(24,21),0.344112 # DEPENDENCYPART_ARC
(24,22),1.32223 # DEPENDENCYPART_ARC
(24,23),2.19648 # DEPENDENCYPART_ARC
(25,7),-4.80205 # DEPENDENCYPART_ARC
(25,8),-1.21014 # DEPENDENCYPART_ARC
(25,10),-4.2846 # DEPENDENCYPART_ARC
(25,11),-1.12545 # DEPENDENCYPART_ARC
(25,12),-3.12614 # DEPENDENCYPART_ARC
(25,13),-3.38376 # DEPENDENCYPART_ARC
(25,14),-0.433539 # DEPENDENCYPART_ARC
(25,15),-2.1576 # DEPENDENCYPART_ARC
(25,16),-3.06526 # DEPENDENCYPART_ARC
(25,17),-1.42791 # DEPENDENCYPART_ARC
(25,18),-2.58445 # DEPENDENCYPART_ARC
(25,19),-1.03714 # DEPENDENCYPART_ARC
(25,20),-0.70086 # DEPENDENCYPART_ARC
(25,21),-0.435556 # DEPENDENCYPART_ARC
(25,22),-0.151468 # DEPENDENCYPART_ARC
(25,23),0.690464 # DEPENDENCYPART_ARC
(25,24),2.29171 # DEPENDENCYPART_ARC
(25,26),-1.1609 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0685468 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.066111 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.107526 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.120009 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0670311 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.107876 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.120237 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.107521 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.120009 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.2208 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0406174 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0429703 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0422185 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0102074 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00955089 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0136407 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.00955122 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0218074 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00362294 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0577189 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.00504334 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.0466072 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0582017 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.00613172 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0485599 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0764022 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.211137 # DEPENDENCYPART_SIBL
(2,25),(2,26),0.0499288 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0225286 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00573059 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0122133 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00573059 # DEPENDENCYPART_SIBL
(3,1),(3,26),-0.0204787 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00951897 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0102921 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00951897 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.0475313 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0580678 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00466364 # DEPENDENCYPART_SIBL
(3,4),(3,26),0.0480871 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0761603 # DEPENDENCYPART_SIBL
(3,5),(3,26),0.210103 # DEPENDENCYPART_SIBL
(3,7),(3,26),0.0480871 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00637363 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0254705 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0121052 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00571552 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0165824 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00571552 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.0202729 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0512453 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0104383 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00956684 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00281853 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00956684 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.0477805 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00154406 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00791376 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0209198 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00791376 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.0204848 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0764041 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.169066 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0764041 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.21114 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.103086 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00471394 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.0485651 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.342981 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.0787788 # DEPENDENCYPART_SIBL
(4,10),(4,26),0.0485651 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0339361 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0290942 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0344836 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.036946 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00217071 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0177226 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.036946 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00217071 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0177226 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.036946 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00217071 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0127312 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.00217071 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00217071 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0165762 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.00217071 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0234821 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0139654 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0013601 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.0164683 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.051173 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0214747 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0134688 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0495705 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0482589 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0134688 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0495705 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0482589 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0134688 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0495705 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.011063 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0495705 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0495705 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0352442 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.049568 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0412749 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.022043 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0525947 # DEPENDENCYPART_SIBL
(5,2),(5,26),0.057876 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0736774 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.030334 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0173354 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0276019 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.030334 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0173354 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0276019 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.030334 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0173354 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.044229 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0173354 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0173354 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.00882474 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0173379 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.00279406 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.0448629 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.0156915 # DEPENDENCYPART_SIBL
(5,3),(5,26),-0.0267377 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00795801 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0136534 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.015518 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00795801 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0136534 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.015518 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00795801 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0136534 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0164731 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0136534 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0136534 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0138175 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0136509 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0198482 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0138741 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.0152973 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.024102 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0124558 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00545774 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0888947 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0124558 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00545774 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0888947 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0124558 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0360576 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0124558 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0124558 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.00309534 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0124558 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0101643 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.00722358 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.0153027 # DEPENDENCYPART_SIBL
(5,6),(5,26),-0.0165333 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0564072 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0804816 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00655597 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0564072 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0804816 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.00655597 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0439353 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.00655597 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00655597 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0407275 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.00655597 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.0352655 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0117882 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.000560266 # DEPENDENCYPART_SIBL
(5,7),(5,26),0.0280435 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.127867 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0815978 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00742742 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.127867 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0815978 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0766831 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0815978 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0815978 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.0813603 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0815978 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.0637993 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.0763655 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.0844447 # DEPENDENCYPART_SIBL
(5,8),(5,26),0.0681756 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0124558 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00545774 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0888947 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0124558 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0360576 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0124558 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.0124558 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.00309534 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0124558 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0101643 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.00722358 # DEPENDENCYPART_SIBL
(5,9),(5,25),0.0153027 # DEPENDENCYPART_SIBL
(5,9),(5,26),-0.0165333 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0564072 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0804816 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.00655597 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0439353 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.00655597 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.00655597 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0407275 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.00655597 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.0352655 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.0117882 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.000560266 # DEPENDENCYPART_SIBL
(5,10),(5,26),0.0280435 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.127867 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0815978 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0766831 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0815978 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0815978 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0813603 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.0815978 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.0637993 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.0763655 # DEPENDENCYPART_SIBL
