# _root_ Szerinte az egyéves lejáratú hitelek jó részét több év múlva megtérülő vásárlásokra , például alkatrészek és műtrágya beszerzésére fordították a gazdák , ezért e tartozások három-öt éves hitelekké történő átütemezése is szükséges lenne .
#goldHeads=19,5,4,5,7,7,19,9,10,11,12,19,19,19,18,18,18,19,23,21,19,23,0,25,30,29,28,29,30,33,33,33,23,23,
#predictedHeads=19,5,5,5,7,7,19,9,10,11,12,19,19,19,19,19,18,19,23,21,19,23,0,25,30,27,28,29,30,33,33,33,23,23,
(7,9),-1.28936 # DEPENDENCYPART_ARC
(7,10),-1.00058 # DEPENDENCYPART_ARC
(7,12),-1.36429 # DEPENDENCYPART_ARC
(7,13),-0.585456 # DEPENDENCYPART_ARC
(7,34),-1.59713 # DEPENDENCYPART_ARC
(8,6),-0.939702 # DEPENDENCYPART_ARC
(8,7),-1.04651 # DEPENDENCYPART_ARC
(8,33),-1.85265 # DEPENDENCYPART_ARC
(8,34),-1.34634 # DEPENDENCYPART_ARC
(9,2),-1.159 # DEPENDENCYPART_ARC
(9,3),-1.25843 # DEPENDENCYPART_ARC
(9,4),-1.04686 # DEPENDENCYPART_ARC
(9,5),-2.15589 # DEPENDENCYPART_ARC
(9,6),-0.978618 # DEPENDENCYPART_ARC
(9,7),-2.25536 # DEPENDENCYPART_ARC
(9,8),1.6512 # DEPENDENCYPART_ARC
(10,4),-1.25424 # DEPENDENCYPART_ARC
(10,5),-0.693091 # DEPENDENCYPART_ARC
(10,6),-0.82731 # DEPENDENCYPART_ARC
(10,7),-0.138525 # DEPENDENCYPART_ARC
(10,8),0.10807 # DEPENDENCYPART_ARC
(10,9),2.41748 # DEPENDENCYPART_ARC
(10,14),-1.46887 # DEPENDENCYPART_ARC
(11,1),-1.41651 # DEPENDENCYPART_ARC
(11,5),-1.64654 # DEPENDENCYPART_ARC
(11,6),-0.680473 # DEPENDENCYPART_ARC
(11,7),-0.362403 # DEPENDENCYPART_ARC
(11,8),-0.322483 # DEPENDENCYPART_ARC
(11,9),-0.476692 # DEPENDENCYPART_ARC
(11,10),0.84839 # DEPENDENCYPART_ARC
(12,2),-0.539864 # DEPENDENCYPART_ARC
(12,3),-0.847186 # DEPENDENCYPART_ARC
(12,4),-0.710446 # DEPENDENCYPART_ARC
(12,5),-2.41913 # DEPENDENCYPART_ARC
(12,6),-1.00938 # DEPENDENCYPART_ARC
(12,7),-3.00343 # DEPENDENCYPART_ARC
(12,8),-0.706975 # DEPENDENCYPART_ARC
(12,9),-0.78745 # DEPENDENCYPART_ARC
(12,10),-0.135414 # DEPENDENCYPART_ARC
(12,11),2.33996 # DEPENDENCYPART_ARC
(12,13),-0.620303 # DEPENDENCYPART_ARC
(12,14),-1.60556 # DEPENDENCYPART_ARC
(12,15),-1.73388 # DEPENDENCYPART_ARC
(14,10),-1.27565 # DEPENDENCYPART_ARC
(14,11),-1.39587 # DEPENDENCYPART_ARC
(14,12),-1.3815 # DEPENDENCYPART_ARC
(14,13),-0.765733 # DEPENDENCYPART_ARC
(14,15),-0.933374 # DEPENDENCYPART_ARC
(14,16),-0.963797 # DEPENDENCYPART_ARC
(14,17),-1.17413 # DEPENDENCYPART_ARC
(14,18),-1.30646 # DEPENDENCYPART_ARC
(14,22),-0.86499 # DEPENDENCYPART_ARC
(14,30),-2.14378 # DEPENDENCYPART_ARC
(14,31),-1.48987 # DEPENDENCYPART_ARC
(14,33),-1.52579 # DEPENDENCYPART_ARC
(14,34),-1.37817 # DEPENDENCYPART_ARC
(15,2),-1.8735 # DEPENDENCYPART_ARC
(15,8),-2.31866 # DEPENDENCYPART_ARC
(15,11),-0.811146 # DEPENDENCYPART_ARC
(15,12),-2.47051 # DEPENDENCYPART_ARC
(15,14),-0.364207 # DEPENDENCYPART_ARC
(15,17),-1.66694 # DEPENDENCYPART_ARC
(15,18),-2.38925 # DEPENDENCYPART_ARC
(16,10),-1.47887 # DEPENDENCYPART_ARC
(16,11),-1.77527 # DEPENDENCYPART_ARC
(16,12),-1.74792 # DEPENDENCYPART_ARC
(16,13),-0.751048 # DEPENDENCYPART_ARC
(16,14),-0.865992 # DEPENDENCYPART_ARC
(16,15),-0.745842 # DEPENDENCYPART_ARC
(16,17),-0.955323 # DEPENDENCYPART_ARC
(16,18),-1.31724 # DEPENDENCYPART_ARC
(16,19),-0.716571 # DEPENDENCYPART_ARC
(16,33),-2.88168 # DEPENDENCYPART_ARC
(16,34),-2.55954 # DEPENDENCYPART_ARC
(17,2),-1.99817 # DEPENDENCYPART_ARC
(17,8),-1.61963 # DEPENDENCYPART_ARC
(17,11),-1.28149 # DEPENDENCYPART_ARC
(17,12),-2.69016 # DEPENDENCYPART_ARC
(17,13),-0.740489 # DEPENDENCYPART_ARC
(17,14),-1.10405 # DEPENDENCYPART_ARC
(17,15),-0.348722 # DEPENDENCYPART_ARC
(17,16),-0.0741655 # DEPENDENCYPART_ARC
(17,18),-1.55681 # DEPENDENCYPART_ARC
(18,2),-2.79959 # DEPENDENCYPART_ARC
(18,5),-1.78162 # DEPENDENCYPART_ARC
(18,7),-5.1477 # DEPENDENCYPART_ARC
(18,8),-1.57017 # DEPENDENCYPART_ARC
(18,9),-1.04479 # DEPENDENCYPART_ARC
(18,10),-1.47174 # DEPENDENCYPART_ARC
(18,11),-1.7157 # DEPENDENCYPART_ARC
(18,12),-2.14414 # DEPENDENCYPART_ARC
(18,13),-0.607272 # DEPENDENCYPART_ARC
(18,14),-0.917157 # DEPENDENCYPART_ARC
(18,15),0.794667 # DEPENDENCYPART_ARC
(18,16),0.314851 # DEPENDENCYPART_ARC
(18,17),2.78498 # DEPENDENCYPART_ARC
(19,1),0.376608 # DEPENDENCYPART_ARC
(19,2),-1.38348 # DEPENDENCYPART_ARC
(19,3),-2.32649 # DEPENDENCYPART_ARC
(19,4),-2.25434 # DEPENDENCYPART_ARC
(19,5),-0.242892 # DEPENDENCYPART_ARC
(19,6),-0.597653 # DEPENDENCYPART_ARC
(19,7),0.189234 # DEPENDENCYPART_ARC
(19,8),-1.58585 # DEPENDENCYPART_ARC
(19,9),-1.23766 # DEPENDENCYPART_ARC
(19,10),-0.0106822 # DEPENDENCYPART_ARC
(19,11),-1.75467 # DEPENDENCYPART_ARC
(19,12),-0.249988 # DEPENDENCYPART_ARC
(19,13),-0.122271 # DEPENDENCYPART_ARC
(19,14),0.780587 # DEPENDENCYPART_ARC
(19,15),0.902399 # DEPENDENCYPART_ARC
(19,16),0.753001 # DEPENDENCYPART_ARC
(19,17),0.902296 # DEPENDENCYPART_ARC
(19,18),2.3408 # DEPENDENCYPART_ARC
(19,20),-0.916459 # DEPENDENCYPART_ARC
(19,21),1.34298 # DEPENDENCYPART_ARC
(19,22),0.305744 # DEPENDENCYPART_ARC
(19,23),-0.0170471 # DEPENDENCYPART_ARC
(19,24),-1.4621 # DEPENDENCYPART_ARC
(19,25),-1.18292 # DEPENDENCYPART_ARC
(19,26),-1.57251 # DEPENDENCYPART_ARC
(19,27),-1.4117 # DEPENDENCYPART_ARC
(19,28),-0.917518 # DEPENDENCYPART_ARC
(19,29),-1.49249 # DEPENDENCYPART_ARC
(19,30),-1.26707 # DEPENDENCYPART_ARC
(19,31),-0.286916 # DEPENDENCYPART_ARC
(19,32),-1.79438 # DEPENDENCYPART_ARC
(19,33),0.611504 # DEPENDENCYPART_ARC
(19,34),-0.726219 # DEPENDENCYPART_ARC
(21,20),1.80117 # DEPENDENCYPART_ARC
(21,22),-0.738526 # DEPENDENCYPART_ARC
(23,3),-1.6178 # DEPENDENCYPART_ARC
(23,4),-1.7124 # DEPENDENCYPART_ARC
(23,6),-2.15167 # DEPENDENCYPART_ARC
(23,8),-1.65906 # DEPENDENCYPART_ARC
(23,9),-2.66942 # DEPENDENCYPART_ARC
(23,10),-1.66276 # DEPENDENCYPART_ARC
(23,11),-1.92607 # DEPENDENCYPART_ARC
(23,12),-2.89013 # DEPENDENCYPART_ARC
(23,13),-1.67801 # DEPENDENCYPART_ARC
(23,14),-1.52498 # DEPENDENCYPART_ARC
(23,15),-2.28134 # DEPENDENCYPART_ARC
(23,16),-0.737118 # DEPENDENCYPART_ARC
(23,17),-2.10549 # DEPENDENCYPART_ARC
(23,18),-2.06003 # DEPENDENCYPART_ARC
(23,19),0.169687 # DEPENDENCYPART_ARC
(23,20),-1.41563 # DEPENDENCYPART_ARC
(23,21),-1.34482 # DEPENDENCYPART_ARC
(23,22),0.249871 # DEPENDENCYPART_ARC
(23,24),-1.62108 # DEPENDENCYPART_ARC
(23,25),-1.02578 # DEPENDENCYPART_ARC
(23,26),-1.13546 # DEPENDENCYPART_ARC
(23,27),-1.33977 # DEPENDENCYPART_ARC
(23,28),-1.64558 # DEPENDENCYPART_ARC
(23,29),-1.49206 # DEPENDENCYPART_ARC
(23,30),-1.67266 # DEPENDENCYPART_ARC
(23,31),-1.12333 # DEPENDENCYPART_ARC
(23,32),-1.74358 # DEPENDENCYPART_ARC
(23,33),-0.400384 # DEPENDENCYPART_ARC
(23,34),0.105198 # DEPENDENCYPART_ARC
(24,19),-0.928075 # DEPENDENCYPART_ARC
(24,21),-1.30747 # DEPENDENCYPART_ARC
(24,23),-0.646244 # DEPENDENCYPART_ARC
(24,25),-0.734318 # DEPENDENCYPART_ARC
(24,26),-1.24224 # DEPENDENCYPART_ARC
(24,27),-0.936367 # DEPENDENCYPART_ARC
(24,28),-1.23626 # DEPENDENCYPART_ARC
(24,29),-1.11019 # DEPENDENCYPART_ARC
(24,30),-0.947471 # DEPENDENCYPART_ARC
(24,31),-0.886747 # DEPENDENCYPART_ARC
(24,32),-0.940146 # DEPENDENCYPART_ARC
(24,33),-0.198209 # DEPENDENCYPART_ARC
(25,20),-0.361101 # DEPENDENCYPART_ARC
(25,21),-1.77372 # DEPENDENCYPART_ARC
(25,22),-0.795983 # DEPENDENCYPART_ARC
(25,23),-0.157046 # DEPENDENCYPART_ARC
(25,24),1.72088 # DEPENDENCYPART_ARC
(25,26),-0.953933 # DEPENDENCYPART_ARC
(25,27),-1.24941 # DEPENDENCYPART_ARC
(25,28),-1.34112 # DEPENDENCYPART_ARC
(25,29),-1.48251 # DEPENDENCYPART_ARC
(25,30),-1.71879 # DEPENDENCYPART_ARC
(25,31),-1.13187 # DEPENDENCYPART_ARC
(25,32),-1.6496 # DEPENDENCYPART_ARC
(26,24),-0.376591 # DEPENDENCYPART_ARC
(26,25),0.196629 # DEPENDENCYPART_ARC
(26,27),-0.939236 # DEPENDENCYPART_ARC
(26,28),-1.45539 # DEPENDENCYPART_ARC
(26,30),-1.31405 # DEPENDENCYPART_ARC
(26,31),-1.20628 # DEPENDENCYPART_ARC
(26,32),-1.57383 # DEPENDENCYPART_ARC
(27,18),-1.48802 # DEPENDENCYPART_ARC
(27,19),-1.30665 # DEPENDENCYPART_ARC
(27,20),-1.44786 # DEPENDENCYPART_ARC
(27,21),-1.90151 # DEPENDENCYPART_ARC
(27,23),-0.672068 # DEPENDENCYPART_ARC
(27,24),-0.792246 # DEPENDENCYPART_ARC
(27,25),-0.745885 # DEPENDENCYPART_ARC
(27,26),1.21611 # DEPENDENCYPART_ARC
(28,19),-1.93712 # DEPENDENCYPART_ARC
(28,20),-0.835275 # DEPENDENCYPART_ARC
(28,21),-2.5394 # DEPENDENCYPART_ARC
(28,22),-1.15868 # DEPENDENCYPART_ARC
(28,23),-0.668472 # DEPENDENCYPART_ARC
(28,24),-0.659025 # DEPENDENCYPART_ARC
(28,25),-1.09038 # DEPENDENCYPART_ARC
(28,26),-0.166215 # DEPENDENCYPART_ARC
(28,27),2.27861 # DEPENDENCYPART_ARC
(28,29),-1.28358 # DEPENDENCYPART_ARC
(28,30),-2.09348 # DEPENDENCYPART_ARC
(28,31),-1.37446 # DEPENDENCYPART_ARC
(28,32),-1.65736 # DEPENDENCYPART_ARC
(29,15),-2.36773 # DEPENDENCYPART_ARC
(29,16),-0.70706 # DEPENDENCYPART_ARC
(29,17),-2.30064 # DEPENDENCYPART_ARC
(29,18),-1.40763 # DEPENDENCYPART_ARC
(29,19),-1.28653 # DEPENDENCYPART_ARC
(29,21),-1.63462 # DEPENDENCYPART_ARC
(29,22),-0.651888 # DEPENDENCYPART_ARC
(29,23),-0.562629 # DEPENDENCYPART_ARC
(29,24),-1.1129 # DEPENDENCYPART_ARC
(29,25),-1.14075 # DEPENDENCYPART_ARC
(29,26),-0.208863 # DEPENDENCYPART_ARC
(29,27),-0.244324 # DEPENDENCYPART_ARC
(29,28),1.20362 # DEPENDENCYPART_ARC
(29,32),-1.77814 # DEPENDENCYPART_ARC
(30,16),-1.30686 # DEPENDENCYPART_ARC
(30,17),-1.69933 # DEPENDENCYPART_ARC
(30,20),-1.45981 # DEPENDENCYPART_ARC
(30,21),-0.727156 # DEPENDENCYPART_ARC
(30,22),-1.15392 # DEPENDENCYPART_ARC
(30,23),-0.627901 # DEPENDENCYPART_ARC
(30,24),-0.798673 # DEPENDENCYPART_ARC
(30,25),0.451607 # DEPENDENCYPART_ARC
(30,26),-0.301642 # DEPENDENCYPART_ARC
(30,27),0.235355 # DEPENDENCYPART_ARC
(30,28),0.587495 # DEPENDENCYPART_ARC
(30,29),2.24824 # DEPENDENCYPART_ARC
(30,31),-1.60435 # DEPENDENCYPART_ARC
(30,32),-1.81926 # DEPENDENCYPART_ARC
(31,19),-1.34397 # DEPENDENCYPART_ARC
(31,28),-1.0677 # DEPENDENCYPART_ARC
(31,29),-1.06916 # DEPENDENCYPART_ARC
(31,30),-0.636723 # DEPENDENCYPART_ARC
(31,32),-1.20684 # DEPENDENCYPART_ARC
(31,33),-0.592947 # DEPENDENCYPART_ARC
(31,34),-1.41961 # DEPENDENCYPART_ARC
(32,16),-1.29619 # DEPENDENCYPART_ARC
(32,21),-2.70507 # DEPENDENCYPART_ARC
(32,22),-1.03917 # DEPENDENCYPART_ARC
(32,23),-0.970058 # DEPENDENCYPART_ARC
(32,24),-1.65158 # DEPENDENCYPART_ARC
(32,25),-2.16373 # DEPENDENCYPART_ARC
(32,26),-1.02553 # DEPENDENCYPART_ARC
(32,27),-1.40501 # DEPENDENCYPART_ARC
(32,28),-1.05528 # DEPENDENCYPART_ARC
(32,29),-0.96265 # DEPENDENCYPART_ARC
(32,30),-0.925999 # DEPENDENCYPART_ARC
(32,31),0.117457 # DEPENDENCYPART_ARC
(33,5),-1.14933 # DEPENDENCYPART_ARC
(33,6),-1.89072 # DEPENDENCYPART_ARC
(33,7),-1.30887 # DEPENDENCYPART_ARC
(33,9),-1.86177 # DEPENDENCYPART_ARC
(33,10),-0.781785 # DEPENDENCYPART_ARC
(33,11),-2.24775 # DEPENDENCYPART_ARC
(33,12),-1.67451 # DEPENDENCYPART_ARC
(33,13),-0.619338 # DEPENDENCYPART_ARC
(33,14),-0.681607 # DEPENDENCYPART_ARC
(33,15),-0.922321 # DEPENDENCYPART_ARC
(33,16),0.0337347 # DEPENDENCYPART_ARC
(33,17),-0.801582 # DEPENDENCYPART_ARC
(33,18),-0.493503 # DEPENDENCYPART_ARC
(33,19),-0.956326 # DEPENDENCYPART_ARC
(33,20),-1.19593 # DEPENDENCYPART_ARC
(33,21),-1.04412 # DEPENDENCYPART_ARC
(33,22),-0.510454 # DEPENDENCYPART_ARC
(33,23),0.130645 # DEPENDENCYPART_ARC
(33,24),0.0634997 # DEPENDENCYPART_ARC
(33,25),0.333957 # DEPENDENCYPART_ARC
(33,26),-0.788445 # DEPENDENCYPART_ARC
(33,27),-0.921213 # DEPENDENCYPART_ARC
(33,28),0.0540793 # DEPENDENCYPART_ARC
(33,29),-0.419396 # DEPENDENCYPART_ARC
(33,30),1.40506 # DEPENDENCYPART_ARC
(33,31),1.62614 # DEPENDENCYPART_ARC
(33,32),1.25938 # DEPENDENCYPART_ARC
(33,34),-0.114543 # DEPENDENCYPART_ARC
(0,1),(0,16),-0.120291 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.11343 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.123767 # DEPENDENCYPART_SIBL
(0,1),(0,33),-0.112761 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.12355 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.186131 # DEPENDENCYPART_SIBL
(0,16),(0,33),-0.119615 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.221666 # DEPENDENCYPART_SIBL
(0,19),(0,33),-0.245587 # DEPENDENCYPART_SIBL
(0,23),(0,33),-0.118805 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0102252 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0193004 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0410103 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0175788 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0176596 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0113603 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0193032 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.00122707 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0193032 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0193032 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0193018 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0109808 # DEPENDENCYPART_SIBL
(1,3),(1,33),0.00863205 # DEPENDENCYPART_SIBL
(1,3),(1,34),0.00470966 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0192291 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0409385 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0175076 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0175883 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0112887 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0192319 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.00115526 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0192319 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0192319 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0192305 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.010909 # DEPENDENCYPART_SIBL
(1,4),(1,33),0.00856025 # DEPENDENCYPART_SIBL
(1,4),(1,34),0.00190145 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0873936 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.000532303 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00409108 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.11429 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0050295 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0545031 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0050295 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0050295 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.00502556 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0294189 # DEPENDENCYPART_SIBL
(1,5),(1,33),0.026577 # DEPENDENCYPART_SIBL
(1,5),(1,34),0.014228 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0355148 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0353745 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0898557 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0368808 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0354454 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0368808 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0368808 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0368808 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0163771 # DEPENDENCYPART_SIBL
(1,6),(1,33),0.0151865 # DEPENDENCYPART_SIBL
(1,6),(1,34),0.0345953 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00551522 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.114215 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.00645364 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.05131 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.00645364 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.00645364 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0064497 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0272785 # DEPENDENCYPART_SIBL
(1,7),(1,33),0.024439 # DEPENDENCYPART_SIBL
(1,7),(1,34),0.0101248 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.111882 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.000530893 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0510308 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.000530893 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.000530893 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.000534831 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.0288635 # DEPENDENCYPART_SIBL
(1,9),(1,33),0.0260239 # DEPENDENCYPART_SIBL
(1,9),(1,34),0.0105888 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0193037 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.00122707 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0193037 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0193037 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0193023 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.0109808 # DEPENDENCYPART_SIBL
(1,11),(1,33),0.00863205 # DEPENDENCYPART_SIBL
(1,11),(1,34),0.00470983 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0545242 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.00503608 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.00503608 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.00503214 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.0294287 # DEPENDENCYPART_SIBL
(1,12),(1,33),0.0265892 # DEPENDENCYPART_SIBL
(1,12),(1,34),0.0142429 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.00471561 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.00471561 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0047137 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.228828 # DEPENDENCYPART_SIBL
(1,13),(1,33),0.229183 # DEPENDENCYPART_SIBL
(1,13),(1,34),0.0436892 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.00503608 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.00503214 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0294287 # DEPENDENCYPART_SIBL
(1,15),(1,33),0.0265892 # DEPENDENCYPART_SIBL
(1,15),(1,34),0.0142429 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.00503214 # DEPENDENCYPART_SIBL
(1,17),(1,19),0.0294287 # DEPENDENCYPART_SIBL
(1,17),(1,33),0.0265892 # DEPENDENCYPART_SIBL
(1,17),(1,34),0.0142429 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.0294277 # DEPENDENCYPART_SIBL
(1,18),(1,33),0.0265882 # DEPENDENCYPART_SIBL
(1,18),(1,34),0.0142407 # DEPENDENCYPART_SIBL
(1,19),(1,33),0.000714808 # DEPENDENCYPART_SIBL
(1,19),(1,34),0.0491558 # DEPENDENCYPART_SIBL
(1,33),(1,34),0.0486452 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00443565 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0524868 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.053985 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.105511 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.138288 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.197741 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.201258 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00559171 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0794029 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0700099 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.125054 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.125938 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0446816 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0283379 # DEPENDENCYPART_SIBL
(6,3),(6,33),0.0140487 # DEPENDENCYPART_SIBL
(6,3),(6,34),0.0626439 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0700141 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.125054 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.125938 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0446816 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0283379 # DEPENDENCYPART_SIBL
(6,4),(6,33),0.0140487 # DEPENDENCYPART_SIBL
(6,4),(6,34),0.0626439 # DEPENDENCYPART_SIBL
