# _root_ Mi vagyunk a hátország , az elkövetkezendő években is az lesz a feladatunk , hogy segítsük a tehetséges fiatalok előbbre jutását .
#goldHeads=2,0,4,2,2,8,8,11,11,11,2,13,11,11,11,10,19,19,21,21,16,2,
#predictedHeads=2,0,4,2,2,8,8,11,11,11,1,13,11,11,11,10,19,19,21,21,16,2,
(4,11),-1.41719 # DEPENDENCYPART_ARC
(4,14),-1.3702 # DEPENDENCYPART_ARC
(4,22),-2.04031 # DEPENDENCYPART_ARC
(6,5),-0.859261 # DEPENDENCYPART_ARC
(6,7),-0.41875 # DEPENDENCYPART_ARC
(7,2),-1.51189 # DEPENDENCYPART_ARC
(7,3),-1.85333 # DEPENDENCYPART_ARC
(7,4),-1.92019 # DEPENDENCYPART_ARC
(7,6),-0.451972 # DEPENDENCYPART_ARC
(8,1),-1.826 # DEPENDENCYPART_ARC
(8,2),-2.50023 # DEPENDENCYPART_ARC
(8,3),-0.60455 # DEPENDENCYPART_ARC
(8,4),-2.16551 # DEPENDENCYPART_ARC
(8,5),-1.12304 # DEPENDENCYPART_ARC
(8,6),1.29801 # DEPENDENCYPART_ARC
(8,7),2.46592 # DEPENDENCYPART_ARC
(8,9),-1.49909 # DEPENDENCYPART_ARC
(8,11),-2.10171 # DEPENDENCYPART_ARC
(9,2),-0.750579 # DEPENDENCYPART_ARC
(9,4),-1.56405 # DEPENDENCYPART_ARC
(9,5),-1.11109 # DEPENDENCYPART_ARC
(9,6),-1.45377 # DEPENDENCYPART_ARC
(9,7),-0.993252 # DEPENDENCYPART_ARC
(9,8),-0.449223 # DEPENDENCYPART_ARC
(9,10),-1.88444 # DEPENDENCYPART_ARC
(9,11),-0.603987 # DEPENDENCYPART_ARC
(9,13),-1.42709 # DEPENDENCYPART_ARC
(9,14),-1.29392 # DEPENDENCYPART_ARC
(9,15),-1.36951 # DEPENDENCYPART_ARC
(9,16),-1.87833 # DEPENDENCYPART_ARC
(9,19),-1.79778 # DEPENDENCYPART_ARC
(9,20),-1.98911 # DEPENDENCYPART_ARC
(9,22),-1.89738 # DEPENDENCYPART_ARC
(10,2),0.0284976 # DEPENDENCYPART_ARC
(10,4),-1.10529 # DEPENDENCYPART_ARC
(10,5),-0.827017 # DEPENDENCYPART_ARC
(10,7),-1.20377 # DEPENDENCYPART_ARC
(10,8),-0.785164 # DEPENDENCYPART_ARC
(10,9),-0.0543142 # DEPENDENCYPART_ARC
(10,11),0.167099 # DEPENDENCYPART_ARC
(10,13),-0.0769446 # DEPENDENCYPART_ARC
(10,14),-0.273083 # DEPENDENCYPART_ARC
(10,15),-0.577544 # DEPENDENCYPART_ARC
(10,16),1.47583 # DEPENDENCYPART_ARC
(10,18),-0.555016 # DEPENDENCYPART_ARC
(10,19),-0.847364 # DEPENDENCYPART_ARC
(10,20),-0.620104 # DEPENDENCYPART_ARC
(10,21),-1.26288 # DEPENDENCYPART_ARC
(10,22),-1.24361 # DEPENDENCYPART_ARC
(11,1),-0.936807 # DEPENDENCYPART_ARC
(11,2),-0.477745 # DEPENDENCYPART_ARC
(11,3),-1.67134 # DEPENDENCYPART_ARC
(11,4),-0.789674 # DEPENDENCYPART_ARC
(11,5),-0.073672 # DEPENDENCYPART_ARC
(11,6),-1.45894 # DEPENDENCYPART_ARC
(11,7),-0.708337 # DEPENDENCYPART_ARC
(11,8),0.914239 # DEPENDENCYPART_ARC
(11,9),1.04045 # DEPENDENCYPART_ARC
(11,10),2.0772 # DEPENDENCYPART_ARC
(11,12),-0.995208 # DEPENDENCYPART_ARC
(11,13),1.98119 # DEPENDENCYPART_ARC
(11,14),0.510302 # DEPENDENCYPART_ARC
(11,15),1.70911 # DEPENDENCYPART_ARC
(11,16),0.37046 # DEPENDENCYPART_ARC
(11,17),-2.09432 # DEPENDENCYPART_ARC
(11,18),-1.51093 # DEPENDENCYPART_ARC
(11,19),-1.28759 # DEPENDENCYPART_ARC
(11,20),-0.928952 # DEPENDENCYPART_ARC
(11,21),-0.669043 # DEPENDENCYPART_ARC
(11,22),-1.00113 # DEPENDENCYPART_ARC
(13,6),-1.82869 # DEPENDENCYPART_ARC
(13,8),-5.19323 # DEPENDENCYPART_ARC
(13,9),-1.82454 # DEPENDENCYPART_ARC
(13,10),-1.22067 # DEPENDENCYPART_ARC
(13,12),1.70589 # DEPENDENCYPART_ARC
(13,14),-0.791586 # DEPENDENCYPART_ARC
(13,16),-2.11672 # DEPENDENCYPART_ARC
(13,19),-1.81436 # DEPENDENCYPART_ARC
(13,20),-2.03311 # DEPENDENCYPART_ARC
(15,2),-2.71402 # DEPENDENCYPART_ARC
(15,4),-2.18208 # DEPENDENCYPART_ARC
(15,5),-1.88967 # DEPENDENCYPART_ARC
(15,7),-1.21632 # DEPENDENCYPART_ARC
(15,8),-1.87311 # DEPENDENCYPART_ARC
(15,9),-0.647915 # DEPENDENCYPART_ARC
(15,10),-0.865682 # DEPENDENCYPART_ARC
(15,11),-2.16529 # DEPENDENCYPART_ARC
(15,12),-1.09024 # DEPENDENCYPART_ARC
(15,13),-0.226802 # DEPENDENCYPART_ARC
(15,14),0.157478 # DEPENDENCYPART_ARC
(15,16),-0.120712 # DEPENDENCYPART_ARC
(15,18),-1.43414 # DEPENDENCYPART_ARC
(15,19),-1.52918 # DEPENDENCYPART_ARC
(15,20),-1.51613 # DEPENDENCYPART_ARC
(15,21),-2.00445 # DEPENDENCYPART_ARC
(15,22),-0.264517 # DEPENDENCYPART_ARC
(16,1),-2.55475 # DEPENDENCYPART_ARC
(16,2),-2.09635 # DEPENDENCYPART_ARC
(16,4),-3.95577 # DEPENDENCYPART_ARC
(16,5),-1.66009 # DEPENDENCYPART_ARC
(16,7),-3.39084 # DEPENDENCYPART_ARC
(16,8),-0.824492 # DEPENDENCYPART_ARC
(16,9),-1.20173 # DEPENDENCYPART_ARC
(16,10),-2.79316 # DEPENDENCYPART_ARC
(16,11),-0.996489 # DEPENDENCYPART_ARC
(16,12),-2.15523 # DEPENDENCYPART_ARC
(16,13),-1.92292 # DEPENDENCYPART_ARC
(16,14),-0.9588 # DEPENDENCYPART_ARC
(16,15),-0.767127 # DEPENDENCYPART_ARC
(16,17),-0.672463 # DEPENDENCYPART_ARC
(16,18),0.0603403 # DEPENDENCYPART_ARC
(16,19),0.466866 # DEPENDENCYPART_ARC
(16,20),-0.0697581 # DEPENDENCYPART_ARC
(16,21),1.65203 # DEPENDENCYPART_ARC
(16,22),-0.497304 # DEPENDENCYPART_ARC
(17,18),-0.557894 # DEPENDENCYPART_ARC
(17,21),-1.66421 # DEPENDENCYPART_ARC
(18,15),-1.38431 # DEPENDENCYPART_ARC
(18,17),-0.453712 # DEPENDENCYPART_ARC
(18,20),-1.6083 # DEPENDENCYPART_ARC
(18,21),-2.04325 # DEPENDENCYPART_ARC
(19,6),-2.19919 # DEPENDENCYPART_ARC
(19,9),-1.57283 # DEPENDENCYPART_ARC
(19,10),-1.84175 # DEPENDENCYPART_ARC
(19,12),-1.26753 # DEPENDENCYPART_ARC
(19,13),-2.40799 # DEPENDENCYPART_ARC
(19,15),-1.29315 # DEPENDENCYPART_ARC
(19,16),-0.971847 # DEPENDENCYPART_ARC
(19,17),1.42251 # DEPENDENCYPART_ARC
(19,18),2.44796 # DEPENDENCYPART_ARC
(19,20),-1.23418 # DEPENDENCYPART_ARC
(19,21),-2.23674 # DEPENDENCYPART_ARC
(20,2),-1.4755 # DEPENDENCYPART_ARC
(20,11),-1.43108 # DEPENDENCYPART_ARC
(20,13),-1.77122 # DEPENDENCYPART_ARC
(20,14),-1.28843 # DEPENDENCYPART_ARC
(20,15),-1.26485 # DEPENDENCYPART_ARC
(20,16),-1.14153 # DEPENDENCYPART_ARC
(20,18),-0.955316 # DEPENDENCYPART_ARC
(20,19),-0.240307 # DEPENDENCYPART_ARC
(20,21),-1.11573 # DEPENDENCYPART_ARC
(20,22),-1.3526 # DEPENDENCYPART_ARC
(21,13),-0.750134 # DEPENDENCYPART_ARC
(21,14),-1.50985 # DEPENDENCYPART_ARC
(21,15),-1.38588 # DEPENDENCYPART_ARC
(21,17),-1.19833 # DEPENDENCYPART_ARC
(21,18),-0.465414 # DEPENDENCYPART_ARC
(21,19),1.7145 # DEPENDENCYPART_ARC
(21,20),0.142186 # DEPENDENCYPART_ARC
(21,22),-1.02428 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.11001 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0279819 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0913345 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.052561 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.106656 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0543887 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.109189 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.115443 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.245933 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0984265 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.256916 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.271926 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.26075 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.102992 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0215101 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.111733 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.136432 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.107518 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0248643 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.118877 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.131004 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.131863 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.104007 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0325448 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.106519 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.25913 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.244327 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.130334 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00762677 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0377969 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00762764 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0299807 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.00762677 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.0116427 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.00783984 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.00762677 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.00258874 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0538222 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0362834 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0399034 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.036846 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0126545 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0363556 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.036846 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.101332 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00593951 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.146684 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.00829407 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0761198 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.00808043 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.00829407 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.0551226 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0395592 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0360158 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0123104 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.0355255 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0360158 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.101152 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.00345103 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.00476052 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.00323796 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.00345103 # DEPENDENCYPART_SIBL
(1,11),(1,22),-0.00532865 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0126545 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0363556 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.036846 # DEPENDENCYPART_SIBL
(1,13),(1,22),0.101332 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.00423298 # DEPENDENCYPART_SIBL
(1,16),(1,21),-0.00401992 # DEPENDENCYPART_SIBL
(1,16),(1,22),0.00557098 # DEPENDENCYPART_SIBL
(1,19),(1,21),0.036692 # DEPENDENCYPART_SIBL
(1,19),(1,22),0.100618 # DEPENDENCYPART_SIBL
(1,21),(1,22),0.101332 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0433094 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.038184 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.110772 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.031838 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0493415 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0370783 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0366889 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0520976 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0962563 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.038184 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.110772 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0231181 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0784567 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0384596 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0295529 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.038184 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0424002 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00882693 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00501702 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.066449 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0112451 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00683194 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0265851 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.000425829 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0313332 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00882693 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.00501702 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0682738 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0364708 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.00882693 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0111056 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.00882693 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.031246 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0560304 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0431445 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0322674 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0171247 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0774165 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0356318 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0141879 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0140302 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0560304 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0522689 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0101876 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0141689 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0127338 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0140302 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.00904993 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0658269 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0524019 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0619165 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0168401 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0106255 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.231301 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0676119 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0146366 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.808729 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.18565 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0676114 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0947725 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0676119 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0410189 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00268502 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0478388 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0571067 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0109954 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00487835 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0498338 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.028651 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.105375 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.000242183 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0498338 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0117698 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0498338 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0093597 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0296495 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0167859 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0346014 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0370838 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0276429 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.00200243 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.061225 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0326308 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0276429 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0151184 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0276429 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0160316 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0755236 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0347089 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0154558 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0162342 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0524688 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0503825 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0114555 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0163728 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0117067 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.0162342 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.00899704 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.152015 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0906596 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0803966 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0708538 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.154342 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0634942 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0803966 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.099045 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0803966 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0300043 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0226345 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0264596 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0290943 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.165485 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0333608 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0264596 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0280998 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0264596 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0145148 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00556751 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0738307 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0147647 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.00145766 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.00556751 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0117239 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.00556751 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.00800536 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0560304 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0522689 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0101876 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0141689 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0127338 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.0140302 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.00904993 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.808729 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.18565 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0676114 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.0947725 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0676119 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0410189 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.106049 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0180482 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.0246521 # DEPENDENCYPART_SIBL
(2,15),(2,21),-0.0180482 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.117755 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.00597728 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.00751255 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.00597728 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0134262 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.0127338 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.0140325 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.00876509 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.0263753 # DEPENDENCYPART_SIBL
(2,20),(2,22),-0.0183087 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.00904993 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0233071 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0082381 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00706692 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0231694 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.047784 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0082381 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.00971755 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00907785 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00374467 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0730723 # DEPENDENCYPART_SIBL
(4,3),(4,11),3.59593e-06 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00907785 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0285178 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.340195 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00563924 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.452039 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.00482316 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0787788 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0137715 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0543674 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.101224 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.0483734 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0356326 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0325052 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.0434864 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.162362 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.191836 # DEPENDENCYPART_SIBL
(4,14),(4,22),0.0787788 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0550317 # DEPENDENCYPART_SIBL
