# _root_ Ugyanakkor mindkét szakember csak akkor tulajdonítana jelentőséget az eltérésnek , ha hónapokon át , tendenciaszerűen jelentkezne .
#goldHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
#predictedHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
(0,4),(0,11),-0.123978 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0433096 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.124498 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.111631 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0384701 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0969833 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0345719 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.111631 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.110025 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.225942 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.133025 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.245466 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.137133 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0326431 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.108668 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0563243 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.107475 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0886079 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0320897 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0282764 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0282764 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0565074 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0320897 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0113827 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0262101 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0262101 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0899473 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.000203393 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0446609 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0331377 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0554496 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0357659 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0220659 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0603196 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0369167 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0227577 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.227135 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0473364 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.0446609 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.042685 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0763622 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.042685 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0668 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.00815428 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0280082 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.110845 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0515759 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.0296799 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.110845 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.138748 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0089991 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0144722 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0463733 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0410146 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0272993 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0222835 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.000699733 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.00531205 # DEPENDENCYPART_SIBL
(3,4),(3,5),2.16584e-05 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0217247 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0186599 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0326214 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0160709 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0219294 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.130478 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.240041 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0434934 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.226568 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.225892 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0416371 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0687582 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0478317 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0434934 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.119565 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0857286 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0392143 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.185281 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.185304 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00689251 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0592517 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0300588 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0392143 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0503087 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0133994 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.14579 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.145904 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0109065 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0280565 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0165232 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0133994 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0164286 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0151382 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0151382 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00148142 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00720762 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0868486 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00132602 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0634602 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00627878 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.024051 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0576186 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0481342 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0303794 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0365706 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0236711 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0576201 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0530042 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0315302 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0372624 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0115325 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0544734 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0166402 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.00791184 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.00493618 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0147122 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0280093 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.240459 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0717532 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0634602 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.226959 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00759839 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.090524 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0906382 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.035761 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00941605 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.035761 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00759839 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0511124 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0799498 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.231495 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.230819 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.119686 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.075254 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.119686 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0799498 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.242918 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0241135 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0241135 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.108072 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0170037 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.108072 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0249601 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.137467 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0111228 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0727351 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.066778 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0727351 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0539673 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0885721 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0776051 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0667796 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0776051 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.055118 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0892639 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0652321 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0212645 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.320481 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.20491 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0161362 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.000392629 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.0735574 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.320481 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.20491 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.137467 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0878802 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.100222 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.104822 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0539685 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0182313 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00636839 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0163074 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0327346 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.014875 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0163074 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.121224 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0327346 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0327981 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.010523 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0132326 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.00414876 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0771849 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0352134 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.00950103 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0486774 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00898224 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0137872 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0598351 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.00898224 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.091489 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0137872 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0186582 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0149793 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.00389331 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.103171 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0260161 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0166342 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0213023 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0170043 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00620916 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0382809 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0170043 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0646782 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00620916 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00170021 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0139851 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0295066 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0143647 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0384511 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0478853 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0365271 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0255126 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0259769 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0365271 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0588016 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0255126 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0143774 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0703659 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0254116 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0307563 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00172105 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0288324 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0618769 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0604496 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0288324 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.12364 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0618769 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0349523 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.00684328 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0656182 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0295529 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0246102 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0270598 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0114639 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0246102 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0304715 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0270598 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0200565 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0274851 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.00764895 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0520221 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0263673 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0600616 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0520221 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.00772649 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0263673 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.00126419 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.000231333 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.00660792 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0430489 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.004455 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0191053 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0242193 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0430489 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0263357 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0189344 # DEPENDENCYPART_SIBL
(6,9),(6,17),-1.62179e-05 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.303455 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.07652 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0340413 # DEPENDENCYPART_SIBL
