# _root_ Az ottani gyülekezet alig hetven emberből áll , mégis örök fájdalmuk volt az alsógödieknek , hogy nincs templomuk .
#goldHeads=3,3,7,7,6,7,9,9,0,11,12,9,14,12,12,12,12,17,9,
#predictedHeads=3,3,7,7,6,7,9,9,0,11,12,9,14,12,12,12,12,17,9,
(16,14),-0.457171 # DEPENDENCYPART_ARC
(16,15),0.145245 # DEPENDENCYPART_ARC
(16,17),-0.00268431 # DEPENDENCYPART_ARC
(16,18),-1.25489 # DEPENDENCYPART_ARC
(16,19),-0.229768 # DEPENDENCYPART_ARC
(17,3),-2.09704 # DEPENDENCYPART_ARC
(17,5),-3.08724 # DEPENDENCYPART_ARC
(17,6),-1.88327 # DEPENDENCYPART_ARC
(17,7),-1.65921 # DEPENDENCYPART_ARC
(17,8),-1.37331 # DEPENDENCYPART_ARC
(17,9),-0.922523 # DEPENDENCYPART_ARC
(17,10),-2.52016 # DEPENDENCYPART_ARC
(17,11),-0.940724 # DEPENDENCYPART_ARC
(17,12),-1.28321 # DEPENDENCYPART_ARC
(17,13),-2.15357 # DEPENDENCYPART_ARC
(17,14),-0.48556 # DEPENDENCYPART_ARC
(17,15),-0.699408 # DEPENDENCYPART_ARC
(17,16),-0.520654 # DEPENDENCYPART_ARC
(17,18),1.95834 # DEPENDENCYPART_ARC
(17,19),-0.137452 # DEPENDENCYPART_ARC
(18,9),-1.5072 # DEPENDENCYPART_ARC
(18,12),-2.45035 # DEPENDENCYPART_ARC
(18,13),-1.37073 # DEPENDENCYPART_ARC
(18,14),-3.1415 # DEPENDENCYPART_ARC
(18,15),-1.19388 # DEPENDENCYPART_ARC
(18,16),-1.05672 # DEPENDENCYPART_ARC
(18,17),-1.06995 # DEPENDENCYPART_ARC
(18,19),-1.13004 # DEPENDENCYPART_ARC
(0,4),(0,5),-0.0295719 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.118522 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.115982 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.11804 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.107056 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0985339 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0806444 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0861769 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0781002 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0942209 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.0809433 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.226757 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.250952 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.269752 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.263017 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.134752 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.159892 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.117511 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.270459 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.270613 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.113383 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0387643 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.202632 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0816465 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0198376 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00571552 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0130328 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0247806 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0202729 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0390761 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0066988 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00411539 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0504677 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0547617 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.00425129 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0194392 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.036331 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0253295 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0255985 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0785931 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.025348 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0506437 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0551438 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.120788 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0598479 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0610271 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0484399 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0476637 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.20415 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.193257 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0695872 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0297929 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.118043 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00116753 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00398153 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0110381 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.118043 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.000157746 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.118043 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00398153 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0311541 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.00729812 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.118043 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0464355 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0303804 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0830509 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00704019 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00466009 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0174579 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0830509 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.00236665 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0830509 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00466009 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.00257158 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.00213185 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0830509 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.00375147 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00983138 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0365237 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0539773 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0312477 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00983138 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0652993 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.00983138 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0539773 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0477722 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0324506 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.00983138 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0886435 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0283444 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0486254 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.000788824 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00178826 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0695919 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.00178826 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0486254 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0184666 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0203292 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.00178826 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.00425547 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.073539 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0204351 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0215691 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0274104 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0215691 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.073539 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0038455 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0185858 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0215691 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0329612 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0745767 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0043354 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.338824 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0043354 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0525092 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.327488 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.217545 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0043354 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0416386 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0211269 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0364176 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0211269 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0280381 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0185902 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0198982 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0211269 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.00515203 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0695919 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.00178826 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0486254 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0184666 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0203292 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.00178826 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0043807 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0218173 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0943637 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0152245 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0142653 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0218173 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0401546 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0486254 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.0184666 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0203292 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.00178826 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0043807 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.327488 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.217545 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0043354 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0416386 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0456526 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0564342 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0480131 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.017499 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.0200552 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0043807 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.113729 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0808308 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0115974 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0185619 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00162815 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0180403 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00486468 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0185619 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.00949192 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.00697025 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.154504 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0723432 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0864762 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0160077 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0688558 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0227652 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0864762 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0660679 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0354978 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0355231 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0485629 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0245231 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0591309 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.053427 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0485629 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0527138 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0707982 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0541154 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0064831 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0395302 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.000111088 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0541154 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.010499 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.100774 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.116589 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.444803 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0559458 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00316856 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.34859 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.0587086 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0673111 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0233001 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0107877 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0690558 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.0240866 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.00980621 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.060175 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.00276403 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.0868381 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0503509 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0440788 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.00651575 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.34859 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.0587086 # DEPENDENCYPART_SIBL
(5,17),(5,19),0.0914699 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.203954 # DEPENDENCYPART_SIBL
(6,1),(6,3),-6.43685e-05 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00647531 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0244381 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0165824 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00571553 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0247806 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00337584 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0549527 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0103582 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.032912 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00411539 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0547617 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.165085 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00320603 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00283849 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00337853 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.000193025 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.20806 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00092466 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00643653 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0591066 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0201917 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0153975 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00129689 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.342981 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.482727 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0610271 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0202241 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0539404 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.101261 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0376805 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0513324 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0064729 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00793029 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0121734 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0108526 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0301918 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0973703 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0108526 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0064729 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0216353 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0270364 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.0108526 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0354416 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0321099 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0559087 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0470957 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0295019 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.027954 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0489999 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0436511 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00207641 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0261796 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0362306 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.00207641 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.027954 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00722992 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0159433 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00207641 # DEPENDENCYPART_SIBL
