# _root_ Azért nem lettem katona sem , mert nem tudtam volna elfogadni , hogy csak egy irány van .
#goldHeads=3,3,0,3,3,3,3,9,1,9,9,9,9,17,16,17,11,3,
#predictedHeads=3,3,0,3,3,3,3,9,1,9,9,9,9,17,16,17,9,3,
(1,3),(1,9),0.0089046 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00170576 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00602664 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0494303 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.00368128 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0164549 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0301838 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.00239782 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.000749964 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0259583 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0370195 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00688988 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.00749936 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0120195 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0202691 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0194763 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.020124 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.00688988 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.00911638 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0217319 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0515361 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.00196104 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.00513738 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0655694 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0400837 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0194468 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.012306 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00567058 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0010518 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.00509051 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0400837 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0363832 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.00261866 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0618311 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0938655 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.00161468 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0270164 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.186841 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0328669 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0432284 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0328953 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0432737 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0480199 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.212907 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.034652 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0132826 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.017572 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0522252 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0383769 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0302889 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0773431 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0750328 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0786915 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0558369 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.00139344 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.00114853 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0128592 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0348381 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0619935 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0248736 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.00275284 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.00931819 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.00333291 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0336308 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0402305 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0090216 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0698894 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.117242 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.00533218 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0620939 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.00191346 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.00582715 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0507766 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.00374344 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0164425 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.030179 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.00234242 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.000550476 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0287662 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0110299 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.00230683 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0268179 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.00353371 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0157959 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0166905 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.0182469 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0102424 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0494303 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.00368128 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0164549 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0301838 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.00239782 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.000749964 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0259583 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.212907 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.034652 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.0132826 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.017572 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.0522252 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.0383769 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.0083969 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.000185924 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.0546364 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.0229939 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.00373905 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0488717 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.0832152 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.038727 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.00286186 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.009742 # DEPENDENCYPART_SIBL
(1,15),(1,17),-0.00874328 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0242256 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.00473684 # DEPENDENCYPART_SIBL
(1,16),(1,18),0.0606081 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0419152 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.268821 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0408047 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0683982 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0301281 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0058125 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.226911 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0282318 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0214672 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00754222 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0200073 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0294727 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0347217 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0782392 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00532623 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0741759 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0200073 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0471531 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.025193 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0263946 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0232113 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0292269 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00207389 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.165888 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00959942 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0277245 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00711077 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0533853 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0728356 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0599421 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.00959942 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.033164 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0237509 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.00252591 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.131627 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00775645 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.030574 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0430382 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0590289 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.000946451 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0252515 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.058499 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0190127 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0430382 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.045346 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00413847 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.00796796 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0205911 # DEPENDENCYPART_SIBL
(3,4),(3,18),-1.62285e-05 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0322906 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0202523 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0108827 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0260272 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0406652 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0187765 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0322906 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0387211 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0300897 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0211246 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.00621932 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.00982811 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.53625 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.13247 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.18283 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.118779 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.194562 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0129099 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.81544 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.127351 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0291674 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.214474 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0489202 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0392505 # DEPENDENCYPART_SIBL
