# _root_ Be kell vallanom , csak pár nap alatt sikerült kiderítenem , hogy retrofit magyarul azt jelenti : korszerűsítés .
#goldHeads=2,0,2,2,9,7,8,9,3,9,9,9,16,16,16,10,16,15,2,
#predictedHeads=2,0,2,2,10,7,8,10,2,9,9,9,16,16,16,9,16,16,2,
(5,19),-1.32235 # DEPENDENCYPART_ARC
(6,3),-1.07755 # DEPENDENCYPART_ARC
(6,5),-0.32731 # DEPENDENCYPART_ARC
(6,16),-1.1677 # DEPENDENCYPART_ARC
(6,19),-1.47573 # DEPENDENCYPART_ARC
(7,2),-1.60202 # DEPENDENCYPART_ARC
(7,3),-0.0919107 # DEPENDENCYPART_ARC
(7,4),-0.379667 # DEPENDENCYPART_ARC
(7,5),0.151116 # DEPENDENCYPART_ARC
(7,6),2.07274 # DEPENDENCYPART_ARC
(8,4),-0.598787 # DEPENDENCYPART_ARC
(8,5),-0.49225 # DEPENDENCYPART_ARC
(8,6),0.193791 # DEPENDENCYPART_ARC
(8,7),2.58004 # DEPENDENCYPART_ARC
(8,9),-0.728991 # DEPENDENCYPART_ARC
(8,10),-1.11492 # DEPENDENCYPART_ARC
(8,13),-1.60142 # DEPENDENCYPART_ARC
(8,14),-1.44411 # DEPENDENCYPART_ARC
(8,16),-1.35725 # DEPENDENCYPART_ARC
(8,18),-1.826 # DEPENDENCYPART_ARC
(9,1),-0.723906 # DEPENDENCYPART_ARC
(9,2),-0.567022 # DEPENDENCYPART_ARC
(9,3),1.28019 # DEPENDENCYPART_ARC
(9,4),-0.180237 # DEPENDENCYPART_ARC
(9,5),0.679216 # DEPENDENCYPART_ARC
(9,6),-0.516832 # DEPENDENCYPART_ARC
(9,7),0.735427 # DEPENDENCYPART_ARC
(9,8),1.44008 # DEPENDENCYPART_ARC
(9,10),4.00638 # DEPENDENCYPART_ARC
(9,11),0.620345 # DEPENDENCYPART_ARC
(9,12),1.66623 # DEPENDENCYPART_ARC
(9,13),-1.0253 # DEPENDENCYPART_ARC
(9,14),-0.347067 # DEPENDENCYPART_ARC
(9,15),-1.25902 # DEPENDENCYPART_ARC
(9,16),-0.0699655 # DEPENDENCYPART_ARC
(9,17),-0.198926 # DEPENDENCYPART_ARC
(9,18),-1.62238 # DEPENDENCYPART_ARC
(9,19),-0.785032 # DEPENDENCYPART_ARC
(10,2),-1.36367 # DEPENDENCYPART_ARC
(10,3),-0.313791 # DEPENDENCYPART_ARC
(10,4),-0.440134 # DEPENDENCYPART_ARC
(10,5),0.420138 # DEPENDENCYPART_ARC
(10,6),-0.923581 # DEPENDENCYPART_ARC
(10,7),-0.528886 # DEPENDENCYPART_ARC
(10,8),1.21829 # DEPENDENCYPART_ARC
(10,9),0.147187 # DEPENDENCYPART_ARC
(10,11),-0.0320594 # DEPENDENCYPART_ARC
(10,12),0.779997 # DEPENDENCYPART_ARC
(10,13),-1.71732 # DEPENDENCYPART_ARC
(10,14),-0.311799 # DEPENDENCYPART_ARC
(10,15),-1.45316 # DEPENDENCYPART_ARC
(10,16),-1.40231 # DEPENDENCYPART_ARC
(10,17),-1.1047 # DEPENDENCYPART_ARC
(10,18),-2.75843 # DEPENDENCYPART_ARC
(10,19),-1.39273 # DEPENDENCYPART_ARC
(12,2),-3.02123 # DEPENDENCYPART_ARC
(12,3),-2.93473 # DEPENDENCYPART_ARC
(12,4),-1.81168 # DEPENDENCYPART_ARC
(12,5),-1.31832 # DEPENDENCYPART_ARC
(12,7),-1.19732 # DEPENDENCYPART_ARC
(12,8),-1.10636 # DEPENDENCYPART_ARC
(12,9),-2.23008 # DEPENDENCYPART_ARC
(12,10),-1.78871 # DEPENDENCYPART_ARC
(12,11),0.18082 # DEPENDENCYPART_ARC
(12,13),-1.22991 # DEPENDENCYPART_ARC
(12,14),-1.57313 # DEPENDENCYPART_ARC
(12,16),-0.7787 # DEPENDENCYPART_ARC
(12,17),-1.07888 # DEPENDENCYPART_ARC
(12,18),-2.29054 # DEPENDENCYPART_ARC
(12,19),-0.742913 # DEPENDENCYPART_ARC
(13,11),-1.17138 # DEPENDENCYPART_ARC
(13,12),-0.872371 # DEPENDENCYPART_ARC
(13,14),-1.29247 # DEPENDENCYPART_ARC
(13,18),-1.4908 # DEPENDENCYPART_ARC
(14,2),-2.08807 # DEPENDENCYPART_ARC
(14,5),-1.49848 # DEPENDENCYPART_ARC
(14,6),-1.59944 # DEPENDENCYPART_ARC
(14,7),-2.50375 # DEPENDENCYPART_ARC
(14,8),-1.03042 # DEPENDENCYPART_ARC
(14,9),-2.1304 # DEPENDENCYPART_ARC
(14,10),-0.850969 # DEPENDENCYPART_ARC
(14,11),-0.552573 # DEPENDENCYPART_ARC
(14,12),-0.357421 # DEPENDENCYPART_ARC
(14,13),-0.24163 # DEPENDENCYPART_ARC
(14,17),-0.599189 # DEPENDENCYPART_ARC
(14,18),-1.35194 # DEPENDENCYPART_ARC
(15,2),-0.284218 # DEPENDENCYPART_ARC
(15,3),-0.59462 # DEPENDENCYPART_ARC
(15,9),-0.205786 # DEPENDENCYPART_ARC
(15,10),-0.424463 # DEPENDENCYPART_ARC
(15,11),-0.924545 # DEPENDENCYPART_ARC
(15,12),-0.569626 # DEPENDENCYPART_ARC
(15,13),-0.878922 # DEPENDENCYPART_ARC
(15,14),0.129291 # DEPENDENCYPART_ARC
(15,16),0.146065 # DEPENDENCYPART_ARC
(15,17),-0.507654 # DEPENDENCYPART_ARC
(15,18),-0.239102 # DEPENDENCYPART_ARC
(15,19),-0.830001 # DEPENDENCYPART_ARC
(16,2),0.112417 # DEPENDENCYPART_ARC
(16,3),0.976444 # DEPENDENCYPART_ARC
(16,4),-0.58057 # DEPENDENCYPART_ARC
(16,5),-0.445501 # DEPENDENCYPART_ARC
(16,6),-1.27203 # DEPENDENCYPART_ARC
(16,7),-1.0088 # DEPENDENCYPART_ARC
(16,8),0.132231 # DEPENDENCYPART_ARC
(16,9),0.0124994 # DEPENDENCYPART_ARC
(16,10),1.25447 # DEPENDENCYPART_ARC
(16,11),-0.223165 # DEPENDENCYPART_ARC
(16,12),0.0352562 # DEPENDENCYPART_ARC
(16,13),0.858881 # DEPENDENCYPART_ARC
(16,14),1.73594 # DEPENDENCYPART_ARC
(16,15),2.89872 # DEPENDENCYPART_ARC
(16,17),1.1398 # DEPENDENCYPART_ARC
(16,18),0.376338 # DEPENDENCYPART_ARC
(16,19),0.119466 # DEPENDENCYPART_ARC
(18,6),-2.05423 # DEPENDENCYPART_ARC
(18,13),-1.90407 # DEPENDENCYPART_ARC
(18,14),-3.22488 # DEPENDENCYPART_ARC
(18,15),-2.38087 # DEPENDENCYPART_ARC
(18,17),-0.340731 # DEPENDENCYPART_ARC
(18,19),-1.01428 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.122619 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.114319 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0107507 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.110501 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.114319 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.114491 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0332697 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.11539 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.253991 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.118432 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.254258 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.253991 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.275922 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.107277 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.258055 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.117148 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.245733 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.245466 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.265529 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.104755 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.24953 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.107261 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.105513 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.097843 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0116729 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.105633 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.24834 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.265995 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.104796 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.252405 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.265529 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.104755 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.24953 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0773203 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.134842 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.113899 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0164612 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0284616 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00923635 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0137738 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.000775491 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0262164 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.055463 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0776153 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0284616 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00923635 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0579742 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0208953 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0133864 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0069398 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.00876832 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.00300182 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0208953 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0541126 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0874732 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0167983 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0272551 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0311167 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0813545 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0322691 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0474142 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0874732 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0296617 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0293428 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.00118528 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0617918 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0661003 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0345463 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0293428 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0390246 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.122763 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0183745 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0924085 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0890249 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.138875 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.103544 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0891185 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.814081 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0950065 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0260278 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0521794 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0688017 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0830868 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0950065 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0729441 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0376183 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0605402 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0410877 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0902367 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.112304 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0614329 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00297442 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0440753 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.00327844 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0464632 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.127336 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0171965 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0440753 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0494744 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00979118 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0201837 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.038609 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0528026 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00410313 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0521212 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.00649649 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.00224823 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0355397 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0659323 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.00644506 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.00649649 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.00354806 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0448389 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0305131 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.05994 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00890965 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0319357 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00268151 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0173056 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0124315 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0764179 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.00641872 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.00268151 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0401722 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0599757 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0708082 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0564449 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0720393 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0515694 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0699317 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0112776 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0839413 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0576164 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0515694 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0244398 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0491996 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0789914 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0322563 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0363443 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00109991 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0589177 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0678858 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0309818 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0363443 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.057404 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0874732 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0296617 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0293428 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.00118528 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0617918 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0661003 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0345463 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0293428 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0390246 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.814081 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0950065 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0260278 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0521794 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0688017 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0830868 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0950065 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0729441 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0171982 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0436517 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.00772189 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.00141778 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0675176 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0171982 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.107695 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.00387415 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.017078 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0798456 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0117855 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.00732739 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0406808 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0479921 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0874128 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0015245 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.00768125 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0198027 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.147297 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0325144 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0457169 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.0615945 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0235842 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0221948 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0212726 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.00398102 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.447548 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0406808 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0400342 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0399614 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00613434 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0222079 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0329168 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0222663 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0511871 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00304141 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0399614 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00495137 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.00240823 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0192264 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0227347 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0195568 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0355437 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0304441 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0416379 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0188407 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0476484 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00897716 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0601472 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.014203 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0304441 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00898209 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.000272666 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0164803 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00554864 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0208751 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.023276 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.127351 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0373421 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.073922 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0582421 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.232262 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.194562 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0129099 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.81544 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0567683 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0189304 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.159819 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0238466 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0489202 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.012366 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.05996 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.00689707 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.013921 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0375676 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.015401 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0264876 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0388743 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.00611075 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0526001 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0571274 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.00934732 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0114357 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0118044 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00156753 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0142059 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0178138 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0513757 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.00606213 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.021903 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0273356 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.00451935 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.00339708 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0226622 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0155 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0155067 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.047004 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0515117 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0380833 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0141186 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0319845 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.021495 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.000492355 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0224897 # DEPENDENCYPART_SIBL
