# _root_ A legrövidebb távot , a 2000 métert a II. korcsoport tagjai , az 1986- 1988-as születésű lányok teszik meg .
#goldHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,16,16,17,18,0,18,18,
#predictedHeads=3,3,18,18,7,7,18,10,10,11,18,18,17,17,17,17,18,0,18,18,
(18,13),-1.07784 # DEPENDENCYPART_ARC
(18,14),-0.0824989 # DEPENDENCYPART_ARC
(18,15),-0.8431 # DEPENDENCYPART_ARC
(18,16),-0.347201 # DEPENDENCYPART_ARC
(18,17),2.67881 # DEPENDENCYPART_ARC
(18,19),1.81736 # DEPENDENCYPART_ARC
(18,20),-0.0699396 # DEPENDENCYPART_ARC
(19,4),-1.35347 # DEPENDENCYPART_ARC
(19,7),-1.38043 # DEPENDENCYPART_ARC
(19,10),-1.22336 # DEPENDENCYPART_ARC
(19,11),-1.32442 # DEPENDENCYPART_ARC
(19,12),-1.17199 # DEPENDENCYPART_ARC
(19,15),-1.09219 # DEPENDENCYPART_ARC
(19,16),-0.891503 # DEPENDENCYPART_ARC
(19,17),-0.514359 # DEPENDENCYPART_ARC
(19,18),-0.176453 # DEPENDENCYPART_ARC
(19,20),-0.910999 # DEPENDENCYPART_ARC
(0,3),(0,6),-0.0404538 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0663274 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0666181 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0326252 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.108284 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0626963 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0371665 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0374952 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0383366 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.081662 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0379713 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0664004 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0326252 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.108284 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0640381 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0326428 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.11121 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.0641405 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0895205 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0379415 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.121056 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0310278 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0390055 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0890273 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.000998411 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.150318 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00947105 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0154189 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00374108 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00374108 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0019572 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.00947105 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.00387921 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.00425799 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0075861 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0289109 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.033332 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0106358 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00457124 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00457124 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00300584 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.033332 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.000204312 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.00555491 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0374331 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.00467073 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.161486 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.34297 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.34297 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.341639 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00482203 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.153296 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.340947 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.425212 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0787776 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0243489 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0243489 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0256564 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0549153 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0143576 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0241852 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0484959 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.118824 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.00470394 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00867183 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.103086 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0611719 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.00334859 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0561816 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0485651 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.00867183 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.103086 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0611719 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.00334859 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0561816 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0485651 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.116087 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0708184 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0121271 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.064841 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0594714 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.153296 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.340947 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.425212 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0787776 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.0539748 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0530591 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.106008 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0558703 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.0467404 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.212752 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.041205 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0173825 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.021935 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0156744 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.07206 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0349317 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00895878 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00899676 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.000530604 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0119506 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0409344 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0408006 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.00651864 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0378753 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.00949997 # DEPENDENCYPART_SIBL
(6,18),(6,20),0.11433 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.155843 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0129962 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.190771 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.662013 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0152084 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0110338 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00331961 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.00153574 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.00907785 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.00427239 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.00383653 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.00797928 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0285178 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00307406 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.440921 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.662675 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0126363 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0403761 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.00411379 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.00254839 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0329118 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.000215838 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.00509747 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.037013 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.00425058 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.640972 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.317124 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00433211 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.019421 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0031322 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.000748539 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00307517 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.044684 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0004091 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0106827 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.0413279 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.408123 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.04786 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0387249 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00844461 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.00899562 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0346477 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.00378862 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0110081 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0265716 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.0238545 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0152084 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0110338 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00331961 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00153574 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.00907785 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.00427239 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.00383653 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.00797928 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0285178 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0159303 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0153084 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0171068 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0196453 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00616675 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0149484 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.000720024 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0208772 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0176082 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0195697 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0124631 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0119222 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0174393 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.017051 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.0357031 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.00868182 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.103086 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0611719 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.00335858 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0561816 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.0485651 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.116087 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0708184 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0121371 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.064841 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0594714 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.153297 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.340959 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.425213 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.0787788 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.0539848 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.0530591 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.106008 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.0558703 # DEPENDENCYPART_SIBL
(7,17),(7,20),0.0467404 # DEPENDENCYPART_SIBL
(7,18),(7,20),0.212752 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0362582 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.017389 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0355015 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.0120005 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.155843 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0129962 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.190771 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.662013 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0152084 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0129962 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.662013 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.00270279 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.00153574 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0378492 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.00797928 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0285178 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.00307406 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.440921 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.662675 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0126363 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.00307406 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.662675 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.00908128 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.00254839 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0229908 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.037013 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.00425058 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.640972 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.317124 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.00433211 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0188201 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.317124 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.00129062 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.000748539 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.00441623 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.0106827 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.0413279 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.408123 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.04786 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0569251 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.408123 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0463619 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.00899562 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0362233 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0265716 # DEPENDENCYPART_SIBL
(10,4),(10,20),0.0238545 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0152084 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0129962 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.662013 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.00270279 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.00153574 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0378492 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.00797928 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0285178 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0232705 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.394688 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.02628 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0171068 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0116654 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.000720024 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.0208772 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.317123 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00129149 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.000994872 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.00441623 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.0106827 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.041682 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.00270279 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.00153574 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0378492 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.00797928 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0285178 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0171916 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.011694 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.00112862 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0172981 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0590476 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.064841 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.0594714 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.0481671 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.0939043 # DEPENDENCYPART_SIBL
(10,18),(10,20),0.212752 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.155391 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0251144 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.19535 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.662414 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0156096 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.0251144 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.662414 # DEPENDENCYPART_SIBL
