# _root_ Nagyon kedves neki az a rózsafüzér is , amelyikkel Angelo_Acerbi pápai nuncius ajándékozta meg , amikor meglátta a gyöngyösi Mária-szobor melletti olvasókat .
#goldHeads=2,7,7,6,6,7,0,7,13,12,12,13,7,13,13,17,13,20,20,21,22,17,7,
#predictedHeads=2,3,13,6,6,13,13,13,13,12,12,13,0,13,13,17,13,20,20,21,22,17,13,
(13,4),-0.504878 # DEPENDENCYPART_ARC
(13,5),-1.65957 # DEPENDENCYPART_ARC
(13,6),0.00208316 # DEPENDENCYPART_ARC
(13,7),0.281505 # DEPENDENCYPART_ARC
(13,8),-0.326138 # DEPENDENCYPART_ARC
(13,9),1.07948 # DEPENDENCYPART_ARC
(13,10),1.36108 # DEPENDENCYPART_ARC
(13,11),0.0166552 # DEPENDENCYPART_ARC
(13,12),2.47546 # DEPENDENCYPART_ARC
(13,14),2.24051 # DEPENDENCYPART_ARC
(13,15),0.577265 # DEPENDENCYPART_ARC
(13,16),-0.28557 # DEPENDENCYPART_ARC
(13,17),0.675825 # DEPENDENCYPART_ARC
(13,18),-1.80218 # DEPENDENCYPART_ARC
(13,19),-1.26694 # DEPENDENCYPART_ARC
(13,20),-1.83494 # DEPENDENCYPART_ARC
(13,21),-1.36998 # DEPENDENCYPART_ARC
(13,22),-0.660829 # DEPENDENCYPART_ARC
(13,23),-0.782717 # DEPENDENCYPART_ARC
(14,7),-0.871219 # DEPENDENCYPART_ARC
(14,8),-1.20659 # DEPENDENCYPART_ARC
(14,11),-0.92926 # DEPENDENCYPART_ARC
(14,12),-0.553771 # DEPENDENCYPART_ARC
(14,13),-0.24433 # DEPENDENCYPART_ARC
(14,15),-0.612363 # DEPENDENCYPART_ARC
(14,17),-1.01767 # DEPENDENCYPART_ARC
(14,20),-1.83222 # DEPENDENCYPART_ARC
(14,22),-1.91614 # DEPENDENCYPART_ARC
(14,23),-1.68281 # DEPENDENCYPART_ARC
(16,12),-1.36161 # DEPENDENCYPART_ARC
(16,15),-0.556044 # DEPENDENCYPART_ARC
(16,20),-1.21401 # DEPENDENCYPART_ARC
(16,22),-1.48971 # DEPENDENCYPART_ARC
(16,23),-1.36683 # DEPENDENCYPART_ARC
(17,1),-2.36326 # DEPENDENCYPART_ARC
(17,2),-2.82669 # DEPENDENCYPART_ARC
(17,3),-1.82471 # DEPENDENCYPART_ARC
(17,4),-2.11458 # DEPENDENCYPART_ARC
(17,6),-1.55202 # DEPENDENCYPART_ARC
(17,7),-0.783783 # DEPENDENCYPART_ARC
(17,8),-1.04381 # DEPENDENCYPART_ARC
(17,9),-1.07693 # DEPENDENCYPART_ARC
(17,10),-0.810273 # DEPENDENCYPART_ARC
(17,11),-2.03111 # DEPENDENCYPART_ARC
(17,12),-0.323353 # DEPENDENCYPART_ARC
(17,13),-0.407436 # DEPENDENCYPART_ARC
(17,14),-0.145838 # DEPENDENCYPART_ARC
(17,15),-0.0937728 # DEPENDENCYPART_ARC
(17,16),1.95306 # DEPENDENCYPART_ARC
(17,18),-0.760053 # DEPENDENCYPART_ARC
(17,19),0.0799581 # DEPENDENCYPART_ARC
(17,20),0.198925 # DEPENDENCYPART_ARC
(17,21),-0.551062 # DEPENDENCYPART_ARC
(17,22),1.43716 # DEPENDENCYPART_ARC
(17,23),-0.28642 # DEPENDENCYPART_ARC
(18,19),-0.572358 # DEPENDENCYPART_ARC
(19,4),-2.87351 # DEPENDENCYPART_ARC
(19,9),-2.48454 # DEPENDENCYPART_ARC
(19,16),-1.58354 # DEPENDENCYPART_ARC
(19,18),-0.56141 # DEPENDENCYPART_ARC
(20,4),-2.505 # DEPENDENCYPART_ARC
(20,15),-1.33237 # DEPENDENCYPART_ARC
(20,16),-1.22478 # DEPENDENCYPART_ARC
(20,18),1.29261 # DEPENDENCYPART_ARC
(20,19),2.36196 # DEPENDENCYPART_ARC
(20,22),-1.57536 # DEPENDENCYPART_ARC
(21,7),-1.02344 # DEPENDENCYPART_ARC
(21,9),-1.62151 # DEPENDENCYPART_ARC
(21,10),-2.09929 # DEPENDENCYPART_ARC
(21,13),-1.5718 # DEPENDENCYPART_ARC
(21,15),-0.859472 # DEPENDENCYPART_ARC
(21,16),-0.975969 # DEPENDENCYPART_ARC
(21,18),-0.827496 # DEPENDENCYPART_ARC
(21,19),-0.171782 # DEPENDENCYPART_ARC
(21,20),0.676311 # DEPENDENCYPART_ARC
(22,5),-2.08988 # DEPENDENCYPART_ARC
(22,10),-2.64178 # DEPENDENCYPART_ARC
(22,11),-1.23988 # DEPENDENCYPART_ARC
(22,13),-2.08194 # DEPENDENCYPART_ARC
(22,15),-0.836604 # DEPENDENCYPART_ARC
(22,16),-1.15965 # DEPENDENCYPART_ARC
(22,18),0.461896 # DEPENDENCYPART_ARC
(22,19),0.70027 # DEPENDENCYPART_ARC
(22,20),0.471292 # DEPENDENCYPART_ARC
(22,21),2.69818 # DEPENDENCYPART_ARC
(22,23),-1.36796 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0348796 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.065791 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0273798 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0287206 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.100007 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0348796 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.115251 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0794832 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0655412 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.115251 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.035239 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0273831 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0346175 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0973385 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0621292 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0886507 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0379421 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0357598 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0886507 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0322687 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.024398 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0990314 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0292611 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.11394 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0778488 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0639068 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.11394 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.024009 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0695087 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0354682 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.106519 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0386055 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0344382 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.106519 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.102992 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0326239 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.107518 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0640381 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0620597 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.107518 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0300744 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.131863 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0696689 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0594141 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.131863 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0886079 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0379415 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0357593 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0886079 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.121056 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.114595 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.245466 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0758692 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.113608 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.115669 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0420754 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0179333 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00914505 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.000185587 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0179333 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0179333 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0115818 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0415038 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0115818 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.0179333 # DEPENDENCYPART_SIBL
(1,2),(1,23),0.000376087 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0470423 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0176445 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0264242 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0470423 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0470423 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0220817 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0489668 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0220817 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.0470423 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.0253638 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0131625 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0482527 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00107909 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.00107909 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0262621 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0834831 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0262621 # DEPENDENCYPART_SIBL
(1,6),(1,22),0.00331195 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.00295916 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.00176712 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0280634 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0280634 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0163766 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0656588 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0163766 # DEPENDENCYPART_SIBL
(1,7),(1,22),-0.0280634 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0507657 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.00413402 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.00413402 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.2307 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.143737 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.2307 # DEPENDENCYPART_SIBL
(1,8),(1,22),-0.000817006 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.0436409 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.00107909 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0262621 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.0834831 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0262621 # DEPENDENCYPART_SIBL
(1,10),(1,22),0.00331195 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.00295916 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0262621 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.0834831 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.0262621 # DEPENDENCYPART_SIBL
(1,12),(1,22),0.00331195 # DEPENDENCYPART_SIBL
(1,12),(1,23),0.00295916 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0716209 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.00163934 # DEPENDENCYPART_SIBL
(1,13),(1,22),0.0160293 # DEPENDENCYPART_SIBL
(1,13),(1,23),0.0398508 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.0203279 # DEPENDENCYPART_SIBL
(1,16),(1,22),0.0443984 # DEPENDENCYPART_SIBL
(1,16),(1,23),0.0441604 # DEPENDENCYPART_SIBL
(1,17),(1,22),0.0160293 # DEPENDENCYPART_SIBL
(1,17),(1,23),0.0398514 # DEPENDENCYPART_SIBL
(1,22),(1,23),0.0131193 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0298424 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00559764 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00149553 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00982412 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.00982412 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0274992 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.020964 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0904565 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0437104 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0437104 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.01356 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00648453 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.014222 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.014222 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0670534 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.377575 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.377575 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0898728 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0137017 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0759602 # DEPENDENCYPART_SIBL
(2,17),(2,23),0.0759608 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.101595 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.116136 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0111049 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0911375 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.116136 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0110651 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0111049 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0110651 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.116136 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.116136 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.100912 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.125717 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0102527 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0659128 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.125717 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.015403 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0102527 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.015403 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.125717 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.125717 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0671221 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.054168 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.114338 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00460093 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0298646 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.054168 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0298646 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.00460093 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.00899198 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0174051 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0597609 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00698172 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.232073 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0485398 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.232073 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.00698172 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.00203069 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0538534 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0193594 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0117728 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.00130345 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0117728 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0193594 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.0193594 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.00879375 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0298646 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.054168 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.0298646 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.00460093 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.00899198 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.0174051 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0934843 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.0036935 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.0193038 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.0193038 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0541493 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.232073 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.00698172 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.00203069 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0538534 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.0193038 # DEPENDENCYPART_SIBL
(3,17),(3,22),0.0193038 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.0541499 # DEPENDENCYPART_SIBL
(3,20),(3,22),0.00899198 # DEPENDENCYPART_SIBL
(3,20),(3,23),0.0174051 # DEPENDENCYPART_SIBL
(3,22),(3,23),0.0275652 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0996078 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.1435 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00245935 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0658442 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00844733 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0133539 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00245935 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.012162 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00245935 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0208678 # DEPENDENCYPART_SIBL
(4,1),(4,14),-3.88696e-05 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.00844733 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0165633 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0208678 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.012162 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.00245935 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0121617 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.00245935 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0926107 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0824243 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0062958 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0372171 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00520393 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00986343 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0062958 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00368545 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0062958 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0185506 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0143613 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00520393 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.00913843 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0185506 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00368545 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0062958 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.00368555 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0062958 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.041059 # DEPENDENCYPART_SIBL
