# _root_ A szaktudás mellett a jövőben fontos lesz az önvédelmi oktatás is , mert a szórólapterjesztőket egyre kevésbé szeretik Budapesten , a kutyák például kimondottan eszik a szerencsétleneket .
#goldHeads=2,3,7,5,7,7,0,10,10,7,7,7,7,15,18,17,18,7,18,7,22,25,25,25,7,27,25,7,
#predictedHeads=2,3,7,5,7,7,0,10,10,7,7,7,7,15,18,17,18,13,18,18,22,25,25,25,18,27,25,7,
(13,18),-0.581697 # DEPENDENCYPART_ARC
(13,19),-1.64057 # DEPENDENCYPART_ARC
(13,20),-0.78804 # DEPENDENCYPART_ARC
(13,22),-1.86542 # DEPENDENCYPART_ARC
(13,23),-1.53794 # DEPENDENCYPART_ARC
(13,24),-1.90244 # DEPENDENCYPART_ARC
(13,25),-1.10981 # DEPENDENCYPART_ARC
(13,27),-2.12275 # DEPENDENCYPART_ARC
(13,28),-0.333144 # DEPENDENCYPART_ARC
(15,8),-1.66266 # DEPENDENCYPART_ARC
(15,9),-1.77512 # DEPENDENCYPART_ARC
(15,10),-2.09938 # DEPENDENCYPART_ARC
(15,11),-1.63851 # DEPENDENCYPART_ARC
(15,12),-1.33253 # DEPENDENCYPART_ARC
(15,13),-1.12677 # DEPENDENCYPART_ARC
(15,14),1.82471 # DEPENDENCYPART_ARC
(15,16),-1.2654 # DEPENDENCYPART_ARC
(16,7),-1.5444 # DEPENDENCYPART_ARC
(16,10),-1.81213 # DEPENDENCYPART_ARC
(16,11),-1.33085 # DEPENDENCYPART_ARC
(16,12),-1.36786 # DEPENDENCYPART_ARC
(16,13),-0.975202 # DEPENDENCYPART_ARC
(16,15),-0.526327 # DEPENDENCYPART_ARC
(16,17),-0.824813 # DEPENDENCYPART_ARC
(16,18),-0.945707 # DEPENDENCYPART_ARC
(16,19),-1.17562 # DEPENDENCYPART_ARC
(16,20),-0.925994 # DEPENDENCYPART_ARC
(16,22),-1.76233 # DEPENDENCYPART_ARC
(16,23),-1.23179 # DEPENDENCYPART_ARC
(16,25),-1.38899 # DEPENDENCYPART_ARC
(16,27),-2.00294 # DEPENDENCYPART_ARC
(16,28),-1.80443 # DEPENDENCYPART_ARC
(17,7),-1.15662 # DEPENDENCYPART_ARC
(17,10),-1.4306 # DEPENDENCYPART_ARC
(17,11),-0.724736 # DEPENDENCYPART_ARC
(17,12),-1.12155 # DEPENDENCYPART_ARC
(17,13),-0.756739 # DEPENDENCYPART_ARC
(17,15),-0.747192 # DEPENDENCYPART_ARC
(17,16),0.258561 # DEPENDENCYPART_ARC
(17,19),-1.18614 # DEPENDENCYPART_ARC
(17,20),-1.02144 # DEPENDENCYPART_ARC
(17,22),-1.6897 # DEPENDENCYPART_ARC
(17,23),-1.39285 # DEPENDENCYPART_ARC
(17,25),-1.53525 # DEPENDENCYPART_ARC
(17,27),-1.94188 # DEPENDENCYPART_ARC
(17,28),-1.96118 # DEPENDENCYPART_ARC
(18,2),-1.96991 # DEPENDENCYPART_ARC
(18,3),-0.961985 # DEPENDENCYPART_ARC
(18,5),-0.999918 # DEPENDENCYPART_ARC
(18,6),-2.10261 # DEPENDENCYPART_ARC
(18,7),-0.365446 # DEPENDENCYPART_ARC
(18,8),-1.45354 # DEPENDENCYPART_ARC
(18,9),-1.84039 # DEPENDENCYPART_ARC
(18,10),-0.895607 # DEPENDENCYPART_ARC
(18,11),-0.00841428 # DEPENDENCYPART_ARC
(18,12),-0.162668 # DEPENDENCYPART_ARC
(18,13),-0.229262 # DEPENDENCYPART_ARC
(18,14),-1.2771 # DEPENDENCYPART_ARC
(18,15),1.89814 # DEPENDENCYPART_ARC
(18,16),1.24912 # DEPENDENCYPART_ARC
(18,17),2.22421 # DEPENDENCYPART_ARC
(18,19),2.13061 # DEPENDENCYPART_ARC
(18,20),0.632319 # DEPENDENCYPART_ARC
(18,21),-1.46146 # DEPENDENCYPART_ARC
(18,22),-0.0820874 # DEPENDENCYPART_ARC
(18,23),-0.26986 # DEPENDENCYPART_ARC
(18,24),-0.213308 # DEPENDENCYPART_ARC
(18,25),-0.0217658 # DEPENDENCYPART_ARC
(18,26),-1.99382 # DEPENDENCYPART_ARC
(18,27),0.180394 # DEPENDENCYPART_ARC
(18,28),-0.520687 # DEPENDENCYPART_ARC
(19,14),-1.43418 # DEPENDENCYPART_ARC
(19,16),-1.46217 # DEPENDENCYPART_ARC
(19,17),-1.00134 # DEPENDENCYPART_ARC
(19,20),-0.574573 # DEPENDENCYPART_ARC
(19,22),-1.43567 # DEPENDENCYPART_ARC
(19,24),-1.92976 # DEPENDENCYPART_ARC
(19,25),-1.66233 # DEPENDENCYPART_ARC
(19,27),-2.2268 # DEPENDENCYPART_ARC
(21,24),-1.09888 # DEPENDENCYPART_ARC
(22,14),-1.77424 # DEPENDENCYPART_ARC
(22,19),-1.87302 # DEPENDENCYPART_ARC
(22,21),1.73995 # DEPENDENCYPART_ARC
(22,23),-1.23486 # DEPENDENCYPART_ARC
(22,24),-1.6844 # DEPENDENCYPART_ARC
(22,27),-2.02266 # DEPENDENCYPART_ARC
(23,7),-1.49487 # DEPENDENCYPART_ARC
(23,13),-1.25687 # DEPENDENCYPART_ARC
(23,15),-2.04887 # DEPENDENCYPART_ARC
(23,16),-1.30321 # DEPENDENCYPART_ARC
(23,17),-1.28361 # DEPENDENCYPART_ARC
(23,18),-1.4057 # DEPENDENCYPART_ARC
(23,19),-1.49748 # DEPENDENCYPART_ARC
(23,20),-1.05671 # DEPENDENCYPART_ARC
(23,22),-0.434602 # DEPENDENCYPART_ARC
(23,24),-0.855723 # DEPENDENCYPART_ARC
(23,27),-1.11055 # DEPENDENCYPART_ARC
(24,13),-1.536 # DEPENDENCYPART_ARC
(24,15),-2.42084 # DEPENDENCYPART_ARC
(24,16),-1.7259 # DEPENDENCYPART_ARC
(24,17),-1.6342 # DEPENDENCYPART_ARC
(24,18),-1.55879 # DEPENDENCYPART_ARC
(24,19),-1.7037 # DEPENDENCYPART_ARC
(24,20),-1.1436 # DEPENDENCYPART_ARC
(24,21),-1.25035 # DEPENDENCYPART_ARC
(24,22),-1.53561 # DEPENDENCYPART_ARC
(24,23),0.563639 # DEPENDENCYPART_ARC
(24,27),-1.83116 # DEPENDENCYPART_ARC
(24,28),-1.2172 # DEPENDENCYPART_ARC
(25,2),-2.38665 # DEPENDENCYPART_ARC
(25,3),-1.35427 # DEPENDENCYPART_ARC
(25,5),-1.29059 # DEPENDENCYPART_ARC
(25,6),-2.26913 # DEPENDENCYPART_ARC
(25,7),-0.430879 # DEPENDENCYPART_ARC
(25,8),-1.8421 # DEPENDENCYPART_ARC
(25,9),-2.62362 # DEPENDENCYPART_ARC
(25,10),-1.73262 # DEPENDENCYPART_ARC
(25,11),-0.765337 # DEPENDENCYPART_ARC
(25,12),-0.783295 # DEPENDENCYPART_ARC
(25,13),-0.652173 # DEPENDENCYPART_ARC
(25,15),0.411721 # DEPENDENCYPART_ARC
(25,16),-0.779341 # DEPENDENCYPART_ARC
(25,17),-0.622559 # DEPENDENCYPART_ARC
(25,18),-0.510535 # DEPENDENCYPART_ARC
(25,19),-0.285748 # DEPENDENCYPART_ARC
(25,20),0.0229598 # DEPENDENCYPART_ARC
(25,21),-1.30085 # DEPENDENCYPART_ARC
(25,22),1.08749 # DEPENDENCYPART_ARC
(25,23),1.1749 # DEPENDENCYPART_ARC
(25,24),2.03685 # DEPENDENCYPART_ARC
(25,26),-1.16106 # DEPENDENCYPART_ARC
(25,27),2.08854 # DEPENDENCYPART_ARC
(25,28),-0.274428 # DEPENDENCYPART_ARC
(27,21),-1.37229 # DEPENDENCYPART_ARC
(27,22),-2.63837 # DEPENDENCYPART_ARC
(27,24),-3.12564 # DEPENDENCYPART_ARC
(27,26),1.74443 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0236754 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0328589 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.111733 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.102992 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.119466 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0585901 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0539663 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0326239 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.107518 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.00953004 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.102934 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0891292 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0859127 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.00314576 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.101268 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.00358448 # DEPENDENCYPART_SIBL
(0,3),(0,24),0.0095603 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.101268 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0883553 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0961831 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0893869 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0352593 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0825721 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.037342 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.0622752 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.0825721 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.233368 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.229043 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.112211 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.244327 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.104369 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.132289 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.244327 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.152932 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0627686 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.131863 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.0578492 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.0300744 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.131863 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0758434 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.061853 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.0728417 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.0700781 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.061853 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.113519 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.0638206 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.0326062 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.113519 # DEPENDENCYPART_SIBL
(0,18),(0,23),-0.105137 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.133025 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.245466 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.0354091 # DEPENDENCYPART_SIBL
(0,23),(0,25),-0.107765 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.0886079 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00332587 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.100271 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0131421 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0193764 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0043803 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0141127 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0131421 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0395576 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0131421 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.000331169 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.000331169 # DEPENDENCYPART_SIBL
(3,1),(3,28),-0.115457 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0488886 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0104794 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0364939 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0117917 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0503813 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0540985 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0473702 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0252785 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0252785 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.168114 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0881869 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0845859 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0883917 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0879677 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.146066 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0879677 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.088697 # DEPENDENCYPART_SIBL
(3,5),(3,25),0.088697 # DEPENDENCYPART_SIBL
(3,5),(3,28),0.0912498 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0448217 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00210843 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0482709 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0627648 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0482709 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0505005 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.0505005 # DEPENDENCYPART_SIBL
(3,6),(3,28),0.0801566 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0216804 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0559572 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.115289 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0559572 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0382598 # DEPENDENCYPART_SIBL
(3,7),(3,25),0.0382598 # DEPENDENCYPART_SIBL
(3,7),(3,28),0.0945853 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0486133 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0546853 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0486133 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0444405 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.0444405 # DEPENDENCYPART_SIBL
(3,9),(3,28),0.068313 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.135666 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0864367 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0891882 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.0891882 # DEPENDENCYPART_SIBL
(3,10),(3,28),0.0858249 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.117974 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.296344 # DEPENDENCYPART_SIBL
(3,12),(3,25),0.296344 # DEPENDENCYPART_SIBL
(3,12),(3,28),0.0937275 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0891882 # DEPENDENCYPART_SIBL
(3,15),(3,25),0.0891882 # DEPENDENCYPART_SIBL
(3,15),(3,28),0.0908563 # DEPENDENCYPART_SIBL
(3,18),(3,25),0.0371215 # DEPENDENCYPART_SIBL
(3,18),(3,28),0.112553 # DEPENDENCYPART_SIBL
(3,25),(3,28),0.112553 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0164237 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0906557 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.659438 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00952262 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0880689 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.317977 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0459967 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.304246 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0453132 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00952262 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.065491 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.13312 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.232114 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0637571 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0192138 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0173148 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.00759169 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0100487 # DEPENDENCYPART_SIBL
(6,1),(6,25),-0.0100487 # DEPENDENCYPART_SIBL
(6,1),(6,28),-0.0446738 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.17098 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0399189 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0728889 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.017175 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00800232 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0183972 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.00958036 # DEPENDENCYPART_SIBL
(6,2),(6,25),0.00958036 # DEPENDENCYPART_SIBL
(6,2),(6,28),0.0585391 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0212004 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.16842 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0693106 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0329833 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.018673 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0138438 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.0138438 # DEPENDENCYPART_SIBL
(6,3),(6,28),0.0990785 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0637571 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0192138 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0173148 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00759169 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0100487 # DEPENDENCYPART_SIBL
(6,4),(6,25),-0.0100487 # DEPENDENCYPART_SIBL
(6,4),(6,28),-0.0446738 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0208449 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00735511 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0208972 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0106896 # DEPENDENCYPART_SIBL
(6,5),(6,25),0.0106896 # DEPENDENCYPART_SIBL
(6,5),(6,28),0.0592024 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.024536 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0794331 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.041961 # DEPENDENCYPART_SIBL
(6,10),(6,25),0.041961 # DEPENDENCYPART_SIBL
(6,10),(6,28),0.00302607 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.00621317 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0127254 # DEPENDENCYPART_SIBL
(6,11),(6,25),0.0127254 # DEPENDENCYPART_SIBL
(6,11),(6,28),-0.0725879 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.372812 # DEPENDENCYPART_SIBL
(6,12),(6,25),0.372812 # DEPENDENCYPART_SIBL
(6,12),(6,28),0.0803835 # DEPENDENCYPART_SIBL
(6,18),(6,25),0.0112643 # DEPENDENCYPART_SIBL
(6,18),(6,28),0.0677318 # DEPENDENCYPART_SIBL
(6,25),(6,28),0.0677318 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0295127 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0140254 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.133383 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0439763 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0111866 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0491457 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0131892 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0177339 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.041386 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0338631 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0331373 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0228389 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.013283 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0129002 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0174976 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.00201169 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.00693849 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0338631 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.013283 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.00389211 # DEPENDENCYPART_SIBL
(7,1),(7,24),0.0131892 # DEPENDENCYPART_SIBL
