# _root_ Érdekes helyzet volt : a vezetőség nem nagyon éreztette , hogy szükség van rám , és én se nagyon forszíroztam a dolgot .
#goldHeads=2,3,0,3,6,9,9,9,16,9,9,13,9,13,16,3,20,20,20,16,22,20,3,
#predictedHeads=2,3,16,3,6,9,9,9,16,9,9,13,9,13,16,0,20,20,20,16,22,20,16,
(7,9),-0.884726 # DEPENDENCYPART_ARC
(7,10),-0.855478 # DEPENDENCYPART_ARC
(7,11),-0.975355 # DEPENDENCYPART_ARC
(7,12),-1.63499 # DEPENDENCYPART_ARC
(7,13),-1.33511 # DEPENDENCYPART_ARC
(7,16),-0.951203 # DEPENDENCYPART_ARC
(7,20),-1.5926 # DEPENDENCYPART_ARC
(7,23),-1.9476 # DEPENDENCYPART_ARC
(8,3),-1.34018 # DEPENDENCYPART_ARC
(8,4),-1.22957 # DEPENDENCYPART_ARC
(8,6),-0.993671 # DEPENDENCYPART_ARC
(8,7),-0.107755 # DEPENDENCYPART_ARC
(8,10),-1.14745 # DEPENDENCYPART_ARC
(8,12),-1.63091 # DEPENDENCYPART_ARC
(8,14),-1.42364 # DEPENDENCYPART_ARC
(8,20),-1.68353 # DEPENDENCYPART_ARC
(8,22),-2.41394 # DEPENDENCYPART_ARC
(9,1),-1.53749 # DEPENDENCYPART_ARC
(9,2),0.138727 # DEPENDENCYPART_ARC
(9,3),-0.0993584 # DEPENDENCYPART_ARC
(9,4),-0.13697 # DEPENDENCYPART_ARC
(9,5),-1.28218 # DEPENDENCYPART_ARC
(9,6),1.30326 # DEPENDENCYPART_ARC
(9,7),1.54659 # DEPENDENCYPART_ARC
(9,8),2.28514 # DEPENDENCYPART_ARC
(9,10),0.830134 # DEPENDENCYPART_ARC
(9,11),2.00563 # DEPENDENCYPART_ARC
(9,12),-0.980261 # DEPENDENCYPART_ARC
(9,13),1.0496 # DEPENDENCYPART_ARC
(9,14),-0.406532 # DEPENDENCYPART_ARC
(9,15),-0.316886 # DEPENDENCYPART_ARC
(9,16),-0.607268 # DEPENDENCYPART_ARC
(9,17),-1.8047 # DEPENDENCYPART_ARC
(9,18),-1.4426 # DEPENDENCYPART_ARC
(9,19),-1.63317 # DEPENDENCYPART_ARC
(9,20),-0.792132 # DEPENDENCYPART_ARC
(9,22),-2.47314 # DEPENDENCYPART_ARC
(9,23),-1.02153 # DEPENDENCYPART_ARC
(11,1),-1.25622 # DEPENDENCYPART_ARC
(11,2),-1.77577 # DEPENDENCYPART_ARC
(11,3),-3.11404 # DEPENDENCYPART_ARC
(11,4),-1.46 # DEPENDENCYPART_ARC
(11,6),-1.01265 # DEPENDENCYPART_ARC
(11,7),-0.88338 # DEPENDENCYPART_ARC
(11,8),-0.615405 # DEPENDENCYPART_ARC
(11,9),-2.0067 # DEPENDENCYPART_ARC
(11,10),0.278684 # DEPENDENCYPART_ARC
(11,12),-1.11959 # DEPENDENCYPART_ARC
(11,13),-0.26001 # DEPENDENCYPART_ARC
(11,15),-1.02445 # DEPENDENCYPART_ARC
(11,16),-1.09183 # DEPENDENCYPART_ARC
(11,17),-1.54414 # DEPENDENCYPART_ARC
(11,19),-1.59852 # DEPENDENCYPART_ARC
(11,20),-1.43902 # DEPENDENCYPART_ARC
(11,23),-0.566622 # DEPENDENCYPART_ARC
(12,7),-2.13982 # DEPENDENCYPART_ARC
(12,8),-2.03387 # DEPENDENCYPART_ARC
(12,10),-1.23195 # DEPENDENCYPART_ARC
(12,11),-0.92368 # DEPENDENCYPART_ARC
(12,22),-2.39429 # DEPENDENCYPART_ARC
(13,1),-2.21369 # DEPENDENCYPART_ARC
(13,2),-0.705432 # DEPENDENCYPART_ARC
(13,3),-1.09685 # DEPENDENCYPART_ARC
(13,4),-0.70654 # DEPENDENCYPART_ARC
(13,5),-1.91525 # DEPENDENCYPART_ARC
(13,6),-0.334099 # DEPENDENCYPART_ARC
(13,7),-0.543074 # DEPENDENCYPART_ARC
(13,8),-0.311428 # DEPENDENCYPART_ARC
(13,9),-0.635863 # DEPENDENCYPART_ARC
(13,10),-0.105008 # DEPENDENCYPART_ARC
(13,11),0.101233 # DEPENDENCYPART_ARC
(13,12),2.44788 # DEPENDENCYPART_ARC
(13,14),1.9535 # DEPENDENCYPART_ARC
(13,15),0.31426 # DEPENDENCYPART_ARC
(13,16),-0.211288 # DEPENDENCYPART_ARC
(13,17),-0.514922 # DEPENDENCYPART_ARC
(13,18),-0.574639 # DEPENDENCYPART_ARC
(13,19),-0.853288 # DEPENDENCYPART_ARC
(13,20),-0.117027 # DEPENDENCYPART_ARC
(13,21),-2.29593 # DEPENDENCYPART_ARC
(13,22),-1.8928 # DEPENDENCYPART_ARC
(13,23),-1.06697 # DEPENDENCYPART_ARC
(14,3),-1.123 # DEPENDENCYPART_ARC
(14,9),-1.09238 # DEPENDENCYPART_ARC
(14,10),-0.958893 # DEPENDENCYPART_ARC
(14,11),-0.495019 # DEPENDENCYPART_ARC
(14,12),-0.422451 # DEPENDENCYPART_ARC
(14,13),-0.0921618 # DEPENDENCYPART_ARC
(14,15),-0.815859 # DEPENDENCYPART_ARC
(14,19),-1.46467 # DEPENDENCYPART_ARC
(14,20),-1.30206 # DEPENDENCYPART_ARC
(14,22),-2.10182 # DEPENDENCYPART_ARC
(16,1),-2.42897 # DEPENDENCYPART_ARC
(16,2),-2.84665 # DEPENDENCYPART_ARC
(16,3),-1.20515 # DEPENDENCYPART_ARC
(16,4),-1.52877 # DEPENDENCYPART_ARC
(16,6),-2.52174 # DEPENDENCYPART_ARC
(16,7),-2.00287 # DEPENDENCYPART_ARC
(16,8),-1.90357 # DEPENDENCYPART_ARC
(16,9),-0.812411 # DEPENDENCYPART_ARC
(16,10),-1.15527 # DEPENDENCYPART_ARC
(16,11),-0.966329 # DEPENDENCYPART_ARC
(16,12),-1.8504 # DEPENDENCYPART_ARC
(16,13),0.22681 # DEPENDENCYPART_ARC
(16,14),-0.742487 # DEPENDENCYPART_ARC
(16,15),0.449579 # DEPENDENCYPART_ARC
(16,18),-1.17551 # DEPENDENCYPART_ARC
(16,19),-1.2003 # DEPENDENCYPART_ARC
(16,20),0.213745 # DEPENDENCYPART_ARC
(16,22),-1.84106 # DEPENDENCYPART_ARC
(16,23),0.39305 # DEPENDENCYPART_ARC
(17,3),-0.715061 # DEPENDENCYPART_ARC
(17,9),-0.906181 # DEPENDENCYPART_ARC
(17,11),-0.845879 # DEPENDENCYPART_ARC
(17,13),-0.606028 # DEPENDENCYPART_ARC
(17,15),-1.13097 # DEPENDENCYPART_ARC
(17,16),-0.288061 # DEPENDENCYPART_ARC
(17,20),-1.29541 # DEPENDENCYPART_ARC
(17,22),-1.82484 # DEPENDENCYPART_ARC
(17,23),-1.27173 # DEPENDENCYPART_ARC
(18,12),-1.82251 # DEPENDENCYPART_ARC
(18,15),-1.13093 # DEPENDENCYPART_ARC
(18,16),-0.978366 # DEPENDENCYPART_ARC
(18,22),-1.32666 # DEPENDENCYPART_ARC
(18,23),-1.52884 # DEPENDENCYPART_ARC
(19,9),-1.61922 # DEPENDENCYPART_ARC
(19,13),-1.41047 # DEPENDENCYPART_ARC
(19,15),-1.35964 # DEPENDENCYPART_ARC
(19,16),-0.872586 # DEPENDENCYPART_ARC
(19,18),-0.224077 # DEPENDENCYPART_ARC
(19,22),-1.25703 # DEPENDENCYPART_ARC
(20,1),-2.81111 # DEPENDENCYPART_ARC
(20,2),-2.21139 # DEPENDENCYPART_ARC
(20,3),-0.72606 # DEPENDENCYPART_ARC
(20,4),-0.726927 # DEPENDENCYPART_ARC
(20,6),-2.02325 # DEPENDENCYPART_ARC
(20,7),-1.58457 # DEPENDENCYPART_ARC
(20,8),-1.54277 # DEPENDENCYPART_ARC
(20,9),-0.878352 # DEPENDENCYPART_ARC
(20,10),-0.810379 # DEPENDENCYPART_ARC
(20,11),-0.474028 # DEPENDENCYPART_ARC
(20,12),-1.11515 # DEPENDENCYPART_ARC
(20,13),-0.440763 # DEPENDENCYPART_ARC
(20,14),-0.470159 # DEPENDENCYPART_ARC
(20,15),-0.397352 # DEPENDENCYPART_ARC
(20,16),-0.180261 # DEPENDENCYPART_ARC
(20,17),1.03107 # DEPENDENCYPART_ARC
(20,18),1.41096 # DEPENDENCYPART_ARC
(20,19),2.08452 # DEPENDENCYPART_ARC
(20,21),-0.761971 # DEPENDENCYPART_ARC
(20,22),1.91857 # DEPENDENCYPART_ARC
(20,23),-0.17913 # DEPENDENCYPART_ARC
(22,17),-1.81683 # DEPENDENCYPART_ARC
(22,18),-1.66389 # DEPENDENCYPART_ARC
(22,19),-1.45304 # DEPENDENCYPART_ARC
(22,21),1.68328 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0913642 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0396953 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0886079 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.083936 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0950615 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.035195 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0987385 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0187185 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0352367 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0886079 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.11817 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.26169 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.270459 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.266155 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.121979 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.222834 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.099482 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.122911 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.26169 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.112223 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.11733 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.105997 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0589278 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.131884 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0340302 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0580155 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.112223 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.265529 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.249574 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.113399 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.2208 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.101054 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.114331 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.245466 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.14977 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0851321 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.214429 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0697965 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0901523 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.130334 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.106545 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.236433 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.100496 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.107477 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.242254 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.120218 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.0291066 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.062604 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.113688 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0491666 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0712366 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.12355 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0261413 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.10725 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.114678 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0291112 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0122363 # DEPENDENCYPART_SIBL
(1,7),(1,23),0.0351248 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0301576 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00463627 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0595703 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0160035 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.059555 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0397858 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0146676 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0664996 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0764155 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00422119 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0553174 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0321566 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0277602 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0175583 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.0428354 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0553174 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0836137 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0521358 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0764155 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.00422119 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0125998 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.000983257 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0427043 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0486385 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0640568 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0805146 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0219422 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00399682 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00496437 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.00734536 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0333436 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0334623 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00399682 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0753396 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0377218 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0805146 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0219422 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0106 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0820574 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0810827 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0697662 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0111382 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.323904 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0256787 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.275227 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0839525 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.354704 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0356625 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0256787 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.03284 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0602615 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0111382 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.323904 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.444518 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0276071 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00693957 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0210994 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00569048 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.013207 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0901668 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0288436 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00292164 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00665746 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.013207 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.00248321 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0119363 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0210994 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.00569048 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.021544 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.000552232 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0204344 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.015728 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0123802 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0631564 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0956641 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0607692 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.000863713 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0123802 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0188023 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0356009 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0204344 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.015728 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.00504017 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0125554 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.010885 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0067232 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0621393 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.000744137 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0383948 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0362112 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0067232 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0666651 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0570585 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0125554 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.010885 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0174797 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00795138 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0241855 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.045038 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0210283 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.019672 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0147798 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0241855 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0758782 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.00727192 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.038423 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.00795138 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.019285 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0392557 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00269534 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0533211 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.00382012 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.00633124 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0392557 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.00171577 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0104565 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0199785 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.000111239 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0129276 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.851834 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.000396356 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.286634 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.100384 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0363566 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0197861 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.130952 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0701361 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.258579 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0721213 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0450054 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.132223 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0497198 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0118879 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0406266 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0598782 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0270966 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.152465 # DEPENDENCYPART_SIBL
(3,11),(3,23),0.161091 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.127045 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0434887 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.104047 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.052859 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0799533 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.023918 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0823297 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.0779314 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.00194445 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0264765 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0288539 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0148433 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0155917 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.00475099 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0463183 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0160252 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0645562 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0193881 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0263068 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.00242297 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.00352191 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0197861 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.130952 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0701361 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.258579 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0721213 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0453204 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0092181 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.0232957 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.011275 # DEPENDENCYPART_SIBL
(3,18),(3,19),0.0087121 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.0300959 # DEPENDENCYPART_SIBL
(3,18),(3,23),0.0492155 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.00795138 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.019285 # DEPENDENCYPART_SIBL
(3,20),(3,23),0.0129276 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.407698 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.318089 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.117113 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0308043 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00176668 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0330186 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.160679 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0490788 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0422978 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.0308043 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.180967 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0254447 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.018646 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.072356 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0149163 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0481731 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0250404 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0136542 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.018646 # DEPENDENCYPART_SIBL
