# _root_ Addig is egy sebtében összehívott " kinevezési bizottság " kapta feladatul , hogy november 30-áig három jelölt nevét tegye le a végső döntést meghozó kuratórium asztalára , ki legyen az új művészeti vezető .
#goldHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,19,29,19,33,33,33,29,10,
#predictedHeads=10,10,8,5,8,8,8,10,8,0,10,10,10,15,19,17,18,19,10,19,23,23,24,25,26,19,10,29,10,33,33,33,29,10,
(5,7),-1.36781 # DEPENDENCYPART_ARC
(5,8),-1.21082 # DEPENDENCYPART_ARC
(5,9),-0.698852 # DEPENDENCYPART_ARC
(5,10),-1.04301 # DEPENDENCYPART_ARC
(5,11),-1.58951 # DEPENDENCYPART_ARC
(5,19),-1.65627 # DEPENDENCYPART_ARC
(5,29),-1.69259 # DEPENDENCYPART_ARC
(5,34),-1.25322 # DEPENDENCYPART_ARC
(7,1),-0.991516 # DEPENDENCYPART_ARC
(7,2),-0.823925 # DEPENDENCYPART_ARC
(7,3),-1.11866 # DEPENDENCYPART_ARC
(7,4),0.0894004 # DEPENDENCYPART_ARC
(7,5),-0.219853 # DEPENDENCYPART_ARC
(7,6),0.154232 # DEPENDENCYPART_ARC
(8,1),-1.37307 # DEPENDENCYPART_ARC
(8,2),-0.963144 # DEPENDENCYPART_ARC
(8,3),0.542335 # DEPENDENCYPART_ARC
(8,4),-0.762045 # DEPENDENCYPART_ARC
(8,5),0.623541 # DEPENDENCYPART_ARC
(8,6),0.861102 # DEPENDENCYPART_ARC
(8,7),2.47324 # DEPENDENCYPART_ARC
(8,9),-0.0455005 # DEPENDENCYPART_ARC
(8,10),-0.839236 # DEPENDENCYPART_ARC
(8,11),-1.45686 # DEPENDENCYPART_ARC
(8,12),-0.831946 # DEPENDENCYPART_ARC
(8,19),-1.79128 # DEPENDENCYPART_ARC
(8,26),-2.50248 # DEPENDENCYPART_ARC
(8,27),-0.714929 # DEPENDENCYPART_ARC
(8,29),-1.95867 # DEPENDENCYPART_ARC
(8,34),-1.45834 # DEPENDENCYPART_ARC
(10,1),-0.244224 # DEPENDENCYPART_ARC
(10,2),0.0234018 # DEPENDENCYPART_ARC
(10,3),-1.24241 # DEPENDENCYPART_ARC
(10,4),-0.337372 # DEPENDENCYPART_ARC
(10,5),-1.40827 # DEPENDENCYPART_ARC
(10,6),-0.0941173 # DEPENDENCYPART_ARC
(10,7),-0.752908 # DEPENDENCYPART_ARC
(10,8),0.607648 # DEPENDENCYPART_ARC
(10,9),0.781342 # DEPENDENCYPART_ARC
(10,11),2.04551 # DEPENDENCYPART_ARC
(10,12),0.577907 # DEPENDENCYPART_ARC
(10,13),1.49409 # DEPENDENCYPART_ARC
(10,14),-0.530106 # DEPENDENCYPART_ARC
(10,15),-0.372106 # DEPENDENCYPART_ARC
(10,16),-1.36345 # DEPENDENCYPART_ARC
(10,17),-1.01041 # DEPENDENCYPART_ARC
(10,18),0.0228758 # DEPENDENCYPART_ARC
(10,19),0.733111 # DEPENDENCYPART_ARC
(10,20),-0.819785 # DEPENDENCYPART_ARC
(10,22),-1.98976 # DEPENDENCYPART_ARC
(10,23),-1.21123 # DEPENDENCYPART_ARC
(10,24),-2.0377 # DEPENDENCYPART_ARC
(10,25),-1.65361 # DEPENDENCYPART_ARC
(10,26),-0.614552 # DEPENDENCYPART_ARC
(10,27),0.242263 # DEPENDENCYPART_ARC
(10,28),-2.71981 # DEPENDENCYPART_ARC
(10,29),-0.0974196 # DEPENDENCYPART_ARC
(10,31),-2.41125 # DEPENDENCYPART_ARC
(10,33),-1.74365 # DEPENDENCYPART_ARC
(10,34),0.216681 # DEPENDENCYPART_ARC
(11,3),-0.932744 # DEPENDENCYPART_ARC
(11,5),-1.69721 # DEPENDENCYPART_ARC
(11,6),-0.706203 # DEPENDENCYPART_ARC
(11,7),-1.15384 # DEPENDENCYPART_ARC
(11,8),-1.74565 # DEPENDENCYPART_ARC
(11,9),-0.793673 # DEPENDENCYPART_ARC
(11,10),0.0838409 # DEPENDENCYPART_ARC
(11,12),-0.700343 # DEPENDENCYPART_ARC
(11,15),-2.54901 # DEPENDENCYPART_ARC
(11,19),-2.17047 # DEPENDENCYPART_ARC
(13,1),-1.43124 # DEPENDENCYPART_ARC
(13,2),-0.668064 # DEPENDENCYPART_ARC
(13,4),-1.26581 # DEPENDENCYPART_ARC
(13,5),-1.21059 # DEPENDENCYPART_ARC
(13,6),-1.42112 # DEPENDENCYPART_ARC
(13,7),-1.07202 # DEPENDENCYPART_ARC
(13,8),-1.43936 # DEPENDENCYPART_ARC
(13,9),-1.25345 # DEPENDENCYPART_ARC
(13,10),-2.01899 # DEPENDENCYPART_ARC
(13,11),-0.571505 # DEPENDENCYPART_ARC
(13,12),0.0880234 # DEPENDENCYPART_ARC
(13,14),-1.20596 # DEPENDENCYPART_ARC
(13,15),-1.64707 # DEPENDENCYPART_ARC
(13,17),-1.81836 # DEPENDENCYPART_ARC
(13,18),-2.17615 # DEPENDENCYPART_ARC
(13,19),-0.792849 # DEPENDENCYPART_ARC
(13,20),-1.63725 # DEPENDENCYPART_ARC
(13,27),-1.22661 # DEPENDENCYPART_ARC
(13,29),-1.77418 # DEPENDENCYPART_ARC
(13,34),-1.13622 # DEPENDENCYPART_ARC
(14,3),-2.03032 # DEPENDENCYPART_ARC
(14,11),-2.38207 # DEPENDENCYPART_ARC
(14,12),-1.22082 # DEPENDENCYPART_ARC
(14,13),-0.875427 # DEPENDENCYPART_ARC
(14,18),-1.98759 # DEPENDENCYPART_ARC
(15,3),-1.76377 # DEPENDENCYPART_ARC
(15,5),-2.78965 # DEPENDENCYPART_ARC
(15,6),-1.13211 # DEPENDENCYPART_ARC
(15,7),-2.45069 # DEPENDENCYPART_ARC
(15,8),-1.23291 # DEPENDENCYPART_ARC
(15,9),-1.19472 # DEPENDENCYPART_ARC
(15,10),-2.15149 # DEPENDENCYPART_ARC
(15,11),-2.07125 # DEPENDENCYPART_ARC
(15,12),-0.437336 # DEPENDENCYPART_ARC
(15,13),-0.41448 # DEPENDENCYPART_ARC
(15,14),2.57905 # DEPENDENCYPART_ARC
(15,16),-1.23497 # DEPENDENCYPART_ARC
(15,17),-1.27533 # DEPENDENCYPART_ARC
(15,18),-1.83802 # DEPENDENCYPART_ARC
(15,19),-2.22703 # DEPENDENCYPART_ARC
(15,25),-1.86389 # DEPENDENCYPART_ARC
(15,26),-2.51364 # DEPENDENCYPART_ARC
(15,29),-2.56785 # DEPENDENCYPART_ARC
(15,33),-2.18605 # DEPENDENCYPART_ARC
(15,34),-1.35472 # DEPENDENCYPART_ARC
(16,13),-0.549726 # DEPENDENCYPART_ARC
(16,14),-0.723266 # DEPENDENCYPART_ARC
(16,15),-0.671553 # DEPENDENCYPART_ARC
(16,34),-1.26261 # DEPENDENCYPART_ARC
(17,3),-1.52214 # DEPENDENCYPART_ARC
(17,11),-2.86082 # DEPENDENCYPART_ARC
(17,12),-0.834707 # DEPENDENCYPART_ARC
(17,13),-1.02064 # DEPENDENCYPART_ARC
(17,14),-0.548133 # DEPENDENCYPART_ARC
(17,15),-1.61836 # DEPENDENCYPART_ARC
(17,16),1.83451 # DEPENDENCYPART_ARC
(18,3),-2.00788 # DEPENDENCYPART_ARC
(18,4),-1.59036 # DEPENDENCYPART_ARC
(18,8),-1.37063 # DEPENDENCYPART_ARC
(18,11),-2.7218 # DEPENDENCYPART_ARC
(18,12),-0.458184 # DEPENDENCYPART_ARC
(18,13),-0.851608 # DEPENDENCYPART_ARC
(18,14),0.72246 # DEPENDENCYPART_ARC
(18,15),-2.53561 # DEPENDENCYPART_ARC
(18,16),0.916036 # DEPENDENCYPART_ARC
(18,17),3.13098 # DEPENDENCYPART_ARC
(18,23),-2.04101 # DEPENDENCYPART_ARC
(18,26),-2.58217 # DEPENDENCYPART_ARC
(18,33),-2.39982 # DEPENDENCYPART_ARC
(19,1),-1.43944 # DEPENDENCYPART_ARC
(19,2),-1.40013 # DEPENDENCYPART_ARC
(19,4),-1.88354 # DEPENDENCYPART_ARC
(19,6),-1.23052 # DEPENDENCYPART_ARC
(19,7),-2.51043 # DEPENDENCYPART_ARC
(19,8),-1.68779 # DEPENDENCYPART_ARC
(19,9),-0.998651 # DEPENDENCYPART_ARC
(19,10),-1.34971 # DEPENDENCYPART_ARC
(19,11),-0.789362 # DEPENDENCYPART_ARC
(19,12),-0.378826 # DEPENDENCYPART_ARC
(19,13),-0.782773 # DEPENDENCYPART_ARC
(19,14),0.118593 # DEPENDENCYPART_ARC
(19,15),0.652377 # DEPENDENCYPART_ARC
(19,16),-0.450915 # DEPENDENCYPART_ARC
(19,17),0.688975 # DEPENDENCYPART_ARC
(19,18),2.44215 # DEPENDENCYPART_ARC
(19,20),1.67885 # DEPENDENCYPART_ARC
(19,21),-1.14755 # DEPENDENCYPART_ARC
(19,22),-0.318442 # DEPENDENCYPART_ARC
(19,23),0.796325 # DEPENDENCYPART_ARC
(19,24),-0.556275 # DEPENDENCYPART_ARC
(19,25),-0.225341 # DEPENDENCYPART_ARC
(19,26),0.774524 # DEPENDENCYPART_ARC
(19,27),0.512711 # DEPENDENCYPART_ARC
(19,28),-1.45436 # DEPENDENCYPART_ARC
(19,29),0.433229 # DEPENDENCYPART_ARC
(19,31),-1.72524 # DEPENDENCYPART_ARC
(19,32),-1.67169 # DEPENDENCYPART_ARC
(19,33),-1.18162 # DEPENDENCYPART_ARC
(19,34),-0.681398 # DEPENDENCYPART_ARC
(20,14),-1.1878 # DEPENDENCYPART_ARC
(20,15),-1.09203 # DEPENDENCYPART_ARC
(20,17),-0.719184 # DEPENDENCYPART_ARC
(20,18),-0.63508 # DEPENDENCYPART_ARC
(20,23),-0.94829 # DEPENDENCYPART_ARC
(20,25),-1.18856 # DEPENDENCYPART_ARC
(20,26),-1.16648 # DEPENDENCYPART_ARC
(20,27),-0.831669 # DEPENDENCYPART_ARC
(20,33),-1.81114 # DEPENDENCYPART_ARC
(21,22),-0.534243 # DEPENDENCYPART_ARC
(21,24),-1.00317 # DEPENDENCYPART_ARC
(22,20),-1.18578 # DEPENDENCYPART_ARC
(22,21),-0.604241 # DEPENDENCYPART_ARC
(23,16),-1.21986 # DEPENDENCYPART_ARC
(23,21),1.28553 # DEPENDENCYPART_ARC
(23,22),2.45339 # DEPENDENCYPART_ARC
(23,25),-1.48542 # DEPENDENCYPART_ARC
(23,26),-1.99394 # DEPENDENCYPART_ARC
(23,27),-0.769539 # DEPENDENCYPART_ARC
(23,29),-1.98894 # DEPENDENCYPART_ARC
(23,33),-2.22348 # DEPENDENCYPART_ARC
(24,2),-1.14838 # DEPENDENCYPART_ARC
(24,14),-1.9725 # DEPENDENCYPART_ARC
(24,15),-1.06706 # DEPENDENCYPART_ARC
(24,16),-1.36332 # DEPENDENCYPART_ARC
(24,17),-1.75241 # DEPENDENCYPART_ARC
(24,18),-0.988394 # DEPENDENCYPART_ARC
(24,21),-0.875793 # DEPENDENCYPART_ARC
(24,22),-0.197459 # DEPENDENCYPART_ARC
(24,23),1.45124 # DEPENDENCYPART_ARC
(24,29),-1.42748 # DEPENDENCYPART_ARC
(25,16),-1.34064 # DEPENDENCYPART_ARC
(25,17),-1.89452 # DEPENDENCYPART_ARC
(25,18),-4.2149 # DEPENDENCYPART_ARC
(25,21),0.341641 # DEPENDENCYPART_ARC
(25,22),0.603973 # DEPENDENCYPART_ARC
(25,23),-0.646957 # DEPENDENCYPART_ARC
(25,24),2.47961 # DEPENDENCYPART_ARC
(25,33),-1.97815 # DEPENDENCYPART_ARC
(26,16),-1.57806 # DEPENDENCYPART_ARC
(26,17),-0.98914 # DEPENDENCYPART_ARC
(26,18),-4.88814 # DEPENDENCYPART_ARC
(26,21),-1.0442 # DEPENDENCYPART_ARC
(26,22),-0.81119 # DEPENDENCYPART_ARC
(26,23),-1.95236 # DEPENDENCYPART_ARC
(26,24),0.612553 # DEPENDENCYPART_ARC
(26,25),3.00495 # DEPENDENCYPART_ARC
(26,27),-0.608922 # DEPENDENCYPART_ARC
(26,29),-2.11652 # DEPENDENCYPART_ARC
(26,31),-1.82698 # DEPENDENCYPART_ARC
(26,33),-1.94897 # DEPENDENCYPART_ARC
(28,27),-0.547061 # DEPENDENCYPART_ARC
(28,31),-0.793419 # DEPENDENCYPART_ARC
(28,32),-0.846346 # DEPENDENCYPART_ARC
(28,33),-0.842946 # DEPENDENCYPART_ARC
(29,1),-2.25871 # DEPENDENCYPART_ARC
(29,4),-2.42547 # DEPENDENCYPART_ARC
(29,8),-2.50339 # DEPENDENCYPART_ARC
(29,9),-1.47104 # DEPENDENCYPART_ARC
(29,10),-1.93003 # DEPENDENCYPART_ARC
(29,11),-2.02054 # DEPENDENCYPART_ARC
(29,12),-1.27781 # DEPENDENCYPART_ARC
(29,13),-1.27832 # DEPENDENCYPART_ARC
(29,14),-1.68849 # DEPENDENCYPART_ARC
(29,15),-1.35198 # DEPENDENCYPART_ARC
(29,16),-2.48335 # DEPENDENCYPART_ARC
(29,17),-1.72675 # DEPENDENCYPART_ARC
(29,18),-1.66814 # DEPENDENCYPART_ARC
(29,19),-1.02905 # DEPENDENCYPART_ARC
(29,21),-2.13814 # DEPENDENCYPART_ARC
(29,22),-1.8919 # DEPENDENCYPART_ARC
(29,23),-1.17979 # DEPENDENCYPART_ARC
(29,24),-1.41623 # DEPENDENCYPART_ARC
(29,25),-0.396696 # DEPENDENCYPART_ARC
(29,26),-0.399219 # DEPENDENCYPART_ARC
(29,27),-0.422744 # DEPENDENCYPART_ARC
(29,28),1.4654 # DEPENDENCYPART_ARC
(29,30),-0.985584 # DEPENDENCYPART_ARC
(29,31),-0.0954675 # DEPENDENCYPART_ARC
(29,32),-0.572226 # DEPENDENCYPART_ARC
(29,33),0.944313 # DEPENDENCYPART_ARC
(29,34),-0.481388 # DEPENDENCYPART_ARC
(30,31),-0.470889 # DEPENDENCYPART_ARC
(30,32),-0.801246 # DEPENDENCYPART_ARC
(31,30),-0.67784 # DEPENDENCYPART_ARC
(32,23),-1.66404 # DEPENDENCYPART_ARC
(32,25),-2.50485 # DEPENDENCYPART_ARC
(32,26),-1.65637 # DEPENDENCYPART_ARC
(32,30),-0.809075 # DEPENDENCYPART_ARC
(32,31),0.689676 # DEPENDENCYPART_ARC
(33,21),-1.51513 # DEPENDENCYPART_ARC
(33,22),-1.59412 # DEPENDENCYPART_ARC
(33,23),-3.81728 # DEPENDENCYPART_ARC
(33,24),-1.12115 # DEPENDENCYPART_ARC
(33,25),-1.93868 # DEPENDENCYPART_ARC
(33,26),-3.60986 # DEPENDENCYPART_ARC
(33,27),-1.41065 # DEPENDENCYPART_ARC
(33,28),-0.718583 # DEPENDENCYPART_ARC
(33,30),0.791723 # DEPENDENCYPART_ARC
(33,31),1.54218 # DEPENDENCYPART_ARC
(33,32),2.55806 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0981477 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0640996 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0326937 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.115189 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.107372 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.115074 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0639291 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.119754 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0627415 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0300783 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.131998 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.131004 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.122805 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.063987 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.13452 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0321504 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.116938 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.108712 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.116823 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0635414 # DEPENDENCYPART_SIBL
(0,4),(0,29),-0.121503 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0887495 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.083936 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0886373 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0356545 # DEPENDENCYPART_SIBL
(0,5),(0,29),-0.0869639 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.267287 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.247452 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.114758 # DEPENDENCYPART_SIBL
(0,10),(0,29),-0.25136 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.121839 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0868724 # DEPENDENCYPART_SIBL
(0,13),(0,29),-0.131903 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.11422 # DEPENDENCYPART_SIBL
(0,19),(0,29),-0.249736 # DEPENDENCYPART_SIBL
(0,20),(0,29),-0.122552 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0986921 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0461601 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0259999 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0461601 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0113105 # DEPENDENCYPART_SIBL
(1,2),(1,34),-0.0441954 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.022831 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0190929 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.022831 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00591245 # DEPENDENCYPART_SIBL
(1,5),(1,34),0.00514014 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.040111 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0201582 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0348103 # DEPENDENCYPART_SIBL
(1,6),(1,34),-2.51405e-05 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0342494 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0219262 # DEPENDENCYPART_SIBL
(1,8),(1,34),0.0159258 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0348103 # DEPENDENCYPART_SIBL
(1,9),(1,34),-2.51405e-05 # DEPENDENCYPART_SIBL
(1,10),(1,34),0.0358773 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0242425 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.114987 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.066519 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.114987 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.170659 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.066519 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.079016 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0821241 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0786234 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.171305 # DEPENDENCYPART_SIBL
(2,1),(2,34),0.10007 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0135506 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.000110085 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0135342 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0262893 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.000110085 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0208938 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0656629 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0202221 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.0262892 # DEPENDENCYPART_SIBL
(2,4),(2,34),-0.0283444 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00267939 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0112262 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0269386 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00267939 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0155793 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0256377 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0162481 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0269405 # DEPENDENCYPART_SIBL
(2,5),(2,34),0.0452205 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0298549 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00784944 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.043199 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.100686 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0157202 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.101411 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.00785015 # DEPENDENCYPART_SIBL
(2,6),(2,34),0.0424289 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.026945 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00267926 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0155794 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0256376 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0162481 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.0269469 # DEPENDENCYPART_SIBL
(2,7),(2,34),0.0452303 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00136389 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0247164 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0440812 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0266139 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.00452662 # DEPENDENCYPART_SIBL
(2,8),(2,34),0.0444946 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.100686 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0157202 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.101411 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.00785015 # DEPENDENCYPART_SIBL
(2,9),(2,34),0.0424289 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.081062 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.00303722 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.0488913 # DEPENDENCYPART_SIBL
(2,10),(2,34),0.0517458 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.00110165 # DEPENDENCYPART_SIBL
(2,13),(2,25),-0.0865823 # DEPENDENCYPART_SIBL
(2,13),(2,34),0.0738869 # DEPENDENCYPART_SIBL
(2,19),(2,25),0.0493152 # DEPENDENCYPART_SIBL
(2,19),(2,34),0.0580346 # DEPENDENCYPART_SIBL
(2,25),(2,34),0.0425308 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0100255 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.158812 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0967116 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0302477 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0469016 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0126533 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0117567 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.354479 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0193649 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.128343 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0403702 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0307653 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0516681 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0403702 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00961275 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.052315 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0111624 # DEPENDENCYPART_SIBL
(5,1),(5,29),0.0121716 # DEPENDENCYPART_SIBL
(5,1),(5,34),0.0608248 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0762783 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0043129 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.019306 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0109517 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00367332 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.019306 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00308615 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00367332 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.00162421 # DEPENDENCYPART_SIBL
(5,2),(5,29),0.00478773 # DEPENDENCYPART_SIBL
(5,2),(5,34),0.0450153 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0185384 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0177028 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0286727 # DEPENDENCYPART_SIBL
