# _root_ A Hexa és a RO-LA mellett már akad más támogatónk is , de mi azt szeretnénk , ha tovább bővülne ez a kör .
#goldHeads=2,6,6,5,6,8,8,13,10,8,8,13,0,16,16,13,16,16,20,15,23,23,20,13,
#predictedHeads=2,8,6,5,6,8,8,13,10,8,8,13,0,16,16,13,16,16,20,15,23,23,20,13,
(5,2),-1.55323 # DEPENDENCYPART_ARC
(5,3),-0.696049 # DEPENDENCYPART_ARC
(5,4),1.33479 # DEPENDENCYPART_ARC
(5,9),-2.11496 # DEPENDENCYPART_ARC
(6,1),-1.30541 # DEPENDENCYPART_ARC
(6,2),-0.0422071 # DEPENDENCYPART_ARC
(6,3),0.361617 # DEPENDENCYPART_ARC
(6,4),-0.378102 # DEPENDENCYPART_ARC
(6,5),2.35318 # DEPENDENCYPART_ARC
(6,7),-1.06142 # DEPENDENCYPART_ARC
(7,2),-1.40216 # DEPENDENCYPART_ARC
(7,3),-1.08968 # DEPENDENCYPART_ARC
(7,5),-0.970311 # DEPENDENCYPART_ARC
(7,6),-0.360946 # DEPENDENCYPART_ARC
(7,10),-1.33246 # DEPENDENCYPART_ARC
(8,1),-1.87635 # DEPENDENCYPART_ARC
(8,2),0.1301 # DEPENDENCYPART_ARC
(8,3),0.0418424 # DEPENDENCYPART_ARC
(8,4),-1.67942 # DEPENDENCYPART_ARC
(8,5),0.522131 # DEPENDENCYPART_ARC
(8,6),0.678032 # DEPENDENCYPART_ARC
(8,7),2.03402 # DEPENDENCYPART_ARC
(8,9),0.778161 # DEPENDENCYPART_ARC
(8,10),1.55744 # DEPENDENCYPART_ARC
(8,11),0.945697 # DEPENDENCYPART_ARC
(8,12),0.366437 # DEPENDENCYPART_ARC
(8,13),0.0709491 # DEPENDENCYPART_ARC
(8,14),-0.561318 # DEPENDENCYPART_ARC
(8,15),-1.06876 # DEPENDENCYPART_ARC
(8,16),0.511679 # DEPENDENCYPART_ARC
(8,17),-0.508866 # DEPENDENCYPART_ARC
(8,18),0.404024 # DEPENDENCYPART_ARC
(8,19),-1.40837 # DEPENDENCYPART_ARC
(8,20),-0.0441562 # DEPENDENCYPART_ARC
(8,21),-1.60323 # DEPENDENCYPART_ARC
(8,23),-2.411 # DEPENDENCYPART_ARC
(8,24),-0.0855872 # DEPENDENCYPART_ARC
(9,10),-0.394249 # DEPENDENCYPART_ARC
(9,11),-1.36092 # DEPENDENCYPART_ARC
(9,12),-0.72649 # DEPENDENCYPART_ARC
(9,13),-0.897625 # DEPENDENCYPART_ARC
(9,16),0.323687 # DEPENDENCYPART_ARC
(9,17),-0.580684 # DEPENDENCYPART_ARC
(9,20),0.307195 # DEPENDENCYPART_ARC
(10,1),-1.84095 # DEPENDENCYPART_ARC
(10,2),-2.82997 # DEPENDENCYPART_ARC
(10,4),-0.774886 # DEPENDENCYPART_ARC
(10,5),-2.03106 # DEPENDENCYPART_ARC
(10,6),-1.51468 # DEPENDENCYPART_ARC
(10,7),-1.30886 # DEPENDENCYPART_ARC
(10,8),-1.62159 # DEPENDENCYPART_ARC
(10,9),1.5816 # DEPENDENCYPART_ARC
(11,5),-1.83029 # DEPENDENCYPART_ARC
(11,6),-1.23943 # DEPENDENCYPART_ARC
(11,7),-1.17107 # DEPENDENCYPART_ARC
(11,8),0.152982 # DEPENDENCYPART_ARC
(11,9),-1.12944 # DEPENDENCYPART_ARC
(11,10),-0.561101 # DEPENDENCYPART_ARC
(11,12),-0.833217 # DEPENDENCYPART_ARC
(11,13),-1.63191 # DEPENDENCYPART_ARC
(11,15),-2.42717 # DEPENDENCYPART_ARC
(11,16),-1.37655 # DEPENDENCYPART_ARC
(11,17),-1.22047 # DEPENDENCYPART_ARC
(11,18),-1.5618 # DEPENDENCYPART_ARC
(11,19),-2.07513 # DEPENDENCYPART_ARC
(11,21),-2.31788 # DEPENDENCYPART_ARC
(11,23),-2.3811 # DEPENDENCYPART_ARC
(11,24),-1.63464 # DEPENDENCYPART_ARC
(13,2),-2.56698 # DEPENDENCYPART_ARC
(13,3),-1.19278 # DEPENDENCYPART_ARC
(13,5),-2.22678 # DEPENDENCYPART_ARC
(13,6),-1.58303 # DEPENDENCYPART_ARC
(13,7),-1.47469 # DEPENDENCYPART_ARC
(13,8),0.164924 # DEPENDENCYPART_ARC
(13,9),-1.41713 # DEPENDENCYPART_ARC
(13,10),-1.58304 # DEPENDENCYPART_ARC
(13,11),-0.426004 # DEPENDENCYPART_ARC
(13,12),0.401624 # DEPENDENCYPART_ARC
(13,15),-2.03066 # DEPENDENCYPART_ARC
(13,16),-0.295351 # DEPENDENCYPART_ARC
(13,17),-1.11523 # DEPENDENCYPART_ARC
(13,18),-1.30806 # DEPENDENCYPART_ARC
(13,19),-1.68484 # DEPENDENCYPART_ARC
(13,20),-1.14311 # DEPENDENCYPART_ARC
(13,21),-2.00816 # DEPENDENCYPART_ARC
(13,23),-2.12761 # DEPENDENCYPART_ARC
(13,24),0.202577 # DEPENDENCYPART_ARC
(14,8),-0.999909 # DEPENDENCYPART_ARC
(14,12),-0.879994 # DEPENDENCYPART_ARC
(14,13),-0.0320148 # DEPENDENCYPART_ARC
(14,16),-0.990595 # DEPENDENCYPART_ARC
(14,17),-0.0956704 # DEPENDENCYPART_ARC
(14,20),-0.47635 # DEPENDENCYPART_ARC
(14,23),-0.834141 # DEPENDENCYPART_ARC
(14,24),-0.913183 # DEPENDENCYPART_ARC
(15,8),-0.285874 # DEPENDENCYPART_ARC
(15,10),-1.76068 # DEPENDENCYPART_ARC
(15,11),-1.05077 # DEPENDENCYPART_ARC
(15,12),-0.94928 # DEPENDENCYPART_ARC
(15,13),-1.05107 # DEPENDENCYPART_ARC
(15,16),0.649698 # DEPENDENCYPART_ARC
(15,17),-0.191202 # DEPENDENCYPART_ARC
(15,18),0.0861624 # DEPENDENCYPART_ARC
(15,19),-0.593223 # DEPENDENCYPART_ARC
(15,20),1.17544 # DEPENDENCYPART_ARC
(15,21),-0.442823 # DEPENDENCYPART_ARC
(15,23),-0.177563 # DEPENDENCYPART_ARC
(15,24),-0.837333 # DEPENDENCYPART_ARC
(16,1),-1.78554 # DEPENDENCYPART_ARC
(16,2),-2.50356 # DEPENDENCYPART_ARC
(16,3),-0.395825 # DEPENDENCYPART_ARC
(16,4),-1.80839 # DEPENDENCYPART_ARC
(16,5),-2.77259 # DEPENDENCYPART_ARC
(16,6),-0.436903 # DEPENDENCYPART_ARC
(16,7),-0.659237 # DEPENDENCYPART_ARC
(16,8),-0.667497 # DEPENDENCYPART_ARC
(16,9),-1.48307 # DEPENDENCYPART_ARC
(16,10),-0.978487 # DEPENDENCYPART_ARC
(16,11),0.0250988 # DEPENDENCYPART_ARC
(16,12),-0.496676 # DEPENDENCYPART_ARC
(16,13),0.392283 # DEPENDENCYPART_ARC
(16,14),1.83112 # DEPENDENCYPART_ARC
(16,15),2.60415 # DEPENDENCYPART_ARC
(16,17),1.21661 # DEPENDENCYPART_ARC
(16,18),1.79573 # DEPENDENCYPART_ARC
(16,19),-0.571425 # DEPENDENCYPART_ARC
(16,20),0.998139 # DEPENDENCYPART_ARC
(16,21),-1.89472 # DEPENDENCYPART_ARC
(16,22),-1.96867 # DEPENDENCYPART_ARC
(16,23),-2.71065 # DEPENDENCYPART_ARC
(16,24),-0.466975 # DEPENDENCYPART_ARC
(18,2),-2.32065 # DEPENDENCYPART_ARC
(18,3),-1.75016 # DEPENDENCYPART_ARC
(18,5),-2.08828 # DEPENDENCYPART_ARC
(18,6),-1.81273 # DEPENDENCYPART_ARC
(18,7),-1.75631 # DEPENDENCYPART_ARC
(18,8),-3.23108 # DEPENDENCYPART_ARC
(18,9),-1.44331 # DEPENDENCYPART_ARC
(18,10),-1.8343 # DEPENDENCYPART_ARC
(18,11),-1.0785 # DEPENDENCYPART_ARC
(18,12),-1.43664 # DEPENDENCYPART_ARC
(18,13),-0.656868 # DEPENDENCYPART_ARC
(18,15),-1.10421 # DEPENDENCYPART_ARC
(18,16),-2.00981 # DEPENDENCYPART_ARC
(18,17),0.16568 # DEPENDENCYPART_ARC
(18,19),-1.02233 # DEPENDENCYPART_ARC
(18,20),-0.421343 # DEPENDENCYPART_ARC
(18,23),-1.75892 # DEPENDENCYPART_ARC
(18,24),-0.297002 # DEPENDENCYPART_ARC
(19,18),-0.753102 # DEPENDENCYPART_ARC
(19,23),-1.76558 # DEPENDENCYPART_ARC
(20,1),-2.15606 # DEPENDENCYPART_ARC
(20,2),-2.11984 # DEPENDENCYPART_ARC
(20,3),-0.89426 # DEPENDENCYPART_ARC
(20,4),-2.30901 # DEPENDENCYPART_ARC
(20,5),-2.37464 # DEPENDENCYPART_ARC
(20,6),-1.42186 # DEPENDENCYPART_ARC
(20,7),-1.49541 # DEPENDENCYPART_ARC
(20,8),-1.33063 # DEPENDENCYPART_ARC
(20,9),-2.50313 # DEPENDENCYPART_ARC
(20,10),-0.993398 # DEPENDENCYPART_ARC
(20,11),-0.673385 # DEPENDENCYPART_ARC
(20,12),-1.16968 # DEPENDENCYPART_ARC
(20,13),-0.28493 # DEPENDENCYPART_ARC
(20,14),-1.3628 # DEPENDENCYPART_ARC
(20,15),-1.13353 # DEPENDENCYPART_ARC
(20,16),0.29382 # DEPENDENCYPART_ARC
(20,17),-0.0980595 # DEPENDENCYPART_ARC
(20,18),0.00523391 # DEPENDENCYPART_ARC
(20,19),2.06155 # DEPENDENCYPART_ARC
(20,21),0.328217 # DEPENDENCYPART_ARC
(20,22),-1.1385 # DEPENDENCYPART_ARC
(20,23),0.319036 # DEPENDENCYPART_ARC
(20,24),-0.20685 # DEPENDENCYPART_ARC
(21,11),-1.35081 # DEPENDENCYPART_ARC
(21,15),-2.04673 # DEPENDENCYPART_ARC
(21,18),-0.97853 # DEPENDENCYPART_ARC
(21,19),-1.29342 # DEPENDENCYPART_ARC
(21,20),0.25205 # DEPENDENCYPART_ARC
(21,23),-0.742553 # DEPENDENCYPART_ARC
(21,24),-0.673006 # DEPENDENCYPART_ARC
(23,15),-3.28392 # DEPENDENCYPART_ARC
(23,19),-1.67364 # DEPENDENCYPART_ARC
(23,21),0.64006 # DEPENDENCYPART_ARC
(23,22),1.87862 # DEPENDENCYPART_ARC
(0,3),(0,6),-0.0748145 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0699866 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.125927 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0536371 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.201717 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.215317 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0302742 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0560196 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.12355 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.203891 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.12355 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.034414 # DEPENDENCYPART_SIBL
(0,6),(0,7),0.00107258 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.101292 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0128288 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0891292 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.104665 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0105249 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0110581 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.101268 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0902189 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.101268 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0109083 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.110518 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0389106 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.082331 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.13819 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.032289 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0307574 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.110467 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.101967 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.110467 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.0343262 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.103028 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.238903 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.24822 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.100904 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.104756 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.244962 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.225118 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.244962 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.100923 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.0922893 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.107599 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0212922 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0328606 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.10836 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0868583 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.10836 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0378109 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.167212 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.018542 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0345812 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.131863 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.141724 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.131863 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.00737326 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0471779 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0633667 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.144146 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.168216 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.144146 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0444 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0393447 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.109189 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0914416 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.109189 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.044295 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.113275 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0955346 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.113275 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0392762 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.226929 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.245843 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.100922 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.107475 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0270715 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.100922 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0116838 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.12504 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0114531 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0348222 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0486851 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0052282 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0114531 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0510351 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.047854 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0410219 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0214956 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0130756 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.047854 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.045447 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0194932 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0130756 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0952526 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0477941 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.233831 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00251718 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0162077 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.01039 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.233831 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.00470338 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.000560421 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.00104812 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0231348 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.000171722 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.000560421 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0238158 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0571154 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.000171722 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.00815188 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0307177 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00842635 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.048099 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0736609 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0307177 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0470865 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0426384 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0481063 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0132294 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0720463 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0426384 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0479132 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0581528 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0720463 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0413139 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.000979623 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0413326 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0666614 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0462163 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0499353 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00941697 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0882876 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0349825 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0601764 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00941697 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0823565 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0516764 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0601764 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0584892 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0180363 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0547765 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0449397 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0318856 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0298077 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0366533 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0438037 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0531619 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0298077 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0382395 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.00976764 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0531619 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.00559743 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0631913 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0238921 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0344934 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00865057 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0779803 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0111043 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0615493 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.00865057 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0574248 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0728897 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0615493 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.00587351 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0854987 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.023133 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.152263 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.011315 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.101686 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0131168 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.152263 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0116369 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0152404 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0131168 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.185825 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0499353 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.00941697 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0882876 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0349825 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0601764 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.00941697 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0823565 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0516764 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0601764 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.0584892 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0109573 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0397606 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0533195 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0394007 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.0109573 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.0356584 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0279844 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0394007 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.0270585 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0228613 # DEPENDENCYPART_SIBL
(3,12),(3,15),0.105545 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.185194 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0651398 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0150728 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0376571 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.185194 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.00726496 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.0205016 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0572383 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0244222 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0661411 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0356703 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0572383 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0508995 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0505868 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.00680608 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0343979 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.0262521 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.0505868 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.0418092 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.158584 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.0158926 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.0125058 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.0164409 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.173438 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0150728 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.0376571 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.185194 # DEPENDENCYPART_SIBL
(3,17),(3,24),0.00726496 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0358489 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.0295147 # DEPENDENCYPART_SIBL
(3,18),(3,24),0.0331479 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0554382 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.0387091 # DEPENDENCYPART_SIBL
(3,20),(3,24),0.173438 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0129962 # DEPENDENCYPART_SIBL
