# _root_ A szakértők azonban arra figyelmeztetnek , hogy az illegális hanghordozók piacán az idén ismét boom várható , s az összforgalmon belül akár meg is duplázódhat a tavalyi becsült 15-20 százalékos arány .
#goldHeads=2,5,5,5,0,5,5,10,10,11,16,13,16,16,16,4,4,4,20,21,25,25,25,25,4,31,31,31,30,31,25,5,
#predictedHeads=2,5,5,5,0,5,5,10,10,11,25,13,25,16,16,4,18,5,20,21,25,25,25,25,4,31,31,31,30,31,25,5,
(11,1),-2.79715 # DEPENDENCYPART_ARC
(11,2),-0.974991 # DEPENDENCYPART_ARC
(11,3),-1.13827 # DEPENDENCYPART_ARC
(11,4),-2.63237 # DEPENDENCYPART_ARC
(11,5),-3.30206 # DEPENDENCYPART_ARC
(11,6),-1.03845 # DEPENDENCYPART_ARC
(11,7),-0.961905 # DEPENDENCYPART_ARC
(11,8),-0.468053 # DEPENDENCYPART_ARC
(11,9),0.52518 # DEPENDENCYPART_ARC
(11,10),2.92951 # DEPENDENCYPART_ARC
(11,12),-1.51274 # DEPENDENCYPART_ARC
(11,13),-1.34482 # DEPENDENCYPART_ARC
(11,15),-1.24582 # DEPENDENCYPART_ARC
(11,16),-1.83977 # DEPENDENCYPART_ARC
(11,32),-1.63025 # DEPENDENCYPART_ARC
(13,11),-1.18052 # DEPENDENCYPART_ARC
(13,12),-0.00958652 # DEPENDENCYPART_ARC
(13,14),-1.05826 # DEPENDENCYPART_ARC
(13,15),-1.28852 # DEPENDENCYPART_ARC
(14,5),-1.49402 # DEPENDENCYPART_ARC
(14,10),-1.38243 # DEPENDENCYPART_ARC
(14,11),-1.19574 # DEPENDENCYPART_ARC
(14,13),-0.345323 # DEPENDENCYPART_ARC
(14,15),-1.08028 # DEPENDENCYPART_ARC
(14,16),-1.18165 # DEPENDENCYPART_ARC
(14,17),-0.969659 # DEPENDENCYPART_ARC
(14,25),-1.5123 # DEPENDENCYPART_ARC
(15,8),-1.56265 # DEPENDENCYPART_ARC
(15,9),-1.65574 # DEPENDENCYPART_ARC
(15,10),-2.33017 # DEPENDENCYPART_ARC
(15,12),-0.565925 # DEPENDENCYPART_ARC
(15,13),-0.727921 # DEPENDENCYPART_ARC
(15,14),-0.187212 # DEPENDENCYPART_ARC
(15,17),-0.747384 # DEPENDENCYPART_ARC
(15,20),-1.89104 # DEPENDENCYPART_ARC
(15,25),-1.18112 # DEPENDENCYPART_ARC
(16,2),-2.53502 # DEPENDENCYPART_ARC
(16,3),-0.951378 # DEPENDENCYPART_ARC
(16,4),-1.76286 # DEPENDENCYPART_ARC
(16,5),-1.26514 # DEPENDENCYPART_ARC
(16,6),-0.986515 # DEPENDENCYPART_ARC
(16,7),-0.656487 # DEPENDENCYPART_ARC
(16,9),-1.45613 # DEPENDENCYPART_ARC
(16,10),-1.51614 # DEPENDENCYPART_ARC
(16,11),-0.477695 # DEPENDENCYPART_ARC
(16,12),-1.19391 # DEPENDENCYPART_ARC
(16,13),0.00943953 # DEPENDENCYPART_ARC
(16,14),0.0220529 # DEPENDENCYPART_ARC
(16,15),0.755703 # DEPENDENCYPART_ARC
(16,17),-0.586826 # DEPENDENCYPART_ARC
(16,20),-1.41969 # DEPENDENCYPART_ARC
(16,21),-1.433 # DEPENDENCYPART_ARC
(16,25),-1.45527 # DEPENDENCYPART_ARC
(16,31),-2.25421 # DEPENDENCYPART_ARC
(16,32),-1.69376 # DEPENDENCYPART_ARC
(18,2),-2.33863 # DEPENDENCYPART_ARC
(18,3),-1.32177 # DEPENDENCYPART_ARC
(18,4),-2.41822 # DEPENDENCYPART_ARC
(18,5),-0.924724 # DEPENDENCYPART_ARC
(18,6),-1.6934 # DEPENDENCYPART_ARC
(18,7),-1.07397 # DEPENDENCYPART_ARC
(18,9),-1.84116 # DEPENDENCYPART_ARC
(18,10),-1.58565 # DEPENDENCYPART_ARC
(18,11),-1.65117 # DEPENDENCYPART_ARC
(18,13),-0.822336 # DEPENDENCYPART_ARC
(18,14),-0.623615 # DEPENDENCYPART_ARC
(18,15),-0.877103 # DEPENDENCYPART_ARC
(18,16),-0.889041 # DEPENDENCYPART_ARC
(18,17),0.546553 # DEPENDENCYPART_ARC
(18,19),-1.10107 # DEPENDENCYPART_ARC
(18,20),-1.17553 # DEPENDENCYPART_ARC
(18,21),-1.09541 # DEPENDENCYPART_ARC
(18,22),-1.44575 # DEPENDENCYPART_ARC
(18,24),-1.3621 # DEPENDENCYPART_ARC
(18,25),-0.363923 # DEPENDENCYPART_ARC
(18,27),-1.5529 # DEPENDENCYPART_ARC
(18,28),-1.68889 # DEPENDENCYPART_ARC
(18,29),-1.40313 # DEPENDENCYPART_ARC
(18,30),-1.82004 # DEPENDENCYPART_ARC
(18,31),-1.75852 # DEPENDENCYPART_ARC
(18,32),0.427002 # DEPENDENCYPART_ARC
(19,18),-0.550884 # DEPENDENCYPART_ARC
(20,12),-1.43109 # DEPENDENCYPART_ARC
(20,16),-1.17171 # DEPENDENCYPART_ARC
(20,17),-0.876687 # DEPENDENCYPART_ARC
(20,18),-0.625655 # DEPENDENCYPART_ARC
(20,19),1.88747 # DEPENDENCYPART_ARC
(21,2),-2.14989 # DEPENDENCYPART_ARC
(21,3),-1.46707 # DEPENDENCYPART_ARC
(21,6),-1.31471 # DEPENDENCYPART_ARC
(21,10),-1.91204 # DEPENDENCYPART_ARC
(21,11),-1.50846 # DEPENDENCYPART_ARC
(21,13),-1.39597 # DEPENDENCYPART_ARC
(21,14),-1.34721 # DEPENDENCYPART_ARC
(21,15),-0.865173 # DEPENDENCYPART_ARC
(21,16),-1.21804 # DEPENDENCYPART_ARC
(21,17),-0.814912 # DEPENDENCYPART_ARC
(21,18),-0.138979 # DEPENDENCYPART_ARC
(21,19),-0.44847 # DEPENDENCYPART_ARC
(21,20),2.23411 # DEPENDENCYPART_ARC
(21,22),-1.00066 # DEPENDENCYPART_ARC
(21,24),-1.34459 # DEPENDENCYPART_ARC
(21,31),-1.88725 # DEPENDENCYPART_ARC
(22,11),-1.77609 # DEPENDENCYPART_ARC
(22,14),-1.17781 # DEPENDENCYPART_ARC
(22,15),-1.51819 # DEPENDENCYPART_ARC
(22,18),-0.991879 # DEPENDENCYPART_ARC
(22,20),-0.907206 # DEPENDENCYPART_ARC
(22,21),-0.380304 # DEPENDENCYPART_ARC
(22,24),-1.20584 # DEPENDENCYPART_ARC
(22,29),-1.40351 # DEPENDENCYPART_ARC
(22,31),-1.78044 # DEPENDENCYPART_ARC
(23,20),-1.22725 # DEPENDENCYPART_ARC
(23,21),-1.17144 # DEPENDENCYPART_ARC
(23,22),-0.340944 # DEPENDENCYPART_ARC
(23,31),-1.6004 # DEPENDENCYPART_ARC
(24,20),-1.31767 # DEPENDENCYPART_ARC
(24,21),-0.913135 # DEPENDENCYPART_ARC
(24,22),-0.90707 # DEPENDENCYPART_ARC
(24,23),-0.128793 # DEPENDENCYPART_ARC
(24,27),-1.271 # DEPENDENCYPART_ARC
(24,28),-1.35854 # DEPENDENCYPART_ARC
(24,29),-1.40281 # DEPENDENCYPART_ARC
(24,31),-1.62781 # DEPENDENCYPART_ARC
(25,2),-1.66172 # DEPENDENCYPART_ARC
(25,3),0.034217 # DEPENDENCYPART_ARC
(25,4),-2.07208 # DEPENDENCYPART_ARC
(25,5),-0.648999 # DEPENDENCYPART_ARC
(25,6),-0.622205 # DEPENDENCYPART_ARC
(25,7),-0.705281 # DEPENDENCYPART_ARC
(25,8),-1.73295 # DEPENDENCYPART_ARC
(25,9),-1.84044 # DEPENDENCYPART_ARC
(25,10),-1.12905 # DEPENDENCYPART_ARC
(25,11),-0.361061 # DEPENDENCYPART_ARC
(25,12),-1.79104 # DEPENDENCYPART_ARC
(25,13),-0.491953 # DEPENDENCYPART_ARC
(25,14),-0.348216 # DEPENDENCYPART_ARC
(25,15),-0.587568 # DEPENDENCYPART_ARC
(25,16),-1.40577 # DEPENDENCYPART_ARC
(25,17),-0.646052 # DEPENDENCYPART_ARC
(25,18),0.0358057 # DEPENDENCYPART_ARC
(25,19),-1.50926 # DEPENDENCYPART_ARC
(25,20),0.249304 # DEPENDENCYPART_ARC
(25,21),0.649514 # DEPENDENCYPART_ARC
(25,22),0.985596 # DEPENDENCYPART_ARC
(25,23),1.18811 # DEPENDENCYPART_ARC
(25,24),2.28191 # DEPENDENCYPART_ARC
(25,26),-1.01347 # DEPENDENCYPART_ARC
(25,27),-0.127537 # DEPENDENCYPART_ARC
(25,28),-0.590726 # DEPENDENCYPART_ARC
(25,29),-0.440826 # DEPENDENCYPART_ARC
(25,30),-0.860626 # DEPENDENCYPART_ARC
(25,31),0.856046 # DEPENDENCYPART_ARC
(25,32),-0.560249 # DEPENDENCYPART_ARC
(26,27),-0.516563 # DEPENDENCYPART_ARC
(26,28),-0.861727 # DEPENDENCYPART_ARC
(27,26),-0.677766 # DEPENDENCYPART_ARC
(27,28),-1.327 # DEPENDENCYPART_ARC
(27,29),-1.21087 # DEPENDENCYPART_ARC
(28,21),-1.399 # DEPENDENCYPART_ARC
(28,22),-1.41995 # DEPENDENCYPART_ARC
(28,24),-1.14276 # DEPENDENCYPART_ARC
(28,25),-1.15991 # DEPENDENCYPART_ARC
(28,26),-0.866121 # DEPENDENCYPART_ARC
(28,27),0.679709 # DEPENDENCYPART_ARC
(28,29),-0.81048 # DEPENDENCYPART_ARC
(28,30),-1.49587 # DEPENDENCYPART_ARC
(28,31),-1.43023 # DEPENDENCYPART_ARC
(29,24),-1.30923 # DEPENDENCYPART_ARC
(29,26),-0.90637 # DEPENDENCYPART_ARC
(29,27),-1.06353 # DEPENDENCYPART_ARC
(29,28),-0.322833 # DEPENDENCYPART_ARC
(29,30),-1.06303 # DEPENDENCYPART_ARC
(29,32),-1.20049 # DEPENDENCYPART_ARC
(30,21),-1.07002 # DEPENDENCYPART_ARC
(30,22),-1.09536 # DEPENDENCYPART_ARC
(30,24),-0.998988 # DEPENDENCYPART_ARC
(30,26),-1.04664 # DEPENDENCYPART_ARC
(30,27),-0.583153 # DEPENDENCYPART_ARC
(30,28),-0.157517 # DEPENDENCYPART_ARC
(30,29),1.54555 # DEPENDENCYPART_ARC
(31,12),-1.99971 # DEPENDENCYPART_ARC
(31,16),-1.67079 # DEPENDENCYPART_ARC
(31,19),-1.3115 # DEPENDENCYPART_ARC
(31,26),0.247234 # DEPENDENCYPART_ARC
(31,27),0.302774 # DEPENDENCYPART_ARC
(31,28),0.60827 # DEPENDENCYPART_ARC
(31,29),0.907345 # DEPENDENCYPART_ARC
(31,30),2.44818 # DEPENDENCYPART_ARC
(31,32),-1.4024 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0506614 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.127923 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.14672 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.166146 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.127923 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.114737 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0179104 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0922424 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.114737 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.265529 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.234137 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.245472 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.183893 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.130334 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.124481 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0116021 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0479168 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0408429 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0650169 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0262235 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0454818 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0408429 # DEPENDENCYPART_SIBL
(3,1),(3,32),-0.0577029 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0206893 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0230599 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0172354 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00833069 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.02813 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0230388 # DEPENDENCYPART_SIBL
(3,2),(3,32),0.0462879 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0524829 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0223411 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0491876 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.00751806 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.0524829 # DEPENDENCYPART_SIBL
(3,4),(3,32),0.0333324 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.128714 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0628007 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0127014 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0389129 # DEPENDENCYPART_SIBL
(3,5),(3,32),0.0542161 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.209957 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0706808 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.189313 # DEPENDENCYPART_SIBL
(3,6),(3,32),0.0163574 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0326802 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.0323447 # DEPENDENCYPART_SIBL
(3,7),(3,32),0.110946 # DEPENDENCYPART_SIBL
(3,18),(3,25),-0.0382613 # DEPENDENCYPART_SIBL
(3,18),(3,32),0.0438461 # DEPENDENCYPART_SIBL
(3,25),(3,32),0.054347 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.227615 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0155363 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0214718 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0485601 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0045435 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00108388 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00206801 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0196171 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0241552 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00108171 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0111928 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0214718 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0412488 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.00108171 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.000591097 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0131545 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.00709342 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0330538 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0155152 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.00439329 # DEPENDENCYPART_SIBL
(4,2),(4,28),0.00450081 # DEPENDENCYPART_SIBL
(4,2),(4,29),-0.00152371 # DEPENDENCYPART_SIBL
(4,2),(4,30),0.00421145 # DEPENDENCYPART_SIBL
(4,2),(4,31),-0.00458092 # DEPENDENCYPART_SIBL
(4,2),(4,32),0.0504835 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00850083 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0557221 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00457871 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0051606 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0308572 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0325415 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00768638 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00619785 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0308572 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00455209 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0557221 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0146294 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0308572 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0256612 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.00280922 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.00455111 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0211281 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.00850083 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.00515492 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.00516093 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0224426 # DEPENDENCYPART_SIBL
(4,3),(4,30),0.00514107 # DEPENDENCYPART_SIBL
(4,3),(4,31),0.029431 # DEPENDENCYPART_SIBL
(4,3),(4,32),0.12915 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0252198 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.023733 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0113343 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00770739 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00770741 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00174027 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.00148003 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00770739 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0114677 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0252198 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0522022 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.00770739 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0207349 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.00381603 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.00909979 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0245619 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.00896171 # DEPENDENCYPART_SIBL
(4,5),(4,27),-0.0113714 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.0113332 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.0128584 # DEPENDENCYPART_SIBL
(4,5),(4,30),-0.0118927 # DEPENDENCYPART_SIBL
(4,5),(4,31),-0.00771016 # DEPENDENCYPART_SIBL
(4,5),(4,32),-0.00409049 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.184458 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.011659 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0246717 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0246717 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0120024 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0145029 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0246717 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00960115 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0518049 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.165817 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0246717 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0511505 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.00624487 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0333543 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.141343 # DEPENDENCYPART_SIBL
(4,6),(4,25),0.0220713 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.011697 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0116575 # DEPENDENCYPART_SIBL
(4,6),(4,29),0.00247483 # DEPENDENCYPART_SIBL
(4,6),(4,30),-0.013558 # DEPENDENCYPART_SIBL
(4,6),(4,31),-0.0260326 # DEPENDENCYPART_SIBL
(4,6),(4,32),0.0150886 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0104479 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0541483 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0541483 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0171847 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0155342 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0541483 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0125674 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0487645 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.00593656 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0541483 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0408856 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0141176 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.0304414 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0293709 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.00645098 # DEPENDENCYPART_SIBL
(4,7),(4,27),-0.010636 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.0104467 # DEPENDENCYPART_SIBL
(4,7),(4,29),-0.00570122 # DEPENDENCYPART_SIBL
(4,7),(4,30),-0.0116077 # DEPENDENCYPART_SIBL
(4,7),(4,31),-0.0541518 # DEPENDENCYPART_SIBL
(4,7),(4,32),-0.01733 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.029408 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.029408 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0298112 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0295644 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.029408 # DEPENDENCYPART_SIBL
