# _root_ Nagy_Lajos , a kisgazdapárt helyi vezetője azt szeretné elérni , hogy a gázvagyonért kapott 45_millió forint felhasználását ellenőrizhessék .
#goldHeads=8,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
#predictedHeads=8,8,4,6,6,8,9,0,8,8,8,13,14,16,16,17,18,7,8,
(8,14),-0.915469 # DEPENDENCYPART_ARC
(8,15),-1.27035 # DEPENDENCYPART_ARC
(8,16),-1.81242 # DEPENDENCYPART_ARC
(8,17),-0.873125 # DEPENDENCYPART_ARC
(8,18),-0.490705 # DEPENDENCYPART_ARC
(8,19),-0.584123 # DEPENDENCYPART_ARC
(9,1),-1.26951 # DEPENDENCYPART_ARC
(9,2),-0.0498152 # DEPENDENCYPART_ARC
(9,3),-1.1934 # DEPENDENCYPART_ARC
(9,4),-0.448552 # DEPENDENCYPART_ARC
(9,5),0.206331 # DEPENDENCYPART_ARC
(9,6),0.565309 # DEPENDENCYPART_ARC
(9,7),1.8076 # DEPENDENCYPART_ARC
(9,8),0.312985 # DEPENDENCYPART_ARC
(9,10),-0.127433 # DEPENDENCYPART_ARC
(9,11),-0.140377 # DEPENDENCYPART_ARC
(9,12),-1.43285 # DEPENDENCYPART_ARC
(9,13),-1.30166 # DEPENDENCYPART_ARC
(9,14),-0.708148 # DEPENDENCYPART_ARC
(9,15),-1.62558 # DEPENDENCYPART_ARC
(9,16),-2.08607 # DEPENDENCYPART_ARC
(9,17),-0.73385 # DEPENDENCYPART_ARC
(9,18),-0.264924 # DEPENDENCYPART_ARC
(9,19),-1.43162 # DEPENDENCYPART_ARC
(11,1),-1.72745 # DEPENDENCYPART_ARC
(11,2),-1.7337 # DEPENDENCYPART_ARC
(11,4),-1.2202 # DEPENDENCYPART_ARC
(11,5),-1.02081 # DEPENDENCYPART_ARC
(11,6),-0.746696 # DEPENDENCYPART_ARC
(11,7),-1.31713 # DEPENDENCYPART_ARC
(11,8),-2.41644 # DEPENDENCYPART_ARC
(11,9),-1.04675 # DEPENDENCYPART_ARC
(11,10),0.157056 # DEPENDENCYPART_ARC
(11,13),-1.28065 # DEPENDENCYPART_ARC
(11,14),-1.3409 # DEPENDENCYPART_ARC
(11,15),-1.11987 # DEPENDENCYPART_ARC
(11,16),-1.46879 # DEPENDENCYPART_ARC
(11,17),-1.86069 # DEPENDENCYPART_ARC
(11,18),-0.600968 # DEPENDENCYPART_ARC
(11,19),-0.519446 # DEPENDENCYPART_ARC
(12,14),-1.00138 # DEPENDENCYPART_ARC
(13,7),-2.54896 # DEPENDENCYPART_ARC
(13,12),1.89277 # DEPENDENCYPART_ARC
(13,14),-1.44318 # DEPENDENCYPART_ARC
(13,15),-1.57823 # DEPENDENCYPART_ARC
(13,16),-1.48718 # DEPENDENCYPART_ARC
(14,1),-2.7061 # DEPENDENCYPART_ARC
(14,4),-1.95958 # DEPENDENCYPART_ARC
(14,6),-2.24195 # DEPENDENCYPART_ARC
(14,7),-1.4738 # DEPENDENCYPART_ARC
(14,8),-0.921934 # DEPENDENCYPART_ARC
(14,9),-1.0362 # DEPENDENCYPART_ARC
(14,10),-0.839134 # DEPENDENCYPART_ARC
(14,11),-0.492262 # DEPENDENCYPART_ARC
(14,12),-0.675015 # DEPENDENCYPART_ARC
(14,13),1.90156 # DEPENDENCYPART_ARC
(14,15),-0.723846 # DEPENDENCYPART_ARC
(14,16),-1.12928 # DEPENDENCYPART_ARC
(14,17),-1.54324 # DEPENDENCYPART_ARC
(14,18),-1.20967 # DEPENDENCYPART_ARC
(14,19),-1.53177 # DEPENDENCYPART_ARC
(15,11),-0.774163 # DEPENDENCYPART_ARC
(15,12),-1.0117 # DEPENDENCYPART_ARC
(15,13),-1.17914 # DEPENDENCYPART_ARC
(15,14),-0.437596 # DEPENDENCYPART_ARC
(15,16),-1.18672 # DEPENDENCYPART_ARC
(15,19),-1.64158 # DEPENDENCYPART_ARC
(16,7),-2.77287 # DEPENDENCYPART_ARC
(16,9),-0.139321 # DEPENDENCYPART_ARC
(16,10),-0.942976 # DEPENDENCYPART_ARC
(16,11),-1.10568 # DEPENDENCYPART_ARC
(16,12),-0.211923 # DEPENDENCYPART_ARC
(16,13),-1.38196 # DEPENDENCYPART_ARC
(16,14),1.19687 # DEPENDENCYPART_ARC
(16,15),1.92872 # DEPENDENCYPART_ARC
(16,17),-1.72845 # DEPENDENCYPART_ARC
(17,4),-1.84677 # DEPENDENCYPART_ARC
(17,6),-2.46551 # DEPENDENCYPART_ARC
(17,7),-2.59368 # DEPENDENCYPART_ARC
(17,9),-0.363177 # DEPENDENCYPART_ARC
(17,10),-0.942411 # DEPENDENCYPART_ARC
(17,11),-0.821913 # DEPENDENCYPART_ARC
(17,12),-1.43645 # DEPENDENCYPART_ARC
(17,13),-1.62148 # DEPENDENCYPART_ARC
(17,14),-0.155658 # DEPENDENCYPART_ARC
(17,15),0.744872 # DEPENDENCYPART_ARC
(17,16),3.05482 # DEPENDENCYPART_ARC
(17,19),-1.60193 # DEPENDENCYPART_ARC
(18,1),-2.23235 # DEPENDENCYPART_ARC
(18,2),-0.526177 # DEPENDENCYPART_ARC
(18,4),-2.00598 # DEPENDENCYPART_ARC
(18,5),-2.30705 # DEPENDENCYPART_ARC
(18,6),-1.45388 # DEPENDENCYPART_ARC
(18,7),-1.39368 # DEPENDENCYPART_ARC
(18,8),-0.163022 # DEPENDENCYPART_ARC
(18,9),-0.450144 # DEPENDENCYPART_ARC
(18,10),-0.506827 # DEPENDENCYPART_ARC
(18,11),-0.568299 # DEPENDENCYPART_ARC
(18,12),-1.26727 # DEPENDENCYPART_ARC
(18,13),-0.161685 # DEPENDENCYPART_ARC
(18,14),-1.00599 # DEPENDENCYPART_ARC
(18,15),-0.681148 # DEPENDENCYPART_ARC
(18,16),0.467313 # DEPENDENCYPART_ARC
(18,17),2.8321 # DEPENDENCYPART_ARC
(18,19),-0.198119 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.0671427 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0288058 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.110195 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.109452 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.1437 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.10854 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0287715 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.115327 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.114583 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.136608 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.114077 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.113285 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.113536 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0658333 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.113276 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.247237 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.266665 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.247087 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.260528 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.249972 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.132177 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.342981 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.153225 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.403728 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.176098 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.423074 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.42306 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00482316 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.33281 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.342981 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.33023 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.424447 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0787788 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0611546 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0187389 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0471213 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0548271 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0553355 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.101092 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0385081 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.00364016 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.00195364 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0559687 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0454797 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.077127 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.049319 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0551847 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0547621 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0898881 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0249259 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0546271 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.049323 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0552781 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.105193 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0462166 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0475818 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0480902 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0911214 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0359691 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.00525626 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.00356973 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0489314 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0461854 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.00261363 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00217891 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0249223 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0137406 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.00631367 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.00378959 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.00272432 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0673447 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0488588 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.167396 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0131921 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0757435 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0739758 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0493556 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.205514 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.165398 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.00722423 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0749524 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0731848 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0461985 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.215457 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.33281 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.342981 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.33023 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.424447 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0787788 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.035075 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0420255 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0408376 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.146321 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.00302741 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0571962 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0485651 # DEPENDENCYPART_SIBL
(1,16),(1,18),0.0649666 # DEPENDENCYPART_SIBL
(1,16),(1,19),0.0535634 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.209936 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.138041 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.641671 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.317126 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0153731 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00406914 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.00595551 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.408123 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.000602341 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.033007 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0280249 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.003461 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.00856137 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.00861765 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0475818 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0489314 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0493556 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.280721 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0390944 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.073654 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0071103 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00888514 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.131522 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0477086 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.027074 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0221478 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0675727 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00548975 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.00548946 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00715989 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.00893471 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0120783 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.61569 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.321978 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0382992 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0786803 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00271825 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00490145 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00672981 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0555807 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.00460458 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0396319 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.424564 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0198544 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0207587 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0334608 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0296849 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0365069 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.0252908 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0284788 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0231773 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00656062 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.220297 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00830229 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00817683 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0105541 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0176286 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.00835854 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0289926 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.10246 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00276785 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.00495105 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00658601 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0555811 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.00465415 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0388973 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0393973 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0411811 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0349904 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.00635223 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0411205 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.00735967 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0480739 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.167046 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0532054 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0485706 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.203361 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.165047 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0530366 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.0454135 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.213304 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.161307 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.421925 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0751873 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.0503268 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.119411 # DEPENDENCYPART_SIBL
(6,18),(6,19),0.207782 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.181376 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.102494 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.14542 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.104614 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.021452 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0189879 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0153208 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.057027 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00368629 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.00185006 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.00324151 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00552664 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.00368643 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0193452 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0167042 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.156932 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.151101 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.170911 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0286244 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.024538 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0287686 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0400597 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0483221 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.000575938 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.00855639 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0617837 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0483221 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0233924 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0393365 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.148765 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.107632 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0214024 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0189383 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.015177 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.057027 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.00601979 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00184988 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0032412 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.00786014 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.00601995 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0192957 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0159696 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0988142 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00978873 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.011262 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0127906 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0171426 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0142593 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00112953 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.00557807 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0148114 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0142593 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0112618 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0238439 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0210693 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0186051 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0109828 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0529941 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.00964796 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0020532 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00334128 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0114883 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0096481 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0190257 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0143529 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0276716 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0350519 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0306973 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.00819538 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0101537 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0236519 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.00666767 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.00819538 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0275209 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0320182 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0350972 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0228215 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0064247 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.00816746 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0252421 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.004897 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0064247 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0286967 # DEPENDENCYPART_SIBL
