# _root_ A kft. másik társtulajdonosa Rózsavölgyi_Sándor , aki korábban maga is futballozott , később pedig a játékvezetésre adta a fejét .
#goldHeads=2,4,4,5,0,5,11,11,11,11,5,5,17,17,16,17,5,19,17,5,
#predictedHeads=2,4,4,5,11,11,11,11,11,11,0,11,17,17,16,17,11,19,17,11,
(14,20),-1.23097 # DEPENDENCYPART_ARC
(15,14),-0.645636 # DEPENDENCYPART_ARC
(15,19),-1.96684 # DEPENDENCYPART_ARC
(16,8),-2.37734 # DEPENDENCYPART_ARC
(16,9),-1.97337 # DEPENDENCYPART_ARC
(16,12),-1.44586 # DEPENDENCYPART_ARC
(16,13),-1.42538 # DEPENDENCYPART_ARC
(16,14),-0.693221 # DEPENDENCYPART_ARC
(16,15),1.39949 # DEPENDENCYPART_ARC
(16,19),-2.27132 # DEPENDENCYPART_ARC
(17,2),-1.53932 # DEPENDENCYPART_ARC
(17,3),-1.88901 # DEPENDENCYPART_ARC
(17,4),-1.1556 # DEPENDENCYPART_ARC
(17,5),-1.55332 # DEPENDENCYPART_ARC
(17,6),-0.955833 # DEPENDENCYPART_ARC
(17,7),-0.481888 # DEPENDENCYPART_ARC
(17,8),-0.612672 # DEPENDENCYPART_ARC
(17,9),-0.820184 # DEPENDENCYPART_ARC
(17,10),-0.130113 # DEPENDENCYPART_ARC
(17,11),-0.445102 # DEPENDENCYPART_ARC
(17,12),-0.183755 # DEPENDENCYPART_ARC
(17,13),1.04808 # DEPENDENCYPART_ARC
(17,14),0.987751 # DEPENDENCYPART_ARC
(17,15),-0.719822 # DEPENDENCYPART_ARC
(17,16),2.10325 # DEPENDENCYPART_ARC
(17,18),-0.958127 # DEPENDENCYPART_ARC
(17,19),1.95223 # DEPENDENCYPART_ARC
(17,20),-0.295462 # DEPENDENCYPART_ARC
(19,13),-2.14078 # DEPENDENCYPART_ARC
(19,14),-1.54474 # DEPENDENCYPART_ARC
(19,15),-1.6818 # DEPENDENCYPART_ARC
(19,16),-1.94412 # DEPENDENCYPART_ARC
(19,18),1.01472 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0164568 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0661097 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0661097 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0588266 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.00290354 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.102992 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0558512 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.133571 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.110055 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0355333 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0355308 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0381817 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0360444 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0886439 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.111687 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0369615 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0927216 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.112271 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0661111 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0588266 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.00290501 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.102994 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.107524 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0558512 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.133572 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.110062 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0588266 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.00290354 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.102992 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.107518 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0558512 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.133571 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.110055 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0284156 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.103991 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.114323 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0668022 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.125801 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.114455 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0790714 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.109772 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0328461 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.087064 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.110685 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.131863 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0635401 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.133461 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.134123 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.113493 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.226472 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.245428 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.124393 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.118806 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.147713 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00331961 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00331961 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00907785 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.077269 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0730723 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0086177 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0793549 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.00787834 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0285178 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00470453 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.103072 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0221196 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0132646 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0581972 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0252658 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0554066 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0485334 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.103086 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0221276 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.013255 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.058216 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0252738 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0554254 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0485651 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.187188 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00563924 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.425607 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.17839 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.419397 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0787788 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0169442 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0295326 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.00446663 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.029177 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.084345 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0213794 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0127589 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0188952 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0434864 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0632472 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0508591 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.211166 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0246249 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0714912 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.205315 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00960773 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0200076 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0474678 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0132178 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0200076 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0419863 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.00960773 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0142995 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0455995 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0300369 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.043398 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00460064 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0300369 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.00812467 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.00340088 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0160639 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0870678 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0139735 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.104381 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00475387 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.109926 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00952547 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0860033 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.101172 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0394053 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0116272 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0227052 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0138673 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0286961 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0325493 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0464793 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0148495 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0130166 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.00519059 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.027837 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.109926 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.00952547 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.0860033 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.101172 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0089668 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.018545 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.0225374 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.0160639 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.0870678 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.0196015 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0129962 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0704792 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00331961 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00907785 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.077269 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0730723 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00861181 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0793549 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0904248 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00337051 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00284651 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0188415 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.031963 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00763884 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0202771 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00433521 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0336436 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0390888 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0442881 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.029152 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0406515 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.103086 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0221276 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.013255 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.058216 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0252738 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.187188 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00563924 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.425607 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.17839 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0169442 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0295326 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00446663 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0213794 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0127589 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0632463 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0129962 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0129962 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00907785 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0086177 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.00907785 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.00787834 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0285178 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0165091 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00283849 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00765816 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00283849 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.00632347 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.041682 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00309484 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00741749 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00309484 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0060828 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0430907 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.425607 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00482316 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.419397 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0787788 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.169079 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0508591 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.211166 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.419397 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.0787788 # DEPENDENCYPART_SIBL
(5,17),(5,20),0.205315 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0124278 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0125368 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.00423801 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0733456 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0717487 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.244661 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0067742 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.00482182 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.00143848 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0337805 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0164702 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.00379867 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0852017 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0138352 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0715198 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.244531 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.00680011 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.00148143 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.00118213 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0337805 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0148 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.00355801 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.086707 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0152439 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.244661 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0067742 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.00482182 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.00143848 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0337805 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0164702 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.00379867 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0852017 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0138352 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0246872 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0235613 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0461542 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00942008 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.018727 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.00659429 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.0690577 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.0324833 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0447394 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0374057 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0861834 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.050572 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0965045 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.24524 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0669294 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.000949762 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0619997 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0167166 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.00864721 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0276558 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.058732 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.152207 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0629973 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.206706 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.00507615 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.0188392 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.00219795 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.011989 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.048115 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.0226525 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0111694 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.0307451 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.000860768 # DEPENDENCYPART_SIBL
(8,17),(8,19),0.0120791 # DEPENDENCYPART_SIBL
(8,17),(8,20),0.0202479 # DEPENDENCYPART_SIBL
(8,19),(8,20),-0.00246329 # DEPENDENCYPART_SIBL
