# _root_ A társadalmi munkákat halmozó Kukorelli a Magyar_Politikatudományi_Társaság , a Független_Jogász_Fórum és a Népfőiskolai_Társaság tagja , emellett több tanácsadó testület és kodifikációs bizottság munkájában is közreműködik .
#goldHeads=5,3,4,5,0,7,14,14,10,14,14,13,14,5,5,25,19,19,23,23,22,23,25,25,5,5,
#predictedHeads=3,3,4,5,25,7,25,25,10,14,14,13,14,25,25,25,19,19,25,25,22,23,25,25,0,25,
(19,15),-0.977251 # DEPENDENCYPART_ARC
(19,16),-0.57336 # DEPENDENCYPART_ARC
(19,17),0.854199 # DEPENDENCYPART_ARC
(19,18),2.27297 # DEPENDENCYPART_ARC
(19,22),-1.52581 # DEPENDENCYPART_ARC
(19,23),-2.30752 # DEPENDENCYPART_ARC
(20,4),-2.14353 # DEPENDENCYPART_ARC
(20,5),-2.00341 # DEPENDENCYPART_ARC
(20,8),-1.71952 # DEPENDENCYPART_ARC
(20,11),-0.913 # DEPENDENCYPART_ARC
(20,13),-1.74726 # DEPENDENCYPART_ARC
(20,15),-0.922147 # DEPENDENCYPART_ARC
(20,16),-1.05029 # DEPENDENCYPART_ARC
(20,17),-1.04847 # DEPENDENCYPART_ARC
(20,18),-1.2266 # DEPENDENCYPART_ARC
(20,19),-0.561862 # DEPENDENCYPART_ARC
(20,21),-0.994035 # DEPENDENCYPART_ARC
(20,22),-0.784431 # DEPENDENCYPART_ARC
(20,23),-1.23134 # DEPENDENCYPART_ARC
(20,24),-1.29573 # DEPENDENCYPART_ARC
(20,25),-1.00266 # DEPENDENCYPART_ARC
(20,26),-1.49825 # DEPENDENCYPART_ARC
(21,10),-2.43443 # DEPENDENCYPART_ARC
(21,11),-1.2088 # DEPENDENCYPART_ARC
(21,13),-1.996 # DEPENDENCYPART_ARC
(21,14),-2.36509 # DEPENDENCYPART_ARC
(21,16),-1.09971 # DEPENDENCYPART_ARC
(21,17),-0.84367 # DEPENDENCYPART_ARC
(21,18),-1.1378 # DEPENDENCYPART_ARC
(21,19),-0.976575 # DEPENDENCYPART_ARC
(21,20),0.0389879 # DEPENDENCYPART_ARC
(21,23),-1.19721 # DEPENDENCYPART_ARC
(21,24),-1.74649 # DEPENDENCYPART_ARC
(22,3),-5.66943 # DEPENDENCYPART_ARC
(22,4),-2.84758 # DEPENDENCYPART_ARC
(22,5),-3.1242 # DEPENDENCYPART_ARC
(22,6),-2.54763 # DEPENDENCYPART_ARC
(22,7),-2.72784 # DEPENDENCYPART_ARC
(22,8),-1.34594 # DEPENDENCYPART_ARC
(22,9),-1.78345 # DEPENDENCYPART_ARC
(22,10),-1.79226 # DEPENDENCYPART_ARC
(22,11),-1.11903 # DEPENDENCYPART_ARC
(22,12),-0.69367 # DEPENDENCYPART_ARC
(22,13),-0.737753 # DEPENDENCYPART_ARC
(22,14),-2.77271 # DEPENDENCYPART_ARC
(22,15),-0.875928 # DEPENDENCYPART_ARC
(22,16),-0.900976 # DEPENDENCYPART_ARC
(22,17),-0.387569 # DEPENDENCYPART_ARC
(22,18),0.227479 # DEPENDENCYPART_ARC
(22,19),-0.396323 # DEPENDENCYPART_ARC
(22,20),0.0474138 # DEPENDENCYPART_ARC
(22,21),2.21175 # DEPENDENCYPART_ARC
(22,23),-1.65304 # DEPENDENCYPART_ARC
(23,3),-5.29104 # DEPENDENCYPART_ARC
(23,5),-3.36707 # DEPENDENCYPART_ARC
(23,7),-2.87614 # DEPENDENCYPART_ARC
(23,8),-1.18546 # DEPENDENCYPART_ARC
(23,9),-2.86831 # DEPENDENCYPART_ARC
(23,10),-1.9262 # DEPENDENCYPART_ARC
(23,11),-0.728397 # DEPENDENCYPART_ARC
(23,12),-2.02373 # DEPENDENCYPART_ARC
(23,13),-1.01113 # DEPENDENCYPART_ARC
(23,14),-2.09689 # DEPENDENCYPART_ARC
(23,15),-0.798749 # DEPENDENCYPART_ARC
(23,16),-1.23473 # DEPENDENCYPART_ARC
(23,17),-1.13189 # DEPENDENCYPART_ARC
(23,18),-0.821878 # DEPENDENCYPART_ARC
(23,19),0.155312 # DEPENDENCYPART_ARC
(23,20),-0.0804702 # DEPENDENCYPART_ARC
(23,21),0.638128 # DEPENDENCYPART_ARC
(23,22),2.59063 # DEPENDENCYPART_ARC
(23,24),-1.47099 # DEPENDENCYPART_ARC
(24,4),-1.46868 # DEPENDENCYPART_ARC
(24,16),-1.32866 # DEPENDENCYPART_ARC
(24,17),-1.44885 # DEPENDENCYPART_ARC
(24,18),-1.53709 # DEPENDENCYPART_ARC
(24,19),-1.71584 # DEPENDENCYPART_ARC
(24,20),-0.675087 # DEPENDENCYPART_ARC
(24,21),-1.03548 # DEPENDENCYPART_ARC
(24,22),-1.20137 # DEPENDENCYPART_ARC
(24,23),-0.571029 # DEPENDENCYPART_ARC
(24,26),-1.60142 # DEPENDENCYPART_ARC
(25,2),-1.98564 # DEPENDENCYPART_ARC
(25,3),-1.31166 # DEPENDENCYPART_ARC
(25,4),-1.81802 # DEPENDENCYPART_ARC
(25,5),0.164042 # DEPENDENCYPART_ARC
(25,6),-1.36644 # DEPENDENCYPART_ARC
(25,7),-0.654633 # DEPENDENCYPART_ARC
(25,8),-0.280548 # DEPENDENCYPART_ARC
(25,9),-1.45184 # DEPENDENCYPART_ARC
(25,10),-0.115022 # DEPENDENCYPART_ARC
(25,11),-0.310474 # DEPENDENCYPART_ARC
(25,12),-1.49304 # DEPENDENCYPART_ARC
(25,13),-0.178889 # DEPENDENCYPART_ARC
(25,14),-0.551559 # DEPENDENCYPART_ARC
(25,15),-0.265875 # DEPENDENCYPART_ARC
(25,16),0.352966 # DEPENDENCYPART_ARC
(25,17),-1.15187 # DEPENDENCYPART_ARC
(25,18),-1.06624 # DEPENDENCYPART_ARC
(25,19),0.548392 # DEPENDENCYPART_ARC
(25,20),0.210066 # DEPENDENCYPART_ARC
(25,21),-0.533062 # DEPENDENCYPART_ARC
(25,22),1.1066 # DEPENDENCYPART_ARC
(25,23),1.96876 # DEPENDENCYPART_ARC
(25,24),1.96133 # DEPENDENCYPART_ARC
(25,26),-0.26215 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0326579 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0663022 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.120244 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0582088 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0326579 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.120244 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0326579 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.103233 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.10752 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0345846 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0987385 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.035195 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0621286 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0987385 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0621286 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.0973379 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.0886079 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.120009 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0582081 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0326239 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.120009 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0326239 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.102992 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.107518 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0696394 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0894222 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.226618 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0894222 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.201717 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.12355 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0321108 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.120218 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0321108 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.0984585 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.113287 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0987385 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0621286 # DEPENDENCYPART_SIBL
(0,18),(0,24),-0.0973379 # DEPENDENCYPART_SIBL
(0,18),(0,25),-0.0886079 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0894222 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.201717 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.12355 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.0973379 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.0886079 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.131863 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0745538 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00331961 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00907786 # DEPENDENCYPART_SIBL
(3,1),(3,25),0.0086177 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.00255748 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0222404 # DEPENDENCYPART_SIBL
(3,2),(3,25),-0.0228445 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.103086 # DEPENDENCYPART_SIBL
(3,7),(3,25),0.058216 # DEPENDENCYPART_SIBL
(3,8),(3,25),0.425607 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0434875 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0677916 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0225869 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.00548556 # DEPENDENCYPART_SIBL
(4,1),(4,26),-0.0375479 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0114152 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0208058 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0120764 # DEPENDENCYPART_SIBL
(4,2),(4,26),-0.00174234 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0202759 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.010737 # DEPENDENCYPART_SIBL
(4,3),(4,26),0.062154 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.0437356 # DEPENDENCYPART_SIBL
(4,7),(4,26),0.0136211 # DEPENDENCYPART_SIBL
(4,25),(4,26),0.0759838 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.136074 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.012836 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.155843 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00331961 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00907785 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00331961 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00819651 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.00907785 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.00332423 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0086177 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.0285178 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00470359 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00497607 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00255748 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0222403 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00255748 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00368492 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0222403 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.00255145 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0228445 # DEPENDENCYPART_SIBL
(5,2),(5,26),0.0227763 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0453305 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00309718 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00381633 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00309718 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00780014 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00381633 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.00234735 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.00754479 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.041656 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00411379 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0329118 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00411379 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0103562 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0329118 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.00411983 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.0400735 # DEPENDENCYPART_SIBL
(5,4),(5,26),-0.00425058 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.103086 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00471394 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00542992 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.103086 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.00471088 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.058216 # DEPENDENCYPART_SIBL
(5,7),(5,26),0.0485651 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.342981 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.356122 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00482316 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.342976 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.425607 # DEPENDENCYPART_SIBL
(5,8),(5,26),0.0787788 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.00542992 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.103086 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.00471088 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.058216 # DEPENDENCYPART_SIBL
(5,10),(5,26),0.0485651 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.105332 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.000698581 # DEPENDENCYPART_SIBL
(5,14),(5,25),0.0610358 # DEPENDENCYPART_SIBL
(5,14),(5,26),0.0351954 # DEPENDENCYPART_SIBL
(5,15),(5,22),0.342976 # DEPENDENCYPART_SIBL
(5,15),(5,25),0.425607 # DEPENDENCYPART_SIBL
(5,15),(5,26),0.0787788 # DEPENDENCYPART_SIBL
(5,22),(5,25),0.0582135 # DEPENDENCYPART_SIBL
(5,22),(5,26),0.0505251 # DEPENDENCYPART_SIBL
(5,25),(5,26),0.211166 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.155843 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0129962 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.662013 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.00907785 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.00331961 # DEPENDENCYPART_SIBL
(7,1),(7,25),0.0086177 # DEPENDENCYPART_SIBL
(7,1),(7,26),-0.0285178 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.00307406 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.662675 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0329118 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00411379 # DEPENDENCYPART_SIBL
(7,4),(7,25),-0.0400735 # DEPENDENCYPART_SIBL
(7,4),(7,26),-0.00425058 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.317123 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00283849 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.00337853 # DEPENDENCYPART_SIBL
(7,5),(7,25),0.00765816 # DEPENDENCYPART_SIBL
(7,5),(7,26),0.041682 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00907785 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.00331961 # DEPENDENCYPART_SIBL
(7,6),(7,25),0.0086177 # DEPENDENCYPART_SIBL
(7,6),(7,26),-0.0285178 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.342981 # DEPENDENCYPART_SIBL
(7,8),(7,25),0.425607 # DEPENDENCYPART_SIBL
(7,8),(7,26),0.0787788 # DEPENDENCYPART_SIBL
(7,10),(7,25),0.058216 # DEPENDENCYPART_SIBL
(7,10),(7,26),0.0485651 # DEPENDENCYPART_SIBL
(7,25),(7,26),0.211166 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.662013 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0166474 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0101643 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0159475 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.161349 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0159475 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.303922 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.161349 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0159475 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0271192 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.00605483 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.0190632 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.0129641 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0080318 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.00604448 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.0407957 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.0888053 # DEPENDENCYPART_SIBL
(11,2),(11,22),0.00605303 # DEPENDENCYPART_SIBL
(11,2),(11,23),0.00605242 # DEPENDENCYPART_SIBL
(11,2),(11,24),-0.00968664 # DEPENDENCYPART_SIBL
(11,2),(11,25),0.00735943 # DEPENDENCYPART_SIBL
(11,2),(11,26),0.0365162 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.000975418 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.00509894 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0157966 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.00509894 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.372442 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0157966 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.00509894 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0477418 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.233468 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.240925 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.00159051 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.015007 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.232327 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.0124461 # DEPENDENCYPART_SIBL
(11,3),(11,21),0.0258908 # DEPENDENCYPART_SIBL
(11,3),(11,22),0.232722 # DEPENDENCYPART_SIBL
(11,3),(11,23),0.233455 # DEPENDENCYPART_SIBL
(11,3),(11,24),-0.00718286 # DEPENDENCYPART_SIBL
(11,3),(11,25),-0.000346083 # DEPENDENCYPART_SIBL
(11,3),(11,26),-0.00824879 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.0142338 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.161126 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0142338 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.298983 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.161126 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0142338 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0281179 # DEPENDENCYPART_SIBL
