# _root_ Egymillió forint körüli összeget zsákmányolt az a férfi , aki péntek délben kirabolta a főváros XI. kerületében , a Bartók_Béla_úton lévő egyik postahivatalt .
#goldHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,21,21,20,21,23,23,13,5,
#predictedHeads=2,3,4,5,0,8,8,5,5,13,12,13,6,15,17,17,13,21,20,21,23,23,13,5,
(12,10),-0.000762242 # DEPENDENCYPART_ARC
(12,11),1.02705 # DEPENDENCYPART_ARC
(12,15),-1.58861 # DEPENDENCYPART_ARC
(12,17),-2.06597 # DEPENDENCYPART_ARC
(12,18),-0.964672 # DEPENDENCYPART_ARC
(12,20),-2.4343 # DEPENDENCYPART_ARC
(12,21),-2.07325 # DEPENDENCYPART_ARC
(12,23),-2.50653 # DEPENDENCYPART_ARC
(13,1),-1.59739 # DEPENDENCYPART_ARC
(13,2),-1.28605 # DEPENDENCYPART_ARC
(13,3),-1.77199 # DEPENDENCYPART_ARC
(13,4),-0.0386657 # DEPENDENCYPART_ARC
(13,5),-0.726339 # DEPENDENCYPART_ARC
(13,6),-0.577829 # DEPENDENCYPART_ARC
(13,7),-1.69915 # DEPENDENCYPART_ARC
(13,8),-0.352061 # DEPENDENCYPART_ARC
(13,9),-0.201164 # DEPENDENCYPART_ARC
(13,10),1.41965 # DEPENDENCYPART_ARC
(13,11),1.22511 # DEPENDENCYPART_ARC
(13,12),2.57856 # DEPENDENCYPART_ARC
(13,14),-1.01023 # DEPENDENCYPART_ARC
(13,15),0.28314 # DEPENDENCYPART_ARC
(13,17),1.21679 # DEPENDENCYPART_ARC
(13,18),0.0460735 # DEPENDENCYPART_ARC
(13,19),-1.92627 # DEPENDENCYPART_ARC
(13,20),-1.16769 # DEPENDENCYPART_ARC
(13,21),-1.48183 # DEPENDENCYPART_ARC
(13,22),-1.71791 # DEPENDENCYPART_ARC
(13,23),0.124629 # DEPENDENCYPART_ARC
(13,24),-0.53832 # DEPENDENCYPART_ARC
(14,16),-0.898241 # DEPENDENCYPART_ARC
(14,21),-1.53264 # DEPENDENCYPART_ARC
(15,6),-2.23928 # DEPENDENCYPART_ARC
(15,10),-1.93601 # DEPENDENCYPART_ARC
(15,13),-0.4084 # DEPENDENCYPART_ARC
(15,14),1.59278 # DEPENDENCYPART_ARC
(15,17),-1.54214 # DEPENDENCYPART_ARC
(15,18),-0.577157 # DEPENDENCYPART_ARC
(15,20),-1.98247 # DEPENDENCYPART_ARC
(15,21),-1.95717 # DEPENDENCYPART_ARC
(15,23),-2.16555 # DEPENDENCYPART_ARC
(16,15),-0.0946059 # DEPENDENCYPART_ARC
(16,20),-1.95201 # DEPENDENCYPART_ARC
(16,23),-2.26758 # DEPENDENCYPART_ARC
(16,24),-1.33223 # DEPENDENCYPART_ARC
(17,6),-2.48615 # DEPENDENCYPART_ARC
(17,11),-1.20023 # DEPENDENCYPART_ARC
(17,12),-2.86092 # DEPENDENCYPART_ARC
(17,14),-0.571188 # DEPENDENCYPART_ARC
(17,15),1.30737 # DEPENDENCYPART_ARC
(17,16),1.79118 # DEPENDENCYPART_ARC
(17,18),-0.70735 # DEPENDENCYPART_ARC
(17,20),-2.04147 # DEPENDENCYPART_ARC
(17,21),-1.78284 # DEPENDENCYPART_ARC
(17,23),-2.19963 # DEPENDENCYPART_ARC
(17,24),-1.69748 # DEPENDENCYPART_ARC
(19,21),-0.982747 # DEPENDENCYPART_ARC
(20,14),-1.2296 # DEPENDENCYPART_ARC
(20,15),-2.26019 # DEPENDENCYPART_ARC
(20,16),-0.885532 # DEPENDENCYPART_ARC
(20,17),-3.53795 # DEPENDENCYPART_ARC
(20,18),-1.41415 # DEPENDENCYPART_ARC
(20,19),1.82589 # DEPENDENCYPART_ARC
(20,23),-1.72745 # DEPENDENCYPART_ARC
(21,1),-1.8848 # DEPENDENCYPART_ARC
(21,2),-2.36299 # DEPENDENCYPART_ARC
(21,4),-1.77974 # DEPENDENCYPART_ARC
(21,5),-1.93035 # DEPENDENCYPART_ARC
(21,6),-1.64433 # DEPENDENCYPART_ARC
(21,8),-2.18942 # DEPENDENCYPART_ARC
(21,9),-1.12978 # DEPENDENCYPART_ARC
(21,10),-1.72306 # DEPENDENCYPART_ARC
(21,11),-1.90524 # DEPENDENCYPART_ARC
(21,12),-1.02619 # DEPENDENCYPART_ARC
(21,13),-1.32902 # DEPENDENCYPART_ARC
(21,14),-1.19954 # DEPENDENCYPART_ARC
(21,15),-1.20215 # DEPENDENCYPART_ARC
(21,17),-0.170059 # DEPENDENCYPART_ARC
(21,18),-0.242347 # DEPENDENCYPART_ARC
(21,19),-0.350985 # DEPENDENCYPART_ARC
(21,20),1.7035 # DEPENDENCYPART_ARC
(21,23),-1.40472 # DEPENDENCYPART_ARC
(21,24),-1.12884 # DEPENDENCYPART_ARC
(22,21),-0.364139 # DEPENDENCYPART_ARC
(23,14),-1.3088 # DEPENDENCYPART_ARC
(23,15),-2.19109 # DEPENDENCYPART_ARC
(23,16),-1.04423 # DEPENDENCYPART_ARC
(23,17),-3.76938 # DEPENDENCYPART_ARC
(23,18),-1.05711 # DEPENDENCYPART_ARC
(23,19),-0.235698 # DEPENDENCYPART_ARC
(23,20),-1.6898 # DEPENDENCYPART_ARC
(23,21),1.01352 # DEPENDENCYPART_ARC
(23,22),1.83884 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0380709 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0385284 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0365041 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0807774 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0193354 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0365676 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0807774 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0318278 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0703576 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0994927 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0241209 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0652032 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0995563 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0356182 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0886956 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0273818 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0351827 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0886956 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.109482 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0215487 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.066267 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.109546 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0920399 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.110071 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.245592 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0243881 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.106519 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.107408 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0483555 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0301261 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0761706 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0249479 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.105217 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0229865 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0760697 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0056372 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0110619 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0514349 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0105888 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0201228 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0101449 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0513976 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.026489 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0429152 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0417087 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0427893 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0397473 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0428144 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.0174371 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00340472 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0730238 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.00339506 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0273504 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.106867 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.050462 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0396468 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0449409 # DEPENDENCYPART_SIBL
(1,8),(1,24),0.00127494 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0554535 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.353633 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.055668 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0476138 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.022529 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.104811 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00748122 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00592961 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00684978 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0310006 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.00593638 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0175694 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0550135 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00340665 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0950536 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0548493 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0421329 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0757522 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.168105 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0500502 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.20947 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.10258 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0569026 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.0607709 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.423653 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0768812 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.208509 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0215223 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0205297 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.00749589 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0427427 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00951123 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00185141 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0160081 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.020795 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00184497 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0268995 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00245484 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00511618 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00831289 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00383879 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00504778 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0290492 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0420913 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0068199 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0358971 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0420961 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.00622452 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0761046 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.168876 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0504049 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.210904 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.104253 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0578805 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.0628896 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.42397 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.0784681 # DEPENDENCYPART_SIBL
(4,13),(4,24),0.209906 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0359408 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0291075 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00790504 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0272988 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00184204 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0165318 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0162662 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00592989 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0043008 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.00846018 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0148823 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0116045 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.000331309 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0162662 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.00902504 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0196768 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.00708771 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.000248192 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0581489 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.109728 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0671888 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0180966 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0438739 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0256293 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0492639 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0632044 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0495965 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0417598 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0543708 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0701476 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0256293 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0490316 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0282394 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0559738 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0465492 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0179455 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0313312 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00664421 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0183166 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.010403 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0111372 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00191799 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00607737 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00192913 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0062109 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0020515 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.010403 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.00664223 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0319046 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.00470491 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.00176076 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0415224 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0146158 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0126067 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00931894 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0235974 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0112886 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00231928 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0116029 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00245503 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0182318 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.00931894 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.00288414 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.00311252 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.00405801 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0276283 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.101929 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0289628 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0245875 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0153931 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0291395 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0299236 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0328564 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0264096 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0254713 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0245875 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0285843 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0514303 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.0227168 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.00698296 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0107639 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0102749 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00346405 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0104497 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0112338 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0370346 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.00771954 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.00678153 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0102749 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.00989448 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0108611 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.00402698 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0273449 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0554599 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0502082 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00570315 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0106129 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0097536 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0161409 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.018779 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0554599 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0119522 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0345729 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.02408 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.0373299 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0196029 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0688222 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0696249 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.187706 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0661958 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0651397 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0208304 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0694066 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0549574 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.0539573 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.046328 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0322375 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0330217 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0292986 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0295077 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0285694 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.025514 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0316824 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.0760099 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.0258149 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.00149655 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0540114 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0269214 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.063719 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0634898 # DEPENDENCYPART_SIBL
