# _root_ S bár aranyat ér minden találatuk , Hímer és Kökény hadrendbe állásával kézzelfoghatóvá vált , hogy a kubaiak játéka az egyéni improvizációra épül .
#goldHeads=14,14,4,14,6,4,14,12,12,12,12,14,14,0,14,14,18,19,23,22,22,23,14,14,
#predictedHeads=4,4,4,0,6,4,4,14,14,11,12,14,14,4,14,14,18,19,23,22,22,23,14,4,
(4,1),0.439177 # DEPENDENCYPART_ARC
(4,2),0.652695 # DEPENDENCYPART_ARC
(4,3),1.80655 # DEPENDENCYPART_ARC
(4,5),0.559808 # DEPENDENCYPART_ARC
(4,6),1.66871 # DEPENDENCYPART_ARC
(4,7),0.357002 # DEPENDENCYPART_ARC
(4,8),-0.209306 # DEPENDENCYPART_ARC
(4,9),-0.0191311 # DEPENDENCYPART_ARC
(4,10),-0.967766 # DEPENDENCYPART_ARC
(4,11),-0.459757 # DEPENDENCYPART_ARC
(4,12),-0.946886 # DEPENDENCYPART_ARC
(4,13),-0.405048 # DEPENDENCYPART_ARC
(4,14),0.318486 # DEPENDENCYPART_ARC
(4,15),-0.412032 # DEPENDENCYPART_ARC
(4,16),-0.68176 # DEPENDENCYPART_ARC
(4,18),-2.25787 # DEPENDENCYPART_ARC
(4,19),-1.60466 # DEPENDENCYPART_ARC
(4,21),-2.0452 # DEPENDENCYPART_ARC
(4,22),-1.93971 # DEPENDENCYPART_ARC
(4,23),-0.849513 # DEPENDENCYPART_ARC
(4,24),-0.474415 # DEPENDENCYPART_ARC
(6,2),-1.47118 # DEPENDENCYPART_ARC
(6,3),-3.80025 # DEPENDENCYPART_ARC
(6,4),-1.86371 # DEPENDENCYPART_ARC
(6,5),1.77934 # DEPENDENCYPART_ARC
(6,7),-0.7426 # DEPENDENCYPART_ARC
(6,8),-1.32795 # DEPENDENCYPART_ARC
(6,11),-2.11374 # DEPENDENCYPART_ARC
(6,14),-1.25075 # DEPENDENCYPART_ARC
(6,23),-1.6173 # DEPENDENCYPART_ARC
(6,24),-1.92889 # DEPENDENCYPART_ARC
(8,6),-0.698265 # DEPENDENCYPART_ARC
(8,7),-0.580271 # DEPENDENCYPART_ARC
(8,10),-1.36583 # DEPENDENCYPART_ARC
(8,12),-1.97458 # DEPENDENCYPART_ARC
(9,1),-0.936665 # DEPENDENCYPART_ARC
(9,2),-1.06747 # DEPENDENCYPART_ARC
(9,4),-0.0587253 # DEPENDENCYPART_ARC
(9,5),-1.63845 # DEPENDENCYPART_ARC
(9,6),-1.40991 # DEPENDENCYPART_ARC
(9,7),-0.596413 # DEPENDENCYPART_ARC
(9,8),-0.61294 # DEPENDENCYPART_ARC
(9,10),-0.848952 # DEPENDENCYPART_ARC
(9,11),-1.22892 # DEPENDENCYPART_ARC
(9,12),-1.45541 # DEPENDENCYPART_ARC
(9,13),-1.70008 # DEPENDENCYPART_ARC
(9,14),-0.939567 # DEPENDENCYPART_ARC
(9,15),-1.00172 # DEPENDENCYPART_ARC
(9,16),-1.47407 # DEPENDENCYPART_ARC
(9,18),-1.88389 # DEPENDENCYPART_ARC
(9,19),-1.87441 # DEPENDENCYPART_ARC
(9,23),-2.47723 # DEPENDENCYPART_ARC
(9,24),-2.68052 # DEPENDENCYPART_ARC
(10,8),-0.0698605 # DEPENDENCYPART_ARC
(10,9),-0.134933 # DEPENDENCYPART_ARC
(10,11),-1.25644 # DEPENDENCYPART_ARC
(10,12),-1.71333 # DEPENDENCYPART_ARC
(11,1),-0.757329 # DEPENDENCYPART_ARC
(11,3),-4.18484 # DEPENDENCYPART_ARC
(11,4),-2.4574 # DEPENDENCYPART_ARC
(11,5),-1.35498 # DEPENDENCYPART_ARC
(11,6),-2.03476 # DEPENDENCYPART_ARC
(11,7),-0.510989 # DEPENDENCYPART_ARC
(11,8),-0.34043 # DEPENDENCYPART_ARC
(11,9),0.0658422 # DEPENDENCYPART_ARC
(11,10),1.9283 # DEPENDENCYPART_ARC
(11,12),-2.04621 # DEPENDENCYPART_ARC
(11,13),-1.86831 # DEPENDENCYPART_ARC
(12,5),-1.8944 # DEPENDENCYPART_ARC
(12,6),-0.646582 # DEPENDENCYPART_ARC
(12,7),-0.700849 # DEPENDENCYPART_ARC
(12,8),-0.119315 # DEPENDENCYPART_ARC
(12,9),-0.348958 # DEPENDENCYPART_ARC
(12,10),1.37172 # DEPENDENCYPART_ARC
(12,11),0.956521 # DEPENDENCYPART_ARC
(12,13),-1.35887 # DEPENDENCYPART_ARC
(12,19),-2.15765 # DEPENDENCYPART_ARC
(12,23),-2.29094 # DEPENDENCYPART_ARC
(13,1),-1.11884 # DEPENDENCYPART_ARC
(13,2),-0.835703 # DEPENDENCYPART_ARC
(13,3),-2.15444 # DEPENDENCYPART_ARC
(13,4),-1.7331 # DEPENDENCYPART_ARC
(13,6),-2.80044 # DEPENDENCYPART_ARC
(13,7),-0.770685 # DEPENDENCYPART_ARC
(13,8),-1.6415 # DEPENDENCYPART_ARC
(13,9),-0.516033 # DEPENDENCYPART_ARC
(13,10),-1.40783 # DEPENDENCYPART_ARC
(13,11),-0.296306 # DEPENDENCYPART_ARC
(13,12),0.131456 # DEPENDENCYPART_ARC
(13,15),-0.913345 # DEPENDENCYPART_ARC
(13,18),-1.91414 # DEPENDENCYPART_ARC
(13,19),-1.89244 # DEPENDENCYPART_ARC
(13,23),-1.78158 # DEPENDENCYPART_ARC
(13,24),-1.29008 # DEPENDENCYPART_ARC
(14,1),-0.169211 # DEPENDENCYPART_ARC
(14,2),0.331682 # DEPENDENCYPART_ARC
(14,3),-0.64821 # DEPENDENCYPART_ARC
(14,4),-0.646537 # DEPENDENCYPART_ARC
(14,5),-0.522177 # DEPENDENCYPART_ARC
(14,6),0.0541962 # DEPENDENCYPART_ARC
(14,7),-0.00266816 # DEPENDENCYPART_ARC
(14,8),1.09638 # DEPENDENCYPART_ARC
(14,9),0.487891 # DEPENDENCYPART_ARC
(14,10),1.42647 # DEPENDENCYPART_ARC
(14,11),0.664029 # DEPENDENCYPART_ARC
(14,12),1.21589 # DEPENDENCYPART_ARC
(14,13),2.65137 # DEPENDENCYPART_ARC
(14,15),0.499511 # DEPENDENCYPART_ARC
(14,16),1.85948 # DEPENDENCYPART_ARC
(14,17),-1.94189 # DEPENDENCYPART_ARC
(14,18),-1.41314 # DEPENDENCYPART_ARC
(14,19),-0.82603 # DEPENDENCYPART_ARC
(14,20),-2.34329 # DEPENDENCYPART_ARC
(14,21),-1.88334 # DEPENDENCYPART_ARC
(14,22),-1.3837 # DEPENDENCYPART_ARC
(14,23),-0.0754137 # DEPENDENCYPART_ARC
(14,24),-1.1362 # DEPENDENCYPART_ARC
(16,1),-0.793313 # DEPENDENCYPART_ARC
(16,2),-0.873505 # DEPENDENCYPART_ARC
(16,3),-2.65699 # DEPENDENCYPART_ARC
(16,4),-2.8249 # DEPENDENCYPART_ARC
(16,6),-1.77758 # DEPENDENCYPART_ARC
(16,8),-1.61902 # DEPENDENCYPART_ARC
(16,9),-0.68634 # DEPENDENCYPART_ARC
(16,10),-1.12401 # DEPENDENCYPART_ARC
(16,11),-1.16065 # DEPENDENCYPART_ARC
(16,12),-0.57973 # DEPENDENCYPART_ARC
(16,13),-0.585833 # DEPENDENCYPART_ARC
(16,14),-1.93994 # DEPENDENCYPART_ARC
(16,15),0.157056 # DEPENDENCYPART_ARC
(16,18),-1.01864 # DEPENDENCYPART_ARC
(16,19),-1.30322 # DEPENDENCYPART_ARC
(16,21),-1.56044 # DEPENDENCYPART_ARC
(16,22),-1.93794 # DEPENDENCYPART_ARC
(16,23),-0.507102 # DEPENDENCYPART_ARC
(16,24),-0.545941 # DEPENDENCYPART_ARC
(18,16),-1.16621 # DEPENDENCYPART_ARC
(18,17),1.83625 # DEPENDENCYPART_ARC
(19,9),-1.09919 # DEPENDENCYPART_ARC
(19,10),-1.01539 # DEPENDENCYPART_ARC
(19,11),-2.59768 # DEPENDENCYPART_ARC
(19,12),-4.44433 # DEPENDENCYPART_ARC
(19,13),-4.08689 # DEPENDENCYPART_ARC
(19,14),-2.09646 # DEPENDENCYPART_ARC
(19,15),-0.987899 # DEPENDENCYPART_ARC
(19,16),-0.79443 # DEPENDENCYPART_ARC
(19,17),0.252933 # DEPENDENCYPART_ARC
(19,18),3.12805 # DEPENDENCYPART_ARC
(19,20),-1.55772 # DEPENDENCYPART_ARC
(19,21),-1.4104 # DEPENDENCYPART_ARC
(19,22),-1.24571 # DEPENDENCYPART_ARC
(20,21),-0.510997 # DEPENDENCYPART_ARC
(21,17),-1.88386 # DEPENDENCYPART_ARC
(21,18),-1.90464 # DEPENDENCYPART_ARC
(21,19),-1.65749 # DEPENDENCYPART_ARC
(21,20),-0.614879 # DEPENDENCYPART_ARC
(22,13),-3.23524 # DEPENDENCYPART_ARC
(22,15),-0.970729 # DEPENDENCYPART_ARC
(22,16),-0.808972 # DEPENDENCYPART_ARC
(22,17),-0.924854 # DEPENDENCYPART_ARC
(22,18),-1.54816 # DEPENDENCYPART_ARC
(22,19),-2.00049 # DEPENDENCYPART_ARC
(22,20),1.03767 # DEPENDENCYPART_ARC
(22,21),2.18224 # DEPENDENCYPART_ARC
(23,1),-0.45735 # DEPENDENCYPART_ARC
(23,2),0.461054 # DEPENDENCYPART_ARC
(23,3),-1.03021 # DEPENDENCYPART_ARC
(23,4),-0.860959 # DEPENDENCYPART_ARC
(23,6),-0.780747 # DEPENDENCYPART_ARC
(23,7),-0.379056 # DEPENDENCYPART_ARC
(23,8),-0.00220453 # DEPENDENCYPART_ARC
(23,9),0.134104 # DEPENDENCYPART_ARC
(23,10),-0.0646012 # DEPENDENCYPART_ARC
(23,11),-1.04758 # DEPENDENCYPART_ARC
(23,12),-0.924606 # DEPENDENCYPART_ARC
(23,13),-0.202445 # DEPENDENCYPART_ARC
(23,14),-0.634535 # DEPENDENCYPART_ARC
(23,15),-0.27706 # DEPENDENCYPART_ARC
(23,16),-0.316679 # DEPENDENCYPART_ARC
(23,17),-1.24956 # DEPENDENCYPART_ARC
(23,18),0.573344 # DEPENDENCYPART_ARC
(23,19),1.46462 # DEPENDENCYPART_ARC
(23,20),-0.78651 # DEPENDENCYPART_ARC
(23,21),0.133599 # DEPENDENCYPART_ARC
(23,22),2.72071 # DEPENDENCYPART_ARC
(23,24),-0.187223 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.180157 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.082696 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.119828 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.20429 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.122721 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.175875 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.129352 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.082183 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.120153 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.174926 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.123045 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.151449 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.129678 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.107575 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.12001 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.107682 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.136432 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.108668 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.2208 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.244688 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.265529 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.24518 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.122473 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.197516 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.128572 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.268049 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.240699 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.139027 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0276537 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0413499 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0276526 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00498551 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0112191 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0456759 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.00498551 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.068523 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0276526 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0509954 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0422706 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0430697 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0145053 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0245151 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0274369 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0446968 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0245151 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.078117 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0145053 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.044287 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.00465569 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.115293 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.190449 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0485069 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.00959035 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.190449 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0429269 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.115293 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.00865993 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.18692 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0245169 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0274369 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0446857 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0245169 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.0781167 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.0145053 # DEPENDENCYPART_SIBL
(1,6),(1,23),-0.0442759 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.00465341 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.104703 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.232318 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0284274 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.204799 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.147022 # DEPENDENCYPART_SIBL
(1,7),(1,23),0.207639 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.0374886 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.0448005 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.0182791 # DEPENDENCYPART_SIBL
(1,13),(1,16),-0.0441467 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0134478 # DEPENDENCYPART_SIBL
(1,13),(1,23),-0.0405626 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.0423353 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.185594 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0401496 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.118113 # DEPENDENCYPART_SIBL
(1,14),(1,23),0.000596673 # DEPENDENCYPART_SIBL
(1,14),(1,24),0.213777 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.204799 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.147022 # DEPENDENCYPART_SIBL
(1,15),(1,23),0.207639 # DEPENDENCYPART_SIBL
(1,15),(1,24),0.0374886 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0561433 # DEPENDENCYPART_SIBL
(1,16),(1,23),-0.0389219 # DEPENDENCYPART_SIBL
(1,16),(1,24),0.111415 # DEPENDENCYPART_SIBL
(1,19),(1,23),-0.0442759 # DEPENDENCYPART_SIBL
(1,19),(1,24),-0.00465341 # DEPENDENCYPART_SIBL
(1,23),(1,24),0.189304 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0454513 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0856832 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.114997 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0307151 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0160767 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0893804 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.170322 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0324112 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0336436 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0345014 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0576281 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0336285 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.00417864 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0167133 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.165821 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0506631 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0162132 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0789587 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.161059 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0477917 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.00686251 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.106004 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.197009 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.169027 # DEPENDENCYPART_SIBL
(2,15),(2,24),0.000448334 # DEPENDENCYPART_SIBL
(2,16),(2,23),-0.0415478 # DEPENDENCYPART_SIBL
(2,16),(2,24),0.0868813 # DEPENDENCYPART_SIBL
(2,23),(2,24),0.0813425 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0823609 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0287251 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.161461 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.017924 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.111805 # DEPENDENCYPART_SIBL
(3,14),(3,24),0.216227 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0175025 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0463511 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0158316 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0428781 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00723851 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0428781 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00638942 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0428781 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0486007 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0428781 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00513456 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00917793 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00723851 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.00145032 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0428781 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0428781 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.00514066 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0428781 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0028759 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.184124 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0444943 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.029923 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00629768 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0272896 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00629768 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0101696 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00629768 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0119624 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00629768 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0316015 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0293187 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0272896 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0257879 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00629768 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00629768 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0316076 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.00629768 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0418443 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0450484 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.02413 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.000983346 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0230129 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.000983346 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00583902 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.000983346 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0151493 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.000983346 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00645071 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00291653 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0230129 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.017593 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.000983346 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.000983346 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.00643515 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.000983346 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0173153 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0265694 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0162081 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00297975 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0162081 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0134214 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0162081 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0241561 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0162081 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0520223 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.028499 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00297975 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.131527 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0162081 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0162081 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0520169 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0162081 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.067905 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0197067 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0462853 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0196034 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0331212 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0196034 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0346292 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0196034 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0258543 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.000181574 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0462853 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0485408 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0196034 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0196034 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.0258449 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0196034 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0414394 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.00784966 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0876539 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.089378 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0876539 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0777831 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0876539 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.071649 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.239004 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00195857 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.833903 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0876539 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0876539 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0716392 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0876539 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.135922 # DEPENDENCYPART_SIBL
(4,7),(4,24),0.0744763 # DEPENDENCYPART_SIBL
