# _root_ A megyei munkaügyi központokat és a társminisztériumokat is arra ösztönzi a gazdasági tárca , hogy segítsenek megoldani a bányászok elhelyezkedését , illetve átképzését megfelelő munkákra .
#goldHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,17,17,17,25,17,10,
#predictedHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,16,16,24,25,16,10,
(5,23),-2.16923 # DEPENDENCYPART_ARC
(5,25),-2.21249 # DEPENDENCYPART_ARC
(5,26),-2.56933 # DEPENDENCYPART_ARC
(7,1),-1.48714 # DEPENDENCYPART_ARC
(7,3),-1.25234 # DEPENDENCYPART_ARC
(7,4),-2.45741 # DEPENDENCYPART_ARC
(7,5),-0.629254 # DEPENDENCYPART_ARC
(7,6),1.85252 # DEPENDENCYPART_ARC
(8,2),-1.51988 # DEPENDENCYPART_ARC
(8,3),-1.44471 # DEPENDENCYPART_ARC
(8,4),-1.77288 # DEPENDENCYPART_ARC
(8,5),-0.583099 # DEPENDENCYPART_ARC
(8,6),-1.40969 # DEPENDENCYPART_ARC
(8,7),-0.742025 # DEPENDENCYPART_ARC
(8,9),-1.8248 # DEPENDENCYPART_ARC
(8,10),-0.431447 # DEPENDENCYPART_ARC
(8,13),-1.40009 # DEPENDENCYPART_ARC
(8,14),-1.0293 # DEPENDENCYPART_ARC
(8,15),-1.30367 # DEPENDENCYPART_ARC
(8,16),-1.76116 # DEPENDENCYPART_ARC
(8,17),-2.20809 # DEPENDENCYPART_ARC
(8,25),-2.36044 # DEPENDENCYPART_ARC
(8,26),-2.31432 # DEPENDENCYPART_ARC
(9,2),-1.5881 # DEPENDENCYPART_ARC
(9,3),-1.49645 # DEPENDENCYPART_ARC
(9,4),-1.88282 # DEPENDENCYPART_ARC
(9,5),-0.781026 # DEPENDENCYPART_ARC
(9,7),-1.44178 # DEPENDENCYPART_ARC
(9,8),-0.180382 # DEPENDENCYPART_ARC
(9,10),0.57309 # DEPENDENCYPART_ARC
(9,12),-0.354622 # DEPENDENCYPART_ARC
(9,13),-0.369692 # DEPENDENCYPART_ARC
(9,14),-0.249786 # DEPENDENCYPART_ARC
(9,15),0.11895 # DEPENDENCYPART_ARC
(9,16),2.16063 # DEPENDENCYPART_ARC
(9,17),-0.114176 # DEPENDENCYPART_ARC
(9,19),-0.602751 # DEPENDENCYPART_ARC
(9,20),-1.33049 # DEPENDENCYPART_ARC
(9,21),0.13927 # DEPENDENCYPART_ARC
(9,22),-0.0469364 # DEPENDENCYPART_ARC
(9,23),-1.31788 # DEPENDENCYPART_ARC
(9,24),-0.312164 # DEPENDENCYPART_ARC
(9,25),-1.38771 # DEPENDENCYPART_ARC
(9,26),-1.22314 # DEPENDENCYPART_ARC
(10,1),-1.71604 # DEPENDENCYPART_ARC
(10,2),-1.57494 # DEPENDENCYPART_ARC
(10,3),-1.43345 # DEPENDENCYPART_ARC
(10,4),-0.207284 # DEPENDENCYPART_ARC
(10,5),-0.0714762 # DEPENDENCYPART_ARC
(10,6),-1.47611 # DEPENDENCYPART_ARC
(10,7),0.40449 # DEPENDENCYPART_ARC
(10,8),1.00523 # DEPENDENCYPART_ARC
(10,9),2.16754 # DEPENDENCYPART_ARC
(10,11),-0.955485 # DEPENDENCYPART_ARC
(10,12),0.00596112 # DEPENDENCYPART_ARC
(10,13),1.23383 # DEPENDENCYPART_ARC
(10,14),0.611551 # DEPENDENCYPART_ARC
(10,15),1.51861 # DEPENDENCYPART_ARC
(10,16),0.38493 # DEPENDENCYPART_ARC
(10,17),0.620831 # DEPENDENCYPART_ARC
(10,18),-2.02452 # DEPENDENCYPART_ARC
(10,19),-1.74915 # DEPENDENCYPART_ARC
(10,20),0.190925 # DEPENDENCYPART_ARC
(10,21),-0.155008 # DEPENDENCYPART_ARC
(10,22),-0.515425 # DEPENDENCYPART_ARC
(10,23),-1.78531 # DEPENDENCYPART_ARC
(10,24),-1.83632 # DEPENDENCYPART_ARC
(10,25),-1.81932 # DEPENDENCYPART_ARC
(10,26),-0.608129 # DEPENDENCYPART_ARC
(11,12),-0.584264 # DEPENDENCYPART_ARC
(12,9),-1.91228 # DEPENDENCYPART_ARC
(12,11),-0.712255 # DEPENDENCYPART_ARC
(13,1),-2.57127 # DEPENDENCYPART_ARC
(13,5),-1.39427 # DEPENDENCYPART_ARC
(13,6),-1.29227 # DEPENDENCYPART_ARC
(13,7),-3.90781 # DEPENDENCYPART_ARC
(13,8),-1.44068 # DEPENDENCYPART_ARC
(13,9),-1.54092 # DEPENDENCYPART_ARC
(13,11),1.35091 # DEPENDENCYPART_ARC
(13,12),2.3353 # DEPENDENCYPART_ARC
(13,14),-0.624396 # DEPENDENCYPART_ARC
(13,16),-1.46437 # DEPENDENCYPART_ARC
(15,2),-1.24772 # DEPENDENCYPART_ARC
(15,3),-1.31987 # DEPENDENCYPART_ARC
(15,4),-2.67776 # DEPENDENCYPART_ARC
(15,5),-0.994957 # DEPENDENCYPART_ARC
(15,7),-2.16587 # DEPENDENCYPART_ARC
(15,8),-0.563448 # DEPENDENCYPART_ARC
(15,9),-1.31535 # DEPENDENCYPART_ARC
(15,10),-2.38285 # DEPENDENCYPART_ARC
(15,12),-0.0833961 # DEPENDENCYPART_ARC
(15,13),-0.263955 # DEPENDENCYPART_ARC
(15,14),0.235049 # DEPENDENCYPART_ARC
(15,16),-0.0728989 # DEPENDENCYPART_ARC
(15,17),-0.821448 # DEPENDENCYPART_ARC
(15,19),-1.38904 # DEPENDENCYPART_ARC
(15,20),-1.6931 # DEPENDENCYPART_ARC
(15,21),-1.01156 # DEPENDENCYPART_ARC
(15,22),-0.945533 # DEPENDENCYPART_ARC
(15,23),-2.02106 # DEPENDENCYPART_ARC
(15,25),-2.14847 # DEPENDENCYPART_ARC
(15,26),-0.553608 # DEPENDENCYPART_ARC
(16,4),-1.98425 # DEPENDENCYPART_ARC
(16,7),-1.66256 # DEPENDENCYPART_ARC
(16,8),-1.50199 # DEPENDENCYPART_ARC
(16,9),-3.07755 # DEPENDENCYPART_ARC
(16,10),-1.70132 # DEPENDENCYPART_ARC
(16,12),-2.49031 # DEPENDENCYPART_ARC
(16,13),-1.71955 # DEPENDENCYPART_ARC
(16,14),-1.07781 # DEPENDENCYPART_ARC
(16,15),-0.898036 # DEPENDENCYPART_ARC
(16,17),2.57347 # DEPENDENCYPART_ARC
(16,18),-1.31769 # DEPENDENCYPART_ARC
(16,19),-0.146239 # DEPENDENCYPART_ARC
(16,20),0.624151 # DEPENDENCYPART_ARC
(16,21),-0.0481427 # DEPENDENCYPART_ARC
(16,22),-0.372733 # DEPENDENCYPART_ARC
(16,23),-1.1869 # DEPENDENCYPART_ARC
(16,24),-1.48531 # DEPENDENCYPART_ARC
(16,25),-0.338665 # DEPENDENCYPART_ARC
(16,26),-0.847511 # DEPENDENCYPART_ARC
(17,1),-1.64515 # DEPENDENCYPART_ARC
(17,2),-1.38076 # DEPENDENCYPART_ARC
(17,3),-1.26179 # DEPENDENCYPART_ARC
(17,4),-0.324921 # DEPENDENCYPART_ARC
(17,5),-1.21636 # DEPENDENCYPART_ARC
(17,6),-1.68599 # DEPENDENCYPART_ARC
(17,7),-0.0777246 # DEPENDENCYPART_ARC
(17,8),-1.03114 # DEPENDENCYPART_ARC
(17,9),-0.733794 # DEPENDENCYPART_ARC
(17,10),-1.77682 # DEPENDENCYPART_ARC
(17,11),-1.38174 # DEPENDENCYPART_ARC
(17,12),-0.47533 # DEPENDENCYPART_ARC
(17,13),-0.820293 # DEPENDENCYPART_ARC
(17,14),-0.158014 # DEPENDENCYPART_ARC
(17,15),-0.461058 # DEPENDENCYPART_ARC
(17,16),0.15649 # DEPENDENCYPART_ARC
(17,18),-0.637481 # DEPENDENCYPART_ARC
(17,19),-0.163866 # DEPENDENCYPART_ARC
(17,20),1.8798 # DEPENDENCYPART_ARC
(17,21),-0.440948 # DEPENDENCYPART_ARC
(17,22),-0.684752 # DEPENDENCYPART_ARC
(17,23),-0.37482 # DEPENDENCYPART_ARC
(17,24),-0.896997 # DEPENDENCYPART_ARC
(17,25),-0.398387 # DEPENDENCYPART_ARC
(17,26),-1.12598 # DEPENDENCYPART_ARC
(19,11),-1.99342 # DEPENDENCYPART_ARC
(19,18),1.6806 # DEPENDENCYPART_ARC
(20,11),-2.47164 # DEPENDENCYPART_ARC
(20,13),-1.03817 # DEPENDENCYPART_ARC
(20,15),-1.33315 # DEPENDENCYPART_ARC
(20,17),0.187336 # DEPENDENCYPART_ARC
(20,18),0.125626 # DEPENDENCYPART_ARC
(20,19),3.4013 # DEPENDENCYPART_ARC
(20,21),-0.810586 # DEPENDENCYPART_ARC
(20,23),-2.2104 # DEPENDENCYPART_ARC
(20,25),-1.95684 # DEPENDENCYPART_ARC
(22,2),-2.17269 # DEPENDENCYPART_ARC
(22,3),-2.26504 # DEPENDENCYPART_ARC
(22,4),-3.3221 # DEPENDENCYPART_ARC
(22,5),-1.33396 # DEPENDENCYPART_ARC
(22,8),-1.41588 # DEPENDENCYPART_ARC
(22,9),-2.9087 # DEPENDENCYPART_ARC
(22,10),-1.21889 # DEPENDENCYPART_ARC
(22,12),-2.34856 # DEPENDENCYPART_ARC
(22,13),-2.88678 # DEPENDENCYPART_ARC
(22,14),-1.55912 # DEPENDENCYPART_ARC
(22,15),-1.13454 # DEPENDENCYPART_ARC
(22,16),-0.595663 # DEPENDENCYPART_ARC
(22,17),-1.46609 # DEPENDENCYPART_ARC
(22,18),-1.81568 # DEPENDENCYPART_ARC
(22,19),-1.37681 # DEPENDENCYPART_ARC
(22,20),-1.76887 # DEPENDENCYPART_ARC
(22,21),-0.00619369 # DEPENDENCYPART_ARC
(22,23),-1.03954 # DEPENDENCYPART_ARC
(22,24),-1.3575 # DEPENDENCYPART_ARC
(22,25),-1.72188 # DEPENDENCYPART_ARC
(22,26),-1.21843 # DEPENDENCYPART_ARC
(23,18),-1.43375 # DEPENDENCYPART_ARC
(23,19),0.763889 # DEPENDENCYPART_ARC
(23,20),-2.78023 # DEPENDENCYPART_ARC
(23,21),-0.575393 # DEPENDENCYPART_ARC
(23,22),0.109363 # DEPENDENCYPART_ARC
(23,24),-1.17217 # DEPENDENCYPART_ARC
(23,25),-1.28483 # DEPENDENCYPART_ARC
(24,5),-1.0057 # DEPENDENCYPART_ARC
(24,7),-1.8918 # DEPENDENCYPART_ARC
(24,8),-1.14102 # DEPENDENCYPART_ARC
(24,15),-0.956215 # DEPENDENCYPART_ARC
(24,18),-1.39135 # DEPENDENCYPART_ARC
(24,19),-1.33021 # DEPENDENCYPART_ARC
(24,20),-0.537519 # DEPENDENCYPART_ARC
(24,21),-0.461929 # DEPENDENCYPART_ARC
(24,22),-0.426023 # DEPENDENCYPART_ARC
(24,23),1.25312 # DEPENDENCYPART_ARC
(25,7),-5.11846 # DEPENDENCYPART_ARC
(25,11),-2.0489 # DEPENDENCYPART_ARC
(25,12),-2.068 # DEPENDENCYPART_ARC
(25,13),-3.59058 # DEPENDENCYPART_ARC
(25,14),-1.38404 # DEPENDENCYPART_ARC
(25,16),-2.45828 # DEPENDENCYPART_ARC
(25,17),-0.144301 # DEPENDENCYPART_ARC
(25,18),-0.415035 # DEPENDENCYPART_ARC
(25,19),-1.79612 # DEPENDENCYPART_ARC
(25,20),-3.43417 # DEPENDENCYPART_ARC
(25,21),-0.513798 # DEPENDENCYPART_ARC
(25,22),0.190594 # DEPENDENCYPART_ARC
(25,23),-1.41995 # DEPENDENCYPART_ARC
(25,24),2.51545 # DEPENDENCYPART_ARC
(25,26),-1.33544 # DEPENDENCYPART_ARC
(0,4),(0,5),-0.120009 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.102992 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0141556 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.107518 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.136432 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.107518 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.107523 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.12511 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.201717 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0558015 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.12355 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.197516 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.12355 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.12355 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.187773 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0343148 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.131863 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.131004 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.131863 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.131863 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.138353 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.114737 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0179104 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.114737 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.114737 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.0752287 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.265529 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.245466 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.245468 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.221432 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.130334 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.130334 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.174649 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.245468 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.221432 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.219307 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.000112456 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00548558 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0375479 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.0759838 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0762883 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.00548556 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0156619 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.197488 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.144068 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0272486 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0456366 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0147796 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0116838 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.12504 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0114531 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0510351 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.015016 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0130756 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0113768 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.047854 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0318375 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0130756 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.0131288 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0114531 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0495898 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0114531 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0114531 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.0952526 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.020409 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0144751 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0279592 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00876393 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00783173 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.030922 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00471739 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00868773 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0119507 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0205488 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.00471739 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.00449114 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.00876393 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0385534 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.00876393 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.00876393 # DEPENDENCYPART_SIBL
(5,2),(5,26),0.0293331 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0142399 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0281153 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0089411 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00764848 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.031107 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00509257 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00886489 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0113736 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0207579 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00509257 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.00486632 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0089411 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0383701 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0089411 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.0089411 # DEPENDENCYPART_SIBL
(5,3),(5,26),0.0296973 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0477941 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.233831 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00470338 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.028331 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.000171722 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.231111 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.000560421 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0118875 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.000171722 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0011787 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.233831 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0259141 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.233831 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.233831 # DEPENDENCYPART_SIBL
(5,4),(5,26),-0.00815188 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0307177 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0470865 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0157094 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0720463 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0307193 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0426384 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0658296 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0720463 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0720463 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0307177 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0488935 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.0307177 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0307177 # DEPENDENCYPART_SIBL
(5,6),(5,26),-0.0413139 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0499353 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0525038 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0601764 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.047885 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.00941697 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0876359 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0601764 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0601818 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0462163 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.0713037 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.0462163 # DEPENDENCYPART_SIBL
(5,7),(5,25),-0.0462163 # DEPENDENCYPART_SIBL
(5,7),(5,26),-0.0584892 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0571489 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0394007 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0409702 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0109573 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0244746 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0394007 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0394007 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0409662 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.0316248 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0409662 # DEPENDENCYPART_SIBL
(5,8),(5,25),-0.0409662 # DEPENDENCYPART_SIBL
(5,8),(5,26),0.0270585 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0509378 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0191428 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0119761 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0380866 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0509378 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0509378 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0191399 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0126736 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0191399 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.0191399 # DEPENDENCYPART_SIBL
(5,9),(5,26),0.0520344 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0850586 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.16027 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0534311 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0160633 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0160658 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0850633 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.00824547 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.0850633 # DEPENDENCYPART_SIBL
(5,10),(5,25),0.0850633 # DEPENDENCYPART_SIBL
(5,10),(5,26),0.173438 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0112442 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0876611 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.060191 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0601963 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.0489311 # DEPENDENCYPART_SIBL
(5,13),(5,22),-0.071329 # DEPENDENCYPART_SIBL
(5,13),(5,23),-0.0489311 # DEPENDENCYPART_SIBL
(5,13),(5,25),-0.0489311 # DEPENDENCYPART_SIBL
(5,13),(5,26),-0.0611604 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.175917 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.185194 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.185182 # DEPENDENCYPART_SIBL
(5,14),(5,20),0.0670661 # DEPENDENCYPART_SIBL
(5,14),(5,22),-0.0285304 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.0670661 # DEPENDENCYPART_SIBL
(5,14),(5,25),0.0670661 # DEPENDENCYPART_SIBL
(5,14),(5,26),0.00726496 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0323616 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0323616 # DEPENDENCYPART_SIBL
(5,15),(5,20),-0.0753609 # DEPENDENCYPART_SIBL
(5,15),(5,22),-0.0590063 # DEPENDENCYPART_SIBL
(5,15),(5,23),-0.0753609 # DEPENDENCYPART_SIBL
(5,15),(5,25),-0.0753609 # DEPENDENCYPART_SIBL
(5,15),(5,26),0.109461 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0160658 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.0850633 # DEPENDENCYPART_SIBL
(5,16),(5,22),-0.00824547 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.0850633 # DEPENDENCYPART_SIBL
(5,16),(5,25),0.0850633 # DEPENDENCYPART_SIBL
(5,16),(5,26),0.173438 # DEPENDENCYPART_SIBL
(5,17),(5,20),0.0843839 # DEPENDENCYPART_SIBL
(5,17),(5,22),-0.00618987 # DEPENDENCYPART_SIBL
(5,17),(5,23),0.0843839 # DEPENDENCYPART_SIBL
(5,17),(5,25),0.0843839 # DEPENDENCYPART_SIBL
(5,17),(5,26),0.17224 # DEPENDENCYPART_SIBL
(5,20),(5,22),-0.0713037 # DEPENDENCYPART_SIBL
