# _root_ A század első negyedében Alsógöd , Felsőgöd és Sződliget kialakuló református gyülekezetei előbb a váci anyaegyház leány- , majd fiókegyházaiként növekedtek .
#goldHeads=2,4,4,21,12,12,12,12,12,12,12,21,21,16,16,20,20,20,20,21,0,21,
#predictedHeads=2,4,4,8,7,7,12,12,10,12,12,21,21,16,16,20,21,21,21,21,0,21,
(16,19),-1.32897 # DEPENDENCYPART_ARC
(16,20),-2.04725 # DEPENDENCYPART_ARC
(16,21),-1.34535 # DEPENDENCYPART_ARC
(17,16),0.706162 # DEPENDENCYPART_ARC
(17,18),-0.0506372 # DEPENDENCYPART_ARC
(19,5),-2.44534 # DEPENDENCYPART_ARC
(19,6),-2.11574 # DEPENDENCYPART_ARC
(19,7),-2.37022 # DEPENDENCYPART_ARC
(19,8),-1.1325 # DEPENDENCYPART_ARC
(19,9),-1.77661 # DEPENDENCYPART_ARC
(19,10),-1.84114 # DEPENDENCYPART_ARC
(19,11),-1.96154 # DEPENDENCYPART_ARC
(19,12),-1.96137 # DEPENDENCYPART_ARC
(19,13),-1.15645 # DEPENDENCYPART_ARC
(19,14),-1.95615 # DEPENDENCYPART_ARC
(19,15),-1.61461 # DEPENDENCYPART_ARC
(19,16),-1.47493 # DEPENDENCYPART_ARC
(19,17),-1.03594 # DEPENDENCYPART_ARC
(19,18),0.141936 # DEPENDENCYPART_ARC
(19,20),-1.03257 # DEPENDENCYPART_ARC
(19,21),0.0602739 # DEPENDENCYPART_ARC
(19,22),-0.517328 # DEPENDENCYPART_ARC
(20,8),-1.65003 # DEPENDENCYPART_ARC
(20,10),-2.24526 # DEPENDENCYPART_ARC
(20,11),-2.19547 # DEPENDENCYPART_ARC
(20,12),-2.25593 # DEPENDENCYPART_ARC
(20,13),-1.89537 # DEPENDENCYPART_ARC
(20,14),-1.92845 # DEPENDENCYPART_ARC
(20,15),-1.22758 # DEPENDENCYPART_ARC
(20,16),-0.353587 # DEPENDENCYPART_ARC
(20,17),-0.47663 # DEPENDENCYPART_ARC
(20,18),-0.690755 # DEPENDENCYPART_ARC
(20,19),0.0798708 # DEPENDENCYPART_ARC
(20,22),-1.56548 # DEPENDENCYPART_ARC
(21,2),-0.903862 # DEPENDENCYPART_ARC
(21,5),-1.18857 # DEPENDENCYPART_ARC
(21,6),-0.400212 # DEPENDENCYPART_ARC
(21,7),-0.366957 # DEPENDENCYPART_ARC
(21,8),0.118327 # DEPENDENCYPART_ARC
(21,9),-0.471904 # DEPENDENCYPART_ARC
(21,10),-1.69499 # DEPENDENCYPART_ARC
(21,11),-1.61561 # DEPENDENCYPART_ARC
(21,12),0.865764 # DEPENDENCYPART_ARC
(21,13),0.535352 # DEPENDENCYPART_ARC
(21,14),-1.28565 # DEPENDENCYPART_ARC
(21,15),-1.33848 # DEPENDENCYPART_ARC
(21,16),0.323102 # DEPENDENCYPART_ARC
(21,17),-0.0756774 # DEPENDENCYPART_ARC
(21,18),0.0859667 # DEPENDENCYPART_ARC
(21,19),0.681111 # DEPENDENCYPART_ARC
(21,20),3.6917 # DEPENDENCYPART_ARC
(21,22),-0.20129 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0127778 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.102698 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.038604 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0357017 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0877225 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0772325 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.101737 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0383293 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0352916 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.08689 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0806602 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0894222 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0725621 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.194757 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.12355 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0351976 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0892392 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0886079 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.120899 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.118538 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.13708 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0180202 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00434116 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0775651 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0221686 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.00810332 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0289418 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0253856 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.015631 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.00724556 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0504139 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.119855 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0223788 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0296043 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0573653 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0473761 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0311062 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0250377 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0705085 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.0264773 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.0959066 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.20977 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.106906 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.027088 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.00498506 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0208142 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.203253 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.00207841 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00907785 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00331961 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00331961 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.00331961 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.00907785 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0086177 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.0285178 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.139813 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0148881 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0140798 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00430209 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00430209 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.00430209 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0140798 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.00376476 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0323613 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0734791 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0148303 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00776751 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.00776751 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00776751 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0148303 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.00617436 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0267382 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0193248 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0154268 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0154268 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0154268 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0193248 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.00127483 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0232156 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.342981 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.342981 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.342981 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.00482316 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.425607 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0787788 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00471394 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00471394 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.103086 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.058216 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.0485651 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00471394 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.103086 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.058216 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.0485651 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.103086 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.058216 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.0485651 # DEPENDENCYPART_SIBL
(5,18),(5,21),0.425607 # DEPENDENCYPART_SIBL
(5,18),(5,22),0.0787788 # DEPENDENCYPART_SIBL
(5,21),(5,22),0.211166 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0208142 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.203253 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0129962 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.190771 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00331961 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.00331961 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00331961 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.0086177 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.0285178 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.139813 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0367602 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.623738 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.00430209 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.00430209 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.00430209 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.00376476 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.0323613 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0104275 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.528908 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.00776751 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.00776751 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.00776751 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.00617436 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.0267382 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.641687 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.00337853 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00337853 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.00337853 # DEPENDENCYPART_SIBL
(7,5),(7,21),0.00765816 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.041682 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00844461 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.00844461 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.00844461 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0278874 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0238545 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00471394 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.00471394 # DEPENDENCYPART_SIBL
(7,9),(7,21),0.058216 # DEPENDENCYPART_SIBL
(7,9),(7,22),0.0485651 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.00471394 # DEPENDENCYPART_SIBL
(7,12),(7,21),0.058216 # DEPENDENCYPART_SIBL
(7,12),(7,22),0.0485651 # DEPENDENCYPART_SIBL
(7,16),(7,21),0.058216 # DEPENDENCYPART_SIBL
(7,16),(7,22),0.0485651 # DEPENDENCYPART_SIBL
(7,21),(7,22),0.211166 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.00308349 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.343253 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.00308349 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0655199 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0377275 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0377148 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0655199 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0345524 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0377275 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0655199 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.0352785 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0273658 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.0510127 # DEPENDENCYPART_SIBL
(8,4),(8,22),0.0172825 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.375892 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.00574894 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.233831 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0259515 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.025936 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.233831 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0050693 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0259497 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.233831 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.000560421 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0222986 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.000171722 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.00815188 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0324195 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0218518 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0701818 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.070155 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0218518 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0342871 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0701815 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0218518 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.00185448 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0124554 # DEPENDENCYPART_SIBL
(8,6),(8,21),0.195911 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.198796 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.233831 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0259515 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.025936 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.233831 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0050693 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0259497 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.233831 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.000560421 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0222986 # DEPENDENCYPART_SIBL
(8,7),(8,21),-0.000171722 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.00815188 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.007389 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.00725736 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0462163 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.048577 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.00738896 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0462163 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.00941697 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0682151 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.0601764 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.0584892 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0372997 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0124781 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0395278 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0373039 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0124781 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0157572 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0394711 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.045864 # DEPENDENCYPART_SIBL
(8,10),(8,22),0.0562241 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0124878 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0395317 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0373068 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0124878 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0158124 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0394738 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.0458667 # DEPENDENCYPART_SIBL
(8,11),(8,22),0.0562163 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.048577 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.00738896 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0462163 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.00941697 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0682151 # DEPENDENCYPART_SIBL
(8,12),(8,21),-0.0601764 # DEPENDENCYPART_SIBL
(8,12),(8,22),-0.0584892 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0286773 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0322923 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.00447378 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0718531 # DEPENDENCYPART_SIBL
(8,13),(8,21),-0.0687624 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.00256069 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0129571 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0157583 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0394714 # DEPENDENCYPART_SIBL
(8,15),(8,21),-0.0458659 # DEPENDENCYPART_SIBL
(8,15),(8,22),0.0562239 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.00941697 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0682151 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.0601764 # DEPENDENCYPART_SIBL
(8,16),(8,22),-0.0584892 # DEPENDENCYPART_SIBL
(8,18),(8,19),0.00600901 # DEPENDENCYPART_SIBL
(8,18),(8,21),0.185194 # DEPENDENCYPART_SIBL
(8,18),(8,22),0.00726496 # DEPENDENCYPART_SIBL
(8,19),(8,21),-0.0598846 # DEPENDENCYPART_SIBL
(8,19),(8,22),0.0224368 # DEPENDENCYPART_SIBL
(8,21),(8,22),0.173438 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.203253 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0129962 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.190771 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0129962 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.138025 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.00427239 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00427154 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.00331961 # DEPENDENCYPART_SIBL
