# _root_ De hogy az átütemezést valóban megkapja -e gazda , arról a bankok egyedileg döntenek , azaz a termelőknek a pénzintézetekkel kell megállapodniuk .
#goldHeads=16,14,4,6,6,10,6,6,14,14,12,14,14,16,16,0,18,21,20,22,16,21,16,
#predictedHeads=6,6,4,6,6,0,6,6,6,14,12,14,14,6,14,21,18,22,20,22,10,21,6,
(6,16),-0.692245 # DEPENDENCYPART_ARC
(6,18),-2.11002 # DEPENDENCYPART_ARC
(6,20),-2.72922 # DEPENDENCYPART_ARC
(6,21),-0.382918 # DEPENDENCYPART_ARC
(6,22),0.836372 # DEPENDENCYPART_ARC
(6,23),-0.935409 # DEPENDENCYPART_ARC
(7,4),-1.06903 # DEPENDENCYPART_ARC
(7,5),-0.849476 # DEPENDENCYPART_ARC
(7,8),-1.06612 # DEPENDENCYPART_ARC
(8,3),-1.09209 # DEPENDENCYPART_ARC
(8,4),-2.99644 # DEPENDENCYPART_ARC
(8,5),-1.28322 # DEPENDENCYPART_ARC
(8,6),-0.52471 # DEPENDENCYPART_ARC
(8,9),-0.208935 # DEPENDENCYPART_ARC
(8,12),-1.18562 # DEPENDENCYPART_ARC
(8,13),-1.75062 # DEPENDENCYPART_ARC
(8,14),-0.903845 # DEPENDENCYPART_ARC
(8,15),-0.936654 # DEPENDENCYPART_ARC
(8,18),-2.24671 # DEPENDENCYPART_ARC
(8,20),-2.46246 # DEPENDENCYPART_ARC
(8,21),-1.3413 # DEPENDENCYPART_ARC
(8,22),-1.36895 # DEPENDENCYPART_ARC
(8,23),-1.26287 # DEPENDENCYPART_ARC
(10,1),-0.957043 # DEPENDENCYPART_ARC
(10,2),-0.820706 # DEPENDENCYPART_ARC
(10,4),-1.94931 # DEPENDENCYPART_ARC
(10,5),-1.17746 # DEPENDENCYPART_ARC
(10,6),-0.156369 # DEPENDENCYPART_ARC
(10,8),-1.07281 # DEPENDENCYPART_ARC
(10,9),-0.587078 # DEPENDENCYPART_ARC
(10,12),-0.47506 # DEPENDENCYPART_ARC
(10,13),-0.921206 # DEPENDENCYPART_ARC
(10,14),0.621159 # DEPENDENCYPART_ARC
(10,15),-0.499331 # DEPENDENCYPART_ARC
(10,16),-0.132568 # DEPENDENCYPART_ARC
(10,18),-1.15688 # DEPENDENCYPART_ARC
(10,20),-1.41019 # DEPENDENCYPART_ARC
(10,21),0.670803 # DEPENDENCYPART_ARC
(10,22),0.198988 # DEPENDENCYPART_ARC
(10,23),-1.52684 # DEPENDENCYPART_ARC
(11,13),-1.12058 # DEPENDENCYPART_ARC
(12,3),-1.55116 # DEPENDENCYPART_ARC
(12,8),-2.06934 # DEPENDENCYPART_ARC
(12,10),-0.925195 # DEPENDENCYPART_ARC
(12,11),2.00183 # DEPENDENCYPART_ARC
(12,13),-1.50309 # DEPENDENCYPART_ARC
(13,5),-1.57519 # DEPENDENCYPART_ARC
(13,6),-1.5602 # DEPENDENCYPART_ARC
(13,8),-2.26065 # DEPENDENCYPART_ARC
(13,9),-0.961317 # DEPENDENCYPART_ARC
(13,10),-0.674944 # DEPENDENCYPART_ARC
(13,11),-0.570755 # DEPENDENCYPART_ARC
(13,12),-0.319064 # DEPENDENCYPART_ARC
(13,15),-0.975411 # DEPENDENCYPART_ARC
(13,18),-1.97627 # DEPENDENCYPART_ARC
(13,20),-2.15875 # DEPENDENCYPART_ARC
(13,21),-2.13595 # DEPENDENCYPART_ARC
(13,22),-2.04628 # DEPENDENCYPART_ARC
(13,23),-1.2173 # DEPENDENCYPART_ARC
(14,1),0.262966 # DEPENDENCYPART_ARC
(14,2),0.290068 # DEPENDENCYPART_ARC
(14,3),-1.6848 # DEPENDENCYPART_ARC
(14,4),-0.864867 # DEPENDENCYPART_ARC
(14,5),-0.371674 # DEPENDENCYPART_ARC
(14,6),-0.292254 # DEPENDENCYPART_ARC
(14,7),-0.15811 # DEPENDENCYPART_ARC
(14,8),-0.813309 # DEPENDENCYPART_ARC
(14,9),-0.254401 # DEPENDENCYPART_ARC
(14,10),1.08461 # DEPENDENCYPART_ARC
(14,11),-0.811529 # DEPENDENCYPART_ARC
(14,12),1.80108 # DEPENDENCYPART_ARC
(14,13),2.46123 # DEPENDENCYPART_ARC
(14,15),0.434961 # DEPENDENCYPART_ARC
(14,16),-0.129699 # DEPENDENCYPART_ARC
(14,17),-2.04893 # DEPENDENCYPART_ARC
(14,18),-0.380686 # DEPENDENCYPART_ARC
(14,19),-2.24948 # DEPENDENCYPART_ARC
(14,20),-1.41147 # DEPENDENCYPART_ARC
(14,21),-0.102173 # DEPENDENCYPART_ARC
(14,22),1.25752 # DEPENDENCYPART_ARC
(14,23),-1.14756 # DEPENDENCYPART_ARC
(16,1),-1.03718 # DEPENDENCYPART_ARC
(16,2),-1.67102 # DEPENDENCYPART_ARC
(16,4),-2.86839 # DEPENDENCYPART_ARC
(16,5),-2.20747 # DEPENDENCYPART_ARC
(16,6),-1.08454 # DEPENDENCYPART_ARC
(16,8),-2.53479 # DEPENDENCYPART_ARC
(16,9),-2.02531 # DEPENDENCYPART_ARC
(16,10),-2.44236 # DEPENDENCYPART_ARC
(16,11),-2.19097 # DEPENDENCYPART_ARC
(16,12),-1.75401 # DEPENDENCYPART_ARC
(16,13),-1.66441 # DEPENDENCYPART_ARC
(16,14),0.414218 # DEPENDENCYPART_ARC
(16,15),-0.0918673 # DEPENDENCYPART_ARC
(16,17),-1.05571 # DEPENDENCYPART_ARC
(16,18),-0.948757 # DEPENDENCYPART_ARC
(16,20),-1.41061 # DEPENDENCYPART_ARC
(16,21),-0.243878 # DEPENDENCYPART_ARC
(16,22),-0.90693 # DEPENDENCYPART_ARC
(16,23),-0.703944 # DEPENDENCYPART_ARC
(17,16),-0.517714 # DEPENDENCYPART_ARC
(17,20),-1.5153 # DEPENDENCYPART_ARC
(18,10),-2.78321 # DEPENDENCYPART_ARC
(18,11),-1.67996 # DEPENDENCYPART_ARC
(18,12),-3.25658 # DEPENDENCYPART_ARC
(18,16),-0.792951 # DEPENDENCYPART_ARC
(18,17),1.89822 # DEPENDENCYPART_ARC
(18,19),-1.36839 # DEPENDENCYPART_ARC
(18,20),-1.47285 # DEPENDENCYPART_ARC
(20,17),-0.78439 # DEPENDENCYPART_ARC
(20,18),-1.89569 # DEPENDENCYPART_ARC
(20,19),1.357 # DEPENDENCYPART_ARC
(21,1),-0.125607 # DEPENDENCYPART_ARC
(21,2),-0.162864 # DEPENDENCYPART_ARC
(21,5),-1.3271 # DEPENDENCYPART_ARC
(21,6),-1.37302 # DEPENDENCYPART_ARC
(21,8),-2.31376 # DEPENDENCYPART_ARC
(21,9),-1.01123 # DEPENDENCYPART_ARC
(21,10),-1.08726 # DEPENDENCYPART_ARC
(21,12),-1.45551 # DEPENDENCYPART_ARC
(21,13),-0.583747 # DEPENDENCYPART_ARC
(21,14),-1.0437 # DEPENDENCYPART_ARC
(21,15),-0.589462 # DEPENDENCYPART_ARC
(21,16),-0.0140589 # DEPENDENCYPART_ARC
(21,17),-1.77626 # DEPENDENCYPART_ARC
(21,18),0.545719 # DEPENDENCYPART_ARC
(21,19),-1.20965 # DEPENDENCYPART_ARC
(21,20),0.69807 # DEPENDENCYPART_ARC
(21,22),4.18937 # DEPENDENCYPART_ARC
(21,23),-0.220707 # DEPENDENCYPART_ARC
(22,1),-0.458355 # DEPENDENCYPART_ARC
(22,2),-0.0428195 # DEPENDENCYPART_ARC
(22,3),-1.63343 # DEPENDENCYPART_ARC
(22,4),-0.155958 # DEPENDENCYPART_ARC
(22,5),-0.873878 # DEPENDENCYPART_ARC
(22,6),-1.93468 # DEPENDENCYPART_ARC
(22,8),-2.14494 # DEPENDENCYPART_ARC
(22,9),-0.657642 # DEPENDENCYPART_ARC
(22,10),-0.388791 # DEPENDENCYPART_ARC
(22,11),-1.70244 # DEPENDENCYPART_ARC
(22,12),-0.742666 # DEPENDENCYPART_ARC
(22,13),0.785656 # DEPENDENCYPART_ARC
(22,14),-1.81658 # DEPENDENCYPART_ARC
(22,15),-0.374072 # DEPENDENCYPART_ARC
(22,16),-0.0194564 # DEPENDENCYPART_ARC
(22,17),-1.41018 # DEPENDENCYPART_ARC
(22,18),1.60647 # DEPENDENCYPART_ARC
(22,19),-1.09714 # DEPENDENCYPART_ARC
(22,20),2.72073 # DEPENDENCYPART_ARC
(22,21),0.217604 # DEPENDENCYPART_ARC
(22,23),-0.551084 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.165387 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0625596 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.144833 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0553365 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0720145 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.144146 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.161142 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.146144 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.144146 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0753419 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.131021 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0682828 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0754194 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.130334 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.185144 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.128809 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.130334 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.111199 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0246189 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0300856 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.111141 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.113315 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.116773 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.111141 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.10386 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.133025 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.245466 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.220239 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.252418 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.245466 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0284096 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.117241 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0849441 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.122586 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.117241 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0886079 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0858282 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0764402 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.0886079 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.220239 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.252418 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.245466 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.122252 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.119172 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.253991 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0959227 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.059867 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0580667 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00969105 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.05918 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0580667 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.074635 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0959227 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0690495 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.05918 # DEPENDENCYPART_SIBL
(1,2),(1,23),0.0938853 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0419276 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0257612 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0803831 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0411272 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0257612 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0340464 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0265686 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.0611977 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.0411272 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.00300792 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.179991 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.132944 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.00438137 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.179991 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0322908 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.114388 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0211562 # DEPENDENCYPART_SIBL
(1,6),(1,22),0.00438136 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.209568 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.178095 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.24025 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.00473435 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.083152 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.141639 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.242472 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.24025 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.0842808 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0343299 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0311741 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.00376691 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.00275566 # DEPENDENCYPART_SIBL
(1,10),(1,21),-0.0521915 # DEPENDENCYPART_SIBL
(1,10),(1,22),-0.0343299 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.0723526 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.179802 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.0322513 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.114614 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.0211957 # DEPENDENCYPART_SIBL
(1,14),(1,22),0.00434187 # DEPENDENCYPART_SIBL
(1,14),(1,23),0.211365 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.083152 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.141639 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.242472 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.24025 # DEPENDENCYPART_SIBL
(1,15),(1,23),0.0842808 # DEPENDENCYPART_SIBL
(1,16),(1,18),-0.0516569 # DEPENDENCYPART_SIBL
(1,16),(1,21),-0.0748706 # DEPENDENCYPART_SIBL
(1,16),(1,22),-0.060585 # DEPENDENCYPART_SIBL
(1,16),(1,23),0.0334961 # DEPENDENCYPART_SIBL
(1,18),(1,21),-0.0605581 # DEPENDENCYPART_SIBL
(1,18),(1,22),-0.0404876 # DEPENDENCYPART_SIBL
(1,18),(1,23),0.00046046 # DEPENDENCYPART_SIBL
(1,21),(1,22),-0.0288714 # DEPENDENCYPART_SIBL
(1,21),(1,23),0.244469 # DEPENDENCYPART_SIBL
(1,22),(1,23),0.21146 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0244624 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.14891 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.000768239 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.148918 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.000768239 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0322063 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.218819 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.149739 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.264398 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0439727 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00977109 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0431723 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.00977109 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0600166 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0441356 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0431723 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.000962083 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.137754 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0217156 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.137754 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0337024 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0229954 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0217156 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0311159 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.227816 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0127253 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.046647 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.259626 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.227816 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0259896 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.137565 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0337419 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.0230349 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.0217551 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.0329126 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.046647 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.259626 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.227816 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.0259896 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.0304861 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.0352771 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.028721 # DEPENDENCYPART_SIBL
(2,21),(2,22),-0.0456826 # DEPENDENCYPART_SIBL
(2,21),(2,23),0.0653803 # DEPENDENCYPART_SIBL
(2,22),(2,23),0.0330073 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0473897 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.250224 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.287471 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0401173 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0743171 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.054373 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.05533 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00430506 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0402695 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0538303 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0547871 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0287753 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0862294 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0874318 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0076523 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.00499062 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0294641 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0298674 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0201691 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00187842 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0740936 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0242333 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00222535 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00471309 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00217464 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00575567 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00930922 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00606225 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0217094 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0389439 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00217464 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00127545 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.00706408 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.00577702 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0299553 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0433865 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.206813 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0416094 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.131288 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00163769 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0237496 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0203852 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0454505 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0172766 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0430455 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0190363 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0322581 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0467547 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0454505 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0444986 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0180344 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0193215 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0515277 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0423121 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.0160057 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0333008 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.047192 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0120859 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00197056 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0122401 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0337409 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.036946 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00168598 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0140075 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0233201 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0122401 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.00344679 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.000683108 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.00197017 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0168131 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0205196 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.0155208 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0584499 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0202296 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00583041 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00451449 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.034298 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.018853 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00377443 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.00427656 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0138262 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.00451449 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0291355 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.00104216 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00490335 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0122449 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0070667 # DEPENDENCYPART_SIBL
