# _root_ Elsősorban nekik köszönhető , hogy a különböző korosztályos megyei válogatottak eljuthatnak külföldre , és rendszeresek a Pest_megyében tartott nemzetközi tornák is .
#goldHeads=5,5,5,5,0,10,8,10,10,11,14,11,14,5,21,20,18,20,20,21,14,5,
#predictedHeads=5,5,5,5,0,10,8,10,10,11,14,11,14,5,21,20,18,20,20,21,14,5,
(10,3),-0.446746 # DEPENDENCYPART_ARC
(10,4),-0.0035969 # DEPENDENCYPART_ARC
(10,5),-0.848573 # DEPENDENCYPART_ARC
(10,6),0.51893 # DEPENDENCYPART_ARC
(10,7),0.625938 # DEPENDENCYPART_ARC
(10,8),1.55108 # DEPENDENCYPART_ARC
(10,9),2.59038 # DEPENDENCYPART_ARC
(10,12),-1.91144 # DEPENDENCYPART_ARC
(10,17),-2.63027 # DEPENDENCYPART_ARC
(10,20),-1.94558 # DEPENDENCYPART_ARC
(11,1),0.290735 # DEPENDENCYPART_ARC
(11,2),-0.190782 # DEPENDENCYPART_ARC
(11,3),-1.7543 # DEPENDENCYPART_ARC
(11,4),-0.465911 # DEPENDENCYPART_ARC
(11,5),-0.0539347 # DEPENDENCYPART_ARC
(11,6),-1.20542 # DEPENDENCYPART_ARC
(11,7),-1.05613 # DEPENDENCYPART_ARC
(11,8),-0.779478 # DEPENDENCYPART_ARC
(11,9),-0.269542 # DEPENDENCYPART_ARC
(11,10),2.78932 # DEPENDENCYPART_ARC
(11,12),2.16646 # DEPENDENCYPART_ARC
(11,13),0.243458 # DEPENDENCYPART_ARC
(11,14),-0.295689 # DEPENDENCYPART_ARC
(11,15),-0.439641 # DEPENDENCYPART_ARC
(11,16),-2.0512 # DEPENDENCYPART_ARC
(11,17),-1.27899 # DEPENDENCYPART_ARC
(11,18),-1.66363 # DEPENDENCYPART_ARC
(11,19),-1.73557 # DEPENDENCYPART_ARC
(11,20),-0.486183 # DEPENDENCYPART_ARC
(11,21),-0.265891 # DEPENDENCYPART_ARC
(11,22),-0.940308 # DEPENDENCYPART_ARC
(12,6),-1.2397 # DEPENDENCYPART_ARC
(12,7),-1.39138 # DEPENDENCYPART_ARC
(12,8),-1.19518 # DEPENDENCYPART_ARC
(12,9),-0.885615 # DEPENDENCYPART_ARC
(12,10),-1.17578 # DEPENDENCYPART_ARC
(12,13),-0.701101 # DEPENDENCYPART_ARC
(12,17),-2.08742 # DEPENDENCYPART_ARC
(12,20),-1.88639 # DEPENDENCYPART_ARC
(12,21),-1.67131 # DEPENDENCYPART_ARC
(14,1),-1.96237 # DEPENDENCYPART_ARC
(14,3),-2.30347 # DEPENDENCYPART_ARC
(14,4),-1.37703 # DEPENDENCYPART_ARC
(14,5),-1.45474 # DEPENDENCYPART_ARC
(14,7),-2.22599 # DEPENDENCYPART_ARC
(14,8),-2.1331 # DEPENDENCYPART_ARC
(14,9),-2.09897 # DEPENDENCYPART_ARC
(14,10),-1.8715 # DEPENDENCYPART_ARC
(14,11),0.555149 # DEPENDENCYPART_ARC
(14,12),-1.64985 # DEPENDENCYPART_ARC
(14,13),0.369778 # DEPENDENCYPART_ARC
(14,15),-0.643101 # DEPENDENCYPART_ARC
(14,17),-1.17575 # DEPENDENCYPART_ARC
(14,18),-1.23208 # DEPENDENCYPART_ARC
(14,19),-1.41098 # DEPENDENCYPART_ARC
(14,20),-1.37564 # DEPENDENCYPART_ARC
(14,21),-0.787229 # DEPENDENCYPART_ARC
(14,22),-0.593762 # DEPENDENCYPART_ARC
(15,10),-2.04657 # DEPENDENCYPART_ARC
(15,11),-1.16139 # DEPENDENCYPART_ARC
(15,12),-0.601752 # DEPENDENCYPART_ARC
(15,13),-0.618745 # DEPENDENCYPART_ARC
(15,14),0.083609 # DEPENDENCYPART_ARC
(15,17),-0.470954 # DEPENDENCYPART_ARC
(15,18),-1.06486 # DEPENDENCYPART_ARC
(15,19),-1.18885 # DEPENDENCYPART_ARC
(15,20),-1.55975 # DEPENDENCYPART_ARC
(15,21),-1.29425 # DEPENDENCYPART_ARC
(15,22),-0.983546 # DEPENDENCYPART_ARC
(16,15),-0.70767 # DEPENDENCYPART_ARC
(16,17),-0.90537 # DEPENDENCYPART_ARC
(16,18),-1.06167 # DEPENDENCYPART_ARC
(17,15),-2.23307 # DEPENDENCYPART_ARC
(17,16),1.10132 # DEPENDENCYPART_ARC
(17,18),-0.888518 # DEPENDENCYPART_ARC
(18,10),-2.01754 # DEPENDENCYPART_ARC
(18,11),-1.01228 # DEPENDENCYPART_ARC
(18,12),-0.741434 # DEPENDENCYPART_ARC
(18,13),-0.569908 # DEPENDENCYPART_ARC
(18,14),-0.390706 # DEPENDENCYPART_ARC
(18,15),-1.0137 # DEPENDENCYPART_ARC
(18,16),-0.399349 # DEPENDENCYPART_ARC
(18,17),2.03229 # DEPENDENCYPART_ARC
(18,19),-1.33138 # DEPENDENCYPART_ARC
(18,21),-1.64534 # DEPENDENCYPART_ARC
(18,22),-1.46157 # DEPENDENCYPART_ARC
(19,13),-1.09908 # DEPENDENCYPART_ARC
(19,14),-1.26033 # DEPENDENCYPART_ARC
(19,15),-1.94095 # DEPENDENCYPART_ARC
(19,16),-1.42677 # DEPENDENCYPART_ARC
(19,17),0.0776458 # DEPENDENCYPART_ARC
(19,18),0.139255 # DEPENDENCYPART_ARC
(20,4),-0.632368 # DEPENDENCYPART_ARC
(20,6),-1.46255 # DEPENDENCYPART_ARC
(20,7),-1.74988 # DEPENDENCYPART_ARC
(20,8),-1.76826 # DEPENDENCYPART_ARC
(20,9),-1.51953 # DEPENDENCYPART_ARC
(20,10),-2.98061 # DEPENDENCYPART_ARC
(20,11),-1.69198 # DEPENDENCYPART_ARC
(20,12),-2.75687 # DEPENDENCYPART_ARC
(20,13),-0.974289 # DEPENDENCYPART_ARC
(20,14),-0.185169 # DEPENDENCYPART_ARC
(20,15),-1.51017 # DEPENDENCYPART_ARC
(20,16),0.506648 # DEPENDENCYPART_ARC
(20,17),-0.233448 # DEPENDENCYPART_ARC
(20,18),1.81238 # DEPENDENCYPART_ARC
(20,19),2.63889 # DEPENDENCYPART_ARC
(20,21),-1.54969 # DEPENDENCYPART_ARC
(21,1),-1.05542 # DEPENDENCYPART_ARC
(21,3),-1.35099 # DEPENDENCYPART_ARC
(21,5),-1.48677 # DEPENDENCYPART_ARC
(21,11),-0.721408 # DEPENDENCYPART_ARC
(21,12),-1.46888 # DEPENDENCYPART_ARC
(21,13),-0.995941 # DEPENDENCYPART_ARC
(21,14),-0.435065 # DEPENDENCYPART_ARC
(21,15),-0.725502 # DEPENDENCYPART_ARC
(21,16),-1.65133 # DEPENDENCYPART_ARC
(21,17),-0.579221 # DEPENDENCYPART_ARC
(21,18),-0.608451 # DEPENDENCYPART_ARC
(21,19),-0.555006 # DEPENDENCYPART_ARC
(21,20),-0.20537 # DEPENDENCYPART_ARC
(21,22),-1.19611 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0656627 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0326896 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.104784 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.114005 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.118447 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0326539 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0973459 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0321465 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.107982 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.109176 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.121142 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0321108 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0993827 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0803109 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0891275 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0969522 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0621406 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0955341 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.130334 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.214429 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0754194 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.202125 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.2208 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.133025 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.239536 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0894222 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.201717 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0973379 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.094644 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0574466 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.043419 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0432731 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0389083 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0100896 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0432731 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.0156992 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.0435907 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0116283 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0424322 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0122649 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0219244 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.003974 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0122649 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.01013 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.013439 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.323626 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00230679 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.24984 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0163917 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.00230679 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.0528919 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.044466 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0623716 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0442368 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0442226 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0623716 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0447137 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.0554826 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0621128 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.030073 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.0107445 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.0271491 # DEPENDENCYPART_SIBL
(1,10),(1,22),0.0435265 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0270008 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.0115656 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.00574789 # DEPENDENCYPART_SIBL
(1,11),(1,22),0.0462139 # DEPENDENCYPART_SIBL
(1,14),(1,20),-0.0184505 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.0680034 # DEPENDENCYPART_SIBL
(1,14),(1,22),0.0315974 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.0271491 # DEPENDENCYPART_SIBL
(1,20),(1,22),0.0435265 # DEPENDENCYPART_SIBL
(1,21),(1,22),-0.0427911 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0924926 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0306712 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0923652 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0927848 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0927677 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.139869 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0310006 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.139368 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.139869 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.166318 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00818116 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0115343 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0115606 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0115507 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0187739 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0112024 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0187736 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0187739 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0155346 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0598855 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.059928 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0599039 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00726591 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.232207 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00721438 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.00726591 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0552111 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0116282 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0116183 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0192865 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0117728 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0192862 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0192865 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.00905574 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0116231 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0194825 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0117809 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0194822 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0194825 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.00969005 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.019449 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0117314 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0194487 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.019449 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.00918231 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0304523 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00542192 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.00542294 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0194716 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0194227 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0194228 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0550007 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.00444938 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0178791 # DEPENDENCYPART_SIBL
(2,20),(2,22),0.0194716 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.147058 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0177402 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0416982 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0301742 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0263792 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0144907 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0263215 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0177402 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0318039 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0287573 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0263792 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0112827 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.115888 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0102462 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0434486 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0340158 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0442217 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0148918 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.044164 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0102462 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0347001 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0325994 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0442217 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.00796322 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0990601 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.335651 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.114545 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.160683 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.374922 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.160631 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.028181 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0607615 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.1105 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.160683 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.00347438 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0851149 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00134843 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0360677 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0399496 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0360678 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0153522 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0640701 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.00134019 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0360677 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0647137 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0287839 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0065098 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0287914 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0065095 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0407086 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0147889 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0277932 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0065098 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0276271 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.000562255 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0434115 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.000585496 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0904758 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0213381 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0299765 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.000584477 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0209492 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.0121516 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0263981 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0972048 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00335554 # DEPENDENCYPART_SIBL
(3,11),(3,18),-0.00323587 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.0263982 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.0345721 # DEPENDENCYPART_SIBL
(3,11),(3,22),0.0738936 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0901354 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0225182 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0298615 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.000921764 # DEPENDENCYPART_SIBL
(3,12),(3,21),-0.0215392 # DEPENDENCYPART_SIBL
(3,12),(3,22),0.0110148 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0607615 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.1105 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.160683 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.00347438 # DEPENDENCYPART_SIBL
(3,13),(3,22),0.0851149 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0265753 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.00681655 # DEPENDENCYPART_SIBL
(3,14),(3,21),-0.080742 # DEPENDENCYPART_SIBL
(3,14),(3,22),-0.00229595 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.00596974 # DEPENDENCYPART_SIBL
(3,18),(3,21),-0.0260896 # DEPENDENCYPART_SIBL
(3,18),(3,22),-0.0116308 # DEPENDENCYPART_SIBL
(3,20),(3,21),-0.0209492 # DEPENDENCYPART_SIBL
(3,20),(3,22),0.0121516 # DEPENDENCYPART_SIBL
(3,21),(3,22),-0.0684997 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0166138 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0767328 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.287056 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.081952 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0560267 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0559828 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00861822 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.151256 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.00867635 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0386594 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.028025 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0560267 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0504085 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.00861822 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.044129 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0471143 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0801741 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.290754 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0840541 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0581289 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0580849 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0079005 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.149541 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00784238 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0483156 # DEPENDENCYPART_SIBL
