# _root_ Ő korábban — egyebek között — az Ybl_Bank csődjét okozó Hepta-csoport egyik cégének , a Carbontransz_Rt.-nek volt az elnök-vezérigazgatója ( HVG , 1992. augusztus 1. )
#goldHeads=17,17,17,5,17,17,8,9,10,11,13,13,17,13,16,13,0,19,17,21,17,21,25,25,21,21,
#predictedHeads=2,5,17,5,17,17,8,9,10,11,13,13,17,17,16,17,0,19,17,21,17,21,25,25,21,17,
(11,9),-1.57244 # DEPENDENCYPART_ARC
(11,10),2.57787 # DEPENDENCYPART_ARC
(11,13),-1.38078 # DEPENDENCYPART_ARC
(11,14),-0.68573 # DEPENDENCYPART_ARC
(11,16),-1.73518 # DEPENDENCYPART_ARC
(11,17),-1.29527 # DEPENDENCYPART_ARC
(11,21),-1.83968 # DEPENDENCYPART_ARC
(11,25),-2.36656 # DEPENDENCYPART_ARC
(11,26),-1.23432 # DEPENDENCYPART_ARC
(12,11),-0.366269 # DEPENDENCYPART_ARC
(12,14),-1.15744 # DEPENDENCYPART_ARC
(12,16),-1.34249 # DEPENDENCYPART_ARC
(12,17),-0.322334 # DEPENDENCYPART_ARC
(12,19),-1.11561 # DEPENDENCYPART_ARC
(12,20),-0.997578 # DEPENDENCYPART_ARC
(12,21),-1.51556 # DEPENDENCYPART_ARC
(12,22),-1.02591 # DEPENDENCYPART_ARC
(12,24),-1.54743 # DEPENDENCYPART_ARC
(12,25),-1.47497 # DEPENDENCYPART_ARC
(12,26),-1.49736 # DEPENDENCYPART_ARC
(13,2),-1.72649 # DEPENDENCYPART_ARC
(13,3),-1.11191 # DEPENDENCYPART_ARC
(13,4),-1.62948 # DEPENDENCYPART_ARC
(13,5),-1.38253 # DEPENDENCYPART_ARC
(13,6),-0.938719 # DEPENDENCYPART_ARC
(13,7),-1.35269 # DEPENDENCYPART_ARC
(13,8),0.384417 # DEPENDENCYPART_ARC
(13,9),-2.71409 # DEPENDENCYPART_ARC
(13,10),-0.222597 # DEPENDENCYPART_ARC
(13,11),1.97148 # DEPENDENCYPART_ARC
(13,12),1.87129 # DEPENDENCYPART_ARC
(13,14),-0.627709 # DEPENDENCYPART_ARC
(13,16),-1.13967 # DEPENDENCYPART_ARC
(13,17),-1.45659 # DEPENDENCYPART_ARC
(13,19),-1.88195 # DEPENDENCYPART_ARC
(13,20),-1.35296 # DEPENDENCYPART_ARC
(13,21),-1.7803 # DEPENDENCYPART_ARC
(13,22),-1.30818 # DEPENDENCYPART_ARC
(13,24),-2.26765 # DEPENDENCYPART_ARC
(13,25),-2.47952 # DEPENDENCYPART_ARC
(13,26),-1.50083 # DEPENDENCYPART_ARC
(15,14),-0.713806 # DEPENDENCYPART_ARC
(15,19),-1.60537 # DEPENDENCYPART_ARC
(16,7),-2.32042 # DEPENDENCYPART_ARC
(16,13),-2.60278 # DEPENDENCYPART_ARC
(16,15),1.02419 # DEPENDENCYPART_ARC
(16,19),-1.41459 # DEPENDENCYPART_ARC
(16,21),-1.69347 # DEPENDENCYPART_ARC
(16,25),-2.27108 # DEPENDENCYPART_ARC
(17,1),-1.11085 # DEPENDENCYPART_ARC
(17,2),-1.3736 # DEPENDENCYPART_ARC
(17,3),-0.658785 # DEPENDENCYPART_ARC
(17,4),-0.817418 # DEPENDENCYPART_ARC
(17,5),-0.342329 # DEPENDENCYPART_ARC
(17,6),-0.248105 # DEPENDENCYPART_ARC
(17,7),-1.50077 # DEPENDENCYPART_ARC
(17,8),-0.0966851 # DEPENDENCYPART_ARC
(17,9),-0.544523 # DEPENDENCYPART_ARC
(17,10),-0.969282 # DEPENDENCYPART_ARC
(17,11),0.288469 # DEPENDENCYPART_ARC
(17,12),-0.362904 # DEPENDENCYPART_ARC
(17,13),0.906028 # DEPENDENCYPART_ARC
(17,14),0.747775 # DEPENDENCYPART_ARC
(17,15),-0.594818 # DEPENDENCYPART_ARC
(17,16),3.18438 # DEPENDENCYPART_ARC
(17,18),-1.04229 # DEPENDENCYPART_ARC
(17,19),1.67192 # DEPENDENCYPART_ARC
(17,20),-0.138386 # DEPENDENCYPART_ARC
(17,21),0.503484 # DEPENDENCYPART_ARC
(17,22),-0.156757 # DEPENDENCYPART_ARC
(17,24),-1.36969 # DEPENDENCYPART_ARC
(17,25),-0.431895 # DEPENDENCYPART_ARC
(17,26),-0.797185 # DEPENDENCYPART_ARC
(19,2),-2.47394 # DEPENDENCYPART_ARC
(19,12),-1.96184 # DEPENDENCYPART_ARC
(19,15),-1.65359 # DEPENDENCYPART_ARC
(19,16),-1.69026 # DEPENDENCYPART_ARC
(19,18),1.04666 # DEPENDENCYPART_ARC
(19,20),-0.952334 # DEPENDENCYPART_ARC
(19,21),-1.21753 # DEPENDENCYPART_ARC
(19,22),-1.03997 # DEPENDENCYPART_ARC
(19,24),-1.67067 # DEPENDENCYPART_ARC
(19,25),-2.04017 # DEPENDENCYPART_ARC
(21,15),-1.94615 # DEPENDENCYPART_ARC
(21,16),-2.56487 # DEPENDENCYPART_ARC
(21,18),-0.561234 # DEPENDENCYPART_ARC
(21,19),-1.06455 # DEPENDENCYPART_ARC
(21,20),-0.158706 # DEPENDENCYPART_ARC
(21,22),0.0347179 # DEPENDENCYPART_ARC
(21,23),-0.973524 # DEPENDENCYPART_ARC
(21,24),-0.899837 # DEPENDENCYPART_ARC
(21,25),-1.07895 # DEPENDENCYPART_ARC
(21,26),-1.26148 # DEPENDENCYPART_ARC
(23,20),-0.939683 # DEPENDENCYPART_ARC
(23,21),-0.890692 # DEPENDENCYPART_ARC
(23,22),-0.422619 # DEPENDENCYPART_ARC
(23,24),-0.873804 # DEPENDENCYPART_ARC
(23,25),-1.13418 # DEPENDENCYPART_ARC
(23,26),-1.27476 # DEPENDENCYPART_ARC
(24,12),-2.49595 # DEPENDENCYPART_ARC
(24,15),-2.34387 # DEPENDENCYPART_ARC
(24,16),-2.74212 # DEPENDENCYPART_ARC
(24,18),-1.23253 # DEPENDENCYPART_ARC
(24,19),-2.52299 # DEPENDENCYPART_ARC
(24,20),-1.26996 # DEPENDENCYPART_ARC
(24,21),-0.562959 # DEPENDENCYPART_ARC
(24,22),-1.10434 # DEPENDENCYPART_ARC
(24,23),1.24093 # DEPENDENCYPART_ARC
(25,3),-1.45305 # DEPENDENCYPART_ARC
(25,8),-2.39305 # DEPENDENCYPART_ARC
(25,11),-2.44501 # DEPENDENCYPART_ARC
(25,12),-2.55626 # DEPENDENCYPART_ARC
(25,13),-4.73438 # DEPENDENCYPART_ARC
(25,14),-1.50553 # DEPENDENCYPART_ARC
(25,15),-2.6007 # DEPENDENCYPART_ARC
(25,16),-2.72553 # DEPENDENCYPART_ARC
(25,18),-1.50963 # DEPENDENCYPART_ARC
(25,19),-1.23562 # DEPENDENCYPART_ARC
(25,20),-0.724549 # DEPENDENCYPART_ARC
(25,21),0.292069 # DEPENDENCYPART_ARC
(25,22),-0.492797 # DEPENDENCYPART_ARC
(25,23),0.759652 # DEPENDENCYPART_ARC
(25,24),2.9582 # DEPENDENCYPART_ARC
(25,26),-1.10016 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0329796 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0346018 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.000506742 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0251628 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0332124 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0350374 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.114518 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.028814 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.00769335 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0329579 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.024485 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.029477 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.118303 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.000515237 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0251657 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0332251 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0350393 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.114518 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.00557965 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.00939855 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0126571 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.111983 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0346009 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0190129 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0915053 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0174903 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.102886 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.114837 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0029272 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.01165 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0252475 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0252475 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0252475 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0240792 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0244006 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0652736 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.109474 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.109474 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.109474 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0207421 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.109474 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0252475 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0252475 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0252475 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0240792 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.0244006 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.00410792 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.00410792 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.015512 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.000571837 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.00410792 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.015512 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.000571837 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.015512 # DEPENDENCYPART_SIBL
(1,13),(1,19),-0.000571837 # DEPENDENCYPART_SIBL
(1,17),(1,19),-0.00127828 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0974679 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.104684 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0974679 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.260699 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.260699 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.260699 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.260699 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0728265 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0831649 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0599956 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0728265 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.260699 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.14457 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00326649 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00944384 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0629544 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0629544 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0629544 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0629544 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.101571 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0653888 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0617686 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.101571 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0629544 # DEPENDENCYPART_SIBL
(2,3),(2,26),-0.0436134 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0901391 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0454932 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0454932 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0454932 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0454932 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0181684 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00204689 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.038143 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0181684 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0454932 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0225449 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0629544 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0629544 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0629544 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0629544 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.101571 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0653888 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0617686 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.101571 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.0629544 # DEPENDENCYPART_SIBL
(2,6),(2,26),-0.0436134 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00182045 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.00182045 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00182045 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0532486 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0646525 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0296949 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.0532486 # DEPENDENCYPART_SIBL
(2,8),(2,25),0.00182045 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.0834602 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.00182045 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.00182045 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0532486 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0646525 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0296949 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0532486 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.00182045 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0834602 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.00182045 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0532486 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0646525 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0296949 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0532486 # DEPENDENCYPART_SIBL
(2,11),(2,25),0.00182045 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.0834602 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0532486 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0646525 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0296949 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0532486 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.00182045 # DEPENDENCYPART_SIBL
(2,13),(2,26),0.0834602 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.321647 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0676943 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.0614535 # DEPENDENCYPART_SIBL
(2,14),(2,25),-0.00485781 # DEPENDENCYPART_SIBL
(2,14),(2,26),-0.0129572 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.0737776 # DEPENDENCYPART_SIBL
(2,17),(2,22),0.0865198 # DEPENDENCYPART_SIBL
(2,17),(2,25),0.016059 # DEPENDENCYPART_SIBL
(2,17),(2,26),0.0617617 # DEPENDENCYPART_SIBL
(2,20),(2,22),-0.0735366 # DEPENDENCYPART_SIBL
(2,20),(2,25),-0.0629601 # DEPENDENCYPART_SIBL
(2,20),(2,26),0.0189111 # DEPENDENCYPART_SIBL
(2,22),(2,25),-0.00485781 # DEPENDENCYPART_SIBL
(2,22),(2,26),-0.0129572 # DEPENDENCYPART_SIBL
(2,25),(2,26),0.0834602 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0680652 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.113817 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.113817 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.113817 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0339828 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.113817 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0328364 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.113817 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0177191 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0406114 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.115755 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.0328364 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.0363316 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0241068 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0241068 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0241068 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0124257 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0241068 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0550437 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0241068 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.023259 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0521745 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0148801 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0550437 # DEPENDENCYPART_SIBL
(4,6),(4,26),-0.0293905 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00802484 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.00802484 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0140516 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00802484 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0149519 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.00802484 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0119011 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.00749228 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.00611884 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.0149519 # DEPENDENCYPART_SIBL
(4,8),(4,26),0.0658024 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.00802484 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0140516 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.00802484 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0149519 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.00802484 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0119011 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.00749228 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.00611884 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.0149519 # DEPENDENCYPART_SIBL
(4,9),(4,26),0.0658024 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0140516 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.00802484 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0149519 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.00802484 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0119011 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.00749228 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.00611884 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0149519 # DEPENDENCYPART_SIBL
(4,11),(4,26),0.0658024 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0593907 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.054595 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0593907 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0153886 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.00675486 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.0603391 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.054595 # DEPENDENCYPART_SIBL
(4,12),(4,26),0.00307223 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0149519 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.00802484 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0119011 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.00749228 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.00611884 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.0149519 # DEPENDENCYPART_SIBL
(4,13),(4,26),0.0658024 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0143952 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.0969253 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.107161 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.000633277 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0438209 # DEPENDENCYPART_SIBL
(4,14),(4,26),-0.0412236 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0119011 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.00749228 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.00611884 # DEPENDENCYPART_SIBL
(4,16),(4,22),0.0149519 # DEPENDENCYPART_SIBL
(4,16),(4,26),0.0658024 # DEPENDENCYPART_SIBL
(4,17),(4,20),0.00835474 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.00347321 # DEPENDENCYPART_SIBL
