# _root_ A társaság a HungarHotelst nem tudja ugyan megvenni , mégis tovább működött , fb-elnöki tisztéről Récsey 1998 áprilisában mondott le .
#goldHeads=2,6,4,8,6,10,6,6,10,0,12,10,10,15,19,19,18,19,10,19,10,
#predictedHeads=2,6,4,6,6,10,6,6,10,0,12,10,12,15,19,18,18,19,10,19,10,
(6,18),-2.19465 # DEPENDENCYPART_ARC
(6,19),-0.337795 # DEPENDENCYPART_ARC
(6,20),-1.17243 # DEPENDENCYPART_ARC
(6,21),-1.38266 # DEPENDENCYPART_ARC
(7,2),-0.999728 # DEPENDENCYPART_ARC
(7,4),-1.13249 # DEPENDENCYPART_ARC
(7,5),-0.930649 # DEPENDENCYPART_ARC
(7,6),-1.51529 # DEPENDENCYPART_ARC
(7,8),-0.345712 # DEPENDENCYPART_ARC
(7,9),-0.760068 # DEPENDENCYPART_ARC
(7,10),-1.05966 # DEPENDENCYPART_ARC
(7,12),-1.40731 # DEPENDENCYPART_ARC
(7,13),-0.663016 # DEPENDENCYPART_ARC
(7,19),-1.82285 # DEPENDENCYPART_ARC
(7,21),-1.3514 # DEPENDENCYPART_ARC
(8,2),-0.632574 # DEPENDENCYPART_ARC
(8,3),-1.56071 # DEPENDENCYPART_ARC
(8,4),1.08213 # DEPENDENCYPART_ARC
(8,5),0.278217 # DEPENDENCYPART_ARC
(8,6),-1.23817 # DEPENDENCYPART_ARC
(8,7),0.134037 # DEPENDENCYPART_ARC
(8,9),0.262709 # DEPENDENCYPART_ARC
(8,10),-0.422329 # DEPENDENCYPART_ARC
(8,11),-1.13537 # DEPENDENCYPART_ARC
(8,12),-0.509842 # DEPENDENCYPART_ARC
(8,13),-1.00429 # DEPENDENCYPART_ARC
(8,14),-0.950453 # DEPENDENCYPART_ARC
(8,15),-1.81671 # DEPENDENCYPART_ARC
(8,16),-3.26026 # DEPENDENCYPART_ARC
(8,17),-1.74187 # DEPENDENCYPART_ARC
(8,18),-1.7823 # DEPENDENCYPART_ARC
(8,19),-1.4971 # DEPENDENCYPART_ARC
(8,20),-1.95768 # DEPENDENCYPART_ARC
(8,21),-1.60955 # DEPENDENCYPART_ARC
(10,2),-2.33478 # DEPENDENCYPART_ARC
(10,4),-2.29914 # DEPENDENCYPART_ARC
(10,5),-1.36955 # DEPENDENCYPART_ARC
(10,6),-0.0793734 # DEPENDENCYPART_ARC
(10,7),-0.702626 # DEPENDENCYPART_ARC
(10,8),-0.868087 # DEPENDENCYPART_ARC
(10,9),0.300218 # DEPENDENCYPART_ARC
(10,11),-1.04398 # DEPENDENCYPART_ARC
(10,12),0.34426 # DEPENDENCYPART_ARC
(10,13),-0.658084 # DEPENDENCYPART_ARC
(10,14),-1.36672 # DEPENDENCYPART_ARC
(10,15),-1.58154 # DEPENDENCYPART_ARC
(10,16),-1.66829 # DEPENDENCYPART_ARC
(10,17),-1.35013 # DEPENDENCYPART_ARC
(10,18),-1.84297 # DEPENDENCYPART_ARC
(10,19),-0.621026 # DEPENDENCYPART_ARC
(10,21),-0.448338 # DEPENDENCYPART_ARC
(11,5),-1.40923 # DEPENDENCYPART_ARC
(11,6),-1.56712 # DEPENDENCYPART_ARC
(11,8),-1.04698 # DEPENDENCYPART_ARC
(11,10),-0.407491 # DEPENDENCYPART_ARC
(11,14),-1.24016 # DEPENDENCYPART_ARC
(11,15),-1.51542 # DEPENDENCYPART_ARC
(11,16),-1.61245 # DEPENDENCYPART_ARC
(11,17),-1.38877 # DEPENDENCYPART_ARC
(11,18),-1.87583 # DEPENDENCYPART_ARC
(11,19),-1.54646 # DEPENDENCYPART_ARC
(11,21),-1.61507 # DEPENDENCYPART_ARC
(12,2),-0.624582 # DEPENDENCYPART_ARC
(12,3),-2.22588 # DEPENDENCYPART_ARC
(12,4),-0.835067 # DEPENDENCYPART_ARC
(12,5),-0.776831 # DEPENDENCYPART_ARC
(12,6),-0.597341 # DEPENDENCYPART_ARC
(12,7),-0.765912 # DEPENDENCYPART_ARC
(12,8),0.511182 # DEPENDENCYPART_ARC
(12,9),-0.243789 # DEPENDENCYPART_ARC
(12,10),0.295296 # DEPENDENCYPART_ARC
(12,11),2.1406 # DEPENDENCYPART_ARC
(12,13),0.244643 # DEPENDENCYPART_ARC
(12,14),-0.568785 # DEPENDENCYPART_ARC
(12,15),-0.141762 # DEPENDENCYPART_ARC
(12,16),-0.981119 # DEPENDENCYPART_ARC
(12,17),-1.32548 # DEPENDENCYPART_ARC
(12,18),-0.547061 # DEPENDENCYPART_ARC
(12,19),-0.100922 # DEPENDENCYPART_ARC
(12,20),-1.11231 # DEPENDENCYPART_ARC
(12,21),-1.21914 # DEPENDENCYPART_ARC
(14,4),-1.70953 # DEPENDENCYPART_ARC
(14,5),-1.77609 # DEPENDENCYPART_ARC
(14,11),-0.812092 # DEPENDENCYPART_ARC
(14,12),-1.33202 # DEPENDENCYPART_ARC
(14,13),-0.256377 # DEPENDENCYPART_ARC
(14,16),-1.13165 # DEPENDENCYPART_ARC
(14,17),-1.12586 # DEPENDENCYPART_ARC
(14,18),-1.28181 # DEPENDENCYPART_ARC
(15,1),-2.73139 # DEPENDENCYPART_ARC
(15,2),-1.64447 # DEPENDENCYPART_ARC
(15,3),-2.07904 # DEPENDENCYPART_ARC
(15,4),-3.72116 # DEPENDENCYPART_ARC
(15,5),-1.5279 # DEPENDENCYPART_ARC
(15,6),-2.43777 # DEPENDENCYPART_ARC
(15,7),-1.13796 # DEPENDENCYPART_ARC
(15,8),-0.0526968 # DEPENDENCYPART_ARC
(15,9),-0.906137 # DEPENDENCYPART_ARC
(15,10),-0.496249 # DEPENDENCYPART_ARC
(15,11),-0.900891 # DEPENDENCYPART_ARC
(15,12),-1.66774 # DEPENDENCYPART_ARC
(15,13),0.0549644 # DEPENDENCYPART_ARC
(15,14),2.30015 # DEPENDENCYPART_ARC
(15,16),-1.05138 # DEPENDENCYPART_ARC
(15,17),-1.74592 # DEPENDENCYPART_ARC
(15,18),-2.30893 # DEPENDENCYPART_ARC
(16,3),-2.30773 # DEPENDENCYPART_ARC
(16,11),-1.36189 # DEPENDENCYPART_ARC
(16,13),-0.320352 # DEPENDENCYPART_ARC
(16,14),-0.171182 # DEPENDENCYPART_ARC
(16,15),-0.697804 # DEPENDENCYPART_ARC
(16,17),-0.683867 # DEPENDENCYPART_ARC
(16,18),-1.23629 # DEPENDENCYPART_ARC
(17,11),-1.38547 # DEPENDENCYPART_ARC
(17,12),-0.970975 # DEPENDENCYPART_ARC
(17,15),-1.33715 # DEPENDENCYPART_ARC
(17,16),0.04673 # DEPENDENCYPART_ARC
(18,3),-3.07674 # DEPENDENCYPART_ARC
(18,7),-1.68203 # DEPENDENCYPART_ARC
(18,9),-1.24706 # DEPENDENCYPART_ARC
(18,10),-0.95581 # DEPENDENCYPART_ARC
(18,11),-1.48119 # DEPENDENCYPART_ARC
(18,13),-0.615104 # DEPENDENCYPART_ARC
(18,14),-0.664671 # DEPENDENCYPART_ARC
(18,15),-2.84781 # DEPENDENCYPART_ARC
(18,16),1.02819 # DEPENDENCYPART_ARC
(18,17),1.66648 # DEPENDENCYPART_ARC
(19,2),-1.00206 # DEPENDENCYPART_ARC
(19,3),-2.20365 # DEPENDENCYPART_ARC
(19,4),-1.44121 # DEPENDENCYPART_ARC
(19,5),-1.42116 # DEPENDENCYPART_ARC
(19,6),-0.982985 # DEPENDENCYPART_ARC
(19,7),-0.994049 # DEPENDENCYPART_ARC
(19,8),-0.10172 # DEPENDENCYPART_ARC
(19,9),-0.742622 # DEPENDENCYPART_ARC
(19,10),0.168237 # DEPENDENCYPART_ARC
(19,11),-0.324889 # DEPENDENCYPART_ARC
(19,12),-0.979351 # DEPENDENCYPART_ARC
(19,13),-0.101883 # DEPENDENCYPART_ARC
(19,14),-0.965751 # DEPENDENCYPART_ARC
(19,15),0.717312 # DEPENDENCYPART_ARC
(19,16),1.41825 # DEPENDENCYPART_ARC
(19,17),0.0768533 # DEPENDENCYPART_ARC
(19,18),2.79569 # DEPENDENCYPART_ARC
(19,20),1.9467 # DEPENDENCYPART_ARC
(19,21),0.133556 # DEPENDENCYPART_ARC
(20,6),-1.1256 # DEPENDENCYPART_ARC
(20,7),-0.642246 # DEPENDENCYPART_ARC
(20,8),-1.12967 # DEPENDENCYPART_ARC
(20,9),-1.131 # DEPENDENCYPART_ARC
(20,10),-0.753027 # DEPENDENCYPART_ARC
(20,12),-1.16815 # DEPENDENCYPART_ARC
(20,14),-1.10741 # DEPENDENCYPART_ARC
(20,15),-0.880682 # DEPENDENCYPART_ARC
(20,18),-0.389107 # DEPENDENCYPART_ARC
(20,19),-0.0768558 # DEPENDENCYPART_ARC
(20,21),-0.861232 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.0663478 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.103628 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.128924 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.104794 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.130992 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.109407 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.109855 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.060536 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.114149 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.124795 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.111929 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.123518 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.112404 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.111059 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.058337 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.227215 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.24898 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.225122 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.244312 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.24774 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.114548 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.140564 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.163642 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.141155 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.139395 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.07027 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.222727 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.240929 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.244357 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.11422 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.127419 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.125659 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.06912 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.244796 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.114826 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.114226 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.011167 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00365203 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00448595 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.00830914 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0286517 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0174499 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0160209 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0182766 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0356961 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0598741 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0563347 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0485189 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.047941 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.196509 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.21348 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00916247 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.662013 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.319136 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0708789 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.020413 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0356784 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0258888 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0361398 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0947633 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0205357 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0339483 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0305209 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0344097 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.101702 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00968396 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0290536 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.00857307 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0180139 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0776197 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0186819 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0574744 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.21275 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.087121 # DEPENDENCYPART_SIBL
(5,19),(5,21),0.0591063 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0035758 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.125612 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00127687 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0487431 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0552175 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0277036 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.000199812 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0594123 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0215841 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0322269 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.000199812 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00317242 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0202915 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.021906 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0172154 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0219371 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0314575 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.00993616 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0723054 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0788807 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0747012 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0137072 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.105126 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0434247 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0284679 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0796172 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0529395 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0505105 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0284679 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0174519 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0260029 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.031063 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0174474 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0311229 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0461951 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.00740285 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0357433 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00127687 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0487431 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0552175 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0277036 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.000199812 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0594123 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0215841 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0322269 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.000199812 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00317242 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0202915 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.021906 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0172154 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0219371 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0314575 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.00993616 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0723054 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.011732 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0976499 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0399839 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0446221 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.072141 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0472062 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0470697 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0446221 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.00880129 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.00729486 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0123549 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0100705 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0124148 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0427543 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00166955 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0149264 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0540232 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.049548 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0538589 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0427664 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0343184 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0401425 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0538589 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0257546 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0141664 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0122981 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.021457 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0122599 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0421032 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0397637 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.011772 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0152837 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0672239 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.034365 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00940882 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0244175 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0672239 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0255382 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0841682 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0836494 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0282732 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0836457 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0161216 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.00993382 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0664068 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.094539 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0255516 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0118818 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0308016 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.094539 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.00156132 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0313257 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0308074 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0244827 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0308025 # DEPENDENCYPART_SIBL
(6,8),(6,19),0.0337138 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.00938891 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.0282649 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.278136 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.147707 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.29407 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0669394 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.096959 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.189305 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.188786 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0946338 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.188778 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.299185 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.144883 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.112509 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0249905 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0363822 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.00368571 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0536854 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0932466 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0927278 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.00388213 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0927241 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.044678 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.0244655 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.00602468 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.016296 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0409788 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.065489 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.085817 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0842592 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.00639324 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0842551 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.0237776 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.0113858 # DEPENDENCYPART_SIBL
(6,11),(6,21),0.0471784 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.11503 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.00638761 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0383888 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0378706 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0197319 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0378656 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0401737 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.0139714 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0369404 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.096959 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.189305 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.188786 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0946338 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.188778 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.299185 # DEPENDENCYPART_SIBL
(6,13),(6,20),0.144883 # DEPENDENCYPART_SIBL
(6,13),(6,21),0.112509 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0252008 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0246819 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.00299945 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.0246783 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.0013431 # DEPENDENCYPART_SIBL
(6,14),(6,20),-0.00410651 # DEPENDENCYPART_SIBL
(6,14),(6,21),0.0135216 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.0576153 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.026556 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.0575937 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.0395778 # DEPENDENCYPART_SIBL
(6,15),(6,20),0.0395912 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.0563883 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.0268536 # DEPENDENCYPART_SIBL
