# _root_ E társaság tulajdonosai 150_millió forintot keresnek a Márkus_Kft.-n , mondván , ekkora összegben helyeztek el náluk importletétet .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,13,14,10,14,14,14,6,
(5,10),-1.94434 # DEPENDENCYPART_ARC
(5,14),-2.01181 # DEPENDENCYPART_ARC
(6,1),-0.394154 # DEPENDENCYPART_ARC
(6,2),0.154856 # DEPENDENCYPART_ARC
(6,3),1.48678 # DEPENDENCYPART_ARC
(6,4),-0.591378 # DEPENDENCYPART_ARC
(6,5),1.82007 # DEPENDENCYPART_ARC
(6,7),-1.10414 # DEPENDENCYPART_ARC
(6,8),1.30524 # DEPENDENCYPART_ARC
(6,9),0.161962 # DEPENDENCYPART_ARC
(6,10),-0.376999 # DEPENDENCYPART_ARC
(6,11),0.253733 # DEPENDENCYPART_ARC
(6,12),-1.74532 # DEPENDENCYPART_ARC
(6,13),-1.17647 # DEPENDENCYPART_ARC
(6,14),-0.0237674 # DEPENDENCYPART_ARC
(6,15),-1.20417 # DEPENDENCYPART_ARC
(6,16),-1.42508 # DEPENDENCYPART_ARC
(6,17),-1.98446 # DEPENDENCYPART_ARC
(6,18),-1.06094 # DEPENDENCYPART_ARC
(8,7),1.28705 # DEPENDENCYPART_ARC
(8,9),-0.73914 # DEPENDENCYPART_ARC
(8,10),-1.67954 # DEPENDENCYPART_ARC
(8,11),-1.13948 # DEPENDENCYPART_ARC
(8,12),-2.18749 # DEPENDENCYPART_ARC
(8,13),-2.02034 # DEPENDENCYPART_ARC
(8,14),-1.66189 # DEPENDENCYPART_ARC
(8,17),-2.56659 # DEPENDENCYPART_ARC
(10,2),-1.00149 # DEPENDENCYPART_ARC
(10,3),-0.979625 # DEPENDENCYPART_ARC
(10,5),-0.763079 # DEPENDENCYPART_ARC
(10,8),-0.328072 # DEPENDENCYPART_ARC
(10,9),-0.0282782 # DEPENDENCYPART_ARC
(10,11),0.011579 # DEPENDENCYPART_ARC
(10,12),-0.4121 # DEPENDENCYPART_ARC
(10,13),-0.670603 # DEPENDENCYPART_ARC
(10,14),-0.285828 # DEPENDENCYPART_ARC
(10,17),-1.35094 # DEPENDENCYPART_ARC
(10,18),-0.951352 # DEPENDENCYPART_ARC
(12,2),-1.65386 # DEPENDENCYPART_ARC
(12,3),-1.67673 # DEPENDENCYPART_ARC
(12,5),-2.02029 # DEPENDENCYPART_ARC
(12,6),-0.0711188 # DEPENDENCYPART_ARC
(12,8),-1.48822 # DEPENDENCYPART_ARC
(12,9),-0.942949 # DEPENDENCYPART_ARC
(12,10),-0.833287 # DEPENDENCYPART_ARC
(12,11),-0.555398 # DEPENDENCYPART_ARC
(12,13),-0.579927 # DEPENDENCYPART_ARC
(12,14),-0.137932 # DEPENDENCYPART_ARC
(12,15),-1.04168 # DEPENDENCYPART_ARC
(12,16),-1.17126 # DEPENDENCYPART_ARC
(12,17),-1.62225 # DEPENDENCYPART_ARC
(12,18),-1.24291 # DEPENDENCYPART_ARC
(13,1),-2.05608 # DEPENDENCYPART_ARC
(13,2),-3.72996 # DEPENDENCYPART_ARC
(13,3),-4.1141 # DEPENDENCYPART_ARC
(13,4),-1.72834 # DEPENDENCYPART_ARC
(13,5),-4.36267 # DEPENDENCYPART_ARC
(13,6),-2.39141 # DEPENDENCYPART_ARC
(13,7),-0.86168 # DEPENDENCYPART_ARC
(13,8),-2.07547 # DEPENDENCYPART_ARC
(13,9),-1.00464 # DEPENDENCYPART_ARC
(13,10),-0.917757 # DEPENDENCYPART_ARC
(13,11),-0.749836 # DEPENDENCYPART_ARC
(13,12),1.29199 # DEPENDENCYPART_ARC
(13,17),-1.90405 # DEPENDENCYPART_ARC
(14,1),-2.13935 # DEPENDENCYPART_ARC
(14,2),-1.27257 # DEPENDENCYPART_ARC
(14,3),-0.310774 # DEPENDENCYPART_ARC
(14,4),-1.95559 # DEPENDENCYPART_ARC
(14,5),-0.881029 # DEPENDENCYPART_ARC
(14,6),-1.08488 # DEPENDENCYPART_ARC
(14,7),-1.60645 # DEPENDENCYPART_ARC
(14,8),-0.145523 # DEPENDENCYPART_ARC
(14,9),-0.315298 # DEPENDENCYPART_ARC
(14,10),0.313132 # DEPENDENCYPART_ARC
(14,11),0.0322703 # DEPENDENCYPART_ARC
(14,12),1.01304 # DEPENDENCYPART_ARC
(14,13),2.87726 # DEPENDENCYPART_ARC
(14,15),1.65078 # DEPENDENCYPART_ARC
(14,16),0.784097 # DEPENDENCYPART_ARC
(14,17),0.574505 # DEPENDENCYPART_ARC
(14,18),-0.385399 # DEPENDENCYPART_ARC
(15,6),-1.61982 # DEPENDENCYPART_ARC
(15,13),-0.971168 # DEPENDENCYPART_ARC
(15,17),-1.29201 # DEPENDENCYPART_ARC
(15,18),-1.26349 # DEPENDENCYPART_ARC
(16,6),-1.33142 # DEPENDENCYPART_ARC
(16,11),-1.39605 # DEPENDENCYPART_ARC
(16,13),-0.958808 # DEPENDENCYPART_ARC
(16,17),-0.993339 # DEPENDENCYPART_ARC
(16,18),-1.23151 # DEPENDENCYPART_ARC
(17,7),-1.80798 # DEPENDENCYPART_ARC
(17,8),-3.32546 # DEPENDENCYPART_ARC
(17,10),-1.84737 # DEPENDENCYPART_ARC
(17,12),-1.50197 # DEPENDENCYPART_ARC
(17,13),-2.84347 # DEPENDENCYPART_ARC
(17,15),-0.552633 # DEPENDENCYPART_ARC
(17,16),0.12701 # DEPENDENCYPART_ARC
(17,18),-0.938989 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0397958 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0399318 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0151867 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.040474 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.110553 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0335037 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0362356 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.110646 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.033643 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.033505 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.067507 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0394568 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0692104 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.109347 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0541992 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0167223 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.1107 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0619786 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0582292 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0394533 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.070829 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.108811 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0541794 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0183889 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.110164 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0619587 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0582093 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0365868 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0805825 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0352933 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0170813 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0805833 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0352999 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0352929 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.108322 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0549926 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0183932 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.109675 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0627831 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0590225 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.11306 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.100597 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.244083 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.110161 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.112979 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0286158 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.115283 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0645352 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0637442 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.10928 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0315526 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0314182 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.111022 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.11341 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0736033 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00480825 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.04652 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00609694 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0118821 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00370163 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00121461 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0255237 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00121461 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.00703779 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.00430245 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0132332 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0228595 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.00370163 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0486684 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.046654 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00783751 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0112143 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0054422 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.00155424 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0256932 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.00155424 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.00570647 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.00604302 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0125653 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0230289 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0054422 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0469384 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00765133 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00571826 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.00809631 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0227795 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.00241714 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0227795 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.00940478 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.00809631 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.00571826 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.00822183 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.00809631 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0109509 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00986836 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00120877 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00643728 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0257376 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.00643728 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.00656218 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.00180959 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0112194 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0230621 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.00120877 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0521501 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00181883 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0459634 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.010747 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0459634 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.00351541 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.00181883 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0168499 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0208393 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.00181883 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.00226521 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0026363 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0265899 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0026363 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.00660317 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.00239973 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0116686 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0239256 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.00179891 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0507856 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0304058 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0468715 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0154908 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0189637 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0712622 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.00435443 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0183629 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0184153 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0528243 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0244954 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.101917 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0004236 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0158376 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.101917 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0303582 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0154908 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0189637 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0712622 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.00435443 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.0183629 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0184153 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0607603 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.0109322 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.0571502 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.0607603 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.00253321 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.0120487 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.0235208 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.00240092 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0495906 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0199783 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.00175187 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.00356352 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0945425 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0280405 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0507856 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00423851 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.018051 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00328863 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0305147 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0305147 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0308615 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.000547497 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0568419 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0554908 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0242073 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0507945 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0507945 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0566288 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0552777 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0523863 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0496694 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0249379 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0103303 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0374977 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0122416 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0173738 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0194084 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0173738 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0374977 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0122416 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.055367 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0632476 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00213322 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0151294 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0040692 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.000831757 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0023567 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.000831757 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0143513 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0040692 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0756406 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0243587 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0508378 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0253526 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0570482 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.015622 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0570482 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0508378 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0253526 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.1208 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0567014 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00485171 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.10647 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0256808 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.10647 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0553504 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.00485171 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0490892 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.076337 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.169079 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0635754 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.169079 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0524293 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.076337 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.20895 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.103078 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0269537 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.103078 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0555639 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.00469488 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0485336 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.206062 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0048064 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.430804 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.342944 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0787401 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.0843821 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0286669 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0419728 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.092757 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.430804 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.342944 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0787401 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.076404 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.207652 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0485336 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0738228 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0725065 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0630134 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0632992 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0420595 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0420595 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0630134 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.075078 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0644672 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0689749 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.016859 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0818872 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0818872 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0681967 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0286231 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0668121 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0214122 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0845084 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0845084 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.066034 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0345995 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00311422 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0734269 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0734269 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0293918 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.108644 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0503509 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0503509 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0434864 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.00651569 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.00316844 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.359636 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0587089 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.359636 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0587089 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.107345 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0838118 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0854482 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00803131 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00538054 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0270422 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0262949 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0304745 # DEPENDENCYPART_SIBL
