# _root_ A kormány ülésén elhangzottakkal kapcsolatban az egyik alapvető probléma , hogy azok közérdekű adatnak tekinthetőek -e , vagy sem .
#goldHeads=2,3,4,5,18,9,9,9,18,18,18,16,14,16,16,18,18,0,18,18,
#predictedHeads=2,3,4,5,11,9,9,9,11,11,0,14,14,15,18,12,18,11,18,11,
(18,13),-1.64681 # DEPENDENCYPART_ARC
(18,14),-1.41107 # DEPENDENCYPART_ARC
(18,15),-1.06493 # DEPENDENCYPART_ARC
(18,17),0.165122 # DEPENDENCYPART_ARC
(18,19),-1.20993 # DEPENDENCYPART_ARC
(18,20),-0.733245 # DEPENDENCYPART_ARC
(19,2),-1.09279 # DEPENDENCYPART_ARC
(19,3),-1.17271 # DEPENDENCYPART_ARC
(19,5),-1.30705 # DEPENDENCYPART_ARC
(19,9),-1.29512 # DEPENDENCYPART_ARC
(19,10),-0.959578 # DEPENDENCYPART_ARC
(19,13),-1.12711 # DEPENDENCYPART_ARC
(19,14),-0.943922 # DEPENDENCYPART_ARC
(19,15),-1.01002 # DEPENDENCYPART_ARC
(19,17),-0.841614 # DEPENDENCYPART_ARC
(19,18),0.0723774 # DEPENDENCYPART_ARC
(19,20),-0.707136 # DEPENDENCYPART_ARC
(0,5),(0,7),-0.013571 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.130576 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0145515 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0301327 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0618719 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0294143 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0543255 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.126265 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0536743 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0513188 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0322643 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0261316 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0323984 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0258698 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0375105 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.087137 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0326751 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0663737 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0756239 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.125941 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0754194 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0907988 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.178667 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.089514 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0307785 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0392014 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0305167 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0362313 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0873007 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0310736 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0371527 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0621287 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0298055 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0913038 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0316262 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0329265 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0535604 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.133637 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0529093 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0298048 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0905117 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0316255 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.157092 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0350821 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0578999 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00748979 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00338964 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0285878 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0352636 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0450793 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0485641 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0601703 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0679486 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0225869 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0116089 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0762046 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0420532 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0172831 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0146425 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0223596 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0286819 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0580487 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.030553 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.12699 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0043921 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00424132 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00335825 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.00911364 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00424132 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00335825 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.00424132 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.00911364 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00107674 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0285602 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0255931 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0635575 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.017032 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0514713 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0377197 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0011789 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0555316 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0377528 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0514729 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0011789 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0173344 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0475282 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0415602 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0245994 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0446085 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00257018 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0110343 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0486688 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00253705 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0446101 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0110343 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.012099 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0353592 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0211286 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.000207153 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00412226 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0329202 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.000208049 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00412226 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.000208049 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0329202 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.00098514 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00426315 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00635806 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0414973 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0332879 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.00652717 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0414973 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0063573 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0332879 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0166883 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.046271 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0478961 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0858307 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0003496 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0473846 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.000350057 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.0858307 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0090374 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0941655 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.101817 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0585806 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00221841 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.059299 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.101817 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0377245 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0410727 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.16004 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.34171 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.152647 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0047778 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.103338 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0737467 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0453327 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.000351844 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.083229 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.00824579 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.0933786 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0589966 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.104202 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0392429 # DEPENDENCYPART_SIBL
(5,14),(5,20),0.0376091 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.085834 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.00903784 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.0941677 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.103338 # DEPENDENCYPART_SIBL
(5,17),(5,20),0.0737467 # DEPENDENCYPART_SIBL
(5,18),(5,20),0.0729779 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0526666 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0566947 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.00945787 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0803233 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.108832 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.153891 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.108832 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0678672 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.232486 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.015846 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.00725015 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.015846 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0081918 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.0188433 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0218844 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0534757 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0351245 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.017755 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.00908943 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0221683 # DEPENDENCYPART_SIBL
(7,14),(7,20),0.0740503 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.0351245 # DEPENDENCYPART_SIBL
(7,17),(7,20),0.017755 # DEPENDENCYPART_SIBL
(7,18),(7,20),-0.0228328 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0601493 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0679276 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0509115 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0718507 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.22488 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0226146 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0116089 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0761939 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0309725 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0586569 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0453874 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0830196 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.017282 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0264232 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.06237 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0442996 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0866822 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0223585 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0104993 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.198675 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0397123 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0239472 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.04342 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0918373 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0181593 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0561388 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.00824896 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0336137 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.020784 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.00671173 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.140432 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0221992 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.573701 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0562924 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.139651 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.00912348 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.00422603 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.00336568 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.00422603 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.00912348 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.00105401 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0285634 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0164446 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0620078 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0194499 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.264994 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.192364 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0620293 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.00121421 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0555666 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0377873 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0515079 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.00121421 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0173567 # DEPENDENCYPART_SIBL
(9,2),(9,20),0.0475699 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0400104 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0187742 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.270184 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.18964 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.040032 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.010999 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0487038 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.00250255 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0446451 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.010999 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0121213 # DEPENDENCYPART_SIBL
(9,3),(9,20),0.0354009 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.000844464 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.560599 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0530597 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.00126514 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0329118 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.000216303 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.00411394 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.000216304 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0329118 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.000984759 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.00425058 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.269003 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.195094 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0399569 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.00821711 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0471222 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.00595057 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0430635 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.00821711 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.00983015 # DEPENDENCYPART_SIBL
(9,5),(9,20),0.0569516 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0922191 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.199507 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0166052 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0128815 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.00573863 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0128814 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0166052 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.00353857 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0202957 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.167973 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0133197 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.00123595 # DEPENDENCYPART_SIBL
