# _root_ — Mivel a legnagyobb vetélytársunk , Turi_Tamás anyagiak hiánya miatt nem indult , elég volt biztonsági autózással teljesíteni a távot .
#goldHeads=15,15,5,5,12,12,12,9,10,12,12,15,15,15,0,17,18,15,20,18,15,
#predictedHeads=12,12,5,5,12,12,8,9,10,12,12,0,12,15,12,17,18,15,20,18,12,
(8,9),-1.72914 # DEPENDENCYPART_ARC
(8,10),-1.37992 # DEPENDENCYPART_ARC
(9,1),-1.02234 # DEPENDENCYPART_ARC
(9,2),-1.0612 # DEPENDENCYPART_ARC
(9,3),-1.32947 # DEPENDENCYPART_ARC
(9,4),-0.922169 # DEPENDENCYPART_ARC
(9,5),0.54402 # DEPENDENCYPART_ARC
(9,6),-0.365156 # DEPENDENCYPART_ARC
(9,7),1.78874 # DEPENDENCYPART_ARC
(9,8),2.79687 # DEPENDENCYPART_ARC
(9,13),-1.12899 # DEPENDENCYPART_ARC
(9,14),-1.91278 # DEPENDENCYPART_ARC
(9,18),-1.57024 # DEPENDENCYPART_ARC
(9,20),-2.50873 # DEPENDENCYPART_ARC
(9,21),-1.63394 # DEPENDENCYPART_ARC
(10,1),-1.1602 # DEPENDENCYPART_ARC
(10,4),-1.234 # DEPENDENCYPART_ARC
(10,5),-0.495455 # DEPENDENCYPART_ARC
(10,6),-0.451293 # DEPENDENCYPART_ARC
(10,7),-0.186081 # DEPENDENCYPART_ARC
(10,8),0.671955 # DEPENDENCYPART_ARC
(10,9),2.60088 # DEPENDENCYPART_ARC
(10,12),-1.05234 # DEPENDENCYPART_ARC
(10,13),-0.971468 # DEPENDENCYPART_ARC
(10,14),-1.47564 # DEPENDENCYPART_ARC
(10,15),-1.43945 # DEPENDENCYPART_ARC
(10,16),-1.49466 # DEPENDENCYPART_ARC
(10,17),-1.76506 # DEPENDENCYPART_ARC
(10,18),-1.46119 # DEPENDENCYPART_ARC
(10,20),-1.86412 # DEPENDENCYPART_ARC
(10,21),-1.46703 # DEPENDENCYPART_ARC
(11,1),-1.04399 # DEPENDENCYPART_ARC
(11,5),-1.40335 # DEPENDENCYPART_ARC
(11,6),-1.37285 # DEPENDENCYPART_ARC
(11,8),-0.861018 # DEPENDENCYPART_ARC
(11,9),-0.801476 # DEPENDENCYPART_ARC
(11,10),-0.227619 # DEPENDENCYPART_ARC
(11,12),-0.732207 # DEPENDENCYPART_ARC
(11,13),-1.10287 # DEPENDENCYPART_ARC
(11,15),-1.29395 # DEPENDENCYPART_ARC
(11,17),-1.73469 # DEPENDENCYPART_ARC
(11,18),-1.5364 # DEPENDENCYPART_ARC
(11,20),-1.85704 # DEPENDENCYPART_ARC
(11,21),-1.73777 # DEPENDENCYPART_ARC
(12,1),-0.63734 # DEPENDENCYPART_ARC
(12,2),-0.401721 # DEPENDENCYPART_ARC
(12,3),-1.59556 # DEPENDENCYPART_ARC
(12,4),-0.967334 # DEPENDENCYPART_ARC
(12,5),0.202722 # DEPENDENCYPART_ARC
(12,6),0.0581239 # DEPENDENCYPART_ARC
(12,7),0.979829 # DEPENDENCYPART_ARC
(12,8),0.430973 # DEPENDENCYPART_ARC
(12,9),0.944396 # DEPENDENCYPART_ARC
(12,10),1.27875 # DEPENDENCYPART_ARC
(12,11),2.40628 # DEPENDENCYPART_ARC
(12,13),0.346892 # DEPENDENCYPART_ARC
(12,14),-0.49728 # DEPENDENCYPART_ARC
(12,15),0.320749 # DEPENDENCYPART_ARC
(12,16),-1.09728 # DEPENDENCYPART_ARC
(12,17),-1.49339 # DEPENDENCYPART_ARC
(12,18),1.03866 # DEPENDENCYPART_ARC
(12,19),-2.33763 # DEPENDENCYPART_ARC
(12,20),-1.57926 # DEPENDENCYPART_ARC
(12,21),-0.986731 # DEPENDENCYPART_ARC
(14,7),-2.24056 # DEPENDENCYPART_ARC
(14,8),-2.54255 # DEPENDENCYPART_ARC
(14,9),-2.30822 # DEPENDENCYPART_ARC
(14,10),-1.15669 # DEPENDENCYPART_ARC
(14,11),-0.985798 # DEPENDENCYPART_ARC
(14,12),-1.40922 # DEPENDENCYPART_ARC
(14,13),-0.292388 # DEPENDENCYPART_ARC
(14,15),-0.328304 # DEPENDENCYPART_ARC
(14,16),-1.41693 # DEPENDENCYPART_ARC
(14,17),-1.35531 # DEPENDENCYPART_ARC
(14,18),-1.29999 # DEPENDENCYPART_ARC
(14,20),-1.8793 # DEPENDENCYPART_ARC
(14,21),-1.22862 # DEPENDENCYPART_ARC
(15,1),-0.606607 # DEPENDENCYPART_ARC
(15,2),-0.327155 # DEPENDENCYPART_ARC
(15,3),-2.03267 # DEPENDENCYPART_ARC
(15,4),-1.64536 # DEPENDENCYPART_ARC
(15,5),-0.469568 # DEPENDENCYPART_ARC
(15,6),0.033531 # DEPENDENCYPART_ARC
(15,7),-0.057236 # DEPENDENCYPART_ARC
(15,8),-0.581714 # DEPENDENCYPART_ARC
(15,9),-0.140662 # DEPENDENCYPART_ARC
(15,10),0.27701 # DEPENDENCYPART_ARC
(15,11),0.228463 # DEPENDENCYPART_ARC
(15,12),0.0692693 # DEPENDENCYPART_ARC
(15,13),0.542155 # DEPENDENCYPART_ARC
(15,14),1.22921 # DEPENDENCYPART_ARC
(15,16),0.61282 # DEPENDENCYPART_ARC
(15,17),0.667521 # DEPENDENCYPART_ARC
(15,18),1.89589 # DEPENDENCYPART_ARC
(15,19),-1.79222 # DEPENDENCYPART_ARC
(15,20),-0.179197 # DEPENDENCYPART_ARC
(15,21),-0.827429 # DEPENDENCYPART_ARC
(16,10),-1.32451 # DEPENDENCYPART_ARC
(16,11),-1.37328 # DEPENDENCYPART_ARC
(16,12),-2.05253 # DEPENDENCYPART_ARC
(16,13),-0.947022 # DEPENDENCYPART_ARC
(16,14),-0.733852 # DEPENDENCYPART_ARC
(16,15),-0.651758 # DEPENDENCYPART_ARC
(16,20),-2.23294 # DEPENDENCYPART_ARC
(17,2),-1.20452 # DEPENDENCYPART_ARC
(17,3),-1.57988 # DEPENDENCYPART_ARC
(17,4),-1.44884 # DEPENDENCYPART_ARC
(17,7),-1.84907 # DEPENDENCYPART_ARC
(17,10),-1.43059 # DEPENDENCYPART_ARC
(17,11),-1.32654 # DEPENDENCYPART_ARC
(17,12),-1.67664 # DEPENDENCYPART_ARC
(17,13),-0.594288 # DEPENDENCYPART_ARC
(17,14),0.334264 # DEPENDENCYPART_ARC
(17,15),-0.514138 # DEPENDENCYPART_ARC
(17,16),2.4339 # DEPENDENCYPART_ARC
(17,20),-2.03971 # DEPENDENCYPART_ARC
(18,1),-0.80524 # DEPENDENCYPART_ARC
(18,2),-0.905802 # DEPENDENCYPART_ARC
(18,5),-1.68358 # DEPENDENCYPART_ARC
(18,6),-0.327537 # DEPENDENCYPART_ARC
(18,7),-1.52904 # DEPENDENCYPART_ARC
(18,8),-1.33426 # DEPENDENCYPART_ARC
(18,9),-1.14522 # DEPENDENCYPART_ARC
(18,10),-0.0750227 # DEPENDENCYPART_ARC
(18,11),-0.476723 # DEPENDENCYPART_ARC
(18,12),-1.93726 # DEPENDENCYPART_ARC
(18,13),-0.100429 # DEPENDENCYPART_ARC
(18,14),0.00315873 # DEPENDENCYPART_ARC
(18,15),-1.30471 # DEPENDENCYPART_ARC
(18,16),0.842926 # DEPENDENCYPART_ARC
(18,17),3.23561 # DEPENDENCYPART_ARC
(18,19),-0.345595 # DEPENDENCYPART_ARC
(18,20),1.79614 # DEPENDENCYPART_ARC
(18,21),-0.640496 # DEPENDENCYPART_ARC
(20,16),-1.58673 # DEPENDENCYPART_ARC
(20,17),-2.87855 # DEPENDENCYPART_ARC
(20,19),1.65474 # DEPENDENCYPART_ARC
(20,21),-1.54081 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.0757062 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0876013 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.111353 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0603883 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.116263 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0587201 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.11014 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.066328 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.111941 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0335526 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.102886 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0326255 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.105123 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.113066 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0280526 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.116955 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0239133 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.112367 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.128997 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.241287 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.133025 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.245935 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0978661 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0659181 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0954062 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.143283 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.261957 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0889043 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.000568722 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0481368 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0168063 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0481368 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0481368 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0469846 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.110615 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0168063 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0144108 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0989469 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.000943847 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0481368 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.108841 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0509073 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0360139 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0348915 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0087407 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0348915 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0348915 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0348629 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0263261 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0087407 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0260701 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.017618 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0208998 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0348915 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0268485 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0348896 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0863102 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0281324 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0162922 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0162922 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.016227 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0273601 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0281324 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0384344 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00644963 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0417943 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0162922 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.020935 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0162922 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0527512 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.171554 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.171554 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.169208 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.23949 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.000167945 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.105582 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.31254 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.103498 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.171554 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.234259 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.171554 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0929624 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0162922 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.016227 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0273601 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0281324 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0384344 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.00644963 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0417943 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0162922 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.020935 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0162922 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0527512 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.016227 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0273601 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0281324 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0384344 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00644963 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0417943 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0162922 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.020935 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0162922 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0527512 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0273645 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0280294 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.03843 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.006454 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.04179 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0162293 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0209394 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0162293 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0519171 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.142934 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0280916 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.012323 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.026492 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.108515 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0106468 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.108515 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.127891 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.105582 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.31254 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.103498 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.171554 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.234259 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.171554 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0929624 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0278804 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0289367 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0259597 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0371109 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.0259578 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0718801 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0237662 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.11561 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0199546 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.11561 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.112364 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0315722 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0265289 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.0315703 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.0806508 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.020935 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.0162922 # DEPENDENCYPART_SIBL
(2,17),(2,21),0.0527512 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.107145 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.127004 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.0536794 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0689346 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.188476 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.38176 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0526484 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.056362 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0330674 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0330674 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0345558 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0419891 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0462268 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0490937 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0486726 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0415529 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.374626 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0517869 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.024106 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00630629 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00630629 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00742499 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0003658 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00211749 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00367892 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.00375011 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0820892 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.157947 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00907785 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00331961 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00331961 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00630603 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0183614 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00837615 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00358681 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0086153 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0285178 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0422373 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.011412 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.011412 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0125382 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0104413 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0454844 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0594789 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.043368 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0173136 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.342981 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.342981 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.337345 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0871086 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.42607 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.482727 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.422985 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.0787788 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00471394 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00349321 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0177112 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0529135 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0610271 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0606105 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0485651 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00349321 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0177112 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0529135 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0610271 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0606105 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.0485651 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0161458 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0519727 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0600863 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.0596697 # DEPENDENCYPART_SIBL
(5,9),(5,21),0.0459912 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0891446 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0831901 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0899918 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.183328 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0550562 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0504928 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.211564 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.0428197 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.193257 # DEPENDENCYPART_SIBL
(5,18),(5,21),0.212398 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.188476 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.38176 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0526484 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0200475 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.00488246 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0330674 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0345558 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0419891 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.015064 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0486726 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.374626 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0517869 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00527798 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.102298 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00630629 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.00742499 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0003658 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0228497 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00375011 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.157947 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0129962 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.190771 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00331961 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00630603 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0183614 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.00421463 # DEPENDENCYPART_SIBL
