# _root_ Az oroszok azonban feltűnően békésen viselkednek , s egyelőre semmi jele annak , hogy a katonák erőszakos akcióra készülnének .
#goldHeads=2,6,6,5,6,8,8,0,14,11,14,14,14,8,16,19,18,19,14,8,
#predictedHeads=2,6,6,6,6,8,8,0,14,11,14,14,14,8,16,19,18,19,14,8,
(8,7),0.669674 # DEPENDENCYPART_ARC
(8,9),-1.12019 # DEPENDENCYPART_ARC
(8,10),-1.74817 # DEPENDENCYPART_ARC
(8,11),-1.2779 # DEPENDENCYPART_ARC
(8,12),-1.98006 # DEPENDENCYPART_ARC
(8,13),-1.20084 # DEPENDENCYPART_ARC
(8,14),-0.844577 # DEPENDENCYPART_ARC
(8,16),-1.81264 # DEPENDENCYPART_ARC
(8,17),-1.63438 # DEPENDENCYPART_ARC
(8,18),-2.14707 # DEPENDENCYPART_ARC
(8,19),-0.603352 # DEPENDENCYPART_ARC
(8,20),0.227532 # DEPENDENCYPART_ARC
(9,3),-1.13857 # DEPENDENCYPART_ARC
(9,6),-0.996443 # DEPENDENCYPART_ARC
(9,7),-1.18616 # DEPENDENCYPART_ARC
(9,8),-0.350667 # DEPENDENCYPART_ARC
(9,11),-0.755829 # DEPENDENCYPART_ARC
(9,13),-0.669106 # DEPENDENCYPART_ARC
(9,14),-0.694617 # DEPENDENCYPART_ARC
(9,16),-1.50074 # DEPENDENCYPART_ARC
(9,18),-1.56581 # DEPENDENCYPART_ARC
(9,19),-0.968287 # DEPENDENCYPART_ARC
(9,20),-1.11284 # DEPENDENCYPART_ARC
(10,9),-0.334289 # DEPENDENCYPART_ARC
(11,1),-2.22801 # DEPENDENCYPART_ARC
(11,2),-0.84974 # DEPENDENCYPART_ARC
(11,4),-4.53719 # DEPENDENCYPART_ARC
(11,5),-4.34679 # DEPENDENCYPART_ARC
(11,6),-2.55193 # DEPENDENCYPART_ARC
(11,7),-0.960669 # DEPENDENCYPART_ARC
(11,8),-0.357086 # DEPENDENCYPART_ARC
(11,9),-0.409508 # DEPENDENCYPART_ARC
(11,10),1.60016 # DEPENDENCYPART_ARC
(11,13),-0.896068 # DEPENDENCYPART_ARC
(11,16),-1.15371 # DEPENDENCYPART_ARC
(11,18),-1.87665 # DEPENDENCYPART_ARC
(11,19),-1.56965 # DEPENDENCYPART_ARC
(11,20),-1.43818 # DEPENDENCYPART_ARC
(12,2),-1.58295 # DEPENDENCYPART_ARC
(12,3),-0.957449 # DEPENDENCYPART_ARC
(12,4),-1.49624 # DEPENDENCYPART_ARC
(12,5),-1.45625 # DEPENDENCYPART_ARC
(12,6),-0.719987 # DEPENDENCYPART_ARC
(12,7),-1.02072 # DEPENDENCYPART_ARC
(12,8),-0.780325 # DEPENDENCYPART_ARC
(12,9),-0.703212 # DEPENDENCYPART_ARC
(12,10),-0.485506 # DEPENDENCYPART_ARC
(12,11),-0.659765 # DEPENDENCYPART_ARC
(12,13),-0.464896 # DEPENDENCYPART_ARC
(12,14),-1.004 # DEPENDENCYPART_ARC
(12,16),-0.875612 # DEPENDENCYPART_ARC
(12,17),-0.801953 # DEPENDENCYPART_ARC
(12,18),-1.35139 # DEPENDENCYPART_ARC
(12,19),1.00917 # DEPENDENCYPART_ARC
(12,20),-0.854551 # DEPENDENCYPART_ARC
(14,2),-2.1995 # DEPENDENCYPART_ARC
(14,3),-1.16485 # DEPENDENCYPART_ARC
(14,4),-1.43494 # DEPENDENCYPART_ARC
(14,5),-1.53762 # DEPENDENCYPART_ARC
(14,6),-2.72465 # DEPENDENCYPART_ARC
(14,7),-1.68469 # DEPENDENCYPART_ARC
(14,8),-0.264313 # DEPENDENCYPART_ARC
(14,9),-0.329415 # DEPENDENCYPART_ARC
(14,11),0.0898121 # DEPENDENCYPART_ARC
(14,12),-0.240464 # DEPENDENCYPART_ARC
(14,13),0.111364 # DEPENDENCYPART_ARC
(14,16),-1.03563 # DEPENDENCYPART_ARC
(14,17),-1.36653 # DEPENDENCYPART_ARC
(14,18),-1.71732 # DEPENDENCYPART_ARC
(14,19),-0.524007 # DEPENDENCYPART_ARC
(14,20),-0.479873 # DEPENDENCYPART_ARC
(16,10),-1.6611 # DEPENDENCYPART_ARC
(16,11),-3.03179 # DEPENDENCYPART_ARC
(16,12),-2.24706 # DEPENDENCYPART_ARC
(16,14),-1.18469 # DEPENDENCYPART_ARC
(16,15),2.06487 # DEPENDENCYPART_ARC
(16,18),-1.65562 # DEPENDENCYPART_ARC
(17,8),-1.09408 # DEPENDENCYPART_ARC
(17,9),-1.28261 # DEPENDENCYPART_ARC
(17,11),-1.90406 # DEPENDENCYPART_ARC
(17,12),-1.42414 # DEPENDENCYPART_ARC
(17,13),-0.853596 # DEPENDENCYPART_ARC
(17,14),-0.517643 # DEPENDENCYPART_ARC
(17,15),-0.681647 # DEPENDENCYPART_ARC
(17,16),0.619344 # DEPENDENCYPART_ARC
(18,1),-2.85944 # DEPENDENCYPART_ARC
(18,2),-4.00597 # DEPENDENCYPART_ARC
(18,4),-4.02997 # DEPENDENCYPART_ARC
(18,5),-3.87334 # DEPENDENCYPART_ARC
(18,6),-2.27678 # DEPENDENCYPART_ARC
(18,7),-1.16961 # DEPENDENCYPART_ARC
(18,8),-0.128051 # DEPENDENCYPART_ARC
(18,9),-1.14256 # DEPENDENCYPART_ARC
(18,10),-0.793663 # DEPENDENCYPART_ARC
(18,11),-2.67689 # DEPENDENCYPART_ARC
(18,12),-0.934677 # DEPENDENCYPART_ARC
(18,13),-0.43787 # DEPENDENCYPART_ARC
(18,14),-0.517054 # DEPENDENCYPART_ARC
(18,15),0.244934 # DEPENDENCYPART_ARC
(18,16),-0.0374973 # DEPENDENCYPART_ARC
(18,17),2.40092 # DEPENDENCYPART_ARC
(19,2),-1.01662 # DEPENDENCYPART_ARC
(19,3),0.286417 # DEPENDENCYPART_ARC
(19,4),-1.22866 # DEPENDENCYPART_ARC
(19,5),-0.971096 # DEPENDENCYPART_ARC
(19,6),-1.20646 # DEPENDENCYPART_ARC
(19,7),-0.98139 # DEPENDENCYPART_ARC
(19,8),-0.338797 # DEPENDENCYPART_ARC
(19,9),-0.0104915 # DEPENDENCYPART_ARC
(19,10),-1.20363 # DEPENDENCYPART_ARC
(19,11),-0.242028 # DEPENDENCYPART_ARC
(19,12),-0.242564 # DEPENDENCYPART_ARC
(19,13),-0.133736 # DEPENDENCYPART_ARC
(19,14),-0.295854 # DEPENDENCYPART_ARC
(19,15),-0.782536 # DEPENDENCYPART_ARC
(19,16),1.34766 # DEPENDENCYPART_ARC
(19,17),-0.0792427 # DEPENDENCYPART_ARC
(19,18),2.6336 # DEPENDENCYPART_ARC
(19,20),-0.246448 # DEPENDENCYPART_ARC
(0,3),(0,6),-0.127923 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.166146 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0655277 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0513946 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.14672 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.127923 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.234137 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.11445 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0952471 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.265529 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.245466 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0793301 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0636829 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.175875 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.124481 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0314425 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.106915 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.114954 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0285973 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.115985 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.130334 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0438972 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0438969 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00542635 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0468751 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00848112 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00847997 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0178943 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0354367 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0271883 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0801561 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.000579594 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0354367 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.00897356 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0826466 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0178943 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0349212 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0140635 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0174125 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0216694 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0212455 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0288755 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.162765 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.015138 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0212455 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0063488 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.1627 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0216694 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0480991 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0207714 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.030899 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0152303 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0244603 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0238026 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0412789 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0152303 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0169602 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0243351 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.030899 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0606541 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.030899 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0208855 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0230543 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0266279 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0412526 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0208855 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0155542 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0271605 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.030899 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0606169 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.128846 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0127014 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0720876 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0808786 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.128846 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0628007 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.0719395 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0389062 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.054347 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0706808 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.110145 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.130245 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.026708 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.209957 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.114294 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.189313 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0163574 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0219633 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0223039 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0313217 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0611507 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0200637 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0382613 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0438461 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.113201 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0778536 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.00158746 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0537343 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0059812 # DEPENDENCYPART_SIBL
(3,11),(3,20),0.103435 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0195992 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0398165 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.00434502 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0523758 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.0320018 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.209957 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.114294 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.189313 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.0163574 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0542019 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0323447 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.110946 # DEPENDENCYPART_SIBL
(3,16),(3,19),0.00858806 # DEPENDENCYPART_SIBL
(3,16),(3,20),0.101468 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.054347 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0870597 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.123009 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0106377 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00553261 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00382845 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00136382 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.00553261 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0146767 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.311292 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0466456 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0108437 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0201131 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00238179 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0108437 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0652713 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00707527 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0119403 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0225301 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0116558 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0119403 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0627747 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0291025 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0463638 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0233043 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0291025 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.000865306 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0973967 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0353016 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0137052 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0759838 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.158401 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.377582 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0898977 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0284558 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0155129 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.0759838 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0870597 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.123009 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.143577 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00136382 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.00553261 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0146767 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.311292 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0252845 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00238266 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0108428 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0652705 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0292792 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0116558 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0119403 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0627747 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0034991 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0155444 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00976971 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0284558 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0155129 # DEPENDENCYPART_SIBL
(5,19),(5,20),0.0759838 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0358483 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0714648 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0284111 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0284111 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0122401 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00608634 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0153865 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00221261 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00470147 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00993494 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0122401 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0363962 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.00695026 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0135771 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.00346869 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0233201 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0155209 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.142498 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0129594 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0129594 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0123721 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0567503 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0369364 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0592709 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.018458 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0523396 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0123721 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00833408 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.00697268 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0111036 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0233978 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0202191 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.00534673 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0193323 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0193323 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00497681 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.012589 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0233831 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0442292 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0201553 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0221034 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.00497681 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0472945 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0101856 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0129203 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0189688 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.00988105 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0912453 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0218746 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0135504 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0419676 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0179085 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00127361 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00891768 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0140294 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0135504 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0388713 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0191779 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0298636 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.00929095 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.00087532 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.0051115 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0135504 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0419676 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0179085 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00127361 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00891768 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0140294 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0135504 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0388713 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0191779 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0300586 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.00929095 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.00087532 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0051115 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.264518 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0772628 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0151361 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0765194 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.00436211 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0129099 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.81544 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0895726 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0603762 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.07652 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.194562 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.0489202 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0113821 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.031496 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0314938 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.00720621 # DEPENDENCYPART_SIBL
