# _root_ Ám csak egy banktól lehet igényelni a termények — búza , kukorica , rozs és árpa — termelési költségeire felvett éven belüli hitel törlesztésének halasztását .
#goldHeads=5,6,4,6,0,5,8,19,19,16,16,16,16,16,16,19,19,19,20,23,22,23,24,5,6,5,
#predictedHeads=5,6,4,6,0,5,8,19,19,12,12,19,19,19,19,19,19,19,20,21,22,23,24,25,6,5,
(19,14),-0.211251 # DEPENDENCYPART_ARC
(19,15),-0.484077 # DEPENDENCYPART_ARC
(19,16),0.134628 # DEPENDENCYPART_ARC
(19,17),-0.586674 # DEPENDENCYPART_ARC
(19,18),1.93232 # DEPENDENCYPART_ARC
(19,20),-1.12323 # DEPENDENCYPART_ARC
(19,21),-1.98359 # DEPENDENCYPART_ARC
(20,1),-0.890311 # DEPENDENCYPART_ARC
(20,2),-1.98254 # DEPENDENCYPART_ARC
(20,10),-1.92685 # DEPENDENCYPART_ARC
(20,14),-1.39193 # DEPENDENCYPART_ARC
(20,15),-0.548176 # DEPENDENCYPART_ARC
(20,16),-1.3697 # DEPENDENCYPART_ARC
(20,17),-0.381121 # DEPENDENCYPART_ARC
(20,18),-0.335801 # DEPENDENCYPART_ARC
(20,19),1.22723 # DEPENDENCYPART_ARC
(21,3),-2.1569 # DEPENDENCYPART_ARC
(21,4),-5.02011 # DEPENDENCYPART_ARC
(21,7),-1.44423 # DEPENDENCYPART_ARC
(21,8),-3.79097 # DEPENDENCYPART_ARC
(21,9),-0.862008 # DEPENDENCYPART_ARC
(21,10),-3.12842 # DEPENDENCYPART_ARC
(21,11),-0.742555 # DEPENDENCYPART_ARC
(21,12),-2.59736 # DEPENDENCYPART_ARC
(21,13),-0.784435 # DEPENDENCYPART_ARC
(21,14),-1.97738 # DEPENDENCYPART_ARC
(21,15),-0.821743 # DEPENDENCYPART_ARC
(21,16),-1.64533 # DEPENDENCYPART_ARC
(21,17),-0.707214 # DEPENDENCYPART_ARC
(21,18),0.331709 # DEPENDENCYPART_ARC
(21,19),-1.40034 # DEPENDENCYPART_ARC
(21,20),2.40687 # DEPENDENCYPART_ARC
(21,23),-1.21149 # DEPENDENCYPART_ARC
(21,24),-1.61273 # DEPENDENCYPART_ARC
(22,1),-0.820251 # DEPENDENCYPART_ARC
(22,4),-1.71605 # DEPENDENCYPART_ARC
(22,12),-1.79517 # DEPENDENCYPART_ARC
(22,14),-1.4623 # DEPENDENCYPART_ARC
(22,15),-0.408441 # DEPENDENCYPART_ARC
(22,16),-1.63062 # DEPENDENCYPART_ARC
(22,17),-0.610355 # DEPENDENCYPART_ARC
(22,18),-1.04879 # DEPENDENCYPART_ARC
(22,19),0.0104247 # DEPENDENCYPART_ARC
(22,20),-0.363799 # DEPENDENCYPART_ARC
(22,21),1.51949 # DEPENDENCYPART_ARC
(23,4),-4.94683 # DEPENDENCYPART_ARC
(23,7),-1.66052 # DEPENDENCYPART_ARC
(23,8),-3.90108 # DEPENDENCYPART_ARC
(23,9),-0.790605 # DEPENDENCYPART_ARC
(23,11),-0.703887 # DEPENDENCYPART_ARC
(23,13),-0.621444 # DEPENDENCYPART_ARC
(23,14),-2.01149 # DEPENDENCYPART_ARC
(23,15),-0.842793 # DEPENDENCYPART_ARC
(23,16),-1.99148 # DEPENDENCYPART_ARC
(23,17),-0.737176 # DEPENDENCYPART_ARC
(23,18),-0.147477 # DEPENDENCYPART_ARC
(23,19),-2.47218 # DEPENDENCYPART_ARC
(23,20),0.535185 # DEPENDENCYPART_ARC
(23,21),-0.271897 # DEPENDENCYPART_ARC
(23,22),2.36367 # DEPENDENCYPART_ARC
(23,24),-1.55473 # DEPENDENCYPART_ARC
(24,4),-4.39049 # DEPENDENCYPART_ARC
(24,8),-1.60562 # DEPENDENCYPART_ARC
(24,9),-0.500888 # DEPENDENCYPART_ARC
(24,10),-1.55247 # DEPENDENCYPART_ARC
(24,11),-0.321848 # DEPENDENCYPART_ARC
(24,12),-1.24896 # DEPENDENCYPART_ARC
(24,13),-0.408862 # DEPENDENCYPART_ARC
(24,14),-0.40228 # DEPENDENCYPART_ARC
(24,15),-0.472606 # DEPENDENCYPART_ARC
(24,16),-0.374881 # DEPENDENCYPART_ARC
(24,17),-0.59978 # DEPENDENCYPART_ARC
(24,18),-1.2964 # DEPENDENCYPART_ARC
(24,19),-1.71157 # DEPENDENCYPART_ARC
(24,20),-0.613382 # DEPENDENCYPART_ARC
(24,21),-0.746817 # DEPENDENCYPART_ARC
(24,22),0.696885 # DEPENDENCYPART_ARC
(24,23),3.69187 # DEPENDENCYPART_ARC
(24,25),-1.72524 # DEPENDENCYPART_ARC
(25,8),-1.97073 # DEPENDENCYPART_ARC
(25,9),-0.543797 # DEPENDENCYPART_ARC
(25,10),-2.15404 # DEPENDENCYPART_ARC
(25,11),-0.349645 # DEPENDENCYPART_ARC
(25,12),-1.81875 # DEPENDENCYPART_ARC
(25,13),-0.417682 # DEPENDENCYPART_ARC
(25,14),-1.22973 # DEPENDENCYPART_ARC
(25,15),-0.562304 # DEPENDENCYPART_ARC
(25,16),-1.02032 # DEPENDENCYPART_ARC
(25,17),-0.756284 # DEPENDENCYPART_ARC
(25,18),-1.67832 # DEPENDENCYPART_ARC
(25,19),-2.64712 # DEPENDENCYPART_ARC
(25,20),-1.03487 # DEPENDENCYPART_ARC
(25,21),-1.78995 # DEPENDENCYPART_ARC
(25,22),-0.429646 # DEPENDENCYPART_ARC
(25,23),1.92436 # DEPENDENCYPART_ARC
(25,24),0.240701 # DEPENDENCYPART_ARC
(25,26),-1.08241 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0649198 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0564223 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0756663 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.117423 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.123498 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0325423 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0286575 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.126603 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.124498 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0375909 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0807332 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0816723 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.122401 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.107518 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.25814 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0067 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0120434 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.05425 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.051097 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.0120434 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.0207518 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0126275 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0263187 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0261663 # DEPENDENCYPART_SIBL
(1,3),(1,25),-0.0126275 # DEPENDENCYPART_SIBL
(1,3),(1,26),0.0136141 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0392443 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0231089 # DEPENDENCYPART_SIBL
(1,4),(1,25),-0.0126433 # DEPENDENCYPART_SIBL
(1,4),(1,26),-0.00322231 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00485866 # DEPENDENCYPART_SIBL
(1,5),(1,25),0.122987 # DEPENDENCYPART_SIBL
(1,5),(1,26),0.118223 # DEPENDENCYPART_SIBL
(1,6),(1,25),0.0827496 # DEPENDENCYPART_SIBL
(1,6),(1,26),0.102049 # DEPENDENCYPART_SIBL
(1,25),(1,26),-0.00322231 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0129449 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.120699 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0143551 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00923667 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.120676 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.120699 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.120699 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.078493 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0159281 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.043684 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0448341 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0159281 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0159281 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.0159281 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.143009 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0141989 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0315302 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.00590515 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.00590673 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.00590673 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0372624 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0130847 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0275378 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.027548 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.027548 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0623575 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0151279 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.0151382 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.0151382 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0634602 # DEPENDENCYPART_SIBL
(2,23),(2,24),0.00584185 # DEPENDENCYPART_SIBL
(2,23),(2,25),0.00584185 # DEPENDENCYPART_SIBL
(2,23),(2,26),0.037162 # DEPENDENCYPART_SIBL
(2,24),(2,25),0.00590673 # DEPENDENCYPART_SIBL
(2,24),(2,26),0.0372624 # DEPENDENCYPART_SIBL
(2,25),(2,26),0.0372624 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.143945 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0759506 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0716621 # DEPENDENCYPART_SIBL
(3,1),(3,26),0.14362 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0733578 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0621944 # DEPENDENCYPART_SIBL
(3,2),(3,26),0.0933553 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0193239 # DEPENDENCYPART_SIBL
(3,5),(3,26),0.12439 # DEPENDENCYPART_SIBL
(3,6),(3,26),0.124838 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00687764 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0435906 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00974593 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0113749 # DEPENDENCYPART_SIBL
(4,1),(4,26),0.0997622 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0504791 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0525474 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0511001 # DEPENDENCYPART_SIBL
(4,2),(4,26),0.136189 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0237055 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0231063 # DEPENDENCYPART_SIBL
(4,3),(4,26),-0.0251849 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0457947 # DEPENDENCYPART_SIBL
(4,5),(4,26),0.226103 # DEPENDENCYPART_SIBL
(4,6),(4,26),0.211166 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0164721 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0108375 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00863977 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0127109 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00533763 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0148242 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.031974 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0161823 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.000954697 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0148242 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.000954697 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0312639 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.031974 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0164414 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0159348 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.0150639 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0164484 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0148474 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0148242 # DEPENDENCYPART_SIBL
(5,1),(5,25),-0.0148242 # DEPENDENCYPART_SIBL
(5,1),(5,26),0.0789304 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0454954 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0842755 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.110119 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0955272 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0044672 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0484366 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00582533 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0314611 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0044672 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0314611 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0094453 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0484366 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.000445129 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.000419498 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.00490458 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.000454173 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.00448155 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0044672 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0044672 # DEPENDENCYPART_SIBL
(5,2),(5,26),-0.021969 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.022275 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0743896 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0283477 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0496636 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0889229 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0510217 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0821893 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0496636 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0821893 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0913911 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0889229 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0455262 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0454976 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0499595 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0455101 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0496773 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.0496636 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.0496636 # DEPENDENCYPART_SIBL
(5,3),(5,26),-0.0405007 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.100687 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0585764 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0764601 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.106652 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0781929 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0536187 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0764601 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0536187 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0481951 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.106652 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0342171 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0341303 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0772166 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.0341895 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0765358 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0764601 # DEPENDENCYPART_SIBL
(5,4),(5,25),-0.0764601 # DEPENDENCYPART_SIBL
(5,4),(5,26),-0.0133943 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.022523 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0115947 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0335451 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0119758 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0987611 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0115947 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0987611 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0345513 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0335451 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0048984 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.00450853 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0117277 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.00557766 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.0116049 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.0115947 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.0115947 # DEPENDENCYPART_SIBL
(5,6),(5,26),0.0171086 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0112608 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0503028 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0108797 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00535273 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0112608 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.00535273 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0313134 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0503028 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00953217 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.00940324 # DEPENDENCYPART_SIBL
(5,7),(5,21),0.0111279 # DEPENDENCYPART_SIBL
