# _root_ A Kreml 234 szobáját egy 180_millió dolláros megrendelés keretében rekordidő , nyolc hónap alatt varázsolta újjá , s ezért magától Jelcintől vehetett át kitüntetést .
#goldHeads=2,4,4,15,8,7,8,9,15,14,14,13,14,15,18,15,18,0,22,22,22,18,22,22,18,
#predictedHeads=2,4,4,15,8,7,8,9,15,15,15,13,14,15,18,15,18,0,22,21,22,18,22,22,18,
(9,6),-0.301435 # DEPENDENCYPART_ARC
(9,7),0.70879 # DEPENDENCYPART_ARC
(9,8),2.86089 # DEPENDENCYPART_ARC
(9,10),-1.21275 # DEPENDENCYPART_ARC
(10,1),-1.52653 # DEPENDENCYPART_ARC
(10,2),-1.36922 # DEPENDENCYPART_ARC
(10,3),-1.31393 # DEPENDENCYPART_ARC
(10,4),-4.18824 # DEPENDENCYPART_ARC
(10,5),-0.254681 # DEPENDENCYPART_ARC
(10,6),-0.629663 # DEPENDENCYPART_ARC
(10,7),-0.323139 # DEPENDENCYPART_ARC
(10,8),0.490807 # DEPENDENCYPART_ARC
(10,9),-0.258538 # DEPENDENCYPART_ARC
(10,11),-0.306989 # DEPENDENCYPART_ARC
(10,12),-1.2339 # DEPENDENCYPART_ARC
(10,13),-1.06511 # DEPENDENCYPART_ARC
(10,14),-1.15673 # DEPENDENCYPART_ARC
(10,17),-1.07638 # DEPENDENCYPART_ARC
(10,22),-1.41245 # DEPENDENCYPART_ARC
(10,25),-1.59685 # DEPENDENCYPART_ARC
(12,8),-1.45436 # DEPENDENCYPART_ARC
(12,9),-1.83494 # DEPENDENCYPART_ARC
(12,10),-0.97668 # DEPENDENCYPART_ARC
(12,11),-0.474195 # DEPENDENCYPART_ARC
(12,17),-1.28261 # DEPENDENCYPART_ARC
(12,21),-2.2596 # DEPENDENCYPART_ARC
(12,22),-1.5048 # DEPENDENCYPART_ARC
(12,24),-2.55799 # DEPENDENCYPART_ARC
(12,25),-1.74767 # DEPENDENCYPART_ARC
(13,1),-1.65754 # DEPENDENCYPART_ARC
(13,2),-1.9098 # DEPENDENCYPART_ARC
(13,3),-1.34123 # DEPENDENCYPART_ARC
(13,5),-0.456194 # DEPENDENCYPART_ARC
(13,6),-1.0381 # DEPENDENCYPART_ARC
(13,7),-1.02336 # DEPENDENCYPART_ARC
(13,8),-1.18264 # DEPENDENCYPART_ARC
(13,9),-2.67237 # DEPENDENCYPART_ARC
(13,10),-0.758592 # DEPENDENCYPART_ARC
(13,11),-0.515318 # DEPENDENCYPART_ARC
(13,12),1.98275 # DEPENDENCYPART_ARC
(14,4),-1.7541 # DEPENDENCYPART_ARC
(14,6),-0.99649 # DEPENDENCYPART_ARC
(14,7),-1.21763 # DEPENDENCYPART_ARC
(14,8),-1.17527 # DEPENDENCYPART_ARC
(14,9),-0.664265 # DEPENDENCYPART_ARC
(14,10),-0.116968 # DEPENDENCYPART_ARC
(14,11),-0.174249 # DEPENDENCYPART_ARC
(14,12),0.219493 # DEPENDENCYPART_ARC
(14,13),2.6078 # DEPENDENCYPART_ARC
(14,17),-0.906314 # DEPENDENCYPART_ARC
(14,18),-1.16953 # DEPENDENCYPART_ARC
(14,21),-1.73022 # DEPENDENCYPART_ARC
(14,22),-1.33551 # DEPENDENCYPART_ARC
(14,24),-1.7716 # DEPENDENCYPART_ARC
(15,1),-1.54203 # DEPENDENCYPART_ARC
(15,2),0.0786626 # DEPENDENCYPART_ARC
(15,3),-1.02099 # DEPENDENCYPART_ARC
(15,4),0.475176 # DEPENDENCYPART_ARC
(15,5),-1.12058 # DEPENDENCYPART_ARC
(15,6),-0.814903 # DEPENDENCYPART_ARC
(15,7),-1.306 # DEPENDENCYPART_ARC
(15,8),0.150689 # DEPENDENCYPART_ARC
(15,9),0.458416 # DEPENDENCYPART_ARC
(15,10),0.0711987 # DEPENDENCYPART_ARC
(15,11),0.323669 # DEPENDENCYPART_ARC
(15,12),0.0886278 # DEPENDENCYPART_ARC
(15,13),1.03541 # DEPENDENCYPART_ARC
(15,14),2.03893 # DEPENDENCYPART_ARC
(15,16),1.78624 # DEPENDENCYPART_ARC
(15,17),0.497709 # DEPENDENCYPART_ARC
(15,18),-0.0316465 # DEPENDENCYPART_ARC
(15,19),-0.685423 # DEPENDENCYPART_ARC
(15,20),-0.84955 # DEPENDENCYPART_ARC
(15,21),-1.0971 # DEPENDENCYPART_ARC
(15,22),0.183674 # DEPENDENCYPART_ARC
(15,23),-0.411369 # DEPENDENCYPART_ARC
(15,24),-0.867989 # DEPENDENCYPART_ARC
(15,25),-0.571836 # DEPENDENCYPART_ARC
(16,8),-1.34395 # DEPENDENCYPART_ARC
(16,9),-1.33123 # DEPENDENCYPART_ARC
(16,10),-1.35718 # DEPENDENCYPART_ARC
(16,11),-1.35065 # DEPENDENCYPART_ARC
(16,13),-0.696698 # DEPENDENCYPART_ARC
(16,14),-0.782515 # DEPENDENCYPART_ARC
(16,15),-0.139473 # DEPENDENCYPART_ARC
(16,17),-0.810956 # DEPENDENCYPART_ARC
(16,18),-1.14133 # DEPENDENCYPART_ARC
(16,24),-2.17259 # DEPENDENCYPART_ARC
(18,2),-1.91247 # DEPENDENCYPART_ARC
(18,3),-1.27859 # DEPENDENCYPART_ARC
(18,4),-2.24063 # DEPENDENCYPART_ARC
(18,6),-1.3123 # DEPENDENCYPART_ARC
(18,7),-2.20123 # DEPENDENCYPART_ARC
(18,8),-2.04162 # DEPENDENCYPART_ARC
(18,9),-1.99879 # DEPENDENCYPART_ARC
(18,10),-2.20858 # DEPENDENCYPART_ARC
(18,11),-1.09233 # DEPENDENCYPART_ARC
(18,12),-1.21007 # DEPENDENCYPART_ARC
(18,13),-1.68137 # DEPENDENCYPART_ARC
(18,14),-1.05095 # DEPENDENCYPART_ARC
(18,15),0.416004 # DEPENDENCYPART_ARC
(18,17),0.550565 # DEPENDENCYPART_ARC
(18,19),-1.61118 # DEPENDENCYPART_ARC
(18,21),-1.41627 # DEPENDENCYPART_ARC
(18,22),0.19352 # DEPENDENCYPART_ARC
(18,24),-1.83222 # DEPENDENCYPART_ARC
(18,25),0.0658448 # DEPENDENCYPART_ARC
(19,14),-1.69334 # DEPENDENCYPART_ARC
(19,15),-0.786833 # DEPENDENCYPART_ARC
(19,17),-1.3276 # DEPENDENCYPART_ARC
(19,18),-0.555642 # DEPENDENCYPART_ARC
(19,20),-1.32234 # DEPENDENCYPART_ARC
(19,21),-1.60026 # DEPENDENCYPART_ARC
(19,22),0.733216 # DEPENDENCYPART_ARC
(19,23),-1.02517 # DEPENDENCYPART_ARC
(19,24),-1.62987 # DEPENDENCYPART_ARC
(19,25),-0.842826 # DEPENDENCYPART_ARC
(20,15),-0.901585 # DEPENDENCYPART_ARC
(20,18),-0.882499 # DEPENDENCYPART_ARC
(20,19),-0.106273 # DEPENDENCYPART_ARC
(20,22),0.368238 # DEPENDENCYPART_ARC
(20,24),-1.59808 # DEPENDENCYPART_ARC
(21,15),-1.69505 # DEPENDENCYPART_ARC
(21,17),-1.20256 # DEPENDENCYPART_ARC
(21,18),-0.506903 # DEPENDENCYPART_ARC
(21,19),-0.963218 # DEPENDENCYPART_ARC
(21,20),0.401643 # DEPENDENCYPART_ARC
(21,24),-1.59136 # DEPENDENCYPART_ARC
(22,2),-1.15763 # DEPENDENCYPART_ARC
(22,3),-2.05075 # DEPENDENCYPART_ARC
(22,4),-1.60146 # DEPENDENCYPART_ARC
(22,6),-2.12789 # DEPENDENCYPART_ARC
(22,7),-2.44323 # DEPENDENCYPART_ARC
(22,8),-1.52364 # DEPENDENCYPART_ARC
(22,9),-1.16271 # DEPENDENCYPART_ARC
(22,10),-1.9415 # DEPENDENCYPART_ARC
(22,11),-0.949563 # DEPENDENCYPART_ARC
(22,12),-1.70686 # DEPENDENCYPART_ARC
(22,13),-1.39389 # DEPENDENCYPART_ARC
(22,14),-0.467387 # DEPENDENCYPART_ARC
(22,15),-1.07844 # DEPENDENCYPART_ARC
(22,16),-0.735745 # DEPENDENCYPART_ARC
(22,17),-0.657175 # DEPENDENCYPART_ARC
(22,18),-0.238291 # DEPENDENCYPART_ARC
(22,19),0.593483 # DEPENDENCYPART_ARC
(22,20),0.53453 # DEPENDENCYPART_ARC
(22,21),2.69465 # DEPENDENCYPART_ARC
(22,23),1.63462 # DEPENDENCYPART_ARC
(22,24),1.04768 # DEPENDENCYPART_ARC
(22,25),-0.348203 # DEPENDENCYPART_ARC
(23,14),-1.51778 # DEPENDENCYPART_ARC
(23,15),-1.62886 # DEPENDENCYPART_ARC
(23,20),-0.98095 # DEPENDENCYPART_ARC
(23,24),-1.24081 # DEPENDENCYPART_ARC
(24,12),-1.68833 # DEPENDENCYPART_ARC
(24,15),-2.29791 # DEPENDENCYPART_ARC
(24,18),-0.941453 # DEPENDENCYPART_ARC
(24,19),-1.91648 # DEPENDENCYPART_ARC
(24,20),-1.42719 # DEPENDENCYPART_ARC
(24,21),-1.82414 # DEPENDENCYPART_ARC
(24,23),0.0862101 # DEPENDENCYPART_ARC
(0,15),(0,16),-0.112974 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.234137 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0996799 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.100645 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.245466 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.144099 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0349719 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0285988 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.113287 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0514516 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0552393 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.124481 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0349399 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.108027 # DEPENDENCYPART_SIBL
(0,20),(0,22),-0.109068 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.017754 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0035832 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00369264 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0035832 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00928619 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.017754 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.00849235 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0286431 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0253522 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0253247 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0253522 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0570405 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.035353 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0508503 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.120833 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00398704 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00467089 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.103045 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0308753 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0582078 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.048557 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00641247 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.104948 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0308679 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0575764 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.0520683 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.103045 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0308753 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0582078 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.048557 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.162733 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.425537 # DEPENDENCYPART_SIBL
(2,11),(2,25),0.0787091 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0507264 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.120622 # DEPENDENCYPART_SIBL
(2,22),(2,25),0.211166 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.136358 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0119499 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.0349302 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00504413 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00207841 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0176286 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00427222 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00331961 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00342905 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00331961 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00907785 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0176286 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00509327 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0180194 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0086177 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.00907785 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0051844 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0086177 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0285178 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00822227 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.055808 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0438262 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00240762 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00405861 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00240762 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00432225 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.055586 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0186444 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.022553 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00796473 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00432225 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00781771 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.00796473 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0402605 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0187679 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00616691 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0154455 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0154026 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0154455 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0196372 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0187676 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0229626 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00881458 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.00136303 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0196372 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.00900043 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.00136303 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0208839 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0143674 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.025387 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0253596 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.025387 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0570569 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.035353 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0252318 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0257239 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0508503 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0570569 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.00730551 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0508503 # DEPENDENCYPART_SIBL
(4,6),(4,25),0.120833 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.054744 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0547156 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.054744 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0902051 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0480033 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0546224 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0458475 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0558683 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0902051 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0167474 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0558683 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.105996 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00403008 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00471394 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.103086 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0308835 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.00366777 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0278724 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.058216 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.103086 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0437824 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.058216 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.0485651 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00645551 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.104989 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0308761 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.00540934 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0292636 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0575846 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.104989 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0446886 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.0575846 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.0520764 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.103086 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0308835 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00366777 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0278724 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.058216 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.103086 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0437824 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.058216 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.0485651 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.162803 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.342674 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0696716 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.425607 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.00482316 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.165906 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.425607 # DEPENDENCYPART_SIBL
(4,11),(4,25),0.0787788 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0251025 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0257223 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0507264 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0570459 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.00731804 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0507264 # DEPENDENCYPART_SIBL
(4,12),(4,25),0.120622 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0277267 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.058037 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.102747 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0439271 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.058037 # DEPENDENCYPART_SIBL
(4,13),(4,25),0.0483807 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0629291 # DEPENDENCYPART_SIBL
(4,14),(4,17),0.109598 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0147854 # DEPENDENCYPART_SIBL
(4,14),(4,22),0.0629291 # DEPENDENCYPART_SIBL
(4,14),(4,25),0.163857 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.169079 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0426579 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.0510458 # DEPENDENCYPART_SIBL
(4,15),(4,25),0.211166 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.165906 # DEPENDENCYPART_SIBL
(4,17),(4,22),0.425607 # DEPENDENCYPART_SIBL
(4,17),(4,25),0.0787788 # DEPENDENCYPART_SIBL
(4,18),(4,22),0.0591389 # DEPENDENCYPART_SIBL
(4,18),(4,25),0.138214 # DEPENDENCYPART_SIBL
(4,22),(4,25),0.211166 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0254988 # DEPENDENCYPART_SIBL
(6,4),(6,25),0.0355016 # DEPENDENCYPART_SIBL
(6,12),(6,25),0.0158057 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0545548 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0420709 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0678624 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.164397 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0420709 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0565102 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0885991 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0373116 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0565102 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0443785 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0337988 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.108384 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0322575 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0514561 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0304729 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.00504413 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.00207841 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0129962 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.495438 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.00207841 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.129723 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.00822227 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0216389 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.179538 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.00822227 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0171166 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0159741 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.300775 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0275393 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0674133 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.172987 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00167112 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0306279 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0659188 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.221618 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0674133 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.00503136 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.00207879 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0129834 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.495438 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.00207879 # DEPENDENCYPART_SIBL
