# _root_ Bár sokan emlegetik következő áldozatként a Hyundait , elemzők rámutatnak , hogy helyzete több szempontból sem hasonlítható a Daewooéhoz .
#goldHeads=10,3,10,5,3,7,3,10,10,0,10,10,10,15,10,10,10,19,10,10,
#predictedHeads=10,3,10,5,3,7,3,10,10,0,10,10,10,15,17,17,10,19,17,10,
(0,3),(0,19),-0.110094 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.035379 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0895272 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0839799 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0316298 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0621333 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.035379 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.107518 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.136432 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0529093 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.032626 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0661097 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.265529 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0995196 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.133026 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.110025 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.089514 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.07542 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.125941 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0255334 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0319857 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0345878 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0420791 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00611278 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00247782 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00247782 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0511506 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0420791 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0511506 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0453104 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0026235 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.000400356 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.00611307 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0171061 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.027005 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0845675 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0845675 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.165178 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0170507 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.165178 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0506832 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0844218 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0845402 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0277727 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0786403 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0114087 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0114087 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0154203 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0331986 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0154203 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0287145 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.011241 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0113795 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0214873 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0335372 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00983035 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0345032 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0323456 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0345032 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0576278 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0102685 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.012541 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0375038 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.00417635 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0345032 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0323456 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0345032 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0576278 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0102685 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.012541 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0375038 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.00417635 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.195164 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0230315 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.197009 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.101841 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0987135 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0682489 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.000448334 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.165916 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0505699 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0844907 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0846091 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0277727 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.0796375 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.197009 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.101841 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0987135 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.0682489 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.000448334 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0659099 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.065792 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.0156012 # DEPENDENCYPART_SIBL
(1,12),(1,20),0.0868813 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.00731383 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.0427307 # DEPENDENCYPART_SIBL
(1,13),(1,20),0.0188219 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0384822 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.00494843 # DEPENDENCYPART_SIBL
(1,17),(1,20),0.0400705 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0154086 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0345148 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0717892 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0717892 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0289119 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0154086 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00461083 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.106154 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0411983 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0193426 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0193426 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0928799 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00288926 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00855281 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0539773 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0186799 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0186799 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00133058 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0108332 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0429027 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.00597854 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00540698 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.055032 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0304123 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0213201 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0194096 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.055032 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0304123 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0213201 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0194096 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.232199 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.329257 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0551252 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.00866614 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0549745 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0585102 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0635401 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.04023 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00570109 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0349508 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00570109 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0379357 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0211651 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0166021 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0379357 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0242127 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.00570109 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.00808252 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0146238 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.00229916 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0316061 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.00570109 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0505991 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0271408 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0408659 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0512392 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0408659 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0253264 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0254015 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0111997 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0253264 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0421291 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.043995 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00131183 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0273497 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.11256 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0360163 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0408659 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0605511 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0273801 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0406429 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0273801 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00598026 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0263008 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0289607 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00598026 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0624876 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0274022 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0285979 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0323573 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.00724396 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0367202 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.0273801 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.00820229 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0707774 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0191083 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0397426 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0176936 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0150076 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0397426 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0466068 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0192551 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0307525 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0294313 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.03057 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0263314 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0191083 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0103508 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0110311 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0105901 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0124459 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0320536 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0105901 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0699786 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0110311 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0143232 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00604937 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00451647 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.00981205 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0110311 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0181098 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0397426 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0176936 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0150076 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0397426 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0466068 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0192551 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0307525 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0294313 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.03057 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0263314 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0191083 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0103508 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0838256 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.208804 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0125542 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.82489 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0824176 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0329356 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0711122 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0972756 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.0663972 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0824176 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0662958 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0454437 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00210872 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0189008 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0434028 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0548761 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.053579 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.00570808 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.004647 # DEPENDENCYPART_SIBL
