# _root_ Olyanok is egyszerűen együtt élnek csak , akiknek semmi kifogásuk sincs sem az egyházi , sem a világi esküvő ellen — írja Trost .
#goldHeads=5,5,5,5,22,5,5,11,10,11,1,11,11,13,11,11,19,19,20,11,22,0,22,22,
#predictedHeads=5,5,5,5,22,5,5,11,10,11,22,11,14,11,22,22,19,19,20,22,22,0,22,22,
(2,7),-0.921534 # DEPENDENCYPART_ARC
(2,11),-1.32907 # DEPENDENCYPART_ARC
(2,16),-1.48812 # DEPENDENCYPART_ARC
(2,20),-2.0476 # DEPENDENCYPART_ARC
(2,21),-1.09184 # DEPENDENCYPART_ARC
(2,22),-2.07468 # DEPENDENCYPART_ARC
(2,24),-1.77896 # DEPENDENCYPART_ARC
(3,1),-0.826709 # DEPENDENCYPART_ARC
(3,2),0.0775048 # DEPENDENCYPART_ARC
(3,4),-0.868131 # DEPENDENCYPART_ARC
(3,5),-1.3417 # DEPENDENCYPART_ARC
(3,9),-1.67094 # DEPENDENCYPART_ARC
(3,10),-1.74859 # DEPENDENCYPART_ARC
(3,11),-1.91176 # DEPENDENCYPART_ARC
(3,22),-2.22741 # DEPENDENCYPART_ARC
(3,24),-1.0565 # DEPENDENCYPART_ARC
(4,2),-1.00173 # DEPENDENCYPART_ARC
(4,3),-0.324533 # DEPENDENCYPART_ARC
(4,6),-1.25804 # DEPENDENCYPART_ARC
(4,22),-1.495 # DEPENDENCYPART_ARC
(4,24),-1.85291 # DEPENDENCYPART_ARC
(5,1),0.53178 # DEPENDENCYPART_ARC
(5,2),0.908944 # DEPENDENCYPART_ARC
(5,3),1.09962 # DEPENDENCYPART_ARC
(5,4),2.17287 # DEPENDENCYPART_ARC
(5,6),1.76827 # DEPENDENCYPART_ARC
(5,7),0.657092 # DEPENDENCYPART_ARC
(5,8),-0.589877 # DEPENDENCYPART_ARC
(5,9),-1.06345 # DEPENDENCYPART_ARC
(5,10),-0.779857 # DEPENDENCYPART_ARC
(5,11),0.0989994 # DEPENDENCYPART_ARC
(5,12),-0.805169 # DEPENDENCYPART_ARC
(5,13),-2.21118 # DEPENDENCYPART_ARC
(5,14),-1.56349 # DEPENDENCYPART_ARC
(5,15),-0.818101 # DEPENDENCYPART_ARC
(5,16),-1.39277 # DEPENDENCYPART_ARC
(5,18),-2.10074 # DEPENDENCYPART_ARC
(5,20),-0.949682 # DEPENDENCYPART_ARC
(5,21),-1.09499 # DEPENDENCYPART_ARC
(5,22),-1.14041 # DEPENDENCYPART_ARC
(5,23),-3.03602 # DEPENDENCYPART_ARC
(5,24),-0.912693 # DEPENDENCYPART_ARC
(6,3),-1.21245 # DEPENDENCYPART_ARC
(6,4),-0.814484 # DEPENDENCYPART_ARC
(6,5),-0.467191 # DEPENDENCYPART_ARC
(6,7),-0.891852 # DEPENDENCYPART_ARC
(6,10),-1.6982 # DEPENDENCYPART_ARC
(6,11),-1.36685 # DEPENDENCYPART_ARC
(6,20),-1.59896 # DEPENDENCYPART_ARC
(6,22),-1.64767 # DEPENDENCYPART_ARC
(6,24),-1.81698 # DEPENDENCYPART_ARC
(8,10),-0.94124 # DEPENDENCYPART_ARC
(8,12),-0.630527 # DEPENDENCYPART_ARC
(8,14),-0.779297 # DEPENDENCYPART_ARC
(8,19),-1.16748 # DEPENDENCYPART_ARC
(10,1),-2.25312 # DEPENDENCYPART_ARC
(10,5),-2.6971 # DEPENDENCYPART_ARC
(10,6),-1.39216 # DEPENDENCYPART_ARC
(10,7),-1.09054 # DEPENDENCYPART_ARC
(10,8),-1.78696 # DEPENDENCYPART_ARC
(10,9),1.64537 # DEPENDENCYPART_ARC
(10,20),-1.6147 # DEPENDENCYPART_ARC
(11,1),-1.66579 # DEPENDENCYPART_ARC
(11,2),-0.484204 # DEPENDENCYPART_ARC
(11,3),-0.717138 # DEPENDENCYPART_ARC
(11,4),-1.01386 # DEPENDENCYPART_ARC
(11,5),-0.832447 # DEPENDENCYPART_ARC
(11,6),-0.495622 # DEPENDENCYPART_ARC
(11,7),-0.684523 # DEPENDENCYPART_ARC
(11,8),1.26615 # DEPENDENCYPART_ARC
(11,9),0.688881 # DEPENDENCYPART_ARC
(11,10),2.0476 # DEPENDENCYPART_ARC
(11,12),1.13667 # DEPENDENCYPART_ARC
(11,13),-1.19528 # DEPENDENCYPART_ARC
(11,14),-0.457898 # DEPENDENCYPART_ARC
(11,15),-0.114177 # DEPENDENCYPART_ARC
(11,16),-0.214215 # DEPENDENCYPART_ARC
(11,17),-1.89184 # DEPENDENCYPART_ARC
(11,18),-1.24721 # DEPENDENCYPART_ARC
(11,19),-0.798439 # DEPENDENCYPART_ARC
(11,20),-0.0298596 # DEPENDENCYPART_ARC
(11,21),-0.621462 # DEPENDENCYPART_ARC
(11,22),-0.542506 # DEPENDENCYPART_ARC
(11,23),-1.86869 # DEPENDENCYPART_ARC
(11,24),-1.06628 # DEPENDENCYPART_ARC
(12,1),-2.89577 # DEPENDENCYPART_ARC
(12,2),-1.51064 # DEPENDENCYPART_ARC
(12,3),-2.43879 # DEPENDENCYPART_ARC
(12,4),-2.186 # DEPENDENCYPART_ARC
(12,5),-1.02168 # DEPENDENCYPART_ARC
(12,6),-1.86844 # DEPENDENCYPART_ARC
(12,7),-1.78218 # DEPENDENCYPART_ARC
(12,8),-2.18402 # DEPENDENCYPART_ARC
(12,9),-2.03548 # DEPENDENCYPART_ARC
(12,10),-1.8563 # DEPENDENCYPART_ARC
(12,11),0.747363 # DEPENDENCYPART_ARC
(12,13),-1.1511 # DEPENDENCYPART_ARC
(12,14),-1.12583 # DEPENDENCYPART_ARC
(12,15),-0.8454 # DEPENDENCYPART_ARC
(12,16),-1.16432 # DEPENDENCYPART_ARC
(12,18),-1.50547 # DEPENDENCYPART_ARC
(12,19),-1.52349 # DEPENDENCYPART_ARC
(12,20),-1.4757 # DEPENDENCYPART_ARC
(12,21),-0.864173 # DEPENDENCYPART_ARC
(12,22),-0.963149 # DEPENDENCYPART_ARC
(12,23),-1.79837 # DEPENDENCYPART_ARC
(12,24),-0.86958 # DEPENDENCYPART_ARC
(13,12),-0.455782 # DEPENDENCYPART_ARC
(13,14),-0.409139 # DEPENDENCYPART_ARC
(13,15),-0.574257 # DEPENDENCYPART_ARC
(13,18),-1.02676 # DEPENDENCYPART_ARC
(14,1),-2.89631 # DEPENDENCYPART_ARC
(14,8),-2.59587 # DEPENDENCYPART_ARC
(14,11),-1.57157 # DEPENDENCYPART_ARC
(14,12),-0.999487 # DEPENDENCYPART_ARC
(14,13),-0.485109 # DEPENDENCYPART_ARC
(14,15),-0.681031 # DEPENDENCYPART_ARC
(16,1),-2.70837 # DEPENDENCYPART_ARC
(16,2),-1.41956 # DEPENDENCYPART_ARC
(16,3),-2.34157 # DEPENDENCYPART_ARC
(16,4),-1.97239 # DEPENDENCYPART_ARC
(16,5),-0.96368 # DEPENDENCYPART_ARC
(16,6),-1.58428 # DEPENDENCYPART_ARC
(16,7),-1.98959 # DEPENDENCYPART_ARC
(16,10),-2.38569 # DEPENDENCYPART_ARC
(16,11),-0.202658 # DEPENDENCYPART_ARC
(16,12),-0.809283 # DEPENDENCYPART_ARC
(16,13),-1.5032 # DEPENDENCYPART_ARC
(16,14),-1.19961 # DEPENDENCYPART_ARC
(16,15),0.0435875 # DEPENDENCYPART_ARC
(16,17),-1.12154 # DEPENDENCYPART_ARC
(16,18),-1.09143 # DEPENDENCYPART_ARC
(16,19),-1.18238 # DEPENDENCYPART_ARC
(16,20),-1.1895 # DEPENDENCYPART_ARC
(16,21),-0.833496 # DEPENDENCYPART_ARC
(16,22),-0.361558 # DEPENDENCYPART_ARC
(16,23),-1.61723 # DEPENDENCYPART_ARC
(16,24),-0.236648 # DEPENDENCYPART_ARC
(17,16),-0.538655 # DEPENDENCYPART_ARC
(17,18),-0.508555 # DEPENDENCYPART_ARC
(18,8),-3.01954 # DEPENDENCYPART_ARC
(18,13),-2.12558 # DEPENDENCYPART_ARC
(18,17),-0.529899 # DEPENDENCYPART_ARC
(19,9),-1.36371 # DEPENDENCYPART_ARC
(19,13),-0.415242 # DEPENDENCYPART_ARC
(19,14),-0.290997 # DEPENDENCYPART_ARC
(19,15),-0.255141 # DEPENDENCYPART_ARC
(19,16),-0.541613 # DEPENDENCYPART_ARC
(19,17),1.48851 # DEPENDENCYPART_ARC
(19,18),2.33523 # DEPENDENCYPART_ARC
(19,21),-1.10257 # DEPENDENCYPART_ARC
(20,2),-1.26738 # DEPENDENCYPART_ARC
(20,7),-1.15619 # DEPENDENCYPART_ARC
(20,10),-0.925922 # DEPENDENCYPART_ARC
(20,12),-0.203143 # DEPENDENCYPART_ARC
(20,14),-0.858436 # DEPENDENCYPART_ARC
(20,15),-0.542692 # DEPENDENCYPART_ARC
(20,16),0.114921 # DEPENDENCYPART_ARC
(20,17),-0.5546 # DEPENDENCYPART_ARC
(20,18),0.189388 # DEPENDENCYPART_ARC
(20,19),2.72156 # DEPENDENCYPART_ARC
(20,21),-0.715461 # DEPENDENCYPART_ARC
(20,23),-1.62867 # DEPENDENCYPART_ARC
(22,1),-1.9887 # DEPENDENCYPART_ARC
(22,2),-1.41558 # DEPENDENCYPART_ARC
(22,3),-0.92137 # DEPENDENCYPART_ARC
(22,4),-1.45183 # DEPENDENCYPART_ARC
(22,5),-0.256166 # DEPENDENCYPART_ARC
(22,6),-1.47991 # DEPENDENCYPART_ARC
(22,7),-0.70848 # DEPENDENCYPART_ARC
(22,8),-0.210261 # DEPENDENCYPART_ARC
(22,10),-0.777259 # DEPENDENCYPART_ARC
(22,11),0.0201032 # DEPENDENCYPART_ARC
(22,12),0.195256 # DEPENDENCYPART_ARC
(22,13),-1.34992 # DEPENDENCYPART_ARC
(22,14),-1.54743 # DEPENDENCYPART_ARC
(22,15),-0.0751394 # DEPENDENCYPART_ARC
(22,16),0.501058 # DEPENDENCYPART_ARC
(22,17),-1.27067 # DEPENDENCYPART_ARC
(22,18),-0.799527 # DEPENDENCYPART_ARC
(22,19),0.369304 # DEPENDENCYPART_ARC
(22,20),0.911033 # DEPENDENCYPART_ARC
(22,21),1.24959 # DEPENDENCYPART_ARC
(22,23),1.86636 # DEPENDENCYPART_ARC
(22,24),0.734929 # DEPENDENCYPART_ARC
(23,13),-2.24118 # DEPENDENCYPART_ARC
(23,17),-1.35971 # DEPENDENCYPART_ARC
(23,20),-1.38641 # DEPENDENCYPART_ARC
(23,21),-1.0695 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0840886 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0229453 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0319938 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.109394 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0247651 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.109742 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0856927 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0856927 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.110117 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.030255 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0596473 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.134801 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0610733 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.132995 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.146422 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.146422 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.13126 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0356065 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0905769 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.033568 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0918787 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0835709 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0835709 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0906367 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.115586 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0772662 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.110022 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0957663 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0957663 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.111717 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.113478 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.244446 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.206567 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.206567 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.244292 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.121364 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.10734 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.10734 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.123062 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.211096 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.211096 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.246277 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.160689 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.117729 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.117729 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0559511 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.011961 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00722883 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0148353 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0134738 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00793394 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00729509 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0150746 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00795673 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.00537316 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0561249 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0134738 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.00537316 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0561173 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0150746 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.016763 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.00701316 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.00889078 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0150746 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.0749709 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0135506 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0215811 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.012962 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.014625 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0105941 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0108522 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0117494 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0237911 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0246612 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.00671384 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.014625 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0246612 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.00672355 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0117494 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0241746 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.000540598 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.0228127 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.0117494 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.013123 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0247574 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0016731 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0148469 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0166162 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0169658 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0971284 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0200976 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0402251 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0720421 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0148469 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0402251 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0720346 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0971284 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0423168 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0281897 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.0220314 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.0971284 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.0200546 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00603657 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0289853 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00718249 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00757521 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.00955618 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0184185 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0263547 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.00837514 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0289853 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0263547 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.00838276 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.00955618 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0325081 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0347846 # DEPENDENCYPART_SIBL
(1,5),(1,22),-0.0196469 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.00955618 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.00522212 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0196874 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.00705768 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.00670813 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0860422 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0424715 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0188709 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.051966 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0196874 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0188709 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0519585 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0860422 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0319625 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.0123242 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.0444082 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0860422 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.00306361 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0328491 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0335571 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0315882 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0127116 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0400071 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0170017 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0682997 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0400071 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0168982 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0315882 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0492185 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.100244 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.0198102 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0315882 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.00580163 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.00100107 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0590201 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0151558 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0738701 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0692956 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0428713 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0738701 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0692837 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.0590201 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.0479754 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.000484441 # DEPENDENCYPART_SIBL
(1,8),(1,22),-0.01662 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.0590201 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.00508421 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0531529 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0122084 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0684047 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0688966 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0283806 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0684047 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0688847 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.0531529 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0479737 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.00887555 # DEPENDENCYPART_SIBL
(1,9),(1,22),-0.0136726 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.0531529 # DEPENDENCYPART_SIBL
(1,9),(1,24),-0.01449 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0223582 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.00135543 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.092988 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0073201 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.00135543 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0929708 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0077608 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.0247797 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.00453767 # DEPENDENCYPART_SIBL
(1,10),(1,22),-0.021499 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.0077608 # DEPENDENCYPART_SIBL
(1,10),(1,24),0.0622139 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0120307 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0155874 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0105404 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0120307 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.015595 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.0178838 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.0397511 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.0209736 # DEPENDENCYPART_SIBL
(1,11),(1,22),-0.0299575 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.0178838 # DEPENDENCYPART_SIBL
(1,11),(1,24),0.002526 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.0287597 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0113054 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.0172315 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.028752 # DEPENDENCYPART_SIBL
(1,12),(1,19),-0.0100094 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.0119998 # DEPENDENCYPART_SIBL
(1,12),(1,21),-0.00203086 # DEPENDENCYPART_SIBL
(1,12),(1,22),0.0293483 # DEPENDENCYPART_SIBL
(1,12),(1,23),-0.0100094 # DEPENDENCYPART_SIBL
(1,12),(1,24),-0.0266393 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0146305 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.025362 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.00891245 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.0117958 # DEPENDENCYPART_SIBL
(1,14),(1,20),0.024179 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.00054151 # DEPENDENCYPART_SIBL
(1,14),(1,22),-0.0208371 # DEPENDENCYPART_SIBL
(1,14),(1,23),0.0117958 # DEPENDENCYPART_SIBL
(1,14),(1,24),0.0158692 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0400071 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.0168982 # DEPENDENCYPART_SIBL
(1,15),(1,19),-0.0315882 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.0492185 # DEPENDENCYPART_SIBL
(1,15),(1,21),-0.100244 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.0198102 # DEPENDENCYPART_SIBL
(1,15),(1,23),-0.0315882 # DEPENDENCYPART_SIBL
(1,15),(1,24),0.00580163 # DEPENDENCYPART_SIBL
