# _root_ Orbán egyetlen " házon belüli " kritikusa , Tölgyessy_Péter már hónapokkal ezelőtt jelezte , hogy a kormányfő megválasztása után egyfajta elnöki rendszer kiépítésébe fogott .
#goldHeads=7,7,7,5,7,7,13,13,13,13,12,13,0,13,13,17,24,19,24,22,22,23,24,13,13,
#predictedHeads=2,4,4,5,7,7,13,13,13,13,12,13,0,13,13,17,18,19,24,22,22,23,24,13,13,
(13,19),-0.576439 # DEPENDENCYPART_ARC
(13,20),-1.45005 # DEPENDENCYPART_ARC
(13,21),-1.49928 # DEPENDENCYPART_ARC
(13,22),-1.43591 # DEPENDENCYPART_ARC
(13,23),-0.767922 # DEPENDENCYPART_ARC
(13,24),0.0654442 # DEPENDENCYPART_ARC
(13,25),-0.90395 # DEPENDENCYPART_ARC
(15,1),-2.0427 # DEPENDENCYPART_ARC
(15,2),-1.36402 # DEPENDENCYPART_ARC
(15,4),-2.10286 # DEPENDENCYPART_ARC
(15,5),-1.29065 # DEPENDENCYPART_ARC
(15,6),-1.42105 # DEPENDENCYPART_ARC
(15,7),-1.49194 # DEPENDENCYPART_ARC
(15,8),-1.78327 # DEPENDENCYPART_ARC
(15,9),-1.17932 # DEPENDENCYPART_ARC
(15,10),-1.08176 # DEPENDENCYPART_ARC
(15,11),-1.02756 # DEPENDENCYPART_ARC
(15,12),-0.696473 # DEPENDENCYPART_ARC
(15,13),-2.06838 # DEPENDENCYPART_ARC
(15,14),0.157056 # DEPENDENCYPART_ARC
(15,17),-1.10549 # DEPENDENCYPART_ARC
(15,18),-1.32763 # DEPENDENCYPART_ARC
(15,20),-1.5185 # DEPENDENCYPART_ARC
(15,21),-1.64753 # DEPENDENCYPART_ARC
(15,22),-1.7233 # DEPENDENCYPART_ARC
(15,23),-1.91696 # DEPENDENCYPART_ARC
(15,24),-0.380671 # DEPENDENCYPART_ARC
(15,25),-0.544549 # DEPENDENCYPART_ARC
(16,20),-1.20233 # DEPENDENCYPART_ARC
(17,15),-1.14991 # DEPENDENCYPART_ARC
(17,16),1.72846 # DEPENDENCYPART_ARC
(17,22),-1.54339 # DEPENDENCYPART_ARC
(18,13),-1.63415 # DEPENDENCYPART_ARC
(18,14),-1.03711 # DEPENDENCYPART_ARC
(18,15),-0.840715 # DEPENDENCYPART_ARC
(18,16),0.0204489 # DEPENDENCYPART_ARC
(18,17),2.84125 # DEPENDENCYPART_ARC
(18,20),-1.65493 # DEPENDENCYPART_ARC
(18,22),-1.13543 # DEPENDENCYPART_ARC
(18,23),-2.04475 # DEPENDENCYPART_ARC
(19,9),-1.44663 # DEPENDENCYPART_ARC
(19,11),-0.396667 # DEPENDENCYPART_ARC
(19,14),-0.654164 # DEPENDENCYPART_ARC
(19,16),-0.849086 # DEPENDENCYPART_ARC
(19,17),0.506861 # DEPENDENCYPART_ARC
(19,18),2.62078 # DEPENDENCYPART_ARC
(19,20),-0.929971 # DEPENDENCYPART_ARC
(19,21),-1.17314 # DEPENDENCYPART_ARC
(19,22),-1.35651 # DEPENDENCYPART_ARC
(19,23),-1.43725 # DEPENDENCYPART_ARC
(20,10),-1.55436 # DEPENDENCYPART_ARC
(20,11),-1.61537 # DEPENDENCYPART_ARC
(20,12),-1.25204 # DEPENDENCYPART_ARC
(20,13),-1.54406 # DEPENDENCYPART_ARC
(20,14),-0.917744 # DEPENDENCYPART_ARC
(20,15),-0.852776 # DEPENDENCYPART_ARC
(20,16),-1.26908 # DEPENDENCYPART_ARC
(20,17),-0.855806 # DEPENDENCYPART_ARC
(20,18),-0.631963 # DEPENDENCYPART_ARC
(20,19),0.69054 # DEPENDENCYPART_ARC
(20,21),-1.15448 # DEPENDENCYPART_ARC
(20,22),-1.14027 # DEPENDENCYPART_ARC
(20,23),-1.34567 # DEPENDENCYPART_ARC
(21,10),-1.86225 # DEPENDENCYPART_ARC
(21,12),-1.42123 # DEPENDENCYPART_ARC
(21,14),-0.980255 # DEPENDENCYPART_ARC
(21,15),-0.821585 # DEPENDENCYPART_ARC
(21,16),-1.45747 # DEPENDENCYPART_ARC
(21,17),-1.3336 # DEPENDENCYPART_ARC
(21,18),-1.2866 # DEPENDENCYPART_ARC
(21,19),-0.231958 # DEPENDENCYPART_ARC
(21,20),0.512469 # DEPENDENCYPART_ARC
(22,2),-2.17285 # DEPENDENCYPART_ARC
(22,5),-2.0071 # DEPENDENCYPART_ARC
(22,10),-1.51639 # DEPENDENCYPART_ARC
(22,12),-1.28666 # DEPENDENCYPART_ARC
(22,13),-0.465641 # DEPENDENCYPART_ARC
(22,14),-0.545865 # DEPENDENCYPART_ARC
(22,15),-0.719604 # DEPENDENCYPART_ARC
(22,16),0.306315 # DEPENDENCYPART_ARC
(22,17),-0.467561 # DEPENDENCYPART_ARC
(22,18),-1.32941 # DEPENDENCYPART_ARC
(22,19),-0.491355 # DEPENDENCYPART_ARC
(22,20),1.49905 # DEPENDENCYPART_ARC
(22,21),2.47321 # DEPENDENCYPART_ARC
(22,23),-1.71105 # DEPENDENCYPART_ARC
(23,14),-0.815391 # DEPENDENCYPART_ARC
(23,15),-0.918896 # DEPENDENCYPART_ARC
(23,16),-1.71152 # DEPENDENCYPART_ARC
(23,17),-0.287309 # DEPENDENCYPART_ARC
(23,18),-1.37566 # DEPENDENCYPART_ARC
(23,19),-1.10997 # DEPENDENCYPART_ARC
(23,20),-0.500625 # DEPENDENCYPART_ARC
(23,21),0.440533 # DEPENDENCYPART_ARC
(23,22),2.69684 # DEPENDENCYPART_ARC
(24,1),-0.712101 # DEPENDENCYPART_ARC
(24,3),-1.06758 # DEPENDENCYPART_ARC
(24,4),-0.371114 # DEPENDENCYPART_ARC
(24,5),-2.04789 # DEPENDENCYPART_ARC
(24,6),-0.902637 # DEPENDENCYPART_ARC
(24,7),-0.732115 # DEPENDENCYPART_ARC
(24,8),-0.341452 # DEPENDENCYPART_ARC
(24,9),0.065609 # DEPENDENCYPART_ARC
(24,10),-0.10474 # DEPENDENCYPART_ARC
(24,11),-1.53326 # DEPENDENCYPART_ARC
(24,12),-0.234994 # DEPENDENCYPART_ARC
(24,13),-0.736023 # DEPENDENCYPART_ARC
(24,14),-0.279486 # DEPENDENCYPART_ARC
(24,15),-0.540586 # DEPENDENCYPART_ARC
(24,16),-1.34562 # DEPENDENCYPART_ARC
(24,17),0.485435 # DEPENDENCYPART_ARC
(24,18),0.591022 # DEPENDENCYPART_ARC
(24,19),0.880074 # DEPENDENCYPART_ARC
(24,20),-0.491194 # DEPENDENCYPART_ARC
(24,21),-0.207175 # DEPENDENCYPART_ARC
(24,22),1.8372 # DEPENDENCYPART_ARC
(24,23),2.50001 # DEPENDENCYPART_ARC
(24,25),-0.170163 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0328776 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0661192 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0326783 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0661192 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0562182 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.112319 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.136435 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0361568 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0632114 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0361568 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0388385 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0900519 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0848295 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0895525 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0326758 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0661097 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0562061 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.112319 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.136432 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.107518 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0346101 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0376863 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.089114 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.083936 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.0886147 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0562061 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.112319 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.136432 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.107518 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.112584 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0971655 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.110467 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.266534 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.24672 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.130334 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.129875 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.135197 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.0261875 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.0498043 # DEPENDENCYPART_SIBL
(1,13),(1,25),0.20645 # DEPENDENCYPART_SIBL
(1,24),(1,25),0.209893 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0171113 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0237384 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0426326 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0171113 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0237384 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0341027 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0082308 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0133175 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.0612614 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0404488 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0281127 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0245892 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0404488 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0187077 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.124687 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.13003 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.0205625 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0297166 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00606879 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0106543 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.105748 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0415204 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0458624 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.00973105 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00779631 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0180891 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0563154 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0317003 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0317215 # DEPENDENCYPART_SIBL
(2,5),(2,25),-0.0024509 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0404488 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0187077 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.124687 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.13003 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.0205625 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.105748 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0415204 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0458624 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.00973105 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.40316 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.413824 # DEPENDENCYPART_SIBL
(2,8),(2,25),0.112875 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.021846 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.0730812 # DEPENDENCYPART_SIBL
(2,24),(2,25),0.0768486 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0269755 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.23078 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0134931 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.00184419 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00360015 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0382716 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0033721 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.00793135 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0428861 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.228585 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.15777 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00822665 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0231977 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.000818103 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0279225 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0274895 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.00763266 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.616632 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0607558 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0116208 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0229061 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00859575 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0134396 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.0142176 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0349967 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0701835 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.022719 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.129875 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.135197 # DEPENDENCYPART_SIBL
(4,6),(4,25),0.0261875 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.342981 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0912372 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.414962 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.425607 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.0787788 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0249644 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0539122 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.058216 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.0485651 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0752566 # DEPENDENCYPART_SIBL
(4,12),(4,24),0.0752571 # DEPENDENCYPART_SIBL
(4,12),(4,25),0.172819 # DEPENDENCYPART_SIBL
(4,13),(4,24),0.0498043 # DEPENDENCYPART_SIBL
(4,13),(4,25),0.20645 # DEPENDENCYPART_SIBL
(4,24),(4,25),0.209893 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0138931 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0818402 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0705311 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.00902748 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0182911 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0196157 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0182911 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0171987 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0012563 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0196157 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0403592 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.00634295 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0526496 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0971363 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0102465 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0463161 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0262035 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00880225 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0262035 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0262035 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0200424 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00880225 # DEPENDENCYPART_SIBL
(5,2),(5,20),-5.59293e-05 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0192814 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0165086 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.033909 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.350384 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.035923 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0159018 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.035923 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.035923 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0137529 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0159018 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.013518 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.0182688 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.0287279 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00866053 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0180551 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.018607 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0180551 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0169627 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.000968418 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.018607 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0403871 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.00605507 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.0514325 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00721996 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0561006 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00721996 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00712354 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.105309 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0561006 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0140343 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.110652 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.00976592 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0902843 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.000681668 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00079315 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0392178 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0902843 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0300192 # DEPENDENCYPART_SIBL
(5,7),(5,24),0.0435598 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.012167 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.162053 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.16186 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.3665 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.029494 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.115479 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.377165 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.0881864 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00079315 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0392178 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0902843 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0300192 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.0435598 # DEPENDENCYPART_SIBL
(5,9),(5,25),0.012167 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0391725 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0890332 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.030014 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.0435144 # DEPENDENCYPART_SIBL
(5,11),(5,25),0.0114936 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.101859 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.00442971 # DEPENDENCYPART_SIBL
