# _root_ " Előzőleg minden békés , tárgyalásos lehetőséggel megpróbálkoztunk , ám ezek kudarcot vallottak " — emlékeztetett .
#goldHeads=16,8,7,7,7,7,8,16,8,8,13,13,8,16,16,0,16,
#predictedHeads=16,8,7,7,7,7,8,10,10,16,13,13,16,16,16,0,16,
(12,8),-1.87647 # DEPENDENCYPART_ARC
(12,9),-0.804908 # DEPENDENCYPART_ARC
(12,10),-0.35339 # DEPENDENCYPART_ARC
(12,11),1.09593 # DEPENDENCYPART_ARC
(12,13),-1.06352 # DEPENDENCYPART_ARC
(12,14),-0.821404 # DEPENDENCYPART_ARC
(12,15),-1.0144 # DEPENDENCYPART_ARC
(12,16),-1.38521 # DEPENDENCYPART_ARC
(12,17),-1.32972 # DEPENDENCYPART_ARC
(13,1),-0.983187 # DEPENDENCYPART_ARC
(13,2),-0.98933 # DEPENDENCYPART_ARC
(13,3),-2.13304 # DEPENDENCYPART_ARC
(13,4),-2.06311 # DEPENDENCYPART_ARC
(13,5),-0.832317 # DEPENDENCYPART_ARC
(13,6),-1.76022 # DEPENDENCYPART_ARC
(13,7),-0.208196 # DEPENDENCYPART_ARC
(13,8),-1.01309 # DEPENDENCYPART_ARC
(13,9),-0.550977 # DEPENDENCYPART_ARC
(13,10),0.190854 # DEPENDENCYPART_ARC
(13,11),1.15932 # DEPENDENCYPART_ARC
(13,12),2.36391 # DEPENDENCYPART_ARC
(13,14),0.365279 # DEPENDENCYPART_ARC
(13,15),0.0140146 # DEPENDENCYPART_ARC
(13,16),0.28486 # DEPENDENCYPART_ARC
(13,17),-0.738098 # DEPENDENCYPART_ARC
(16,1),-0.41816 # DEPENDENCYPART_ARC
(16,2),-1.26804 # DEPENDENCYPART_ARC
(16,4),-2.15317 # DEPENDENCYPART_ARC
(16,5),-0.510453 # DEPENDENCYPART_ARC
(16,6),-1.7309 # DEPENDENCYPART_ARC
(16,7),-0.975256 # DEPENDENCYPART_ARC
(16,8),-0.339296 # DEPENDENCYPART_ARC
(16,9),-0.258226 # DEPENDENCYPART_ARC
(16,10),0.478005 # DEPENDENCYPART_ARC
(16,11),-0.628579 # DEPENDENCYPART_ARC
(16,12),0.294978 # DEPENDENCYPART_ARC
(16,13),0.342381 # DEPENDENCYPART_ARC
(16,14),0.487972 # DEPENDENCYPART_ARC
(16,15),1.24522 # DEPENDENCYPART_ARC
(16,17),0.359423 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.033169 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0330594 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.113287 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.125339 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0291727 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.113291 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.113287 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0279958 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.108205 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0923069 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0371771 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.108205 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.108205 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0897243 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0899911 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0197301 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0897243 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0897243 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.225662 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.101191 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.246302 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.245466 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0522443 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.129389 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.129173 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.109232 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.109232 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.245738 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0595408 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0334977 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0595408 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0703211 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0264124 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0334977 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0117669 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0702967 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0271185 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.183015 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.252081 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0264124 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0288878 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.000961707 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0116314 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0192077 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0106707 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.000961707 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0214669 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0192077 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0106707 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0231449 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0305214 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0106707 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.00857008 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0599459 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00728509 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.232284 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0481904 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0972385 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00725089 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.233045 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0332271 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0152996 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.232284 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0552563 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0194833 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0117871 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00147355 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0214669 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0194833 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0117871 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0243625 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.031739 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0117871 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.00971008 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0304716 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0550944 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0157776 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.00542168 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0319728 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0378105 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0599802 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0304716 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0195125 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0936575 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0386535 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0194276 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00287471 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.120687 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.14828 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.00371067 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.055077 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0972385 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.00725089 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.233045 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0332271 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0152996 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.232284 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0552563 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0259194 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0207102 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0374208 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0331714 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.020926 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0171856 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0316423 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0372148 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0593846 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0301411 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0184535 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.119166 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.146759 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.00343879 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0535575 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0246536 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0443731 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.00755041 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0122202 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0153487 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.055077 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.128192 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0742416 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00743325 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00918598 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.01409 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0359408 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0191275 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00918598 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0195087 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0198336 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.346964 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.193461 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0191275 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0313708 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0839073 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00233879 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0311224 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.042984 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0111399 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00233879 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0210357 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0107206 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0266845 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00246097 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0111399 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0520821 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0149296 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0265439 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0672734 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0161706 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0149296 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0106125 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.01617 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.00556555 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.026684 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0161706 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0358841 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.107751 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.153849 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.363141 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0143305 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.117379 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.363903 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00770249 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.00919328 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.363141 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0727477 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00647387 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0267863 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.036887 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00833017 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0267863 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00191639 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0152331 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0267863 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.00379722 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.041403 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0866448 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0318978 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0429042 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00331582 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0449742 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.041403 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.00890021 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0896508 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00815938 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0077818 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0390403 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0874062 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.00861776 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.0669586 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.117379 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.363903 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.00770249 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.00919328 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.363141 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0727477 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.030911 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.00782674 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.00842507 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0311269 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0125203 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0375194 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0858853 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.00834588 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.065439 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.064912 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.102523 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.000277318 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.111647 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.00166862 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0669586 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0748395 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00862894 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0654575 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0248172 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0155248 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0168813 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0204318 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0162309 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.351274 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.19777 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0155248 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0363577 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0844067 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0855432 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0797271 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0132253 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00911101 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0210357 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0128061 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0300706 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.000925139 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0132253 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0555014 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0841281 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.184292 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0199588 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00485636 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0121163 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0199582 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0113541 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0208954 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0199588 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0416059 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.260995 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0158474 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.017513 # DEPENDENCYPART_SIBL
(6,4),(6,10),-5.22513e-05 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.015854 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0466746 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0116513 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0158474 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0103779 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0220022 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0431696 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.008236 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0232452 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.000281135 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0180762 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0220022 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0204113 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0973967 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.00585136 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0128693 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0440672 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0924331 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0137052 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0759838 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.125871 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.378344 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.00486029 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.00336949 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.377582 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0898977 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0332163 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.00592258 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0103292 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0334322 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.00783152 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.0425464 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0909123 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0134334 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0744643 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0576785 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.110896 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0113038 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.120021 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.00991247 # DEPENDENCYPART_SIBL
