# _root_ 1998 márciusában az ÁPTF a Riverbank név használatát sem engedélyezte egy kft számára , mondván , nem végez pénzügyi szolgáltatási tevékenységet .
#goldHeads=2,10,4,10,7,7,8,10,10,0,12,13,10,10,10,10,18,15,20,21,18,10,
#predictedHeads=2,10,4,10,7,7,8,10,10,0,12,13,10,10,10,10,18,10,21,21,18,10,
(7,1),-1.38421 # DEPENDENCYPART_ARC
(7,2),-3.8094 # DEPENDENCYPART_ARC
(7,3),-0.883407 # DEPENDENCYPART_ARC
(7,4),-0.41046 # DEPENDENCYPART_ARC
(7,5),0.742558 # DEPENDENCYPART_ARC
(7,6),2.58063 # DEPENDENCYPART_ARC
(7,8),-1.73486 # DEPENDENCYPART_ARC
(7,12),-1.86632 # DEPENDENCYPART_ARC
(7,15),-2.04482 # DEPENDENCYPART_ARC
(8,1),-1.491 # DEPENDENCYPART_ARC
(8,2),-4.18772 # DEPENDENCYPART_ARC
(8,3),-1.8199 # DEPENDENCYPART_ARC
(8,4),-0.470585 # DEPENDENCYPART_ARC
(8,5),-0.815927 # DEPENDENCYPART_ARC
(8,6),1.62943 # DEPENDENCYPART_ARC
(8,7),2.73344 # DEPENDENCYPART_ARC
(8,10),-1.57403 # DEPENDENCYPART_ARC
(8,12),-1.57779 # DEPENDENCYPART_ARC
(8,13),-1.50949 # DEPENDENCYPART_ARC
(8,15),-1.84356 # DEPENDENCYPART_ARC
(8,21),-2.68454 # DEPENDENCYPART_ARC
(9,2),-1.3356 # DEPENDENCYPART_ARC
(9,7),-0.861297 # DEPENDENCYPART_ARC
(9,8),-0.201231 # DEPENDENCYPART_ARC
(9,14),-0.977379 # DEPENDENCYPART_ARC
(9,16),-1.03104 # DEPENDENCYPART_ARC
(9,18),-1.31485 # DEPENDENCYPART_ARC
(9,22),-1.70077 # DEPENDENCYPART_ARC
(10,1),-0.824248 # DEPENDENCYPART_ARC
(10,2),0.744583 # DEPENDENCYPART_ARC
(10,3),-1.40063 # DEPENDENCYPART_ARC
(10,4),0.869651 # DEPENDENCYPART_ARC
(10,5),-1.46896 # DEPENDENCYPART_ARC
(10,6),0.921265 # DEPENDENCYPART_ARC
(10,7),0.816247 # DEPENDENCYPART_ARC
(10,8),2.06598 # DEPENDENCYPART_ARC
(10,9),2.52469 # DEPENDENCYPART_ARC
(10,12),0.632117 # DEPENDENCYPART_ARC
(10,13),1.08223 # DEPENDENCYPART_ARC
(10,14),0.688213 # DEPENDENCYPART_ARC
(10,15),0.0915047 # DEPENDENCYPART_ARC
(10,16),0.35666 # DEPENDENCYPART_ARC
(10,17),-0.704751 # DEPENDENCYPART_ARC
(10,18),0.700049 # DEPENDENCYPART_ARC
(10,19),-0.989707 # DEPENDENCYPART_ARC
(10,20),-1.14701 # DEPENDENCYPART_ARC
(10,21),-0.361228 # DEPENDENCYPART_ARC
(10,22),-0.662955 # DEPENDENCYPART_ARC
(12,3),-1.08622 # DEPENDENCYPART_ARC
(12,4),-1.38903 # DEPENDENCYPART_ARC
(12,5),-0.94694 # DEPENDENCYPART_ARC
(12,6),-1.1958 # DEPENDENCYPART_ARC
(12,7),-1.0884 # DEPENDENCYPART_ARC
(12,8),-0.920482 # DEPENDENCYPART_ARC
(12,10),-0.345745 # DEPENDENCYPART_ARC
(12,11),0.854805 # DEPENDENCYPART_ARC
(12,14),-0.644341 # DEPENDENCYPART_ARC
(12,16),-0.748265 # DEPENDENCYPART_ARC
(12,18),-1.19093 # DEPENDENCYPART_ARC
(12,21),-1.62766 # DEPENDENCYPART_ARC
(12,22),-1.58743 # DEPENDENCYPART_ARC
(13,2),-2.25524 # DEPENDENCYPART_ARC
(13,4),-1.84812 # DEPENDENCYPART_ARC
(13,6),-1.55289 # DEPENDENCYPART_ARC
(13,7),-1.22632 # DEPENDENCYPART_ARC
(13,8),-0.736272 # DEPENDENCYPART_ARC
(13,12),0.983212 # DEPENDENCYPART_ARC
(13,14),-0.661997 # DEPENDENCYPART_ARC
(13,16),-0.911341 # DEPENDENCYPART_ARC
(13,18),-1.31221 # DEPENDENCYPART_ARC
(13,19),-1.53134 # DEPENDENCYPART_ARC
(13,21),-1.913 # DEPENDENCYPART_ARC
(13,22),-1.39112 # DEPENDENCYPART_ARC
(15,2),-1.0843 # DEPENDENCYPART_ARC
(15,7),-1.0311 # DEPENDENCYPART_ARC
(15,8),-0.983204 # DEPENDENCYPART_ARC
(15,13),-0.188377 # DEPENDENCYPART_ARC
(15,14),0.0636892 # DEPENDENCYPART_ARC
(15,16),0.0762712 # DEPENDENCYPART_ARC
(15,17),-0.449756 # DEPENDENCYPART_ARC
(15,18),-0.18449 # DEPENDENCYPART_ARC
(15,19),-0.627842 # DEPENDENCYPART_ARC
(15,20),-0.705123 # DEPENDENCYPART_ARC
(15,21),-1.08673 # DEPENDENCYPART_ARC
(15,22),-0.917279 # DEPENDENCYPART_ARC
(17,2),-2.09547 # DEPENDENCYPART_ARC
(17,13),-1.26887 # DEPENDENCYPART_ARC
(17,14),-1.28367 # DEPENDENCYPART_ARC
(17,16),-0.786545 # DEPENDENCYPART_ARC
(17,19),-1.06206 # DEPENDENCYPART_ARC
(17,21),-1.20994 # DEPENDENCYPART_ARC
(17,22),-1.39432 # DEPENDENCYPART_ARC
(18,1),-2.36358 # DEPENDENCYPART_ARC
(18,2),-0.646561 # DEPENDENCYPART_ARC
(18,3),-2.17435 # DEPENDENCYPART_ARC
(18,4),-0.671078 # DEPENDENCYPART_ARC
(18,5),-2.3433 # DEPENDENCYPART_ARC
(18,6),-1.04314 # DEPENDENCYPART_ARC
(18,7),-1.36488 # DEPENDENCYPART_ARC
(18,8),-1.20208 # DEPENDENCYPART_ARC
(18,9),-0.729641 # DEPENDENCYPART_ARC
(18,10),-0.751958 # DEPENDENCYPART_ARC
(18,11),-1.45314 # DEPENDENCYPART_ARC
(18,12),-0.553072 # DEPENDENCYPART_ARC
(18,13),-0.340626 # DEPENDENCYPART_ARC
(18,14),-0.0826703 # DEPENDENCYPART_ARC
(18,15),0.429521 # DEPENDENCYPART_ARC
(18,16),0.19034 # DEPENDENCYPART_ARC
(18,17),2.12486 # DEPENDENCYPART_ARC
(18,19),0.764881 # DEPENDENCYPART_ARC
(18,20),0.148552 # DEPENDENCYPART_ARC
(18,21),0.905303 # DEPENDENCYPART_ARC
(18,22),-0.449688 # DEPENDENCYPART_ARC
(19,1),-2.3338 # DEPENDENCYPART_ARC
(19,10),-2.1441 # DEPENDENCYPART_ARC
(19,12),-1.58055 # DEPENDENCYPART_ARC
(19,13),-1.50123 # DEPENDENCYPART_ARC
(19,15),-1.15587 # DEPENDENCYPART_ARC
(19,16),-1.06191 # DEPENDENCYPART_ARC
(19,17),-0.787524 # DEPENDENCYPART_ARC
(19,18),-0.398496 # DEPENDENCYPART_ARC
(19,20),-1.31789 # DEPENDENCYPART_ARC
(19,21),-1.64986 # DEPENDENCYPART_ARC
(20,1),-2.0569 # DEPENDENCYPART_ARC
(20,10),-1.85585 # DEPENDENCYPART_ARC
(20,12),-1.31564 # DEPENDENCYPART_ARC
(20,13),-1.29666 # DEPENDENCYPART_ARC
(20,14),-1.06246 # DEPENDENCYPART_ARC
(20,15),-1.12834 # DEPENDENCYPART_ARC
(20,16),-0.873956 # DEPENDENCYPART_ARC
(20,17),-0.848352 # DEPENDENCYPART_ARC
(20,19),0.582483 # DEPENDENCYPART_ARC
(21,1),-2.22277 # DEPENDENCYPART_ARC
(21,3),-2.15782 # DEPENDENCYPART_ARC
(21,5),-1.71172 # DEPENDENCYPART_ARC
(21,6),-2.23499 # DEPENDENCYPART_ARC
(21,10),-1.73698 # DEPENDENCYPART_ARC
(21,11),-0.228282 # DEPENDENCYPART_ARC
(21,12),-0.83417 # DEPENDENCYPART_ARC
(21,13),-1.16262 # DEPENDENCYPART_ARC
(21,14),-0.642376 # DEPENDENCYPART_ARC
(21,15),-1.07364 # DEPENDENCYPART_ARC
(21,16),-0.570197 # DEPENDENCYPART_ARC
(21,17),-0.604736 # DEPENDENCYPART_ARC
(21,18),-1.40267 # DEPENDENCYPART_ARC
(21,19),1.54204 # DEPENDENCYPART_ARC
(21,20),2.62469 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0362608 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0362608 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0365725 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0808587 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.00582581 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0354085 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0390744 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0808587 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0384438 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0661097 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0529093 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0139653 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0541794 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.066328 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.10752 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0326803 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0529093 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.107523 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0139653 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0541794 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.066328 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.107525 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0326803 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.108121 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0129465 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0641683 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0736182 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.108121 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0255485 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0891057 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.11306 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.108008 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.245466 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.133046 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0128338 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0158821 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0611809 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0111693 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.071563 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.115282 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0327539 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.112223 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0239293 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.133046 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0404291 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0404291 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0404291 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0415871 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0415846 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0329837 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.0143896 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0404279 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0404279 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0415921 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0415896 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0329837 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.0143887 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0404279 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0415921 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0415896 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0329837 # DEPENDENCYPART_SIBL
(1,7),(1,22),-0.0143887 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0415921 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0415896 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.0329837 # DEPENDENCYPART_SIBL
(1,8),(1,22),-0.0143912 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0190582 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.00482008 # DEPENDENCYPART_SIBL
(1,10),(1,22),0.0954036 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.00482008 # DEPENDENCYPART_SIBL
(1,18),(1,22),0.0954036 # DEPENDENCYPART_SIBL
(1,19),(1,22),0.0218222 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00309634 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0139456 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0139472 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0139472 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0139469 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0029575 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0143441 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0010123 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0219605 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0205088 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00295746 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.00735862 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.013947 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.025448 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0427386 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0427426 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0427426 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0427425 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0402739 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0176816 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0189824 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0333025 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.012035 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0402714 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.00573691 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0427426 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0512672 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00470062 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00470062 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.00470054 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0581953 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.038685 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0500808 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.103067 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0269505 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0581878 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0611026 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.00469416 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0485525 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00471394 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00471385 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.058216 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0386958 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0500916 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.103086 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0269613 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0582085 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0611133 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.00470748 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.0485651 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00471385 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.058216 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0386958 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0500916 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.103086 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0269613 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0582085 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0611133 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.00470748 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.0485651 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.058216 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0386958 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0500916 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.103086 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0269613 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0582085 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0611133 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.00470748 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.0485626 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0619847 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0349756 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.169079 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0635754 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0510433 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.038405 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0764094 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.211166 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0356235 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0450414 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0240225 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0553818 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0294183 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0428429 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0779813 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0971697 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.108244 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0741065 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.119309 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.107794 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.175209 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.206078 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.425604 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.153261 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.342981 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0787788 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0286644 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0303989 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.0419815 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.0927715 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0384038 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0764071 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.211165 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.0546662 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.105933 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.0463945 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.269111 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.00336879 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00336879 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00783006 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00777545 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0396305 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.000816326 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0429568 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00955089 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00955089 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00955089 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0136407 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0201573 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0095554 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0218074 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00471133 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00471125 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0582118 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0500896 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.00470487 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0485599 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00471125 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0582118 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0500896 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.00470487 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0485599 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0582118 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0500896 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.00470487 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.0485574 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0349752 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0764087 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.211163 # DEPENDENCYPART_SIBL
(4,13),(4,21),0.107793 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.175207 # DEPENDENCYPART_SIBL
(4,21),(4,22),0.0463893 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00637363 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.542227 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.322517 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0226637 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.326802 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0264622 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.394086 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0226637 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0139469 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0143441 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0205088 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.269111 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0226043 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.317123 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0181123 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.00859714 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0194874 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.00526112 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00637363 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.542227 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.000855746 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00571552 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0265503 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0756768 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.322517 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0202013 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0140281 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0194874 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.00388383 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0129962 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00331961 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0237575 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0771741 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0078398 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0194874 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00505955 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0386958 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0269613 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0240225 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0226639 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.326802 # DEPENDENCYPART_SIBL
