# _root_ A laikus már-már azt hinné : a megbírált játékos serényen magába száll , s a legközelebbi buszjárattal kolostorba vonul , hogy csöndes magányban felülvizsgálja nézeteit a védekezést illetően .
#goldHeads=2,5,5,5,0,5,9,9,12,12,12,4,4,4,17,17,19,19,4,19,19,23,24,19,24,27,28,24,5,
#predictedHeads=2,5,5,5,0,5,9,9,12,12,12,4,12,4,17,17,19,19,4,19,19,23,24,4,24,27,28,24,5,
(4,29),-1.6638 # DEPENDENCYPART_ARC
(5,1),-1.08402 # DEPENDENCYPART_ARC
(5,2),0.843896 # DEPENDENCYPART_ARC
(5,3),1.44099 # DEPENDENCYPART_ARC
(5,4),2.62243 # DEPENDENCYPART_ARC
(5,6),0.985617 # DEPENDENCYPART_ARC
(5,7),-1.32384 # DEPENDENCYPART_ARC
(5,8),-0.409685 # DEPENDENCYPART_ARC
(5,9),-1.16559 # DEPENDENCYPART_ARC
(5,10),-0.0912197 # DEPENDENCYPART_ARC
(5,11),-1.14399 # DEPENDENCYPART_ARC
(5,12),-0.0205082 # DEPENDENCYPART_ARC
(5,13),0.0988795 # DEPENDENCYPART_ARC
(5,14),-0.207542 # DEPENDENCYPART_ARC
(5,17),-2.75638 # DEPENDENCYPART_ARC
(5,18),-2.57435 # DEPENDENCYPART_ARC
(5,19),-0.618691 # DEPENDENCYPART_ARC
(5,20),-0.320565 # DEPENDENCYPART_ARC
(5,21),-1.61238 # DEPENDENCYPART_ARC
(5,22),-1.783 # DEPENDENCYPART_ARC
(5,23),-3.2584 # DEPENDENCYPART_ARC
(5,24),-1.22764 # DEPENDENCYPART_ARC
(5,25),-2.58881 # DEPENDENCYPART_ARC
(5,27),-2.87424 # DEPENDENCYPART_ARC
(5,28),-1.42181 # DEPENDENCYPART_ARC
(5,29),-0.493678 # DEPENDENCYPART_ARC
(7,8),-0.442762 # DEPENDENCYPART_ARC
(7,10),-0.960934 # DEPENDENCYPART_ARC
(8,7),-0.515465 # DEPENDENCYPART_ARC
(9,1),-1.53641 # DEPENDENCYPART_ARC
(9,4),-2.24634 # DEPENDENCYPART_ARC
(9,5),-1.01715 # DEPENDENCYPART_ARC
(9,6),-0.931609 # DEPENDENCYPART_ARC
(9,7),1.25304 # DEPENDENCYPART_ARC
(9,8),2.31619 # DEPENDENCYPART_ARC
(10,2),-2.46608 # DEPENDENCYPART_ARC
(10,3),-1.21832 # DEPENDENCYPART_ARC
(10,4),-1.11185 # DEPENDENCYPART_ARC
(10,5),-0.915995 # DEPENDENCYPART_ARC
(10,6),-0.617056 # DEPENDENCYPART_ARC
(10,7),-0.70928 # DEPENDENCYPART_ARC
(10,8),-0.128282 # DEPENDENCYPART_ARC
(10,9),-0.119568 # DEPENDENCYPART_ARC
(10,12),-1.30448 # DEPENDENCYPART_ARC
(10,29),-1.12654 # DEPENDENCYPART_ARC
(12,1),-2.05118 # DEPENDENCYPART_ARC
(12,2),-0.611838 # DEPENDENCYPART_ARC
(12,3),-0.447061 # DEPENDENCYPART_ARC
(12,4),-0.882366 # DEPENDENCYPART_ARC
(12,5),0.153904 # DEPENDENCYPART_ARC
(12,6),-0.282996 # DEPENDENCYPART_ARC
(12,7),-1.40908 # DEPENDENCYPART_ARC
(12,8),-0.653513 # DEPENDENCYPART_ARC
(12,9),0.7653 # DEPENDENCYPART_ARC
(12,10),1.53793 # DEPENDENCYPART_ARC
(12,11),2.27771 # DEPENDENCYPART_ARC
(12,13),0.859557 # DEPENDENCYPART_ARC
(12,14),0.0243937 # DEPENDENCYPART_ARC
(12,15),-2.11727 # DEPENDENCYPART_ARC
(12,16),-1.26026 # DEPENDENCYPART_ARC
(12,17),-1.28128 # DEPENDENCYPART_ARC
(12,18),-1.28409 # DEPENDENCYPART_ARC
(12,19),-0.2475 # DEPENDENCYPART_ARC
(12,20),-0.434266 # DEPENDENCYPART_ARC
(12,21),-0.365198 # DEPENDENCYPART_ARC
(12,22),-2.0484 # DEPENDENCYPART_ARC
(12,23),-2.68625 # DEPENDENCYPART_ARC
(12,24),-1.2041 # DEPENDENCYPART_ARC
(12,25),-2.79401 # DEPENDENCYPART_ARC
(12,27),-3.25201 # DEPENDENCYPART_ARC
(12,28),-1.85116 # DEPENDENCYPART_ARC
(12,29),-1.2159 # DEPENDENCYPART_ARC
(14,2),-2.16743 # DEPENDENCYPART_ARC
(14,3),-1.49376 # DEPENDENCYPART_ARC
(14,4),-2.21928 # DEPENDENCYPART_ARC
(14,5),-1.22053 # DEPENDENCYPART_ARC
(14,6),-0.911481 # DEPENDENCYPART_ARC
(14,8),-2.05093 # DEPENDENCYPART_ARC
(14,9),-1.61308 # DEPENDENCYPART_ARC
(14,10),-1.53778 # DEPENDENCYPART_ARC
(14,12),0.57877 # DEPENDENCYPART_ARC
(14,13),0.46835 # DEPENDENCYPART_ARC
(14,15),-1.05427 # DEPENDENCYPART_ARC
(14,16),-1.02183 # DEPENDENCYPART_ARC
(14,17),-1.25355 # DEPENDENCYPART_ARC
(14,18),-1.40433 # DEPENDENCYPART_ARC
(14,19),-0.0362275 # DEPENDENCYPART_ARC
(14,20),-0.852437 # DEPENDENCYPART_ARC
(14,21),-1.05328 # DEPENDENCYPART_ARC
(14,22),-1.72217 # DEPENDENCYPART_ARC
(14,23),-1.78181 # DEPENDENCYPART_ARC
(14,24),-0.630472 # DEPENDENCYPART_ARC
(14,25),-1.49544 # DEPENDENCYPART_ARC
(14,27),-1.75679 # DEPENDENCYPART_ARC
(14,28),-1.93358 # DEPENDENCYPART_ARC
(14,29),0.339873 # DEPENDENCYPART_ARC
(15,16),-0.579284 # DEPENDENCYPART_ARC
(16,11),-2.50069 # DEPENDENCYPART_ARC
(16,15),-0.162552 # DEPENDENCYPART_ARC
(17,4),-2.39211 # DEPENDENCYPART_ARC
(17,7),-1.82475 # DEPENDENCYPART_ARC
(17,8),-1.2369 # DEPENDENCYPART_ARC
(17,10),-2.80547 # DEPENDENCYPART_ARC
(17,12),-2.07312 # DEPENDENCYPART_ARC
(17,13),-0.905763 # DEPENDENCYPART_ARC
(17,14),-0.41825 # DEPENDENCYPART_ARC
(17,15),1.24835 # DEPENDENCYPART_ARC
(17,16),2.50163 # DEPENDENCYPART_ARC
(18,7),-2.45787 # DEPENDENCYPART_ARC
(18,9),-2.9654 # DEPENDENCYPART_ARC
(18,13),-0.90325 # DEPENDENCYPART_ARC
(18,14),-0.299464 # DEPENDENCYPART_ARC
(18,15),-0.142434 # DEPENDENCYPART_ARC
(18,16),0.735663 # DEPENDENCYPART_ARC
(18,17),0.203774 # DEPENDENCYPART_ARC
(18,23),-2.16647 # DEPENDENCYPART_ARC
(18,28),-2.17743 # DEPENDENCYPART_ARC
(19,2),-0.987758 # DEPENDENCYPART_ARC
(19,3),-0.982004 # DEPENDENCYPART_ARC
(19,4),-1.58482 # DEPENDENCYPART_ARC
(19,5),-0.12619 # DEPENDENCYPART_ARC
(19,6),-0.558888 # DEPENDENCYPART_ARC
(19,7),-1.66544 # DEPENDENCYPART_ARC
(19,8),-1.60523 # DEPENDENCYPART_ARC
(19,9),-0.363558 # DEPENDENCYPART_ARC
(19,10),0.0953936 # DEPENDENCYPART_ARC
(19,11),-0.49237 # DEPENDENCYPART_ARC
(19,12),-0.298742 # DEPENDENCYPART_ARC
(19,13),-0.118428 # DEPENDENCYPART_ARC
(19,14),0.239533 # DEPENDENCYPART_ARC
(19,15),-0.999656 # DEPENDENCYPART_ARC
(19,16),0.263707 # DEPENDENCYPART_ARC
(19,17),1.12028 # DEPENDENCYPART_ARC
(19,18),2.32045 # DEPENDENCYPART_ARC
(19,20),0.245532 # DEPENDENCYPART_ARC
(19,21),1.86386 # DEPENDENCYPART_ARC
(19,22),-0.841741 # DEPENDENCYPART_ARC
(19,23),-0.850461 # DEPENDENCYPART_ARC
(19,24),0.135715 # DEPENDENCYPART_ARC
(19,25),-1.69613 # DEPENDENCYPART_ARC
(19,26),-2.47341 # DEPENDENCYPART_ARC
(19,27),-2.3891 # DEPENDENCYPART_ARC
(19,28),-1.23681 # DEPENDENCYPART_ARC
(19,29),-0.959309 # DEPENDENCYPART_ARC
(21,2),-2.30736 # DEPENDENCYPART_ARC
(21,3),-1.59037 # DEPENDENCYPART_ARC
(21,4),-1.90434 # DEPENDENCYPART_ARC
(21,5),-3.64178 # DEPENDENCYPART_ARC
(21,6),-1.32839 # DEPENDENCYPART_ARC
(21,9),-1.97851 # DEPENDENCYPART_ARC
(21,10),-1.63546 # DEPENDENCYPART_ARC
(21,12),-3.09307 # DEPENDENCYPART_ARC
(21,13),-1.5453 # DEPENDENCYPART_ARC
(21,14),-0.574284 # DEPENDENCYPART_ARC
(21,16),-0.86207 # DEPENDENCYPART_ARC
(21,17),-1.12673 # DEPENDENCYPART_ARC
(21,18),-0.826928 # DEPENDENCYPART_ARC
(21,19),-1.91669 # DEPENDENCYPART_ARC
(21,20),0.20664 # DEPENDENCYPART_ARC
(21,22),-1.1803 # DEPENDENCYPART_ARC
(21,23),-1.50319 # DEPENDENCYPART_ARC
(21,24),-0.338805 # DEPENDENCYPART_ARC
(21,25),-1.63064 # DEPENDENCYPART_ARC
(21,27),-2.05679 # DEPENDENCYPART_ARC
(21,28),-1.84127 # DEPENDENCYPART_ARC
(21,29),-0.541577 # DEPENDENCYPART_ARC
(22,20),-1.23576 # DEPENDENCYPART_ARC
(22,21),-0.533373 # DEPENDENCYPART_ARC
(23,7),-2.40142 # DEPENDENCYPART_ARC
(23,8),-2.00634 # DEPENDENCYPART_ARC
(23,10),-3.47229 # DEPENDENCYPART_ARC
(23,13),-1.11377 # DEPENDENCYPART_ARC
(23,14),-0.606682 # DEPENDENCYPART_ARC
(23,15),-0.809519 # DEPENDENCYPART_ARC
(23,16),-0.749002 # DEPENDENCYPART_ARC
(23,17),-2.86633 # DEPENDENCYPART_ARC
(23,18),-2.47394 # DEPENDENCYPART_ARC
(23,19),-1.56896 # DEPENDENCYPART_ARC
(23,20),-0.256583 # DEPENDENCYPART_ARC
(23,21),-0.140043 # DEPENDENCYPART_ARC
(23,22),2.46737 # DEPENDENCYPART_ARC
(23,25),-1.84112 # DEPENDENCYPART_ARC
(23,27),-1.85383 # DEPENDENCYPART_ARC
(23,28),-2.07268 # DEPENDENCYPART_ARC
(24,2),-1.95322 # DEPENDENCYPART_ARC
(24,3),-1.6677 # DEPENDENCYPART_ARC
(24,4),-2.0418 # DEPENDENCYPART_ARC
(24,5),-0.500753 # DEPENDENCYPART_ARC
(24,6),-0.789397 # DEPENDENCYPART_ARC
(24,9),-1.67881 # DEPENDENCYPART_ARC
(24,10),-1.02464 # DEPENDENCYPART_ARC
(24,12),-0.664091 # DEPENDENCYPART_ARC
(24,13),-0.819957 # DEPENDENCYPART_ARC
(24,14),-0.179457 # DEPENDENCYPART_ARC
(24,15),-1.88591 # DEPENDENCYPART_ARC
(24,16),-1.59439 # DEPENDENCYPART_ARC
(24,17),-1.14114 # DEPENDENCYPART_ARC
(24,18),-0.852548 # DEPENDENCYPART_ARC
(24,19),-0.258494 # DEPENDENCYPART_ARC
(24,20),-0.237433 # DEPENDENCYPART_ARC
(24,21),-0.328099 # DEPENDENCYPART_ARC
(24,22),-0.270368 # DEPENDENCYPART_ARC
(24,23),2.27999 # DEPENDENCYPART_ARC
(24,25),1.98978 # DEPENDENCYPART_ARC
(24,26),-1.35268 # DEPENDENCYPART_ARC
(24,27),0.460704 # DEPENDENCYPART_ARC
(24,28),-0.0605447 # DEPENDENCYPART_ARC
(24,29),-0.338473 # DEPENDENCYPART_ARC
(25,15),-2.23267 # DEPENDENCYPART_ARC
(25,22),-0.830436 # DEPENDENCYPART_ARC
(25,23),-1.06375 # DEPENDENCYPART_ARC
(25,24),-1.96681 # DEPENDENCYPART_ARC
(25,26),-1.51228 # DEPENDENCYPART_ARC
(25,27),-1.70468 # DEPENDENCYPART_ARC
(25,28),-1.54416 # DEPENDENCYPART_ARC
(27,25),-2.87599 # DEPENDENCYPART_ARC
(27,26),1.73152 # DEPENDENCYPART_ARC
(28,17),-1.71197 # DEPENDENCYPART_ARC
(28,18),-1.54797 # DEPENDENCYPART_ARC
(28,19),-1.72334 # DEPENDENCYPART_ARC
(28,20),-0.739084 # DEPENDENCYPART_ARC
(28,21),-0.622174 # DEPENDENCYPART_ARC
(28,22),-1.37788 # DEPENDENCYPART_ARC
(28,23),-1.2148 # DEPENDENCYPART_ARC
(28,24),-0.979665 # DEPENDENCYPART_ARC
(28,25),-0.689839 # DEPENDENCYPART_ARC
(28,26),-0.229583 # DEPENDENCYPART_ARC
(28,27),1.13038 # DEPENDENCYPART_ARC
(28,29),-0.667135 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0586747 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0288058 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.16177 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.106587 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.136432 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.107518 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0274173 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.113287 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.113287 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.144099 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.113466 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.108712 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.113287 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.113275 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.113275 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.11279 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.113454 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0658333 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.113275 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.245466 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.234137 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.246234 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.265529 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.245466 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.234137 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.246234 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.265529 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.245466 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.123268 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.175875 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.124481 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.265533 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.245466 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.130334 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0771741 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0130675 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00328341 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0986292 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0134973 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0135903 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0130675 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.0265955 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.10101 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0194299 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00371052 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.00330015 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.00371052 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.0550771 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00657098 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.316006 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.31579 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.316001 # DEPENDENCYPART_SIBL
(3,6),(3,29),0.454511 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0304713 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0315807 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.0304713 # DEPENDENCYPART_SIBL
(3,9),(3,29),0.0194901 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.00330015 # DEPENDENCYPART_SIBL
(3,12),(3,24),0.00371052 # DEPENDENCYPART_SIBL
(3,12),(3,29),0.0550863 # DEPENDENCYPART_SIBL
(3,19),(3,24),0.00371052 # DEPENDENCYPART_SIBL
(3,19),(3,29),0.0498113 # DEPENDENCYPART_SIBL
(3,24),(3,29),0.0550771 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.176104 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0176426 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.021821 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0038502 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00428048 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0038502 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0172128 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.015177 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0487135 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.00384592 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00368614 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00368614 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0171198 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.015177 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.057027 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0038502 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.00368614 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0176426 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.00490435 # DEPENDENCYPART_SIBL
(4,2),(4,27),-0.00368614 # DEPENDENCYPART_SIBL
(4,2),(4,28),0.0153024 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.017195 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0183083 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0510454 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.00831864 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0141891 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.00831864 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0183083 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00978048 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0286205 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00831376 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.01649 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.01649 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0183083 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.00978048 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0361938 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.00831864 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.01649 # DEPENDENCYPART_SIBL
(4,3),(4,24),-0.0183083 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0170991 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.01649 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.0171015 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0876055 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0111321 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00689824 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00976401 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00689824 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0239551 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0387702 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0379245 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.00689824 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.00491512 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.00491512 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0243655 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0387702 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0275482 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.00689824 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.00491512 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0239551 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.005625 # DEPENDENCYPART_SIBL
(4,5),(4,27),-0.00491512 # DEPENDENCYPART_SIBL
(4,5),(4,28),-0.00974046 # DEPENDENCYPART_SIBL
(4,5),(4,29),-0.0247259 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00776377 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0632904 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00776377 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.115717 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0358081 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.108164 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00776377 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0641156 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0641156 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.115501 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0358081 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.00954052 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.00776377 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0641156 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.115712 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0646499 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0641156 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0109777 # DEPENDENCYPART_SIBL
(4,6),(4,29),0.377075 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0180968 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00741354 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0165846 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0483169 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0393394 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.00741354 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.0239452 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0239452 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0165857 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0483169 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.0462983 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.00741354 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.0239452 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0165846 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.0234135 # DEPENDENCYPART_SIBL
(4,8),(4,27),0.0239452 # DEPENDENCYPART_SIBL
(4,8),(4,28),-0.00806172 # DEPENDENCYPART_SIBL
(4,8),(4,29),0.0095506 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0868185 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0439833 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.000733135 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0136434 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0868185 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0170317 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0170317 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0428738 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.000733135 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.00136964 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.0868185 # DEPENDENCYPART_SIBL
(4,9),(4,23),0.0170317 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0439833 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.0163219 # DEPENDENCYPART_SIBL
(4,9),(4,27),0.0170317 # DEPENDENCYPART_SIBL
(4,9),(4,28),0.0836861 # DEPENDENCYPART_SIBL
(4,9),(4,29),0.0432252 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0165846 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0483169 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0393394 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00741354 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0239452 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0239452 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0165857 # DEPENDENCYPART_SIBL
