# _root_ Külön biztató , hogy a részvények nemcsak a hazai , hanem a külföldi befektetők számára is újra vonzóak .
#goldHeads=4,4,4,0,6,18,18,18,8,18,18,14,14,15,18,18,18,4,4,
#predictedHeads=4,4,4,0,6,7,4,14,14,11,4,14,14,15,18,18,18,11,4,
(16,9),-1.7568 # DEPENDENCYPART_ARC
(16,10),-1.2352 # DEPENDENCYPART_ARC
(16,11),-0.797282 # DEPENDENCYPART_ARC
(16,12),-1.86719 # DEPENDENCYPART_ARC
(16,13),-1.21795 # DEPENDENCYPART_ARC
(16,14),-1.21942 # DEPENDENCYPART_ARC
(16,15),-0.286309 # DEPENDENCYPART_ARC
(16,17),-1.29526 # DEPENDENCYPART_ARC
(16,18),-1.03739 # DEPENDENCYPART_ARC
(16,19),-1.00822 # DEPENDENCYPART_ARC
(17,2),-1.66928 # DEPENDENCYPART_ARC
(17,4),-0.95225 # DEPENDENCYPART_ARC
(17,6),-1.56814 # DEPENDENCYPART_ARC
(17,9),-1.56366 # DEPENDENCYPART_ARC
(17,10),-1.1033 # DEPENDENCYPART_ARC
(17,11),-0.800892 # DEPENDENCYPART_ARC
(17,13),-1.25268 # DEPENDENCYPART_ARC
(17,14),-0.867216 # DEPENDENCYPART_ARC
(17,15),-0.835173 # DEPENDENCYPART_ARC
(17,16),-0.111119 # DEPENDENCYPART_ARC
(17,18),-1.0764 # DEPENDENCYPART_ARC
(17,19),-1.43052 # DEPENDENCYPART_ARC
(18,1),-1.55727 # DEPENDENCYPART_ARC
(18,3),-1.0952 # DEPENDENCYPART_ARC
(18,4),-0.828796 # DEPENDENCYPART_ARC
(18,6),-2.46372 # DEPENDENCYPART_ARC
(18,7),-0.849313 # DEPENDENCYPART_ARC
(18,9),-1.29289 # DEPENDENCYPART_ARC
(18,10),-0.810988 # DEPENDENCYPART_ARC
(18,11),-0.789113 # DEPENDENCYPART_ARC
(18,12),-0.534638 # DEPENDENCYPART_ARC
(18,13),-0.780141 # DEPENDENCYPART_ARC
(18,14),-1.22904 # DEPENDENCYPART_ARC
(18,15),-0.169125 # DEPENDENCYPART_ARC
(18,16),-0.351734 # DEPENDENCYPART_ARC
(18,17),1.03448 # DEPENDENCYPART_ARC
(18,19),-0.547221 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0321117 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.108713 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.116576 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.133499 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0133539 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0984593 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0664069 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0321117 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.083936 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0888063 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0951495 # DEPENDENCYPART_SIBL
(0,2),(0,15),0.00963467 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0973379 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0353596 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0621286 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.181804 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.16816 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0914528 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.202125 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0866772 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0754194 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.164808 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0575568 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.181151 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0712862 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.064572 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0509955 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.171027 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.0738132 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0658371 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0910719 # DEPENDENCYPART_SIBL
(0,15),(0,17),0.0084519 # DEPENDENCYPART_SIBL
(0,15),(0,18),0.0130639 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0641485 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0300744 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.0323099 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00147355 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0429518 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0194831 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00874728 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.00124954 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0194833 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0425452 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.00779104 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.00970092 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.329299 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00728114 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0799826 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.108227 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.00728433 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.00402252 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.0472231 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0552472 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0557333 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.01347 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00294166 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0557327 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0147286 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0405181 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0585644 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00293388 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0262802 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.00528278 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0679518 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0194757 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0194866 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0296313 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0223295 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.000915263 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0488239 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.00527969 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0328251 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.000462499 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0436912 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.013466 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0678715 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.0193469 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.0201989 # DEPENDENCYPART_SIBL
(1,15),(1,16),-0.011963 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0319051 # DEPENDENCYPART_SIBL
(1,16),(1,19),-0.0397089 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.010895 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0411211 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0439284 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0312589 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.010895 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0165125 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0429257 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0102937 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0314971 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0563788 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.337358 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.162396 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.116206 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0298811 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.176065 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.162398 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.00177006 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.116245 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0898977 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0360591 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00132791 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0153488 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0169897 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0360588 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0647089 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00135185 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0302537 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0300692 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0904801 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0501818 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.000718731 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.020943 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0301087 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0136202 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.040679 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0127115 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00640245 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0276521 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0272632 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.000884204 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.176065 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.162398 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.00177006 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.116245 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0898977 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.000251509 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0515549 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.000410296 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0085458 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0210729 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0301087 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0143306 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0260773 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0670323 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.00090253 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.038929 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.301962 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0109119 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0117382 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0586954 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0467095 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0683122 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0589758 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00993144 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0411699 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00531587 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0589475 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0318569 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.327313 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0154995 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0437752 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0975859 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00135196 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.128631 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.09653 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.015473 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.021334 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.049943 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.097602 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.10308 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0174805 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0818866 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0754295 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.00885234 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.203253 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0750328 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0175224 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0503263 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.106487 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0754555 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.213472 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0702745 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0209949 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0133123 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0957749 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0205234 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0241881 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0497574 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0134897 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0210348 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0024757 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0185623 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00114365 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0759094 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0188836 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.023135 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0905238 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0138036 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0185374 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0280119 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0192995 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0536473 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.027953 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.00689887 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.052828 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.00922316 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0278285 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0333466 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0644249 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0847297 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.121388 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0702997 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.123566 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0849268 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0259896 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.00604392 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0117224 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0660919 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.00221642 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.00569772 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0755747 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.00549405 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0536481 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.00945945 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0281731 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0298463 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0498873 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0133446 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0210349 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.00318621 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.00216179 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.0166484 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0109467 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0105287 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.00101515 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0333718 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0171443 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0618282 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.111389 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.415813 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.030266 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0191198 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.44092 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.303684 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.662675 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00771133 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0394522 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.10516 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.408125 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0116215 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0741132 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.403517 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.015418 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0388464 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00750902 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0771928 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.108228 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0284689 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.18347 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.241318 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0507928 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0371641 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0356011 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0355446 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0342678 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0303271 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0358257 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0335187 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0043051 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0227427 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0212554 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.0357967 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0103548 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.230692 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.209724 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.189422 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00505827 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0114081 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0738688 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00459335 # DEPENDENCYPART_SIBL
