# _root_ Szívet melengető érzés , hogy Európában még mindig mekkora kultusza van , és a mostani negyvenévesek milyen nosztalgiával emlegetik őt .
#goldHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,5,
#predictedHeads=2,3,5,5,13,11,11,11,10,11,13,13,0,16,16,19,18,19,13,19,13,
(7,10),-1.41576 # DEPENDENCYPART_ARC
(7,12),-1.27899 # DEPENDENCYPART_ARC
(7,13),-1.17152 # DEPENDENCYPART_ARC
(7,19),-1.69274 # DEPENDENCYPART_ARC
(7,21),-2.20632 # DEPENDENCYPART_ARC
(8,1),-1.50464 # DEPENDENCYPART_ARC
(8,3),-1.57065 # DEPENDENCYPART_ARC
(8,4),-1.20634 # DEPENDENCYPART_ARC
(8,6),-1.00015 # DEPENDENCYPART_ARC
(8,7),-0.122218 # DEPENDENCYPART_ARC
(8,10),-0.948853 # DEPENDENCYPART_ARC
(9,10),-0.433543 # DEPENDENCYPART_ARC
(9,12),-0.420701 # DEPENDENCYPART_ARC
(9,15),-0.881693 # DEPENDENCYPART_ARC
(10,1),-3.97997 # DEPENDENCYPART_ARC
(10,2),-1.69377 # DEPENDENCYPART_ARC
(10,3),-1.0607 # DEPENDENCYPART_ARC
(10,4),-1.2519 # DEPENDENCYPART_ARC
(10,5),-1.42167 # DEPENDENCYPART_ARC
(10,6),-2.25115 # DEPENDENCYPART_ARC
(10,7),-1.10995 # DEPENDENCYPART_ARC
(10,8),-0.590568 # DEPENDENCYPART_ARC
(10,9),1.35859 # DEPENDENCYPART_ARC
(10,12),-1.06704 # DEPENDENCYPART_ARC
(10,15),-1.91698 # DEPENDENCYPART_ARC
(10,16),-1.73228 # DEPENDENCYPART_ARC
(10,18),-2.19504 # DEPENDENCYPART_ARC
(10,19),-1.70677 # DEPENDENCYPART_ARC
(10,21),-1.61005 # DEPENDENCYPART_ARC
(11,1),-1.02036 # DEPENDENCYPART_ARC
(11,2),-1.42502 # DEPENDENCYPART_ARC
(11,3),-0.80658 # DEPENDENCYPART_ARC
(11,4),-0.602026 # DEPENDENCYPART_ARC
(11,5),-0.298163 # DEPENDENCYPART_ARC
(11,6),1.14229 # DEPENDENCYPART_ARC
(11,7),0.520929 # DEPENDENCYPART_ARC
(11,8),0.725104 # DEPENDENCYPART_ARC
(11,9),1.05829 # DEPENDENCYPART_ARC
(11,10),2.71844 # DEPENDENCYPART_ARC
(11,12),0.367079 # DEPENDENCYPART_ARC
(11,13),-0.0445643 # DEPENDENCYPART_ARC
(11,14),-1.92274 # DEPENDENCYPART_ARC
(11,15),-1.09832 # DEPENDENCYPART_ARC
(11,16),-0.775368 # DEPENDENCYPART_ARC
(11,17),-1.55926 # DEPENDENCYPART_ARC
(11,18),-1.7397 # DEPENDENCYPART_ARC
(11,19),-0.238011 # DEPENDENCYPART_ARC
(11,20),-1.75409 # DEPENDENCYPART_ARC
(11,21),-0.9033 # DEPENDENCYPART_ARC
(13,1),-2.66591 # DEPENDENCYPART_ARC
(13,2),-2.50671 # DEPENDENCYPART_ARC
(13,3),-2.62573 # DEPENDENCYPART_ARC
(13,4),-1.58754 # DEPENDENCYPART_ARC
(13,5),-1.13818 # DEPENDENCYPART_ARC
(13,6),-1.94668 # DEPENDENCYPART_ARC
(13,7),-1.68142 # DEPENDENCYPART_ARC
(13,8),-1.3986 # DEPENDENCYPART_ARC
(13,10),-1.72457 # DEPENDENCYPART_ARC
(13,11),0.371381 # DEPENDENCYPART_ARC
(13,12),0.466679 # DEPENDENCYPART_ARC
(13,14),-0.844455 # DEPENDENCYPART_ARC
(13,15),-0.784837 # DEPENDENCYPART_ARC
(13,16),-0.857284 # DEPENDENCYPART_ARC
(13,18),-1.29195 # DEPENDENCYPART_ARC
(13,19),-0.281055 # DEPENDENCYPART_ARC
(13,21),0.0906951 # DEPENDENCYPART_ARC
(14,13),-0.721494 # DEPENDENCYPART_ARC
(14,15),-0.535702 # DEPENDENCYPART_ARC
(14,16),-0.859827 # DEPENDENCYPART_ARC
(14,18),-1.49294 # DEPENDENCYPART_ARC
(15,12),-1.33464 # DEPENDENCYPART_ARC
(15,13),-1.15358 # DEPENDENCYPART_ARC
(15,14),-0.584468 # DEPENDENCYPART_ARC
(15,16),-1.12173 # DEPENDENCYPART_ARC
(15,18),-1.51435 # DEPENDENCYPART_ARC
(16,5),-1.145 # DEPENDENCYPART_ARC
(16,7),-1.57866 # DEPENDENCYPART_ARC
(16,11),-1.44909 # DEPENDENCYPART_ARC
(16,12),-0.779247 # DEPENDENCYPART_ARC
(16,13),-0.604007 # DEPENDENCYPART_ARC
(16,14),0.129306 # DEPENDENCYPART_ARC
(16,15),1.10667 # DEPENDENCYPART_ARC
(16,18),-1.12731 # DEPENDENCYPART_ARC
(16,19),-0.776564 # DEPENDENCYPART_ARC
(17,16),-0.604178 # DEPENDENCYPART_ARC
(17,18),-1.2559 # DEPENDENCYPART_ARC
(18,11),-2.3912 # DEPENDENCYPART_ARC
(18,12),-1.28795 # DEPENDENCYPART_ARC
(18,13),-0.898186 # DEPENDENCYPART_ARC
(18,14),-0.530475 # DEPENDENCYPART_ARC
(18,15),0.0559455 # DEPENDENCYPART_ARC
(18,16),-0.288759 # DEPENDENCYPART_ARC
(18,17),1.60558 # DEPENDENCYPART_ARC
(19,1),-1.73369 # DEPENDENCYPART_ARC
(19,3),-2.80185 # DEPENDENCYPART_ARC
(19,4),-1.3646 # DEPENDENCYPART_ARC
(19,5),-0.648725 # DEPENDENCYPART_ARC
(19,6),-1.02941 # DEPENDENCYPART_ARC
(19,7),-1.35575 # DEPENDENCYPART_ARC
(19,8),-1.28653 # DEPENDENCYPART_ARC
(19,10),-1.06155 # DEPENDENCYPART_ARC
(19,11),-0.900104 # DEPENDENCYPART_ARC
(19,12),-0.83997 # DEPENDENCYPART_ARC
(19,13),-0.47719 # DEPENDENCYPART_ARC
(19,14),-1.65634 # DEPENDENCYPART_ARC
(19,15),-1.42224 # DEPENDENCYPART_ARC
(19,16),-0.120745 # DEPENDENCYPART_ARC
(19,17),0.358699 # DEPENDENCYPART_ARC
(19,18),1.79764 # DEPENDENCYPART_ARC
(19,20),0.62695 # DEPENDENCYPART_ARC
(19,21),0.0202057 # DEPENDENCYPART_ARC
(20,5),-0.635247 # DEPENDENCYPART_ARC
(20,11),-0.134564 # DEPENDENCYPART_ARC
(20,19),0.210266 # DEPENDENCYPART_ARC
(20,21),-0.508673 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.067324 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.136618 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0490949 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0868337 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.120382 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.032812 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.107534 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0184395 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.136432 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0487675 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0868176 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.120009 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0326239 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.107518 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0183905 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0891289 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.14977 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.214429 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0754194 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.130334 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.069494 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.114087 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.114501 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0307775 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.121616 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0247528 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.236433 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.136398 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.242254 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.100118 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0894222 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.12355 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0488015 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0886079 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0188055 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.100875 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0530367 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0886458 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0601501 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0287233 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0511889 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0341564 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0558709 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.101783 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0985745 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0194668 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0305741 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0837278 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.00268692 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.056502 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0404335 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.35104 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.17483 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.440003 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0744848 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.419828 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0657255 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0289058 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0819093 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.00462053 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0547579 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.0319159 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.029657 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.00942618 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.020106 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.065528 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0306745 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.0595205 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.243399 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0674514 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.191707 # DEPENDENCYPART_SIBL
(1,19),(1,21),0.204426 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0227383 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0173875 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0345403 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0360587 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0215335 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0641536 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0542683 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00607184 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00633372 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0172892 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0181669 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.00684588 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0478679 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0329118 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0115573 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0464197 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0575152 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0407426 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.00425058 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.361949 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.180609 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.445782 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.425607 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0787788 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0306198 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0836233 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0564719 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0400475 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.029657 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.020106 # DEPENDENCYPART_SIBL
(3,7),(3,21),0.0697532 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.0595205 # DEPENDENCYPART_SIBL
(3,11),(3,21),0.247624 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.208651 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0272413 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0182012 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.393448 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0772798 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0146801 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0794572 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.221514 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0225895 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0436723 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0484269 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0489232 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.113921 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.00157852 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.136561 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0194483 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.327313 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0175646 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0331533 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0154723 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.211942 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00135196 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0402888 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0975612 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.097602 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.135109 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.022011 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.10308 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.389874 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0782236 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0147272 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0804009 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.221554 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0210176 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0436853 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0484463 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0489426 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.113961 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.00156556 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.13343 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0148707 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0701039 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0175236 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.486228 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00885234 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0928697 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0754319 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0754555 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.297142 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0410236 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.213472 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0130358 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0240557 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0181556 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0132814 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0511246 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0209664 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0210338 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0415392 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0600116 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.00103799 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00636352 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0446686 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00719278 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.071174 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0169279 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0169226 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0550752 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0261991 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0183443 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0180049 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.013313 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0508583 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0209675 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0210349 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0414629 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0600126 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.00247674 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.177811 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0480678 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0261312 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.026136 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0115951 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.102914 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.105079 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0317467 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0839779 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0849268 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.227816 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.159944 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.0259896 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0437638 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0437607 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0347373 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.0348822 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0554381 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0280139 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.0250104 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.0385659 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.0317912 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.0247902 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.0385787 # DEPENDENCYPART_SIBL
(5,16),(5,21),0.0333718 # DEPENDENCYPART_SIBL
(5,19),(5,20),0.0757246 # DEPENDENCYPART_SIBL
(5,19),(5,21),0.031984 # DEPENDENCYPART_SIBL
(5,20),(5,21),0.0081687 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00331445 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.439796 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.307389 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00434864 # DEPENDENCYPART_SIBL
(6,2),(6,15),4.85017e-05 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.00613352 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.644203 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.424511 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00329061 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0442019 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0402444 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.104229 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00873448 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.00400123 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0219111 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0114986 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0196226 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0858577 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0609221 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.0469314 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.103169 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.102897 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.285335 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.165408 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.101815 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.105691 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.00618755 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.00359016 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0042088 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.0040815 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.281754 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.165408 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0999658 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.106616 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00462929 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.00359016 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.00423442 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.000936853 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.125346 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0886616 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0641379 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0710907 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0264137 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.00491056 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.015814 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.058382 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0696792 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0579201 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.00475759 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0324135 # DEPENDENCYPART_SIBL
(7,5),(7,21),0.0735721 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.102309 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.00161762 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.00134243 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.00948778 # DEPENDENCYPART_SIBL
(7,6),(7,21),0.0127157 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0338729 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.000686627 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.0127522 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0497837 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0146404 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.228259 # DEPENDENCYPART_SIBL
