# _root_ De például a májjal már más a helyzet : a sertés mája más enzimeket termel , mint az emberé , más nagyságú vörösvérsejteket hoz létre és így tovább .
#goldHeads=0,6,4,6,6,1,8,6,1,11,12,15,14,15,26,15,15,19,15,26,22,23,24,26,24,1,28,26,1,
#predictedHeads=0,15,4,2,15,8,8,15,1,11,12,15,14,15,1,15,15,19,24,24,23,23,24,26,24,13,28,24,1,
(0,1),(0,26),-0.183595 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.0714571 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.0703625 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0145959 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0683097 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0380925 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.014624 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0380925 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.107765 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.123351 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0380925 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.107765 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.0619863 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.117123 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.0685526 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0629435 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0562061 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0205033 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0627236 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0205033 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.107518 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.125563 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0205033 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.107931 # DEPENDENCYPART_SIBL
(0,4),(0,25),-0.0595661 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.120009 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.0563842 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.0560418 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0389106 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0232071 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0389106 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.110467 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.121203 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0389106 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.110467 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.0633819 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.108052 # DEPENDENCYPART_SIBL
(0,5),(0,27),-0.0699487 # DEPENDENCYPART_SIBL
(0,5),(0,28),-0.0643391 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0296137 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0388607 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.10836 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0954517 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0388607 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.10836 # DEPENDENCYPART_SIBL
(0,6),(0,25),-0.0293445 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.110723 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.0318501 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.0311752 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.02054 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.102552 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.123122 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.02054 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.102965 # DEPENDENCYPART_SIBL
(0,8),(0,25),-0.0609204 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.117569 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.0577384 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.057396 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.10836 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.0954517 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0388607 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.10836 # DEPENDENCYPART_SIBL
(0,13),(0,25),-0.0293445 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.110723 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.0318501 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.0311752 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.23804 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.103027 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.245466 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.11359 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.2208 # DEPENDENCYPART_SIBL
(0,15),(0,27),-0.116954 # DEPENDENCYPART_SIBL
(0,15),(0,28),-0.115938 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.0498224 # DEPENDENCYPART_SIBL
(0,17),(0,24),-0.135549 # DEPENDENCYPART_SIBL
(0,17),(0,25),-0.0607226 # DEPENDENCYPART_SIBL
(0,17),(0,26),-0.175422 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.0657605 # DEPENDENCYPART_SIBL
(0,17),(0,28),-0.0632623 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.10836 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.0293445 # DEPENDENCYPART_SIBL
(0,21),(0,26),-0.110723 # DEPENDENCYPART_SIBL
(0,21),(0,27),-0.0318501 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.0311752 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.11359 # DEPENDENCYPART_SIBL
(0,24),(0,26),-0.2208 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.116954 # DEPENDENCYPART_SIBL
(0,24),(0,28),-0.115938 # DEPENDENCYPART_SIBL
(0,25),(0,26),-0.119633 # DEPENDENCYPART_SIBL
(0,25),(0,27),-0.0724887 # DEPENDENCYPART_SIBL
(0,25),(0,28),-0.0668796 # DEPENDENCYPART_SIBL
(0,26),(0,27),-0.0787611 # DEPENDENCYPART_SIBL
(0,26),(0,28),-0.0753793 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.0737002 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.000358153 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0418569 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.000390946 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.102329 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.000358153 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0329017 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0700852 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0159817 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0700852 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.00528035 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.0329017 # DEPENDENCYPART_SIBL
(1,2),(1,29),0.0224283 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.017608 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0231872 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0681689 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0265686 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0394178 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0293031 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.00810862 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0293031 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.038765 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.039831 # DEPENDENCYPART_SIBL
(1,4),(1,29),0.000430906 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00452026 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.109339 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.00456693 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0218883 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0754808 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.000190619 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.0754808 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.0181268 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.0218883 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.0288089 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.080756 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0131144 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0344856 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0487464 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0057012 # DEPENDENCYPART_SIBL
(1,8),(1,20),0.0487464 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.0387166 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.0348988 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.0248927 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0860882 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.377293 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0493468 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.207554 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0493468 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.125592 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.376527 # DEPENDENCYPART_SIBL
(1,9),(1,29),0.512065 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0394178 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.0293031 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.00810862 # DEPENDENCYPART_SIBL
(1,12),(1,20),0.0293031 # DEPENDENCYPART_SIBL
(1,12),(1,22),0.038765 # DEPENDENCYPART_SIBL
(1,12),(1,24),-0.039831 # DEPENDENCYPART_SIBL
(1,12),(1,29),0.000430906 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.179996 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0482301 # DEPENDENCYPART_SIBL
(1,15),(1,20),0.179996 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.0581158 # DEPENDENCYPART_SIBL
(1,15),(1,24),0.00438649 # DEPENDENCYPART_SIBL
(1,15),(1,29),0.211434 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.194988 # DEPENDENCYPART_SIBL
(1,16),(1,20),0.00473435 # DEPENDENCYPART_SIBL
(1,16),(1,22),0.106273 # DEPENDENCYPART_SIBL
(1,16),(1,24),0.238902 # DEPENDENCYPART_SIBL
(1,16),(1,29),0.0842808 # DEPENDENCYPART_SIBL
(1,17),(1,20),-0.0201017 # DEPENDENCYPART_SIBL
(1,17),(1,22),-0.00617336 # DEPENDENCYPART_SIBL
(1,17),(1,24),-0.0542768 # DEPENDENCYPART_SIBL
(1,17),(1,29),0.0537539 # DEPENDENCYPART_SIBL
(1,20),(1,22),0.106273 # DEPENDENCYPART_SIBL
(1,20),(1,24),0.238902 # DEPENDENCYPART_SIBL
(1,20),(1,29),0.0842808 # DEPENDENCYPART_SIBL
(1,22),(1,24),-0.0503844 # DEPENDENCYPART_SIBL
(1,22),(1,29),0.0306641 # DEPENDENCYPART_SIBL
(1,24),(1,29),0.211095 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0225251 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0459094 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0555551 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0631931 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0225251 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0225251 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0225251 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.042174 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0866114 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0225251 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0866114 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0426813 # DEPENDENCYPART_SIBL
(2,1),(2,26),-0.0192644 # DEPENDENCYPART_SIBL
(2,1),(2,29),0.161086 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.114196 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0599872 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.108768 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0308729 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0308729 # DEPENDENCYPART_SIBL
