# _root_ Európában elsősorban az olaszok és a franciák híresek kávézóikról , ahol a fekete ital számos változatát készítik , fogyasztásuk pedig mindennapos szertartássá vált .
#goldHeads=9,9,4,5,9,7,5,9,0,9,17,14,14,16,16,17,9,17,23,23,22,23,17,9,
#predictedHeads=17,23,4,5,17,7,8,9,5,23,17,14,14,16,16,17,0,17,23,23,22,23,17,17,
(23,21),0.206073 # DEPENDENCYPART_ARC
(23,22),2.43265 # DEPENDENCYPART_ARC
(23,24),-0.121803 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0520184 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.120275 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0638021 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.107593 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.133837 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.107746 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.118447 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0703196 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.114005 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.121359 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.111948 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.0706497 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.12355 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.180315 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.122473 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.111522 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.123109 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.109464 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.226472 # DEPENDENCYPART_SIBL
(0,17),(0,23),-0.244688 # DEPENDENCYPART_SIBL
(0,20),(0,23),-0.144023 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00447203 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.102391 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0579062 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.0459818 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.0468815 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.102448 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0579348 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.0460105 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.0469314 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.424574 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.40539 # DEPENDENCYPART_SIBL
(1,10),(1,24),0.0760099 # DEPENDENCYPART_SIBL
(1,17),(1,23),0.0405398 # DEPENDENCYPART_SIBL
(1,17),(1,24),0.21416 # DEPENDENCYPART_SIBL
(1,23),(1,24),0.214823 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0806318 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00307275 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0809783 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0809787 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0013771 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0271473 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0809775 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0809787 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0121706 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0013771 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0809787 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0177101 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.00510974 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0264222 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0300269 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0106941 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0106941 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0813307 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0979586 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0106941 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0106941 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0620714 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0813307 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.0106941 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.00687274 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0608899 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0434685 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0184505 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0184505 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0281964 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0483094 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0184505 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0184505 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0281529 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0281964 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0184505 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0397136 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0305855 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0315974 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0107429 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0814237 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0980578 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0107429 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0107429 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0621163 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0814237 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0107429 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.00691763 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.0609348 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0435221 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0814249 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.098059 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0107445 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0107445 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0621175 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0814249 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0107445 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0069188 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.060936 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0435265 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.151692 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.00230685 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.00230679 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.249886 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0494877 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.00230679 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0680361 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.250561 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.044466 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0350235 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0350235 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0357843 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0494792 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0350235 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.000687103 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.0378308 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.0434453 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0107445 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0621175 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0814242 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0107445 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.00691876 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.060936 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.0435265 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0621175 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.0814249 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0107445 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.0069188 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.060936 # DEPENDENCYPART_SIBL
(2,16),(2,24),0.0435265 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0957115 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.0115686 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.0129275 # DEPENDENCYPART_SIBL
(2,17),(2,23),0.0137155 # DEPENDENCYPART_SIBL
(2,17),(2,24),0.0506609 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.00230679 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.0680361 # DEPENDENCYPART_SIBL
(2,18),(2,23),0.250561 # DEPENDENCYPART_SIBL
(2,18),(2,24),0.044466 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.0069188 # DEPENDENCYPART_SIBL
(2,19),(2,23),0.060936 # DEPENDENCYPART_SIBL
(2,19),(2,24),0.0435265 # DEPENDENCYPART_SIBL
(2,20),(2,23),0.0107721 # DEPENDENCYPART_SIBL
(2,20),(2,24),0.0150607 # DEPENDENCYPART_SIBL
(2,23),(2,24),0.0526878 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.220169 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.266799 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.352323 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0895045 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0109979 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0118217 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0519887 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.233587 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0279547 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.233587 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00984006 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00258826 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.078033 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.233584 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0367375 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.233587 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0149311 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00984006 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0280909 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0474046 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0123582 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0634356 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0364647 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0423447 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.014083 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0116948 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.014083 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0612025 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0672976 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0389998 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0140844 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0545027 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.014083 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0327886 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0612025 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0752683 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0114744 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0215496 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0271508 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.10471 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0535341 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0181578 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0535341 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0244825 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0256221 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0462177 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0535327 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00221678 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0535341 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.03875 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0244825 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0403486 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0746626 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.00819169 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0477941 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.232126 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0258711 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.232126 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.000274317 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00549257 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0759495 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.232122 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0325448 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.232126 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.00319571 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.000274317 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0300464 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0356693 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.00843082 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0307177 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.044377 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0307177 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0426384 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0525871 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0453951 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0307177 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0130708 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0307177 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0720465 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0426384 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0395017 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.0734821 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.0413139 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00738881 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0462164 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00941697 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0538713 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.00708606 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0462164 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0177516 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0462164 # DEPENDENCYPART_SIBL
