# _root_ Önkéntesek hordták a vizet és az élelmet , a törmelék elszállítását — ha kellett , puszta kézzel — maguk szervezték meg .
#goldHeads=2,0,4,2,2,7,2,2,10,11,20,13,20,13,14,17,14,13,20,2,20,2,
#predictedHeads=2,0,4,2,2,7,2,2,10,11,2,13,2,2,14,17,20,20,20,2,20,2,
(11,17),-2.45477 # DEPENDENCYPART_ARC
(11,18),-1.41905 # DEPENDENCYPART_ARC
(11,20),-2.09975 # DEPENDENCYPART_ARC
(11,22),-1.82514 # DEPENDENCYPART_ARC
(13,1),-1.9262 # DEPENDENCYPART_ARC
(13,2),-2.85783 # DEPENDENCYPART_ARC
(13,4),-1.83547 # DEPENDENCYPART_ARC
(13,5),-0.856232 # DEPENDENCYPART_ARC
(13,7),-1.70508 # DEPENDENCYPART_ARC
(13,8),-1.49662 # DEPENDENCYPART_ARC
(13,10),-0.34349 # DEPENDENCYPART_ARC
(13,11),-0.667551 # DEPENDENCYPART_ARC
(13,12),0.261697 # DEPENDENCYPART_ARC
(13,14),0.188652 # DEPENDENCYPART_ARC
(13,15),-0.61856 # DEPENDENCYPART_ARC
(13,16),-1.38184 # DEPENDENCYPART_ARC
(13,17),-1.56076 # DEPENDENCYPART_ARC
(13,18),-0.778196 # DEPENDENCYPART_ARC
(13,19),-1.23484 # DEPENDENCYPART_ARC
(13,20),-1.09496 # DEPENDENCYPART_ARC
(13,21),-1.51513 # DEPENDENCYPART_ARC
(13,22),-0.402225 # DEPENDENCYPART_ARC
(14,1),-1.75295 # DEPENDENCYPART_ARC
(14,2),-1.8126 # DEPENDENCYPART_ARC
(14,4),-1.53443 # DEPENDENCYPART_ARC
(14,5),-1.07591 # DEPENDENCYPART_ARC
(14,7),-1.91713 # DEPENDENCYPART_ARC
(14,8),-0.844933 # DEPENDENCYPART_ARC
(14,10),-0.380402 # DEPENDENCYPART_ARC
(14,11),-0.773771 # DEPENDENCYPART_ARC
(14,12),-0.637822 # DEPENDENCYPART_ARC
(14,13),-0.489973 # DEPENDENCYPART_ARC
(14,15),0.0664197 # DEPENDENCYPART_ARC
(14,16),-0.870581 # DEPENDENCYPART_ARC
(14,17),-0.761535 # DEPENDENCYPART_ARC
(14,18),-0.652603 # DEPENDENCYPART_ARC
(14,19),-2.39244 # DEPENDENCYPART_ARC
(14,20),-0.554778 # DEPENDENCYPART_ARC
(14,21),-1.63841 # DEPENDENCYPART_ARC
(14,22),-1.28703 # DEPENDENCYPART_ARC
(16,10),-2.28157 # DEPENDENCYPART_ARC
(16,11),-1.55217 # DEPENDENCYPART_ARC
(16,12),-1.09804 # DEPENDENCYPART_ARC
(16,13),-0.956213 # DEPENDENCYPART_ARC
(16,14),-1.37685 # DEPENDENCYPART_ARC
(16,15),-0.30896 # DEPENDENCYPART_ARC
(16,18),-0.652347 # DEPENDENCYPART_ARC
(16,20),-1.10796 # DEPENDENCYPART_ARC
(17,2),-1.71648 # DEPENDENCYPART_ARC
(17,3),-2.68115 # DEPENDENCYPART_ARC
(17,4),-4.53676 # DEPENDENCYPART_ARC
(17,5),-1.42215 # DEPENDENCYPART_ARC
(17,6),-1.67708 # DEPENDENCYPART_ARC
(17,7),-4.18097 # DEPENDENCYPART_ARC
(17,8),-1.31957 # DEPENDENCYPART_ARC
(17,9),-1.03991 # DEPENDENCYPART_ARC
(17,10),-1.64582 # DEPENDENCYPART_ARC
(17,11),-3.97766 # DEPENDENCYPART_ARC
(17,12),-1.11867 # DEPENDENCYPART_ARC
(17,13),-0.823311 # DEPENDENCYPART_ARC
(17,14),-0.964767 # DEPENDENCYPART_ARC
(17,15),0.129387 # DEPENDENCYPART_ARC
(17,16),2.77327 # DEPENDENCYPART_ARC
(17,18),-0.669203 # DEPENDENCYPART_ARC
(17,20),-1.57872 # DEPENDENCYPART_ARC
(19,2),-0.332821 # DEPENDENCYPART_ARC
(19,13),-0.213643 # DEPENDENCYPART_ARC
(19,14),0.00551715 # DEPENDENCYPART_ARC
(19,18),-0.200655 # DEPENDENCYPART_ARC
(19,22),-0.835624 # DEPENDENCYPART_ARC
(20,1),-1.31475 # DEPENDENCYPART_ARC
(20,2),-1.61915 # DEPENDENCYPART_ARC
(20,4),-1.28159 # DEPENDENCYPART_ARC
(20,5),-0.600724 # DEPENDENCYPART_ARC
(20,7),-1.59927 # DEPENDENCYPART_ARC
(20,8),-0.724745 # DEPENDENCYPART_ARC
(20,10),-1.69568 # DEPENDENCYPART_ARC
(20,11),-0.972458 # DEPENDENCYPART_ARC
(20,12),-0.613552 # DEPENDENCYPART_ARC
(20,13),-0.460533 # DEPENDENCYPART_ARC
(20,14),-0.698653 # DEPENDENCYPART_ARC
(20,15),-0.416921 # DEPENDENCYPART_ARC
(20,16),-1.43534 # DEPENDENCYPART_ARC
(20,17),-0.197449 # DEPENDENCYPART_ARC
(20,18),0.0682871 # DEPENDENCYPART_ARC
(20,19),2.52911 # DEPENDENCYPART_ARC
(20,21),1.68915 # DEPENDENCYPART_ARC
(20,22),0.148048 # DEPENDENCYPART_ARC
(21,7),-1.96334 # DEPENDENCYPART_ARC
(21,8),-1.25626 # DEPENDENCYPART_ARC
(21,10),-1.74812 # DEPENDENCYPART_ARC
(21,11),-1.743 # DEPENDENCYPART_ARC
(21,12),-1.02817 # DEPENDENCYPART_ARC
(21,13),-0.602947 # DEPENDENCYPART_ARC
(21,15),-1.16561 # DEPENDENCYPART_ARC
(21,16),-1.2855 # DEPENDENCYPART_ARC
(21,17),-1.11273 # DEPENDENCYPART_ARC
(21,18),-0.829167 # DEPENDENCYPART_ARC
(21,19),-0.50994 # DEPENDENCYPART_ARC
(21,22),-0.871538 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.107541 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.120009 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.136753 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.11012 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0183799 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.107518 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0640381 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.2208 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.225942 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.247791 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.100597 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.245489 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.121056 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.203891 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.126962 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0487904 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.12355 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0781714 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.110766 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0430591 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.107475 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0683815 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.101106 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.240303 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.119584 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.109503 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0369379 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.121056 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0763892 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0764132 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0510229 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.211151 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.00484015 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0581458 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.0470828 # DEPENDENCYPART_SIBL
(1,17),(1,20),0.057914 # DEPENDENCYPART_SIBL
(1,17),(1,22),0.0468407 # DEPENDENCYPART_SIBL
(1,20),(1,22),0.211166 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0215066 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.01941 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0271248 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0280216 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.015307 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00908651 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0215066 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0153018 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0153018 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0454586 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0534404 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.00324429 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00908651 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00693284 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0226865 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0454586 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0118458 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0866244 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.00944472 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00628222 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0339388 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0664686 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00713187 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0144505 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0888887 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00713187 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00713187 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0310553 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0394205 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0166374 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0144505 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0098217 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.00464972 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0310553 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.031746 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0201811 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0282966 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0249013 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0307243 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.027093 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0270401 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0656985 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0270905 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0270905 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00879022 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00954623 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0110611 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0270401 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0212492 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0342804 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.00879022 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0176946 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0263581 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.00810219 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.045341 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.103718 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00959382 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0660945 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.103718 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.103718 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.014 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0336356 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0430851 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00959382 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0299368 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.101236 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.014 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0262412 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0135319 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.00359197 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0481127 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0191957 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.102786 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0481127 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0481127 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.00646106 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0600509 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0183467 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0191957 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.00128139 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0456306 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.00646106 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.00446155 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.00341908 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.00643161 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.027116 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0657105 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0303179 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0303179 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00874268 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0095219 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0110283 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.027116 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0212612 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0375078 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.00874268 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0176617 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0263461 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.00524056 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.122063 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0699665 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0699665 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0468467 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.301307 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.290751 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.024927 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0583442 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0672073 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0468467 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.198796 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0472194 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.0451621 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00713187 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.00713187 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0310553 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0394205 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0166374 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0144505 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0098217 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.00464972 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0310553 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.031746 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0201811 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0282966 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0303179 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00874268 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0095219 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0110283 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.027116 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0212613 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0375078 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.00874268 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0176617 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0263461 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.00524056 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.00874268 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0095219 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0110283 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.027116 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0212613 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0375078 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.00874268 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.0176617 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.0263461 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.00524056 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0555689 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0692753 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.00684449 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.037351 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0213577 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.134762 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0129954 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.00229826 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.00260122 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0888984 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0324209 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.083806 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0408705 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0190148 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.073377 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0192206 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.00911556 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.057652 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0186238 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.00832675 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0620529 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.0236921 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.00107273 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.049155 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0583442 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.0672073 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0468467 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.198796 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.0472194 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.0451621 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.030003 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0249456 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.0255462 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.0341306 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.0107121 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0164254 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.023109 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.0313381 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.0135329 # DEPENDENCYPART_SIBL
(2,18),(2,20),0.0129954 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.00229826 # DEPENDENCYPART_SIBL
(2,18),(2,22),-0.00260122 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.0186191 # DEPENDENCYPART_SIBL
(2,20),(2,22),0.0214325 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.0167717 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.353523 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0062101 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00332002 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0513905 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0157665 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0029608 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0104182 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.233801 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.000560421 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.233831 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.233831 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.016485 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0238158 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0305961 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.000560421 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.233437 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.016485 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.000171722 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.00815188 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0164702 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0247685 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0168925 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0126068 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0442328 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.012587 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.012587 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.016849 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0491109 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.239106 # DEPENDENCYPART_SIBL
