# _root_ Mert csupán úgy adták elő a falhoz tapadó , földön vonagló vagy ölelkező " koreográfiákat " , amilyen szinten prózai színészektől kitelik .
#goldHeads=4,4,4,0,4,7,8,15,15,11,15,15,15,15,4,15,4,19,22,21,22,4,4,
#predictedHeads=4,4,4,0,4,7,8,15,4,11,15,15,15,15,4,15,4,22,20,21,22,4,4,
(8,2),-1.23406 # DEPENDENCYPART_ARC
(8,3),-0.961355 # DEPENDENCYPART_ARC
(8,4),-0.924954 # DEPENDENCYPART_ARC
(8,6),-0.543148 # DEPENDENCYPART_ARC
(8,7),1.76314 # DEPENDENCYPART_ARC
(8,9),-0.345956 # DEPENDENCYPART_ARC
(8,10),-1.12053 # DEPENDENCYPART_ARC
(8,11),-1.59768 # DEPENDENCYPART_ARC
(8,13),-1.81959 # DEPENDENCYPART_ARC
(8,14),-0.78304 # DEPENDENCYPART_ARC
(8,15),-2.41785 # DEPENDENCYPART_ARC
(8,22),-1.66511 # DEPENDENCYPART_ARC
(8,23),-1.47677 # DEPENDENCYPART_ARC
(10,3),-1.77332 # DEPENDENCYPART_ARC
(10,6),-0.295168 # DEPENDENCYPART_ARC
(10,7),-1.84121 # DEPENDENCYPART_ARC
(10,8),0.304257 # DEPENDENCYPART_ARC
(10,9),-0.129831 # DEPENDENCYPART_ARC
(10,11),-1.39285 # DEPENDENCYPART_ARC
(10,13),-1.60385 # DEPENDENCYPART_ARC
(10,14),-0.88692 # DEPENDENCYPART_ARC
(10,15),-1.53266 # DEPENDENCYPART_ARC
(10,16),-0.718808 # DEPENDENCYPART_ARC
(10,17),-0.971123 # DEPENDENCYPART_ARC
(10,19),-2.217 # DEPENDENCYPART_ARC
(10,22),-1.51871 # DEPENDENCYPART_ARC
(11,2),-1.6944 # DEPENDENCYPART_ARC
(11,3),-1.60547 # DEPENDENCYPART_ARC
(11,4),-1.51161 # DEPENDENCYPART_ARC
(11,6),-1.5417 # DEPENDENCYPART_ARC
(11,7),-0.295262 # DEPENDENCYPART_ARC
(11,8),-1.2076 # DEPENDENCYPART_ARC
(11,9),-0.764566 # DEPENDENCYPART_ARC
(11,10),1.17752 # DEPENDENCYPART_ARC
(11,12),-1.43385 # DEPENDENCYPART_ARC
(11,13),-1.68803 # DEPENDENCYPART_ARC
(11,22),-1.74822 # DEPENDENCYPART_ARC
(12,1),-1.21537 # DEPENDENCYPART_ARC
(12,2),-1.97699 # DEPENDENCYPART_ARC
(12,3),-1.99061 # DEPENDENCYPART_ARC
(12,4),-0.917919 # DEPENDENCYPART_ARC
(12,8),-1.64216 # DEPENDENCYPART_ARC
(12,9),-1.12048 # DEPENDENCYPART_ARC
(12,10),-1.21933 # DEPENDENCYPART_ARC
(12,11),-0.644157 # DEPENDENCYPART_ARC
(12,13),-1.17885 # DEPENDENCYPART_ARC
(12,14),-0.9643 # DEPENDENCYPART_ARC
(12,15),-1.50209 # DEPENDENCYPART_ARC
(12,19),-2.19223 # DEPENDENCYPART_ARC
(12,22),-1.3777 # DEPENDENCYPART_ARC
(12,23),-1.90246 # DEPENDENCYPART_ARC
(13,1),-1.06235 # DEPENDENCYPART_ARC
(13,2),-1.59949 # DEPENDENCYPART_ARC
(13,3),-1.37115 # DEPENDENCYPART_ARC
(13,4),-1.2224 # DEPENDENCYPART_ARC
(13,6),-1.47659 # DEPENDENCYPART_ARC
(13,7),-0.539817 # DEPENDENCYPART_ARC
(13,8),-1.12271 # DEPENDENCYPART_ARC
(13,9),-0.458579 # DEPENDENCYPART_ARC
(13,10),0.0699351 # DEPENDENCYPART_ARC
(13,11),-0.108242 # DEPENDENCYPART_ARC
(13,12),0.38634 # DEPENDENCYPART_ARC
(13,14),-0.107289 # DEPENDENCYPART_ARC
(13,15),-1.5411 # DEPENDENCYPART_ARC
(13,16),-0.568623 # DEPENDENCYPART_ARC
(13,17),-0.768839 # DEPENDENCYPART_ARC
(13,19),-1.40907 # DEPENDENCYPART_ARC
(13,20),-1.68053 # DEPENDENCYPART_ARC
(13,21),-1.76209 # DEPENDENCYPART_ARC
(13,22),-1.26034 # DEPENDENCYPART_ARC
(13,23),-1.13595 # DEPENDENCYPART_ARC
(15,1),-0.988311 # DEPENDENCYPART_ARC
(15,6),-0.504518 # DEPENDENCYPART_ARC
(15,7),-2.19406 # DEPENDENCYPART_ARC
(15,8),-0.527338 # DEPENDENCYPART_ARC
(15,9),0.0726938 # DEPENDENCYPART_ARC
(15,10),-1.32011 # DEPENDENCYPART_ARC
(15,11),0.260202 # DEPENDENCYPART_ARC
(15,12),0.32643 # DEPENDENCYPART_ARC
(15,13),1.33219 # DEPENDENCYPART_ARC
(15,14),1.24411 # DEPENDENCYPART_ARC
(15,16),0.222355 # DEPENDENCYPART_ARC
(15,17),-0.788857 # DEPENDENCYPART_ARC
(15,19),-2.24035 # DEPENDENCYPART_ARC
(15,20),-1.63931 # DEPENDENCYPART_ARC
(15,21),-1.78105 # DEPENDENCYPART_ARC
(15,22),-1.69423 # DEPENDENCYPART_ARC
(15,23),-1.23593 # DEPENDENCYPART_ARC
(18,19),-0.902734 # DEPENDENCYPART_ARC
(18,20),-1.14506 # DEPENDENCYPART_ARC
(18,21),-1.45992 # DEPENDENCYPART_ARC
(19,6),-2.02717 # DEPENDENCYPART_ARC
(19,8),-2.60901 # DEPENDENCYPART_ARC
(19,11),-1.91939 # DEPENDENCYPART_ARC
(19,12),-1.39045 # DEPENDENCYPART_ARC
(19,13),-1.93265 # DEPENDENCYPART_ARC
(19,14),-1.36751 # DEPENDENCYPART_ARC
(19,15),-3.82498 # DEPENDENCYPART_ARC
(19,16),-1.13001 # DEPENDENCYPART_ARC
(19,17),-1.21732 # DEPENDENCYPART_ARC
(19,18),0.848012 # DEPENDENCYPART_ARC
(19,20),-1.54836 # DEPENDENCYPART_ARC
(19,21),-1.36213 # DEPENDENCYPART_ARC
(20,3),-1.76923 # DEPENDENCYPART_ARC
(20,7),-1.17118 # DEPENDENCYPART_ARC
(20,10),-0.966736 # DEPENDENCYPART_ARC
(20,11),-1.87908 # DEPENDENCYPART_ARC
(20,12),-0.988501 # DEPENDENCYPART_ARC
(20,13),-1.65293 # DEPENDENCYPART_ARC
(20,14),-0.918514 # DEPENDENCYPART_ARC
(20,15),-0.868035 # DEPENDENCYPART_ARC
(20,16),-0.73522 # DEPENDENCYPART_ARC
(20,17),-0.618876 # DEPENDENCYPART_ARC
(20,18),-0.535945 # DEPENDENCYPART_ARC
(20,19),1.43846 # DEPENDENCYPART_ARC
(21,6),-1.67321 # DEPENDENCYPART_ARC
(21,7),-3.7662 # DEPENDENCYPART_ARC
(21,8),-1.28949 # DEPENDENCYPART_ARC
(21,9),-0.119397 # DEPENDENCYPART_ARC
(21,10),-3.45074 # DEPENDENCYPART_ARC
(21,11),-0.961445 # DEPENDENCYPART_ARC
(21,12),-0.121488 # DEPENDENCYPART_ARC
(21,13),-0.826053 # DEPENDENCYPART_ARC
(21,14),-0.149348 # DEPENDENCYPART_ARC
(21,15),-3.39912 # DEPENDENCYPART_ARC
(21,16),-0.976657 # DEPENDENCYPART_ARC
(21,17),-0.441431 # DEPENDENCYPART_ARC
(21,18),-0.390604 # DEPENDENCYPART_ARC
(21,19),-0.61222 # DEPENDENCYPART_ARC
(21,20),2.38934 # DEPENDENCYPART_ARC
(22,1),-0.72712 # DEPENDENCYPART_ARC
(22,2),-1.08684 # DEPENDENCYPART_ARC
(22,3),-1.52304 # DEPENDENCYPART_ARC
(22,4),-1.03014 # DEPENDENCYPART_ARC
(22,6),-1.64123 # DEPENDENCYPART_ARC
(22,7),-1.52276 # DEPENDENCYPART_ARC
(22,8),-2.09952 # DEPENDENCYPART_ARC
(22,9),-0.70997 # DEPENDENCYPART_ARC
(22,10),-0.441971 # DEPENDENCYPART_ARC
(22,11),-1.68121 # DEPENDENCYPART_ARC
(22,12),0.0255326 # DEPENDENCYPART_ARC
(22,13),-1.68324 # DEPENDENCYPART_ARC
(22,14),-0.603834 # DEPENDENCYPART_ARC
(22,15),-1.00857 # DEPENDENCYPART_ARC
(22,16),-0.174061 # DEPENDENCYPART_ARC
(22,17),-0.26861 # DEPENDENCYPART_ARC
(22,18),1.23714 # DEPENDENCYPART_ARC
(22,19),1.46948 # DEPENDENCYPART_ARC
(22,20),0.269918 # DEPENDENCYPART_ARC
(22,21),2.75927 # DEPENDENCYPART_ARC
(22,23),-0.187037 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0784857 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0785557 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0645149 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0764332 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0700781 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.158687 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.061853 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0661494 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.107749 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0650988 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0347052 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.138822 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.108805 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0969005 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0660868 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0308089 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.132582 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.0979564 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.115687 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.131984 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.209046 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.246347 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0330767 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.134329 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.115265 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0905117 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.0886079 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.120166 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0250584 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.035852 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0257509 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.00985358 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0257509 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.0246825 # DEPENDENCYPART_SIBL
(1,2),(1,23),0.00292642 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0193235 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.120251 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0698047 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.120251 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.0126195 # DEPENDENCYPART_SIBL
(1,4),(1,23),0.0836246 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0331809 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0133435 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0331809 # DEPENDENCYPART_SIBL
(1,5),(1,22),-0.0362712 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0197924 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0574426 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0380146 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.219685 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.00946249 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.0806843 # DEPENDENCYPART_SIBL
(1,16),(1,22),0.0249683 # DEPENDENCYPART_SIBL
(1,16),(1,23),0.0137682 # DEPENDENCYPART_SIBL
(1,17),(1,22),0.219685 # DEPENDENCYPART_SIBL
(1,17),(1,23),0.00946249 # DEPENDENCYPART_SIBL
(1,22),(1,23),0.0621287 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0243607 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00826694 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0306481 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0263784 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0655963 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.00697025 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0777467 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0292056 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.0212174 # DEPENDENCYPART_SIBL
(2,22),(2,23),0.0667854 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.139273 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0187106 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0428713 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0512477 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.168392 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0650648 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0261104 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.104107 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0268255 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0336641 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0401798 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0126241 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.053504 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0378796 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0126241 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00151985 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0126241 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00124676 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0401798 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.00124676 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.053504 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0333792 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0414234 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0126241 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0401798 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.00407162 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0373218 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0290062 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0540107 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0218994 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0477048 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0850962 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.143227 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0523759 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0850962 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.050401 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0850962 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.118354 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0477048 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.118354 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.143227 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.052446 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0470754 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0850962 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.0477048 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0708121 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0746486 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0636111 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0955423 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0740967 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.000452774 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0792187 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0694257 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.000452774 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0382734 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.000452774 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0241301 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0740967 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0241301 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0792187 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0239398 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0747261 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.000452774 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0740967 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.0132775 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.00921589 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0561452 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0434932 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0600918 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.064705 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0544841 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0600918 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.021074 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0600918 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0174051 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0434932 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0174051 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.064705 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0317279 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0421947 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0600918 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0434932 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.00111228 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.0252511 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00292189 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00866927 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.014317 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.011537 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00866927 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0850852 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00866927 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00432654 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00292189 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00432654 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.014317 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.00543876 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.00226901 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.00866927 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.00292189 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.022948 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0397369 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0353454 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0799726 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00456536 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0353454 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0333033 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0353454 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0123845 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0209017 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0123845 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0799726 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0463235 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0215546 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0353454 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0209017 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.000622818 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.00594301 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0334155 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0150856 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0253609 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.034991 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0253609 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.00565718 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0237007 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.00565718 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.0334155 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.00824738 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0243536 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0253609 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0237007 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.00663899 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0147143 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0932105 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.075229 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.277553 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.075229 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0118584 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0750802 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0118584 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0226622 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0210216 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.073136 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0751971 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0750802 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.230634 # DEPENDENCYPART_SIBL
(4,9),(4,23),0.0457819 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0468768 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0453723 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0468768 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0107372 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.00937008 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0107372 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.107939 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0578516 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.010023 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0468768 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.00937008 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.0202519 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.0221132 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.034991 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0253609 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.00565718 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0237007 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.00565718 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0334155 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.00824738 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0243536 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0253609 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0237007 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.00663899 # DEPENDENCYPART_SIBL
(4,11),(4,23),-0.0147143 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0534217 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0371394 # DEPENDENCYPART_SIBL
