# _root_ Nem volt nagy , ám a másodikhoz már elkelt a segítség , én nyúltam alá a merítőhálóval .
#goldHeads=2,5,2,5,0,7,9,9,5,11,9,5,14,5,14,17,14,5,
#predictedHeads=2,5,2,5,0,7,9,9,5,11,9,9,14,5,14,17,14,5,
(7,2),-2.233 # DEPENDENCYPART_ARC
(7,3),-1.46453 # DEPENDENCYPART_ARC
(7,4),-1.03914 # DEPENDENCYPART_ARC
(7,5),-0.841177 # DEPENDENCYPART_ARC
(7,6),1.90222 # DEPENDENCYPART_ARC
(7,8),-1.32839 # DEPENDENCYPART_ARC
(7,9),-1.27576 # DEPENDENCYPART_ARC
(7,11),-1.70758 # DEPENDENCYPART_ARC
(7,17),-2.67771 # DEPENDENCYPART_ARC
(8,1),-1.48173 # DEPENDENCYPART_ARC
(8,2),-1.45714 # DEPENDENCYPART_ARC
(8,3),-1.65667 # DEPENDENCYPART_ARC
(8,4),-1.32911 # DEPENDENCYPART_ARC
(8,5),-0.938935 # DEPENDENCYPART_ARC
(8,7),-0.420122 # DEPENDENCYPART_ARC
(8,11),-1.17739 # DEPENDENCYPART_ARC
(8,12),-0.974795 # DEPENDENCYPART_ARC
(8,14),-1.34921 # DEPENDENCYPART_ARC
(8,17),-1.85484 # DEPENDENCYPART_ARC
(8,18),-1.40645 # DEPENDENCYPART_ARC
(9,1),-0.52335 # DEPENDENCYPART_ARC
(9,2),-0.793064 # DEPENDENCYPART_ARC
(9,3),-1.53477 # DEPENDENCYPART_ARC
(9,4),-0.679549 # DEPENDENCYPART_ARC
(9,5),-0.0721807 # DEPENDENCYPART_ARC
(9,6),-1.39063 # DEPENDENCYPART_ARC
(9,7),0.782823 # DEPENDENCYPART_ARC
(9,8),2.30477 # DEPENDENCYPART_ARC
(9,10),-0.97577 # DEPENDENCYPART_ARC
(9,11),1.47321 # DEPENDENCYPART_ARC
(9,12),0.55574 # DEPENDENCYPART_ARC
(9,13),-0.833503 # DEPENDENCYPART_ARC
(9,14),0.0848698 # DEPENDENCYPART_ARC
(9,15),-0.731829 # DEPENDENCYPART_ARC
(9,16),-2.05067 # DEPENDENCYPART_ARC
(9,17),-1.26905 # DEPENDENCYPART_ARC
(9,18),-0.734385 # DEPENDENCYPART_ARC
(11,4),-1.62681 # DEPENDENCYPART_ARC
(11,6),-1.15577 # DEPENDENCYPART_ARC
(11,7),-2.77413 # DEPENDENCYPART_ARC
(11,8),-1.65321 # DEPENDENCYPART_ARC
(11,9),-0.598427 # DEPENDENCYPART_ARC
(11,10),1.77717 # DEPENDENCYPART_ARC
(11,12),-0.627648 # DEPENDENCYPART_ARC
(11,14),-1.3693 # DEPENDENCYPART_ARC
(11,17),-2.51569 # DEPENDENCYPART_ARC
(11,18),-1.75117 # DEPENDENCYPART_ARC
(13,2),-0.279633 # DEPENDENCYPART_ARC
(13,9),-0.05957 # DEPENDENCYPART_ARC
(13,12),-0.330412 # DEPENDENCYPART_ARC
(13,14),-1.16802 # DEPENDENCYPART_ARC
(13,17),-1.46287 # DEPENDENCYPART_ARC
(13,18),-1.24255 # DEPENDENCYPART_ARC
(14,1),-1.53447 # DEPENDENCYPART_ARC
(14,2),-1.23598 # DEPENDENCYPART_ARC
(14,3),-2.75823 # DEPENDENCYPART_ARC
(14,4),-1.23115 # DEPENDENCYPART_ARC
(14,5),-0.324099 # DEPENDENCYPART_ARC
(14,6),-2.30885 # DEPENDENCYPART_ARC
(14,7),-1.26141 # DEPENDENCYPART_ARC
(14,8),-0.512597 # DEPENDENCYPART_ARC
(14,9),-0.777061 # DEPENDENCYPART_ARC
(14,10),-1.74671 # DEPENDENCYPART_ARC
(14,11),-0.618917 # DEPENDENCYPART_ARC
(14,12),-0.195637 # DEPENDENCYPART_ARC
(14,13),2.38917 # DEPENDENCYPART_ARC
(14,15),1.54817 # DEPENDENCYPART_ARC
(14,16),-0.960188 # DEPENDENCYPART_ARC
(14,17),0.492721 # DEPENDENCYPART_ARC
(14,18),-0.0898985 # DEPENDENCYPART_ARC
(15,2),-1.41169 # DEPENDENCYPART_ARC
(15,3),-1.64205 # DEPENDENCYPART_ARC
(15,4),-1.39469 # DEPENDENCYPART_ARC
(15,5),-1.02844 # DEPENDENCYPART_ARC
(15,7),-1.62003 # DEPENDENCYPART_ARC
(15,9),-1.32453 # DEPENDENCYPART_ARC
(15,11),-1.28591 # DEPENDENCYPART_ARC
(15,12),-1.03462 # DEPENDENCYPART_ARC
(15,13),-0.688647 # DEPENDENCYPART_ARC
(15,14),-0.259819 # DEPENDENCYPART_ARC
(15,17),-0.799853 # DEPENDENCYPART_ARC
(15,18),-0.963148 # DEPENDENCYPART_ARC
(17,10),-1.8597 # DEPENDENCYPART_ARC
(17,13),-1.97552 # DEPENDENCYPART_ARC
(17,15),-1.02568 # DEPENDENCYPART_ARC
(17,16),1.53393 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.116955 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0245736 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.132144 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.112223 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0340302 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.112223 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0586499 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.144073 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.228368 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.26169 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.099482 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.26169 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.122515 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0913583 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0899096 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0187208 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0899096 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0356482 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.129173 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0521924 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.129173 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0730599 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.101054 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.245466 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.113935 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.10725 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0294547 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.113935 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.02848 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0867519 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0421996 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00620918 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0233403 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00620918 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0867519 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0233403 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.053764 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0295327 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0483905 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0460845 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0211899 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0460845 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0295327 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0211899 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0800495 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.106103 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.00379334 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.212649 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.00379334 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0281584 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.212649 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.087121 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0302326 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0102646 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0302326 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0104877 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0102646 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0497517 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0024927 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0265967 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0301388 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0024927 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0146208 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.00258461 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0832049 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0197833 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0567861 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0301388 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0024927 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0146208 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.212649 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.087121 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.0567861 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0747255 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0354277 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0159751 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0750288 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0140931 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.021816 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0720043 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0750288 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0140931 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0354277 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0720043 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0136535 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0140931 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.0119766 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0140815 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.003162 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0510339 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.05494 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00633691 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0250061 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0510339 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.05494 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0140815 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0250061 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0048431 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.05494 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0111668 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.222798 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.11876 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0048851 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0890264 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.258579 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.11876 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0048851 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0363566 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.258579 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.104853 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0048851 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0721213 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0485046 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0332752 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0128179 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0377663 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0485046 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0332752 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0405543 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0377663 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0181749 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0332752 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.00794764 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0276071 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0102787 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.00569048 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0860088 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0276071 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.013207 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.00569048 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.00363772 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0276071 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.021544 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0049031 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.015728 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0562593 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0934474 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0123802 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.015728 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.00353336 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0934474 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.00504017 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0576683 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0776948 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0420475 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0118845 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0576683 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0464071 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0420475 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0313233 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00864834 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0545583 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0392557 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.000111239 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.00365866 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0545583 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0129276 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0276071 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.013207 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.00569048 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.00363772 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0276071 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.021544 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0123802 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.015728 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.00353336 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0934474 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.00504017 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.258579 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.104853 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0048851 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.0721213 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.00365866 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0545583 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0129276 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.00676053 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0118259 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.00504017 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.137385 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0159058 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00877923 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0232937 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0448015 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0232937 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0159058 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0448015 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0232937 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0578403 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0551374 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0490645 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0846511 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0332217 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0846511 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0551374 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0332217 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0846511 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.138965 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.125824 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.162158 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.377475 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.162158 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0298286 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.377475 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.162158 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0958684 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00995867 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0333728 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00995867 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0036971 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0333728 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00995867 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.00179164 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0466501 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.00204925 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0934449 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0466501 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.00204925 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0289301 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0263593 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0973324 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0135894 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.0263593 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.081856 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0934449 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0466501 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.00204925 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0289301 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.377475 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.162158 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0958684 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.0263593 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.081856 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.0289301 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0209377 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00589294 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.19915 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0277796 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0313691 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00385999 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0831045 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0313691 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0175007 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0831045 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0313691 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0943769 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0531624 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.377975 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0130677 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0343235 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0108146 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0426391 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0343235 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0264935 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0426391 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0343235 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.125717 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.149176 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00462042 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0373077 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00904195 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0069345 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0373077 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0025707 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0069345 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0373077 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0311166 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0269652 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00752592 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0258263 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.131593 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00752592 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00842282 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.131593 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.00752592 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.253172 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0194749 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0266941 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0627887 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0194749 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0333969 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0627887 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0194749 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0335218 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0109195 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0423943 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.025932 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00925937 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0423943 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.025932 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.00111406 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.038848 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.000720601 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0203593 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.038848 # DEPENDENCYPART_SIBL
