# _root_ Kouchnerhez hasonlóan a tanács többi tagja sem tudja még , miképpen lehetne szavatolni a szerb kisebbség biztonságát , s így a kérdés valószínűleg még többször napirendre kerül a testület ülésein .
#goldHeads=2,8,4,6,6,8,8,19,8,8,13,8,12,16,16,17,13,19,0,27,22,27,27,27,27,27,19,29,30,27,19,
#predictedHeads=2,8,4,6,6,8,8,19,8,8,12,8,12,16,16,17,13,19,0,27,22,27,27,26,26,27,19,29,30,27,19,
(27,19),-0.372658 # DEPENDENCYPART_ARC
(27,20),0.149188 # DEPENDENCYPART_ARC
(27,21),-1.82742 # DEPENDENCYPART_ARC
(27,22),0.2329 # DEPENDENCYPART_ARC
(27,23),0.543419 # DEPENDENCYPART_ARC
(27,24),0.560125 # DEPENDENCYPART_ARC
(27,25),0.824423 # DEPENDENCYPART_ARC
(27,26),2.10916 # DEPENDENCYPART_ARC
(27,28),-1.30879 # DEPENDENCYPART_ARC
(27,29),0.608503 # DEPENDENCYPART_ARC
(27,30),0.777408 # DEPENDENCYPART_ARC
(27,31),-0.725239 # DEPENDENCYPART_ARC
(29,21),-1.87022 # DEPENDENCYPART_ARC
(29,25),-2.2159 # DEPENDENCYPART_ARC
(29,28),1.51365 # DEPENDENCYPART_ARC
(30,23),-1.59062 # DEPENDENCYPART_ARC
(30,24),-1.42946 # DEPENDENCYPART_ARC
(30,25),-2.69821 # DEPENDENCYPART_ARC
(30,26),-2.33783 # DEPENDENCYPART_ARC
(30,28),0.302494 # DEPENDENCYPART_ARC
(30,29),2.599 # DEPENDENCYPART_ARC
(0,2),(0,7),-0.0326439 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0901086 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0410758 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0894106 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0893938 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.110846 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0366143 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.0916515 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.109171 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0629565 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.109911 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.108121 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.14627 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0711247 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.108854 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.11536 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.25098 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.248848 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.236579 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.117316 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.251331 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.123406 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.121616 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.134025 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.0398277 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.122305 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.24888 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.234142 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.116959 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.251363 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.234137 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.116954 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.247949 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0849487 # DEPENDENCYPART_SIBL
(0,19),(0,27),-0.120461 # DEPENDENCYPART_SIBL
(0,20),(0,27),-0.12508 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00541951 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0599534 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0651949 # DEPENDENCYPART_SIBL
(1,4),(1,31),0.0485643 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0627742 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0680157 # DEPENDENCYPART_SIBL
(1,6),(1,31),0.0351954 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0445602 # DEPENDENCYPART_SIBL
(1,8),(1,31),0.196519 # DEPENDENCYPART_SIBL
(1,12),(1,31),0.22436 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0183221 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0431882 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0123094 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0291954 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0025454 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0147259 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.00146389 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00559049 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0177864 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.000459328 # DEPENDENCYPART_SIBL
(2,1),(2,27),-0.00116011 # DEPENDENCYPART_SIBL
(2,1),(2,31),0.0517326 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0294437 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00140934 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0294135 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0462403 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0903145 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.049944 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0428117 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.000741112 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0473155 # DEPENDENCYPART_SIBL
(2,4),(2,27),0.0348256 # DEPENDENCYPART_SIBL
(2,4),(2,31),0.0101537 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00625576 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0211497 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0256222 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0379518 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0271898 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0272532 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0062714 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0152191 # DEPENDENCYPART_SIBL
(2,5),(2,27),0.0246569 # DEPENDENCYPART_SIBL
(2,5),(2,31),-0.00308509 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0294087 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0518781 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0954303 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0555819 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0484496 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.00198262 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0460523 # DEPENDENCYPART_SIBL
(2,6),(2,27),0.0404634 # DEPENDENCYPART_SIBL
(2,6),(2,31),0.00487141 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.039167 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0816842 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0392829 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0411208 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0539491 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0245574 # DEPENDENCYPART_SIBL
(2,7),(2,27),0.0402527 # DEPENDENCYPART_SIBL
(2,7),(2,31),0.0189633 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0890493 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0062496 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.00844026 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0253055 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.00257512 # DEPENDENCYPART_SIBL
(2,8),(2,27),0.00737486 # DEPENDENCYPART_SIBL
(2,8),(2,31),0.0575185 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.383116 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.374057 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.160401 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.161558 # DEPENDENCYPART_SIBL
(2,10),(2,27),0.375905 # DEPENDENCYPART_SIBL
(2,10),(2,31),0.0830185 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.00856013 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0249507 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0051392 # DEPENDENCYPART_SIBL
(2,12),(2,27),0.00749473 # DEPENDENCYPART_SIBL
(2,12),(2,31),0.0832024 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0256348 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.00515149 # DEPENDENCYPART_SIBL
(2,13),(2,27),0.0109127 # DEPENDENCYPART_SIBL
(2,13),(2,31),0.0699917 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0473064 # DEPENDENCYPART_SIBL
(2,17),(2,27),0.0348277 # DEPENDENCYPART_SIBL
(2,17),(2,31),0.0101551 # DEPENDENCYPART_SIBL
(2,19),(2,27),0.0418549 # DEPENDENCYPART_SIBL
(2,19),(2,31),-0.00636097 # DEPENDENCYPART_SIBL
(2,27),(2,31),0.0601998 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0574755 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.317125 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00751879 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.662065 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00795792 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00819651 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.025169 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0379187 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0762944 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0313576 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.233824 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00932298 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.013247 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0656801 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0225546 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0312233 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0214621 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.351356 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.106263 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0112399 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.666372 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0425985 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00271211 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0285318 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.123848 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0112722 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0652428 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.133 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0318284 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0184658 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0234585 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0742598 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0131455 # DEPENDENCYPART_SIBL
(7,4),(7,31),0.0660931 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.112589 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0301412 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0203464 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.018815 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.107852 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.00542475 # DEPENDENCYPART_SIBL
(7,5),(7,31),0.0773371 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0296359 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0167297 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0217225 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0723291 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0110884 # DEPENDENCYPART_SIBL
(7,6),(7,31),0.0593618 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.325776 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.316637 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0337008 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.191106 # DEPENDENCYPART_SIBL
(7,10),(7,31),0.151684 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0345836 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0240424 # DEPENDENCYPART_SIBL
