# _root_ Wrighték repülésének évében Henry_Ford autógyárat alapított , ahol 1924-ig 10_millió , 1927-ig 15_millió darab készült a legendás T-modellből .
#goldHeads=2,6,6,6,6,0,6,6,6,6,6,15,14,15,6,18,18,15,6,
#predictedHeads=2,6,6,5,6,0,6,15,10,12,12,15,14,15,6,18,18,15,6,
(17,13),-1.56996 # DEPENDENCYPART_ARC
(17,14),-2.21481 # DEPENDENCYPART_ARC
(17,16),-0.481468 # DEPENDENCYPART_ARC
(18,2),-4.58057 # DEPENDENCYPART_ARC
(18,6),-2.06471 # DEPENDENCYPART_ARC
(18,9),-2.67582 # DEPENDENCYPART_ARC
(18,10),-1.43839 # DEPENDENCYPART_ARC
(18,11),-1.08752 # DEPENDENCYPART_ARC
(18,12),-2.30531 # DEPENDENCYPART_ARC
(18,13),-0.797025 # DEPENDENCYPART_ARC
(18,14),-1.3595 # DEPENDENCYPART_ARC
(18,16),1.35059 # DEPENDENCYPART_ARC
(18,17),2.63238 # DEPENDENCYPART_ARC
(18,19),-1.39114 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0661097 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.06695 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0661097 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.106253 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0638021 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0394542 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0394506 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0394506 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.108734 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.06695 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0661097 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.106253 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0638021 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0394542 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0394506 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0394506 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.108734 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0663455 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.106508 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0638148 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0394567 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0394531 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0394531 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.108989 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.106253 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0638021 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0394542 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0394506 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0394506 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.108734 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.113526 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.108683 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.108683 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.108683 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.244026 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0304585 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0304585 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0304585 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.108016 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0122125 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0122125 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.0805799 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0122125 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.0805799 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0805799 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00385071 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00471394 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00471394 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0593681 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0569864 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0485651 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00446296 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00446296 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0590919 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0567101 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0477242 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00471394 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0593681 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0569864 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0485651 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0593681 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0569864 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0485651 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0524597 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.212721 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.216427 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00212381 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00337853 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0084549 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00446296 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0590919 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0593681 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0188732 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00197306 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00197306 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00835316 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00344056 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0565787 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.00863169 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.00197306 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00197306 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00197306 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.00835316 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00344056 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0565787 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.00863169 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.00197306 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00368292 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0587829 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.101948 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0303275 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0564011 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.00368292 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0587829 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.101948 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0303275 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0564011 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.00368292 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.168752 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0534888 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0524407 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0760816 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.162293 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.430846 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.341886 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.0508359 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0250914 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0758859 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0181063 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.022759 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.00337853 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0084549 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00873343 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.022759 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00337853 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0084549 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00873343 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00218928 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0108104 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0110889 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0593681 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0569864 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0524597 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0191413 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.023794 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0212119 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00283849 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0564261 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0566582 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.00283849 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0566582 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0566579 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00332637 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.00873343 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.00337853 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.041682 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.023794 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0212119 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00283849 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0564261 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0566582 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00283849 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0566582 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0566579 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00332637 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.00873343 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.00337853 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.041682 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0236291 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00176403 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0564245 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0566566 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.00176403 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.0566566 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0566563 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00451563 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0110889 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.00218928 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0413537 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00350355 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0564261 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0566582 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.00350355 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0566582 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0566579 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.000484719 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.00845499 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.00718962 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.040461 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.162806 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.16283 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.00482316 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.16283 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.16283 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.342592 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.431387 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.342981 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.0787788 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0353539 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0570569 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0353539 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0353539 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0253509 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0508408 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.025387 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.120753 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0570569 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0353539 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0353539 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0253509 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0508408 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.025387 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.120833 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.16283 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.16283 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.342592 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.431387 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.342981 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.0787788 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0353539 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0253509 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0508408 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.025387 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.120833 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0253507 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0508406 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0253868 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.120832 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0569523 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.000355693 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.043205 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.0761998 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.216427 # DEPENDENCYPART_SIBL
(5,18),(5,19),0.0485651 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00661604 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0154738 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00712759 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.00345237 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00936302 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0428554 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0122443 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0112485 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00936302 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0112483 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0112483 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0389752 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0186827 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.00911832 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0165624 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.00578639 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0154738 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00712759 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00345237 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00936302 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0428554 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0122443 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0112485 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00936302 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0112483 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0112483 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0389752 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0186827 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.00911832 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0165624 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.00578639 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0165298 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00594985 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0077246 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0465658 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0136835 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0126877 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0077246 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0126875 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0126876 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.042785 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0180826 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0107526 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0203722 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.00786994 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0218761 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0081119 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0402908 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00966306 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00866727 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0081119 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.00866706 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.00866709 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0287718 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0166584 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.00653707 # DEPENDENCYPART_SIBL
