# _root_ Óriási tévedés azt gondolni , hogy szórólapot terjeszteni semmivel sem nehezebb , mint mondjuk influenzát .
#goldHeads=2,4,4,0,4,4,8,3,8,8,8,8,8,3,14,4,
#predictedHeads=2,4,4,0,4,4,8,3,8,8,8,3,3,3,14,4,
(4,11),-0.836894 # DEPENDENCYPART_ARC
(4,12),-0.885643 # DEPENDENCYPART_ARC
(4,13),-1.55916 # DEPENDENCYPART_ARC
(4,14),-0.887397 # DEPENDENCYPART_ARC
(4,15),-1.86361 # DEPENDENCYPART_ARC
(4,16),-1.33288 # DEPENDENCYPART_ARC
(6,1),-0.834719 # DEPENDENCYPART_ARC
(6,2),-0.919223 # DEPENDENCYPART_ARC
(6,3),-1.04384 # DEPENDENCYPART_ARC
(6,4),-1.07534 # DEPENDENCYPART_ARC
(6,5),0.217773 # DEPENDENCYPART_ARC
(6,7),-1.39915 # DEPENDENCYPART_ARC
(6,8),-0.571273 # DEPENDENCYPART_ARC
(6,11),-1.81729 # DEPENDENCYPART_ARC
(6,12),-1.0331 # DEPENDENCYPART_ARC
(6,13),-1.17841 # DEPENDENCYPART_ARC
(6,14),-1.78886 # DEPENDENCYPART_ARC
(6,15),-2.48899 # DEPENDENCYPART_ARC
(6,16),-0.685156 # DEPENDENCYPART_ARC
(7,2),-2.17471 # DEPENDENCYPART_ARC
(7,3),-1.76182 # DEPENDENCYPART_ARC
(7,4),-0.553246 # DEPENDENCYPART_ARC
(7,5),-1.08091 # DEPENDENCYPART_ARC
(7,6),-0.750596 # DEPENDENCYPART_ARC
(7,11),-1.59858 # DEPENDENCYPART_ARC
(7,12),-1.13017 # DEPENDENCYPART_ARC
(7,14),-2.3269 # DEPENDENCYPART_ARC
(7,15),-2.34816 # DEPENDENCYPART_ARC
(8,1),-0.810453 # DEPENDENCYPART_ARC
(8,2),-0.862469 # DEPENDENCYPART_ARC
(8,3),-0.14663 # DEPENDENCYPART_ARC
(8,4),-0.846308 # DEPENDENCYPART_ARC
(8,5),-0.0906087 # DEPENDENCYPART_ARC
(8,6),-0.442576 # DEPENDENCYPART_ARC
(8,7),3.45976 # DEPENDENCYPART_ARC
(8,9),0.941767 # DEPENDENCYPART_ARC
(8,10),0.279974 # DEPENDENCYPART_ARC
(8,11),0.287837 # DEPENDENCYPART_ARC
(8,12),-0.282529 # DEPENDENCYPART_ARC
(8,13),-0.431231 # DEPENDENCYPART_ARC
(8,14),-0.123566 # DEPENDENCYPART_ARC
(8,15),-0.345001 # DEPENDENCYPART_ARC
(8,16),-1.08606 # DEPENDENCYPART_ARC
(10,2),-2.07311 # DEPENDENCYPART_ARC
(10,6),-1.32376 # DEPENDENCYPART_ARC
(10,7),-1.3593 # DEPENDENCYPART_ARC
(10,8),-1.28765 # DEPENDENCYPART_ARC
(10,11),-0.971142 # DEPENDENCYPART_ARC
(10,12),-0.97033 # DEPENDENCYPART_ARC
(10,13),-0.977823 # DEPENDENCYPART_ARC
(10,14),-1.14807 # DEPENDENCYPART_ARC
(10,15),-1.56592 # DEPENDENCYPART_ARC
(10,16),-1.26265 # DEPENDENCYPART_ARC
(11,1),-2.07866 # DEPENDENCYPART_ARC
(11,2),-2.91882 # DEPENDENCYPART_ARC
(11,3),-1.49139 # DEPENDENCYPART_ARC
(11,4),-1.37248 # DEPENDENCYPART_ARC
(11,5),-1.03662 # DEPENDENCYPART_ARC
(11,6),-0.950172 # DEPENDENCYPART_ARC
(11,7),-1.50587 # DEPENDENCYPART_ARC
(11,8),-0.727436 # DEPENDENCYPART_ARC
(11,9),-0.12943 # DEPENDENCYPART_ARC
(11,10),0.736713 # DEPENDENCYPART_ARC
(11,12),-0.531298 # DEPENDENCYPART_ARC
(11,13),-1.34043 # DEPENDENCYPART_ARC
(11,14),-1.04751 # DEPENDENCYPART_ARC
(11,15),-2.00937 # DEPENDENCYPART_ARC
(11,16),-1.3732 # DEPENDENCYPART_ARC
(13,1),-1.4774 # DEPENDENCYPART_ARC
(13,2),-1.85745 # DEPENDENCYPART_ARC
(13,3),-1.81102 # DEPENDENCYPART_ARC
(13,4),-2.32586 # DEPENDENCYPART_ARC
(13,5),-1.5312 # DEPENDENCYPART_ARC
(13,6),-0.888365 # DEPENDENCYPART_ARC
(13,7),-1.68836 # DEPENDENCYPART_ARC
(13,8),-1.62536 # DEPENDENCYPART_ARC
(13,10),-0.062497 # DEPENDENCYPART_ARC
(13,11),0.184137 # DEPENDENCYPART_ARC
(13,12),0.165173 # DEPENDENCYPART_ARC
(13,14),-0.0824802 # DEPENDENCYPART_ARC
(13,15),-1.325 # DEPENDENCYPART_ARC
(13,16),-0.311103 # DEPENDENCYPART_ARC
(14,2),-3.72765 # DEPENDENCYPART_ARC
(14,3),-2.76924 # DEPENDENCYPART_ARC
(14,4),-1.33008 # DEPENDENCYPART_ARC
(14,5),-1.67775 # DEPENDENCYPART_ARC
(14,6),-1.33745 # DEPENDENCYPART_ARC
(14,7),-1.09211 # DEPENDENCYPART_ARC
(14,8),-0.971834 # DEPENDENCYPART_ARC
(14,9),-1.54504 # DEPENDENCYPART_ARC
(14,10),-0.520815 # DEPENDENCYPART_ARC
(14,11),-1.81605 # DEPENDENCYPART_ARC
(14,12),-0.87741 # DEPENDENCYPART_ARC
(14,13),-0.347236 # DEPENDENCYPART_ARC
(14,15),2.19009 # DEPENDENCYPART_ARC
(14,16),-0.526408 # DEPENDENCYPART_ARC
(15,7),-3.69764 # DEPENDENCYPART_ARC
(15,9),-1.93696 # DEPENDENCYPART_ARC
(15,10),-1.60857 # DEPENDENCYPART_ARC
(15,11),-0.97047 # DEPENDENCYPART_ARC
(15,12),-0.606322 # DEPENDENCYPART_ARC
(15,13),-0.62564 # DEPENDENCYPART_ARC
(15,14),-0.308366 # DEPENDENCYPART_ARC
(15,16),-1.11312 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0345846 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0193472 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0886134 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.083936 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0886079 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0316255 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.080027 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0894758 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0288058 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.107934 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.136432 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.108256 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0529093 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.125563 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.105797 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.113275 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0658333 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.113275 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0305697 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0994335 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.113385 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.265529 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.245709 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0995196 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.23804 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.244236 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.130992 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.089514 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.193544 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.131855 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0995196 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.23804 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.244236 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.126186 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.1183 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.132532 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.097395 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0450066 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0134607 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0353103 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0448907 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.337358 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.377582 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.159829 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.170029 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0396069 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0236744 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0070111 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0353114 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0448919 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0364324 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0400878 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0329118 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00411381 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0400784 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.000168098 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00411381 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00425058 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.169078 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0764116 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0507992 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0382265 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0764116 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.207301 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.342979 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.4256 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.153085 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.342979 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0787753 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0578801 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.061074 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.00471195 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0485617 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0382265 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0764125 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.210496 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.054699 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.102817 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0485617 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.102121 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0109878 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0125462 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0171025 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0144767 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.010977 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00323674 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0115163 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.00064766 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0125462 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0155701 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.00957879 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0144767 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0258201 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0176508 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.015177 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.057027 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00368614 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.017126 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0340741 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0192662 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00624379 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.015177 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.039919 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0140412 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00368614 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0171949 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0387702 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0275483 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.00491602 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.024198 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0114957 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0102769 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00695588 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0387702 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0212305 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0229865 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.00491602 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0285876 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.183268 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0253991 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0100385 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.00159559 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0319925 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.028688 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0408618 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.09989 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0102841 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0253991 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.00874835 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0289306 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00625896 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0252062 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.028268 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.00260561 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0476382 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0406896 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.00742249 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0289306 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0194507 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.044311 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00894604 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0339295 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0868186 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00393804 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.013618 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0421362 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0170329 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0432512 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0114914 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0102727 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00696014 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0387657 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0212347 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0229908 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0049194 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0254059 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0111561 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0414059 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0226015 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0289002 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0454084 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0384468 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0423698 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.110294 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.053557 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.00710105 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0199932 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.125188 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0207806 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0483169 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.0275943 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0195695 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0239452 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.00650378 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.09989 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.0102841 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0253991 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.00874835 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.00514797 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0297153 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0687024 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.000117778 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0220255 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0432512 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0164889 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0102118 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0132177 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0385386 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00429199 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.000667468 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0192451 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0214756 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0236522 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0132177 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.023545 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0048643 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.00429199 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0173777 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0127583 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00830621 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00483132 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0178372 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0160351 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0246832 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0267121 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00286065 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00830621 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00988793 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0134109 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0178372 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0155669 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0156721 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0179151 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.145761 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.248244 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0772855 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0360122 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0767447 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0156721 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0706198 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.239378 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.145761 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0179134 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.81544 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0765162 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.193661 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0196901 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0913808 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0638774 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0129099 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.434999 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.181286 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0765162 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0489179 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0142596 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.106086 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0622935 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0360089 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0833298 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0390228 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0179101 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0936519 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0142596 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.124076 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0204978 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0449489 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.030569 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0274621 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0430438 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0193632 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0262973 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0191181 # DEPENDENCYPART_SIBL
(4,7),(4,16),-2.5914e-05 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0240468 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0476384 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.00749596 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0596458 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0170709 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0178879 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00481573 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0161511 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0484558 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0687489 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0209587 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0367935 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0475847 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0117739 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.00331306 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0593524 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0322906 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0326824 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0507442 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0223871 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00983044 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.000772158 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0232249 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0437576 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0224917 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0105507 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.434999 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.181286 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0765162 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0489179 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0077772 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0334126 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0183332 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0183572 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.0311477 # DEPENDENCYPART_SIBL
(4,15),(4,16),-2.5914e-05 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0194483 # DEPENDENCYPART_SIBL
