# _root_ A jogszabályok nem voltak ilyen szabadok , de utasításba adtam , hogy minden kétes esetben a kutató javára kell dönteni .
#goldHeads=2,4,4,8,6,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
#predictedHeads=2,4,4,8,4,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
(4,3),(4,20),0.0367375 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0311262 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0345927 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0118263 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0966541 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0175384 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0542532 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0118263 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0117341 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00225556 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0345926 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0264537 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.014502 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0150914 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0431156 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0535877 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0515597 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.000545736 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0227134 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.029373 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0440184 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.000545736 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0429247 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0106184 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0314017 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0381503 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0263371 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0269261 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.00950975 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0404576 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0118389 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.115498 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0487189 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.160775 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0171069 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.770594 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0190574 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0586678 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0361774 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0517215 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0497113 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.232235 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.179418 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0320397 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.000728676 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0570273 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0558428 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0111489 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0174673 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0180171 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0104919 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.00230793 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.00370589 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0291343 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0499141 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0491705 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00833154 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0727403 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0592635 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0780512 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0535372 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0204728 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.00232691 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.00333834 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.000654031 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.010993 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0235862 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0694996 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0119757 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0184861 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0153591 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0196992 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.00816305 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.00875244 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.00575934 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0092962 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0178235 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.770594 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0190574 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0586678 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0361774 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0517215 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0497113 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.232235 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.179418 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.0320397 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0531789 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0742686 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0448754 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0323045 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0309065 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.117134 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0876468 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.0978304 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.062142 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0292866 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.010266 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0145404 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0389041 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0480364 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.025611 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0381764 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0263632 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0269521 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.00951607 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0404639 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0118399 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.0194853 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0204968 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0109428 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.000703576 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.0111835 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.00635874 # DEPENDENCYPART_SIBL
(4,17),(4,19),0.00334587 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.00830118 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.0339047 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.00488849 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0165355 # DEPENDENCYPART_SIBL
(4,18),(4,21),0.0132308 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.0221987 # DEPENDENCYPART_SIBL
(4,19),(4,21),0.0438732 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.0203663 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0938713 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.105038 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.00594354 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.000197118 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0862646 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00783881 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0367577 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0106162 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0615263 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0242563 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0125101 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0814715 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.045132 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0362031 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0423148 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00276813 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0128755 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00769325 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.009233 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.0161934 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.00923959 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0556395 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00316256 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.232092 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.247753 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.239559 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0253117 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00510053 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.00195981 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.00687969 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0266146 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.0151188 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.023493 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.00430185 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0113561 # DEPENDENCYPART_SIBL
