# _root_ És van egy elvem , ami lehet , hogy sokak szemében nem lesz szimpatikus : nem szeretnék semminek a mártírja lenni .
#goldHeads=0,1,4,2,2,7,2,7,7,11,13,13,7,13,1,17,1,17,20,21,17,1,
#predictedHeads=2,0,4,2,2,7,2,7,7,11,13,13,9,13,13,17,13,21,20,21,17,2,
(13,9),-0.497457 # DEPENDENCYPART_ARC
(13,10),-0.927347 # DEPENDENCYPART_ARC
(13,11),1.75859 # DEPENDENCYPART_ARC
(13,12),2.24372 # DEPENDENCYPART_ARC
(13,14),0.949339 # DEPENDENCYPART_ARC
(13,15),0.399824 # DEPENDENCYPART_ARC
(13,16),-0.342475 # DEPENDENCYPART_ARC
(13,17),0.943895 # DEPENDENCYPART_ARC
(13,18),-0.879798 # DEPENDENCYPART_ARC
(13,19),-2.03562 # DEPENDENCYPART_ARC
(13,20),-1.08606 # DEPENDENCYPART_ARC
(13,21),0.956078 # DEPENDENCYPART_ARC
(13,22),-1.22873 # DEPENDENCYPART_ARC
(14,1),-1.35952 # DEPENDENCYPART_ARC
(14,2),-1.97468 # DEPENDENCYPART_ARC
(14,4),-2.56231 # DEPENDENCYPART_ARC
(14,5),-1.43893 # DEPENDENCYPART_ARC
(14,6),-1.95763 # DEPENDENCYPART_ARC
(14,8),-1.1991 # DEPENDENCYPART_ARC
(14,10),-1.23722 # DEPENDENCYPART_ARC
(14,11),-0.495984 # DEPENDENCYPART_ARC
(14,12),-0.611705 # DEPENDENCYPART_ARC
(14,13),-0.172336 # DEPENDENCYPART_ARC
(14,15),-0.255695 # DEPENDENCYPART_ARC
(14,16),-1.12639 # DEPENDENCYPART_ARC
(14,17),-0.616071 # DEPENDENCYPART_ARC
(14,18),-1.73754 # DEPENDENCYPART_ARC
(14,20),-1.67246 # DEPENDENCYPART_ARC
(14,21),-1.50799 # DEPENDENCYPART_ARC
(14,22),-1.13788 # DEPENDENCYPART_ARC
(16,12),-1.54115 # DEPENDENCYPART_ARC
(16,13),-1.32573 # DEPENDENCYPART_ARC
(16,14),-1.51538 # DEPENDENCYPART_ARC
(16,15),-0.993171 # DEPENDENCYPART_ARC
(16,20),-1.35964 # DEPENDENCYPART_ARC
(16,21),-1.21205 # DEPENDENCYPART_ARC
(17,1),-0.441393 # DEPENDENCYPART_ARC
(17,2),-0.979255 # DEPENDENCYPART_ARC
(17,4),-2.30452 # DEPENDENCYPART_ARC
(17,5),-0.885953 # DEPENDENCYPART_ARC
(17,6),-1.52499 # DEPENDENCYPART_ARC
(17,7),-0.806231 # DEPENDENCYPART_ARC
(17,8),-0.62049 # DEPENDENCYPART_ARC
(17,9),-0.370131 # DEPENDENCYPART_ARC
(17,10),-2.19325 # DEPENDENCYPART_ARC
(17,11),-0.176986 # DEPENDENCYPART_ARC
(17,12),-0.0911838 # DEPENDENCYPART_ARC
(17,13),-0.108735 # DEPENDENCYPART_ARC
(17,14),-1.22365 # DEPENDENCYPART_ARC
(17,15),-0.261382 # DEPENDENCYPART_ARC
(17,16),2.14166 # DEPENDENCYPART_ARC
(17,18),0.65545 # DEPENDENCYPART_ARC
(17,19),-0.794437 # DEPENDENCYPART_ARC
(17,20),0.0723373 # DEPENDENCYPART_ARC
(17,21),1.92959 # DEPENDENCYPART_ARC
(17,22),-0.159618 # DEPENDENCYPART_ARC
(20,16),-1.65894 # DEPENDENCYPART_ARC
(20,18),-1.22969 # DEPENDENCYPART_ARC
(20,19),0.944539 # DEPENDENCYPART_ARC
(21,1),-1.05936 # DEPENDENCYPART_ARC
(21,2),-2.19925 # DEPENDENCYPART_ARC
(21,4),-2.23166 # DEPENDENCYPART_ARC
(21,5),-0.957025 # DEPENDENCYPART_ARC
(21,6),-1.28678 # DEPENDENCYPART_ARC
(21,7),-2.24043 # DEPENDENCYPART_ARC
(21,8),-0.839132 # DEPENDENCYPART_ARC
(21,9),-0.808548 # DEPENDENCYPART_ARC
(21,10),-1.30596 # DEPENDENCYPART_ARC
(21,11),0.750706 # DEPENDENCYPART_ARC
(21,12),-0.543354 # DEPENDENCYPART_ARC
(21,13),-1.853 # DEPENDENCYPART_ARC
(21,14),-0.666028 # DEPENDENCYPART_ARC
(21,15),-0.718865 # DEPENDENCYPART_ARC
(21,16),0.493066 # DEPENDENCYPART_ARC
(21,17),-1.38226 # DEPENDENCYPART_ARC
(21,18),0.869132 # DEPENDENCYPART_ARC
(21,19),-0.133487 # DEPENDENCYPART_ARC
(21,20),2.35952 # DEPENDENCYPART_ARC
(21,22),-0.421502 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.139229 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0756806 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.117437 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.158276 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.107934 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0617141 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.123513 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.124297 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.114197 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.235533 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.280703 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.239037 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.136398 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.243536 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.243454 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.122401 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.136432 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.111733 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0326239 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.109613 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.111311 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.257831 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.254306 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.132298 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.259423 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.259341 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.103036 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0754194 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.130334 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.131119 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.132289 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.24561 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.245528 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.088608 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.0886326 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.248007 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.144947 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.290937 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.106552 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.290937 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00724194 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.116408 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.144679 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.101917 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0978234 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0831769 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.269216 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.101917 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.100026 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.100137 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.220629 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0467413 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0235333 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0467413 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0676639 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.00851341 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0231358 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0376676 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.017315 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0269957 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0370027 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0376676 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.00949355 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.011177 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.00310443 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.305318 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0425573 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.22891 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.136832 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.140735 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.143107 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.300467 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0997026 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.011491 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.143107 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.277451 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.280355 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.0740082 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.304592 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00795159 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.107706 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.16789 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0863172 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0684904 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0788874 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.232912 # DEPENDENCYPART_SIBL
(1,7),(1,16),0.0863172 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0695669 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.0696782 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.168483 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.22891 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.136832 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.140735 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.143107 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.300467 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.0997026 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.011491 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.143107 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.277451 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.280355 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.0740082 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0100863 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0721522 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0456203 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0164293 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0225721 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0219996 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.0456203 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.00522175 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.00599196 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.088844 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0105783 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0310937 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.00759673 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0148937 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.026827 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0310937 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.00201356 # DEPENDENCYPART_SIBL
(1,10),(1,21),-0.00177697 # DEPENDENCYPART_SIBL
(1,10),(1,22),0.0261988 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0352538 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.017671 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0269897 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0381169 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.0352538 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.00984954 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.011533 # DEPENDENCYPART_SIBL
(1,11),(1,22),0.00215236 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.00884841 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.000297644 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.0834688 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.0498822 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.00248248 # DEPENDENCYPART_SIBL
(1,12),(1,21),-0.00251883 # DEPENDENCYPART_SIBL
(1,12),(1,22),-0.0103796 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0518833 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.191544 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0585139 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.0594476 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.0595589 # DEPENDENCYPART_SIBL
(1,13),(1,22),0.113425 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0607611 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.0196716 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.00659406 # DEPENDENCYPART_SIBL
(1,14),(1,21),0.00658342 # DEPENDENCYPART_SIBL
(1,14),(1,22),0.0763847 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.154129 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.403961 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.404124 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.462813 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.00248248 # DEPENDENCYPART_SIBL
(1,16),(1,21),-0.00251883 # DEPENDENCYPART_SIBL
(1,16),(1,22),-0.0103796 # DEPENDENCYPART_SIBL
(1,17),(1,21),0.0689751 # DEPENDENCYPART_SIBL
(1,17),(1,22),0.134649 # DEPENDENCYPART_SIBL
(1,21),(1,22),0.15908 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00404799 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0330541 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00825224 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00422598 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0330541 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00720802 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.006668 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00817527 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0575213 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0174199 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0131089 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0435789 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0575213 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.00808167 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.00995692 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0707604 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0700785 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0853767 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0390203 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0700785 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.106937 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0220387 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0239394 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0215533 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00684649 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0387365 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0235307 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0215533 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0079184 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0152465 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.00967153 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.103531 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.23899 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00417857 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.915595 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.116097 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0930139 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.105456 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.294814 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.10313 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0194452 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.105456 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.236756 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.235475 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0515949 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0045181 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.107014 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.242469 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0959764 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0899048 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.107137 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0318292 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.141984 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.10183 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.107137 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0193308 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.015868 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.0533727 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.111952 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0605081 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0049193 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00570602 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.015528 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.00598824 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0275727 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0467776 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.015528 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.00378636 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.00710409 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.00849496 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.915595 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.116097 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0930139 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.105456 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.294814 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.10313 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0194452 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.105456 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.236756 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.235475 # DEPENDENCYPART_SIBL
(2,8),(2,22),0.0515949 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0175323 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0510703 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.043081 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.14151 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0648657 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.056475 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.043081 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0839309 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0793747 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.074747 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0194982 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.025511 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00659964 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0260197 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0181332 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.025511 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.000399352 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.00372598 # DEPENDENCYPART_SIBL
