# _root_ — Azt a határtalan boldogságot nem lehet leírni , amikor a bagi fiúk a második vonalba jutottak — mondja Lajtos_István , a RO-LA_Kft. egyik társtulajdonosa .
#goldHeads=19,5,5,5,8,7,19,7,7,17,13,13,17,16,16,17,2,19,0,19,19,23,25,25,19,19,
#predictedHeads=19,8,5,5,8,7,19,7,19,17,13,13,17,16,16,17,19,19,0,19,19,23,25,25,19,19,
(7,5),0.289097 # DEPENDENCYPART_ARC
(7,6),2.0884 # DEPENDENCYPART_ARC
(7,8),3.33952 # DEPENDENCYPART_ARC
(7,9),0.442327 # DEPENDENCYPART_ARC
(7,10),-0.769178 # DEPENDENCYPART_ARC
(7,11),-2.01611 # DEPENDENCYPART_ARC
(7,12),-1.26155 # DEPENDENCYPART_ARC
(7,13),-1.35181 # DEPENDENCYPART_ARC
(7,14),-2.2733 # DEPENDENCYPART_ARC
(7,16),-1.38766 # DEPENDENCYPART_ARC
(7,17),-0.0455661 # DEPENDENCYPART_ARC
(7,18),-1.02888 # DEPENDENCYPART_ARC
(7,19),-1.24618 # DEPENDENCYPART_ARC
(7,20),-2.11635 # DEPENDENCYPART_ARC
(7,21),-1.062 # DEPENDENCYPART_ARC
(7,23),-3.28979 # DEPENDENCYPART_ARC
(7,25),-2.61503 # DEPENDENCYPART_ARC
(7,26),-1.356 # DEPENDENCYPART_ARC
(8,1),-0.631521 # DEPENDENCYPART_ARC
(8,2),0.573809 # DEPENDENCYPART_ARC
(8,3),-1.32631 # DEPENDENCYPART_ARC
(8,4),-0.0427786 # DEPENDENCYPART_ARC
(8,5),1.93178 # DEPENDENCYPART_ARC
(8,6),0.821723 # DEPENDENCYPART_ARC
(8,7),0.0494975 # DEPENDENCYPART_ARC
(8,9),0.00543798 # DEPENDENCYPART_ARC
(8,10),-0.705455 # DEPENDENCYPART_ARC
(8,11),-1.32888 # DEPENDENCYPART_ARC
(8,12),-0.483499 # DEPENDENCYPART_ARC
(8,13),-1.58691 # DEPENDENCYPART_ARC
(8,14),-1.65306 # DEPENDENCYPART_ARC
(8,16),-1.38233 # DEPENDENCYPART_ARC
(8,17),-0.57227 # DEPENDENCYPART_ARC
(8,18),-1.31531 # DEPENDENCYPART_ARC
(8,19),-1.69169 # DEPENDENCYPART_ARC
(8,21),-1.37956 # DEPENDENCYPART_ARC
(8,23),-4.0482 # DEPENDENCYPART_ARC
(8,25),-3.02245 # DEPENDENCYPART_ARC
(8,26),-1.26918 # DEPENDENCYPART_ARC
(10,5),-1.46725 # DEPENDENCYPART_ARC
(10,9),-0.461328 # DEPENDENCYPART_ARC
(10,13),-0.714237 # DEPENDENCYPART_ARC
(10,16),-1.17017 # DEPENDENCYPART_ARC
(10,17),-0.789269 # DEPENDENCYPART_ARC
(10,18),-0.674354 # DEPENDENCYPART_ARC
(10,19),-1.00864 # DEPENDENCYPART_ARC
(10,21),-1.01365 # DEPENDENCYPART_ARC
(10,25),-1.74019 # DEPENDENCYPART_ARC
(10,26),-1.2502 # DEPENDENCYPART_ARC
(11,12),-0.601539 # DEPENDENCYPART_ARC
(11,16),-1.61563 # DEPENDENCYPART_ARC
(12,2),-2.48532 # DEPENDENCYPART_ARC
(12,5),-2.28594 # DEPENDENCYPART_ARC
(12,7),-2.2612 # DEPENDENCYPART_ARC
(12,8),-1.61846 # DEPENDENCYPART_ARC
(12,9),-1.33474 # DEPENDENCYPART_ARC
(12,10),-1.14414 # DEPENDENCYPART_ARC
(12,11),-0.497911 # DEPENDENCYPART_ARC
(13,1),-1.84636 # DEPENDENCYPART_ARC
(13,2),-3.13128 # DEPENDENCYPART_ARC
(13,3),-1.22858 # DEPENDENCYPART_ARC
(13,4),-1.19421 # DEPENDENCYPART_ARC
(13,5),-3.62965 # DEPENDENCYPART_ARC
(13,6),-1.60187 # DEPENDENCYPART_ARC
(13,7),-2.12905 # DEPENDENCYPART_ARC
(13,8),0.0297153 # DEPENDENCYPART_ARC
(13,9),-0.806188 # DEPENDENCYPART_ARC
(13,10),-0.871431 # DEPENDENCYPART_ARC
(13,11),1.48585 # DEPENDENCYPART_ARC
(13,12),2.45201 # DEPENDENCYPART_ARC
(13,14),-1.291 # DEPENDENCYPART_ARC
(13,16),-1.64451 # DEPENDENCYPART_ARC
(13,17),-1.15597 # DEPENDENCYPART_ARC
(13,18),-0.886609 # DEPENDENCYPART_ARC
(13,19),-1.47755 # DEPENDENCYPART_ARC
(13,20),-1.86584 # DEPENDENCYPART_ARC
(13,21),-0.838392 # DEPENDENCYPART_ARC
(13,23),-2.11167 # DEPENDENCYPART_ARC
(13,26),-1.28774 # DEPENDENCYPART_ARC
(14,15),-0.32325 # DEPENDENCYPART_ARC
(15,13),-1.17914 # DEPENDENCYPART_ARC
(15,14),-0.595653 # DEPENDENCYPART_ARC
(15,19),-1.09019 # DEPENDENCYPART_ARC
(16,2),-2.95165 # DEPENDENCYPART_ARC
(16,6),-1.57718 # DEPENDENCYPART_ARC
(16,7),-2.8156 # DEPENDENCYPART_ARC
(16,8),-0.577345 # DEPENDENCYPART_ARC
(16,9),-1.29901 # DEPENDENCYPART_ARC
(16,10),-1.33194 # DEPENDENCYPART_ARC
(16,11),-1.14622 # DEPENDENCYPART_ARC
(16,12),-0.820941 # DEPENDENCYPART_ARC
(16,13),-1.87266 # DEPENDENCYPART_ARC
(16,14),0.71247 # DEPENDENCYPART_ARC
(16,15),1.7244 # DEPENDENCYPART_ARC
(16,18),-1.1308 # DEPENDENCYPART_ARC
(16,19),-1.12975 # DEPENDENCYPART_ARC
(16,20),-1.72263 # DEPENDENCYPART_ARC
(16,23),-2.16932 # DEPENDENCYPART_ARC
(17,1),-0.960082 # DEPENDENCYPART_ARC
(17,2),-0.76867 # DEPENDENCYPART_ARC
(17,3),-1.78445 # DEPENDENCYPART_ARC
(17,4),-2.00177 # DEPENDENCYPART_ARC
(17,5),-0.72708 # DEPENDENCYPART_ARC
(17,6),-0.609955 # DEPENDENCYPART_ARC
(17,7),-0.473168 # DEPENDENCYPART_ARC
(17,8),0.320434 # DEPENDENCYPART_ARC
(17,9),-0.333963 # DEPENDENCYPART_ARC
(17,10),1.12813 # DEPENDENCYPART_ARC
(17,11),-1.1424 # DEPENDENCYPART_ARC
(17,12),-0.865014 # DEPENDENCYPART_ARC
(17,13),1.80107 # DEPENDENCYPART_ARC
(17,14),-0.759202 # DEPENDENCYPART_ARC
(17,15),-0.173689 # DEPENDENCYPART_ARC
(17,16),1.9772 # DEPENDENCYPART_ARC
(17,18),0.126817 # DEPENDENCYPART_ARC
(17,19),0.99227 # DEPENDENCYPART_ARC
(17,20),-1.02034 # DEPENDENCYPART_ARC
(17,21),-0.312349 # DEPENDENCYPART_ARC
(17,22),-2.04002 # DEPENDENCYPART_ARC
(17,23),-2.72224 # DEPENDENCYPART_ARC
(17,24),-2.23214 # DEPENDENCYPART_ARC
(17,25),-2.08324 # DEPENDENCYPART_ARC
(17,26),-0.849314 # DEPENDENCYPART_ARC
(19,1),0.253801 # DEPENDENCYPART_ARC
(19,2),-1.11235 # DEPENDENCYPART_ARC
(19,3),-1.93015 # DEPENDENCYPART_ARC
(19,4),-2.01315 # DEPENDENCYPART_ARC
(19,5),-0.812585 # DEPENDENCYPART_ARC
(19,6),-0.950636 # DEPENDENCYPART_ARC
(19,7),0.443263 # DEPENDENCYPART_ARC
(19,8),0.345492 # DEPENDENCYPART_ARC
(19,9),0.120903 # DEPENDENCYPART_ARC
(19,10),0.023197 # DEPENDENCYPART_ARC
(19,11),-1.6322 # DEPENDENCYPART_ARC
(19,12),-1.44576 # DEPENDENCYPART_ARC
(19,13),-0.408484 # DEPENDENCYPART_ARC
(19,14),-1.48294 # DEPENDENCYPART_ARC
(19,15),-0.817285 # DEPENDENCYPART_ARC
(19,16),-0.0819041 # DEPENDENCYPART_ARC
(19,17),0.881228 # DEPENDENCYPART_ARC
(19,18),1.20619 # DEPENDENCYPART_ARC
(19,20),2.2727 # DEPENDENCYPART_ARC
(19,21),1.04367 # DEPENDENCYPART_ARC
(19,22),-1.22973 # DEPENDENCYPART_ARC
(19,23),-0.0381024 # DEPENDENCYPART_ARC
(19,24),-0.754001 # DEPENDENCYPART_ARC
(19,25),0.14039 # DEPENDENCYPART_ARC
(19,26),0.643037 # DEPENDENCYPART_ARC
(20,14),-1.44532 # DEPENDENCYPART_ARC
(20,15),-1.71589 # DEPENDENCYPART_ARC
(20,17),-1.29196 # DEPENDENCYPART_ARC
(20,18),-1.13997 # DEPENDENCYPART_ARC
(20,21),-0.512627 # DEPENDENCYPART_ARC
(20,23),-1.27325 # DEPENDENCYPART_ARC
(20,24),-1.8975 # DEPENDENCYPART_ARC
(20,25),-1.55409 # DEPENDENCYPART_ARC
(20,26),-1.3871 # DEPENDENCYPART_ARC
(22,21),-0.713611 # DEPENDENCYPART_ARC
(22,23),-0.694548 # DEPENDENCYPART_ARC
(22,25),-1.42974 # DEPENDENCYPART_ARC
(23,22),1.35551 # DEPENDENCYPART_ARC
(23,24),-1.37503 # DEPENDENCYPART_ARC
(23,25),-1.06633 # DEPENDENCYPART_ARC
(24,25),-0.664933 # DEPENDENCYPART_ARC
(25,14),-2.58022 # DEPENDENCYPART_ARC
(25,15),-1.61682 # DEPENDENCYPART_ARC
(25,17),-2.34002 # DEPENDENCYPART_ARC
(25,18),-1.30791 # DEPENDENCYPART_ARC
(25,20),-0.18565 # DEPENDENCYPART_ARC
(25,21),-1.03112 # DEPENDENCYPART_ARC
(25,22),-0.605156 # DEPENDENCYPART_ARC
(25,23),1.68157 # DEPENDENCYPART_ARC
(25,24),1.59771 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.0445362 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0194024 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.115764 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.113275 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0318092 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.113275 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.114015 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0663281 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.122401 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.107518 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0620598 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.106064 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.107378 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.107482 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.112223 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0583671 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.111741 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.112949 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.25814 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.110271 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.254488 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.263856 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.114595 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.241813 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.25092 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.115187 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.116394 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.25092 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0187553 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0782216 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0168801 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.024948 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00429962 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0244547 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0205369 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0187565 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0782216 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0782216 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.00880502 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.373705 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0140057 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0782216 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0244547 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0782216 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0199843 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.07822 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0501686 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0239452 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.015668 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00584195 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0165846 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0483169 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0104131 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.00741354 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0239452 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0239452 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0165846 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00786794 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.019226 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0239452 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0483169 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0239452 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.00476288 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0239452 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0095506 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00549431 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0437055 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0439822 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00394393 # DEPENDENCYPART_SIBL
(2,5),(2,10),9.50939e-06 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0868197 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0170329 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0170329 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0425282 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0172333 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0438825 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0170329 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.00394393 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0170329 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.00989489 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0170329 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0432488 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0212948 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0120619 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0337723 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00405482 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.102666 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.149173 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.149173 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0115799 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0332802 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.012829 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.149173 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0337723 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.149173 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.0367093 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.149173 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0463681 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.022715 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0858574 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00181981 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0100912 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.027004 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.027004 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0190626 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0539602 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0298301 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.027004 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0858574 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.027004 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0322832 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.027004 # DEPENDENCYPART_SIBL
(2,7),(2,26),-0.00798741 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0387702 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0224409 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00689824 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.00491512 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.00491512 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0203026 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0240139 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0308095 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.00491512 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0387702 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.00491512 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.0105642 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.00491512 # DEPENDENCYPART_SIBL
(2,8),(2,26),-0.0247259 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0600523 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0286692 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0253991 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0253991 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.024473 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0963572 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.00207275 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0253991 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0408618 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.0253991 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.000701504 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.0253991 # DEPENDENCYPART_SIBL
(2,9),(2,26),-0.00874835 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.103869 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.142206 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.142206 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0176433 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.037432 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0188906 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.142206 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0267917 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.142206 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.0425145 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.142206 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.0263322 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0239452 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0239452 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0165846 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.00786794 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.019226 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.0239452 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0483169 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.0239452 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.00476288 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.0239452 # DEPENDENCYPART_SIBL
(2,12),(2,26),0.0095506 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0170329 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0425281 # DEPENDENCYPART_SIBL
(2,13),(2,18),-0.0172303 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0438824 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0170329 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.00393804 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0170329 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.00989489 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.0170329 # DEPENDENCYPART_SIBL
(2,13),(2,26),0.0432512 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.0425281 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0172303 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0438824 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.0170329 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.00393804 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.0170329 # DEPENDENCYPART_SIBL
(2,16),(2,24),0.00989489 # DEPENDENCYPART_SIBL
(2,16),(2,25),0.0170329 # DEPENDENCYPART_SIBL
(2,16),(2,26),0.0432512 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.0240139 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0308095 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.00491512 # DEPENDENCYPART_SIBL
(2,17),(2,21),0.0387702 # DEPENDENCYPART_SIBL
(2,17),(2,23),-0.00491512 # DEPENDENCYPART_SIBL
(2,17),(2,24),0.0105642 # DEPENDENCYPART_SIBL
(2,17),(2,25),-0.00491512 # DEPENDENCYPART_SIBL
(2,17),(2,26),-0.0224064 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.104334 # DEPENDENCYPART_SIBL
(2,18),(2,20),-0.038211 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.0548322 # DEPENDENCYPART_SIBL
(2,18),(2,23),-0.038211 # DEPENDENCYPART_SIBL
(2,18),(2,24),-0.00997568 # DEPENDENCYPART_SIBL
(2,18),(2,25),-0.038211 # DEPENDENCYPART_SIBL
(2,18),(2,26),-0.0335889 # DEPENDENCYPART_SIBL
(2,19),(2,20),-0.013716 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.00118061 # DEPENDENCYPART_SIBL
(2,19),(2,23),-0.013716 # DEPENDENCYPART_SIBL
(2,19),(2,24),0.00222266 # DEPENDENCYPART_SIBL
(2,19),(2,25),-0.013716 # DEPENDENCYPART_SIBL
(2,19),(2,26),-0.0254549 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.00393804 # DEPENDENCYPART_SIBL
(2,20),(2,23),0.0170329 # DEPENDENCYPART_SIBL
(2,20),(2,24),0.00989489 # DEPENDENCYPART_SIBL
(2,20),(2,25),0.0170329 # DEPENDENCYPART_SIBL
(2,20),(2,26),0.0432512 # DEPENDENCYPART_SIBL
(2,21),(2,23),-0.0253991 # DEPENDENCYPART_SIBL
(2,21),(2,24),0.000701504 # DEPENDENCYPART_SIBL
(2,21),(2,25),-0.0253991 # DEPENDENCYPART_SIBL
(2,21),(2,26),-0.00874835 # DEPENDENCYPART_SIBL
(2,23),(2,24),0.00989489 # DEPENDENCYPART_SIBL
(2,23),(2,25),0.0170329 # DEPENDENCYPART_SIBL
(2,23),(2,26),0.0432512 # DEPENDENCYPART_SIBL
(2,24),(2,25),0.0379023 # DEPENDENCYPART_SIBL
(2,24),(2,26),-0.0380689 # DEPENDENCYPART_SIBL
(2,25),(2,26),0.0432095 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.114589 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0318505 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.116802 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.179391 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00243954 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.381761 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0248433 # DEPENDENCYPART_SIBL
