# _root_ — A kérdés provokatív , ám — bár ezt senki nem mondta ki — a le nem fektetett etikai normákból kiolvasható , hogy egy MÁV-vezérnek nem illik lecövekelni egyetlen párt mellé sem .
#goldHeads=6,3,4,6,6,0,23,23,12,12,12,23,12,23,20,18,18,20,20,23,23,23,6,25,28,27,23,27,30,31,28,27,6,
#predictedHeads=8,3,8,8,8,8,12,0,12,12,12,8,12,12,20,18,18,20,20,21,23,23,8,25,27,27,23,27,30,31,28,12,8,
(9,20),-1.39615 # DEPENDENCYPART_ARC
(9,21),-0.880976 # DEPENDENCYPART_ARC
(9,22),-0.509805 # DEPENDENCYPART_ARC
(9,23),-0.115339 # DEPENDENCYPART_ARC
(9,25),-1.47702 # DEPENDENCYPART_ARC
(9,26),-0.790534 # DEPENDENCYPART_ARC
(9,27),0.093327 # DEPENDENCYPART_ARC
(9,28),-1.00869 # DEPENDENCYPART_ARC
(9,29),-0.774513 # DEPENDENCYPART_ARC
(9,30),-1.29329 # DEPENDENCYPART_ARC
(9,31),-0.978192 # DEPENDENCYPART_ARC
(9,32),-0.783635 # DEPENDENCYPART_ARC
(9,33),-2.36031 # DEPENDENCYPART_ARC
(11,1),-1.32336 # DEPENDENCYPART_ARC
(11,3),-1.81939 # DEPENDENCYPART_ARC
(11,7),-1.30033 # DEPENDENCYPART_ARC
(11,8),-0.887134 # DEPENDENCYPART_ARC
(11,9),-1.04656 # DEPENDENCYPART_ARC
(12,1),-0.142026 # DEPENDENCYPART_ARC
(12,2),-1.8758 # DEPENDENCYPART_ARC
(12,3),-1.14434 # DEPENDENCYPART_ARC
(12,4),-1.8119 # DEPENDENCYPART_ARC
(12,5),-0.780835 # DEPENDENCYPART_ARC
(12,6),-0.362467 # DEPENDENCYPART_ARC
(12,7),-0.279211 # DEPENDENCYPART_ARC
(12,8),-0.472055 # DEPENDENCYPART_ARC
(12,9),0.67449 # DEPENDENCYPART_ARC
(12,10),1.22851 # DEPENDENCYPART_ARC
(12,11),2.32472 # DEPENDENCYPART_ARC
(12,13),2.21432 # DEPENDENCYPART_ARC
(12,14),0.498177 # DEPENDENCYPART_ARC
(12,15),-1.24193 # DEPENDENCYPART_ARC
(12,16),-0.107159 # DEPENDENCYPART_ARC
(12,17),-0.0699644 # DEPENDENCYPART_ARC
(12,18),-0.8506 # DEPENDENCYPART_ARC
(12,19),-0.989804 # DEPENDENCYPART_ARC
(12,20),-1.01609 # DEPENDENCYPART_ARC
(12,21),-1.03251 # DEPENDENCYPART_ARC
(12,22),-0.091174 # DEPENDENCYPART_ARC
(12,23),-0.078529 # DEPENDENCYPART_ARC
(12,25),-1.25295 # DEPENDENCYPART_ARC
(12,26),-0.551927 # DEPENDENCYPART_ARC
(12,27),-0.100963 # DEPENDENCYPART_ARC
(12,28),0.0903672 # DEPENDENCYPART_ARC
(12,29),-1.38207 # DEPENDENCYPART_ARC
(12,30),-2.43989 # DEPENDENCYPART_ARC
(12,31),-0.808546 # DEPENDENCYPART_ARC
(12,32),-0.986363 # DEPENDENCYPART_ARC
(12,33),-0.756625 # DEPENDENCYPART_ARC
(13,1),-0.984432 # DEPENDENCYPART_ARC
(13,3),-1.5151 # DEPENDENCYPART_ARC
(13,4),-1.53474 # DEPENDENCYPART_ARC
(13,5),-1.2551 # DEPENDENCYPART_ARC
(13,6),-0.81412 # DEPENDENCYPART_ARC
(13,7),-0.982985 # DEPENDENCYPART_ARC
(13,8),-0.9352 # DEPENDENCYPART_ARC
(13,11),-0.524686 # DEPENDENCYPART_ARC
(13,14),-0.609664 # DEPENDENCYPART_ARC
(13,23),-1.06433 # DEPENDENCYPART_ARC
(15,18),-0.69802 # DEPENDENCYPART_ARC
(15,19),-0.813821 # DEPENDENCYPART_ARC
(17,18),-0.889729 # DEPENDENCYPART_ARC
(17,19),-1.03836 # DEPENDENCYPART_ARC
(17,20),-1.07457 # DEPENDENCYPART_ARC
(17,22),-1.06352 # DEPENDENCYPART_ARC
(17,27),-1.41033 # DEPENDENCYPART_ARC
(18,9),-1.68779 # DEPENDENCYPART_ARC
(18,11),-1.59825 # DEPENDENCYPART_ARC
(18,12),-1.4161 # DEPENDENCYPART_ARC
(18,15),-1.19151 # DEPENDENCYPART_ARC
(18,16),0.290005 # DEPENDENCYPART_ARC
(18,17),0.699395 # DEPENDENCYPART_ARC
(18,19),-1.21434 # DEPENDENCYPART_ARC
(18,26),-1.58571 # DEPENDENCYPART_ARC
(18,27),-1.4025 # DEPENDENCYPART_ARC
(19,15),-1.54961 # DEPENDENCYPART_ARC
(19,17),-0.435509 # DEPENDENCYPART_ARC
(19,18),0.484345 # DEPENDENCYPART_ARC
(20,2),-2.43319 # DEPENDENCYPART_ARC
(20,3),-3.41789 # DEPENDENCYPART_ARC
(20,4),-1.54649 # DEPENDENCYPART_ARC
(20,9),-2.37045 # DEPENDENCYPART_ARC
(20,10),-1.5704 # DEPENDENCYPART_ARC
(20,11),-1.29436 # DEPENDENCYPART_ARC
(20,14),-0.870497 # DEPENDENCYPART_ARC
(20,15),0.231896 # DEPENDENCYPART_ARC
(20,17),-0.431201 # DEPENDENCYPART_ARC
(20,18),1.5636 # DEPENDENCYPART_ARC
(20,19),2.77136 # DEPENDENCYPART_ARC
(20,31),-1.74421 # DEPENDENCYPART_ARC
(21,3),-2.74118 # DEPENDENCYPART_ARC
(21,6),-1.27983 # DEPENDENCYPART_ARC
(21,7),-1.36551 # DEPENDENCYPART_ARC
(21,8),-0.977369 # DEPENDENCYPART_ARC
(21,9),-1.70391 # DEPENDENCYPART_ARC
(21,11),-1.56863 # DEPENDENCYPART_ARC
(21,12),-1.35821 # DEPENDENCYPART_ARC
(21,14),-0.753101 # DEPENDENCYPART_ARC
(21,15),-1.35066 # DEPENDENCYPART_ARC
(21,17),-0.524281 # DEPENDENCYPART_ARC
(21,18),-0.497037 # DEPENDENCYPART_ARC
(21,19),-0.155396 # DEPENDENCYPART_ARC
(21,20),1.64859 # DEPENDENCYPART_ARC
(21,22),-0.545263 # DEPENDENCYPART_ARC
(21,25),-1.62375 # DEPENDENCYPART_ARC
(21,26),-1.63315 # DEPENDENCYPART_ARC
(21,27),-1.2696 # DEPENDENCYPART_ARC
(21,29),-1.44038 # DEPENDENCYPART_ARC
(21,30),-1.97229 # DEPENDENCYPART_ARC
(21,33),-1.43774 # DEPENDENCYPART_ARC
(23,1),-1.87667 # DEPENDENCYPART_ARC
(23,3),-1.92685 # DEPENDENCYPART_ARC
(23,4),-1.56548 # DEPENDENCYPART_ARC
(23,5),-2.46842 # DEPENDENCYPART_ARC
(23,6),-0.788657 # DEPENDENCYPART_ARC
(23,7),-1.58982 # DEPENDENCYPART_ARC
(23,8),-0.872904 # DEPENDENCYPART_ARC
(23,9),-1.78617 # DEPENDENCYPART_ARC
(23,11),-1.33303 # DEPENDENCYPART_ARC
(23,12),-3.15641 # DEPENDENCYPART_ARC
(23,14),-1.24664 # DEPENDENCYPART_ARC
(23,17),-0.285706 # DEPENDENCYPART_ARC
(23,18),-0.261114 # DEPENDENCYPART_ARC
(23,19),-0.309021 # DEPENDENCYPART_ARC
(23,20),-0.268146 # DEPENDENCYPART_ARC
(23,21),0.280308 # DEPENDENCYPART_ARC
(23,22),0.28379 # DEPENDENCYPART_ARC
(23,25),-1.18956 # DEPENDENCYPART_ARC
(23,27),-0.361311 # DEPENDENCYPART_ARC
(23,28),-1.07922 # DEPENDENCYPART_ARC
(23,30),-1.49755 # DEPENDENCYPART_ARC
(23,33),-0.165782 # DEPENDENCYPART_ARC
(25,15),-1.74363 # DEPENDENCYPART_ARC
(25,20),-3.60835 # DEPENDENCYPART_ARC
(25,21),-1.05202 # DEPENDENCYPART_ARC
(25,22),-0.886277 # DEPENDENCYPART_ARC
(25,23),-0.962936 # DEPENDENCYPART_ARC
(25,24),1.91227 # DEPENDENCYPART_ARC
(25,29),-1.74897 # DEPENDENCYPART_ARC
(25,30),-1.82346 # DEPENDENCYPART_ARC
(25,31),-1.53792 # DEPENDENCYPART_ARC
(26,20),-1.34777 # DEPENDENCYPART_ARC
(26,21),-1.5455 # DEPENDENCYPART_ARC
(26,23),-0.758671 # DEPENDENCYPART_ARC
(26,25),-0.221193 # DEPENDENCYPART_ARC
(26,30),-1.33295 # DEPENDENCYPART_ARC
(27,1),-1.2239 # DEPENDENCYPART_ARC
(27,5),-1.73371 # DEPENDENCYPART_ARC
(27,6),-1.16547 # DEPENDENCYPART_ARC
(27,7),-1.29194 # DEPENDENCYPART_ARC
(27,8),-0.399152 # DEPENDENCYPART_ARC
(27,9),-2.63786 # DEPENDENCYPART_ARC
(27,11),-1.42978 # DEPENDENCYPART_ARC
(27,12),-1.12276 # DEPENDENCYPART_ARC
(27,14),-0.580811 # DEPENDENCYPART_ARC
(27,15),-2.10725 # DEPENDENCYPART_ARC
(27,17),-0.750789 # DEPENDENCYPART_ARC
(27,18),-1.88273 # DEPENDENCYPART_ARC
(27,19),-1.77885 # DEPENDENCYPART_ARC
(27,20),-0.657109 # DEPENDENCYPART_ARC
(27,21),-1.5656 # DEPENDENCYPART_ARC
(27,22),-0.569627 # DEPENDENCYPART_ARC
(27,23),-0.434908 # DEPENDENCYPART_ARC
(27,24),-1.03506 # DEPENDENCYPART_ARC
(27,25),1.25872 # DEPENDENCYPART_ARC
(27,26),2.12173 # DEPENDENCYPART_ARC
(27,28),3.06226 # DEPENDENCYPART_ARC
(27,29),-0.365029 # DEPENDENCYPART_ARC
(27,30),-0.263021 # DEPENDENCYPART_ARC
(27,31),-0.16613 # DEPENDENCYPART_ARC
(27,32),-0.504821 # DEPENDENCYPART_ARC
(27,33),-0.991369 # DEPENDENCYPART_ARC
(28,1),-1.21253 # DEPENDENCYPART_ARC
(28,4),-2.08263 # DEPENDENCYPART_ARC
(28,5),-1.63179 # DEPENDENCYPART_ARC
(28,6),-1.77244 # DEPENDENCYPART_ARC
(28,7),-1.33969 # DEPENDENCYPART_ARC
(28,8),-0.710072 # DEPENDENCYPART_ARC
(28,9),-1.52123 # DEPENDENCYPART_ARC
(28,11),-1.66094 # DEPENDENCYPART_ARC
(28,12),-2.22001 # DEPENDENCYPART_ARC
(28,14),-0.764261 # DEPENDENCYPART_ARC
(28,15),-1.70053 # DEPENDENCYPART_ARC
(28,17),-1.11789 # DEPENDENCYPART_ARC
(28,18),-1.00852 # DEPENDENCYPART_ARC
(28,19),-0.911907 # DEPENDENCYPART_ARC
(28,20),0.0437473 # DEPENDENCYPART_ARC
(28,21),-0.786925 # DEPENDENCYPART_ARC
(28,22),-0.565575 # DEPENDENCYPART_ARC
(28,23),-0.706895 # DEPENDENCYPART_ARC
(28,24),-1.02773 # DEPENDENCYPART_ARC
(28,25),1.01377 # DEPENDENCYPART_ARC
(28,26),0.755045 # DEPENDENCYPART_ARC
(28,27),-0.0809486 # DEPENDENCYPART_ARC
(28,29),0.0393881 # DEPENDENCYPART_ARC
(28,30),0.347167 # DEPENDENCYPART_ARC
(28,31),0.0746212 # DEPENDENCYPART_ARC
(28,32),-0.391851 # DEPENDENCYPART_ARC
(28,33),-0.651405 # DEPENDENCYPART_ARC
(29,28),-0.119694 # DEPENDENCYPART_ARC
(30,15),-2.55735 # DEPENDENCYPART_ARC
(30,24),-0.870187 # DEPENDENCYPART_ARC
(30,25),-2.43852 # DEPENDENCYPART_ARC
(30,26),-0.99705 # DEPENDENCYPART_ARC
(30,28),0.934467 # DEPENDENCYPART_ARC
(30,29),1.95354 # DEPENDENCYPART_ARC
(30,31),-1.08273 # DEPENDENCYPART_ARC
(31,21),-1.71321 # DEPENDENCYPART_ARC
(31,25),-1.19723 # DEPENDENCYPART_ARC
(31,29),0.0657814 # DEPENDENCYPART_ARC
(31,30),2.30601 # DEPENDENCYPART_ARC
(32,14),-0.701145 # DEPENDENCYPART_ARC
(32,20),-1.48398 # DEPENDENCYPART_ARC
(32,25),-1.29836 # DEPENDENCYPART_ARC
(32,26),-0.823011 # DEPENDENCYPART_ARC
(32,28),-0.918599 # DEPENDENCYPART_ARC
(32,30),-0.49415 # DEPENDENCYPART_ARC
(32,31),0.0606476 # DEPENDENCYPART_ARC
(32,33),-0.573832 # DEPENDENCYPART_ARC
(0,4),(0,6),-0.0899911 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0879015 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0188 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.09193 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0389753 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0356545 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.083936 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.0396953 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.0886079 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.0886079 # DEPENDENCYPART_SIBL
(0,4),(0,32),-0.0316255 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.170817 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0532283 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.136216 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0753519 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.0742663 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.173928 # DEPENDENCYPART_SIBL
(0,6),(0,26),-0.0856289 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.130238 # DEPENDENCYPART_SIBL
(0,6),(0,28),-0.129173 # DEPENDENCYPART_SIBL
(0,6),(0,32),-0.0775582 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0385326 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.131849 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0706014 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0695158 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.151449 # DEPENDENCYPART_SIBL
(0,8),(0,26),-0.078387 # DEPENDENCYPART_SIBL
(0,8),(0,27),-0.125872 # DEPENDENCYPART_SIBL
(0,8),(0,28),-0.124807 # DEPENDENCYPART_SIBL
(0,8),(0,32),-0.0728076 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.113832 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0367996 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0355154 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.0505657 # DEPENDENCYPART_SIBL
(0,9),(0,26),-0.0264955 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.110812 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.110812 # DEPENDENCYPART_SIBL
(0,9),(0,32),-0.0343518 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.119302 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.114946 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.264471 # DEPENDENCYPART_SIBL
(0,12),(0,26),-0.108745 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.250386 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.250386 # DEPENDENCYPART_SIBL
(0,12),(0,32),-0.100246 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.0808572 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.108242 # DEPENDENCYPART_SIBL
(0,13),(0,26),-0.08885 # DEPENDENCYPART_SIBL
(0,13),(0,27),-0.103551 # DEPENDENCYPART_SIBL
(0,13),(0,28),-0.103551 # DEPENDENCYPART_SIBL
(0,13),(0,32),-0.0563457 # DEPENDENCYPART_SIBL
(0,16),(0,23),-0.098047 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.0676704 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.117872 # DEPENDENCYPART_SIBL
(0,16),(0,28),-0.117872 # DEPENDENCYPART_SIBL
(0,16),(0,32),-0.0392565 # DEPENDENCYPART_SIBL
(0,23),(0,26),-0.0952971 # DEPENDENCYPART_SIBL
(0,23),(0,27),-0.132285 # DEPENDENCYPART_SIBL
(0,23),(0,28),-0.130334 # DEPENDENCYPART_SIBL
(0,23),(0,32),-0.089514 # DEPENDENCYPART_SIBL
(0,26),(0,27),-0.112223 # DEPENDENCYPART_SIBL
(0,26),(0,28),-0.112223 # DEPENDENCYPART_SIBL
(0,26),(0,32),-0.0359326 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.245466 # DEPENDENCYPART_SIBL
(0,27),(0,32),-0.0995196 # DEPENDENCYPART_SIBL
(0,28),(0,32),-0.0995196 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.11459 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0482966 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0390055 # DEPENDENCYPART_SIBL
(3,2),(3,31),0.00741274 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.11679 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00422804 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0272235 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.033626 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.420307 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00244505 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00673469 # DEPENDENCYPART_SIBL
(4,1),(4,33),0.0955724 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0710178 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.000880212 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0133707 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0157453 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.00474022 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00555692 # DEPENDENCYPART_SIBL
(4,2),(4,33),-0.0375479 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0560631 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0135779 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0242173 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.00731087 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0277036 # DEPENDENCYPART_SIBL
(4,3),(4,33),0.0955853 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.125871 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00336949 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.158659 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.369921 # DEPENDENCYPART_SIBL
(4,5),(4,33),0.0898977 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0103292 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0314541 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0305026 # DEPENDENCYPART_SIBL
(4,6),(4,33),-0.00783152 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0718304 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.112478 # DEPENDENCYPART_SIBL
(4,7),(4,33),0.00991247 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0256316 # DEPENDENCYPART_SIBL
(4,10),(4,33),0.0230264 # DEPENDENCYPART_SIBL
(4,12),(4,33),0.0783116 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0417209 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.000576832 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0207846 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0284275 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.4945 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0175307 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0404853 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0611164 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.111051 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.4945 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0611164 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0386677 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0132066 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0131869 # DEPENDENCYPART_SIBL
(6,1),(6,26),0.0611164 # DEPENDENCYPART_SIBL
(6,1),(6,27),0.136785 # DEPENDENCYPART_SIBL
(6,1),(6,28),0.111743 # DEPENDENCYPART_SIBL
(6,1),(6,29),0.0220657 # DEPENDENCYPART_SIBL
(6,1),(6,32),0.0695817 # DEPENDENCYPART_SIBL
(6,1),(6,33),0.0946455 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0117942 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00706332 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0462649 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.055898 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0503814 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0542798 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0340768 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0323895 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.055898 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0340768 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.0146356 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0427668 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.0354474 # DEPENDENCYPART_SIBL
(6,2),(6,26),-0.0340768 # DEPENDENCYPART_SIBL
(6,2),(6,27),-0.0163602 # DEPENDENCYPART_SIBL
(6,2),(6,28),-0.031688 # DEPENDENCYPART_SIBL
(6,2),(6,29),-0.0367747 # DEPENDENCYPART_SIBL
(6,2),(6,32),-0.0389278 # DEPENDENCYPART_SIBL
(6,2),(6,33),-0.0558492 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0171581 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.308448 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.070771 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0171349 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00205731 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0228226 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.052304 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.070771 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0228226 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0686315 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.0795052 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.0171602 # DEPENDENCYPART_SIBL
(6,3),(6,26),0.0228226 # DEPENDENCYPART_SIBL
(6,3),(6,27),0.0648186 # DEPENDENCYPART_SIBL
(6,3),(6,28),0.0495553 # DEPENDENCYPART_SIBL
(6,3),(6,29),0.0481304 # DEPENDENCYPART_SIBL
(6,3),(6,32),0.0299614 # DEPENDENCYPART_SIBL
(6,3),(6,33),0.127569 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.190572 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00137837 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0211244 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.000754672 # DEPENDENCYPART_SIBL
