# _root_ Azt azonban elárulja , hogy az áremelés lehetetlen helyzetbe hozná a csapat költségvetését , hiszen a teljes kézilabdapénz egynegyedét a két kubai játékosra kellene fordítani .
#goldHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,1,1,18,18,19,25,23,23,23,25,1,24,3,
#predictedHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,15,0,18,18,19,24,23,23,23,25,1,24,15,
(2,14),-1.11302 # DEPENDENCYPART_ARC
(2,15),-1.64362 # DEPENDENCYPART_ARC
(2,19),-1.59097 # DEPENDENCYPART_ARC
(2,21),-1.52472 # DEPENDENCYPART_ARC
(2,23),-1.71677 # DEPENDENCYPART_ARC
(2,24),-2.38078 # DEPENDENCYPART_ARC
(2,25),-2.91707 # DEPENDENCYPART_ARC
(2,26),-1.20363 # DEPENDENCYPART_ARC
(3,1),1.32387 # DEPENDENCYPART_ARC
(3,2),1.38031 # DEPENDENCYPART_ARC
(3,4),0.674745 # DEPENDENCYPART_ARC
(3,5),1.83201 # DEPENDENCYPART_ARC
(3,6),-1.95302 # DEPENDENCYPART_ARC
(3,7),-1.37037 # DEPENDENCYPART_ARC
(3,8),-1.19976 # DEPENDENCYPART_ARC
(3,9),-1.22646 # DEPENDENCYPART_ARC
(3,10),0.62862 # DEPENDENCYPART_ARC
(3,12),-2.11851 # DEPENDENCYPART_ARC
(3,13),-0.858036 # DEPENDENCYPART_ARC
(3,14),-0.612358 # DEPENDENCYPART_ARC
(3,15),-1.09944 # DEPENDENCYPART_ARC
(3,17),-2.42026 # DEPENDENCYPART_ARC
(3,21),-1.91752 # DEPENDENCYPART_ARC
(3,23),-2.94289 # DEPENDENCYPART_ARC
(3,24),-0.173013 # DEPENDENCYPART_ARC
(3,25),-0.126251 # DEPENDENCYPART_ARC
(3,26),-0.893231 # DEPENDENCYPART_ARC
(5,1),-1.09172 # DEPENDENCYPART_ARC
(5,2),-0.282135 # DEPENDENCYPART_ARC
(5,3),-2.09518 # DEPENDENCYPART_ARC
(5,4),0.148562 # DEPENDENCYPART_ARC
(5,7),-1.11207 # DEPENDENCYPART_ARC
(5,8),-1.35227 # DEPENDENCYPART_ARC
(5,9),-1.62263 # DEPENDENCYPART_ARC
(5,10),-0.582213 # DEPENDENCYPART_ARC
(5,15),-1.22863 # DEPENDENCYPART_ARC
(5,24),-1.55792 # DEPENDENCYPART_ARC
(5,25),-1.6473 # DEPENDENCYPART_ARC
(5,26),-0.920012 # DEPENDENCYPART_ARC
(7,6),2.08647 # DEPENDENCYPART_ARC
(7,9),-1.32772 # DEPENDENCYPART_ARC
(8,1),-1.50318 # DEPENDENCYPART_ARC
(8,2),-0.880156 # DEPENDENCYPART_ARC
(8,3),-1.05348 # DEPENDENCYPART_ARC
(8,4),-0.785418 # DEPENDENCYPART_ARC
(8,5),-0.466854 # DEPENDENCYPART_ARC
(8,6),-0.652252 # DEPENDENCYPART_ARC
(8,7),0.824453 # DEPENDENCYPART_ARC
(9,1),-2.2949 # DEPENDENCYPART_ARC
(9,2),-0.806692 # DEPENDENCYPART_ARC
(9,3),-1.61746 # DEPENDENCYPART_ARC
(9,4),-0.589046 # DEPENDENCYPART_ARC
(9,5),-0.578388 # DEPENDENCYPART_ARC
(9,6),0.251166 # DEPENDENCYPART_ARC
(9,7),0.336912 # DEPENDENCYPART_ARC
(9,8),2.4564 # DEPENDENCYPART_ARC
(9,13),-2.22756 # DEPENDENCYPART_ARC
(10,1),-0.849323 # DEPENDENCYPART_ARC
(10,2),0.345858 # DEPENDENCYPART_ARC
(10,3),-0.300014 # DEPENDENCYPART_ARC
(10,4),-0.226108 # DEPENDENCYPART_ARC
(10,5),-0.512192 # DEPENDENCYPART_ARC
(10,6),-0.954662 # DEPENDENCYPART_ARC
(10,7),0.671885 # DEPENDENCYPART_ARC
(10,8),-0.0134392 # DEPENDENCYPART_ARC
(10,9),1.86014 # DEPENDENCYPART_ARC
(10,11),-1.05658 # DEPENDENCYPART_ARC
(10,12),0.220391 # DEPENDENCYPART_ARC
(10,13),1.75257 # DEPENDENCYPART_ARC
(10,14),0.135881 # DEPENDENCYPART_ARC
(10,15),-0.112866 # DEPENDENCYPART_ARC
(10,16),-2.01146 # DEPENDENCYPART_ARC
(10,17),-1.11719 # DEPENDENCYPART_ARC
(10,18),-1.32306 # DEPENDENCYPART_ARC
(10,21),-1.56553 # DEPENDENCYPART_ARC
(10,22),-1.55863 # DEPENDENCYPART_ARC
(10,23),-1.54595 # DEPENDENCYPART_ARC
(10,24),0.119841 # DEPENDENCYPART_ARC
(10,25),0.247649 # DEPENDENCYPART_ARC
(10,26),-0.969167 # DEPENDENCYPART_ARC
(12,6),-1.40412 # DEPENDENCYPART_ARC
(12,11),1.56469 # DEPENDENCYPART_ARC
(12,19),-2.19959 # DEPENDENCYPART_ARC
(13,6),-2.37157 # DEPENDENCYPART_ARC
(13,7),-0.749978 # DEPENDENCYPART_ARC
(13,8),-1.49495 # DEPENDENCYPART_ARC
(13,9),-1.92006 # DEPENDENCYPART_ARC
(13,11),0.131773 # DEPENDENCYPART_ARC
(13,12),3.0896 # DEPENDENCYPART_ARC
(13,14),-0.802724 # DEPENDENCYPART_ARC
(13,18),-1.82926 # DEPENDENCYPART_ARC
(13,19),-1.9644 # DEPENDENCYPART_ARC
(13,23),-2.33023 # DEPENDENCYPART_ARC
(13,24),-2.71332 # DEPENDENCYPART_ARC
(13,25),-2.10744 # DEPENDENCYPART_ARC
(13,26),-1.81561 # DEPENDENCYPART_ARC
(15,1),-2.66282 # DEPENDENCYPART_ARC
(15,2),-1.05016 # DEPENDENCYPART_ARC
(15,3),-1.17014 # DEPENDENCYPART_ARC
(15,4),-1.84967 # DEPENDENCYPART_ARC
(15,5),-0.80736 # DEPENDENCYPART_ARC
(15,7),-1.91158 # DEPENDENCYPART_ARC
(15,8),-1.97026 # DEPENDENCYPART_ARC
(15,9),-2.09428 # DEPENDENCYPART_ARC
(15,10),-0.291613 # DEPENDENCYPART_ARC
(15,11),-1.57041 # DEPENDENCYPART_ARC
(15,12),-1.11271 # DEPENDENCYPART_ARC
(15,13),-1.44578 # DEPENDENCYPART_ARC
(15,14),0.412638 # DEPENDENCYPART_ARC
(15,16),-0.919163 # DEPENDENCYPART_ARC
(15,17),-0.907917 # DEPENDENCYPART_ARC
(15,18),-1.04971 # DEPENDENCYPART_ARC
(15,19),-1.04009 # DEPENDENCYPART_ARC
(15,21),-0.988287 # DEPENDENCYPART_ARC
(15,22),-1.42855 # DEPENDENCYPART_ARC
(15,23),-1.71701 # DEPENDENCYPART_ARC
(15,24),-0.0668506 # DEPENDENCYPART_ARC
(15,25),-0.889176 # DEPENDENCYPART_ARC
(15,26),0.0865606 # DEPENDENCYPART_ARC
(16,17),-0.562233 # DEPENDENCYPART_ARC
(17,16),-0.821398 # DEPENDENCYPART_ARC
(17,19),-1.50785 # DEPENDENCYPART_ARC
(18,10),-1.36106 # DEPENDENCYPART_ARC
(18,11),-1.06998 # DEPENDENCYPART_ARC
(18,12),-1.61512 # DEPENDENCYPART_ARC
(18,13),-3.95356 # DEPENDENCYPART_ARC
(18,14),-1.30774 # DEPENDENCYPART_ARC
(18,15),-0.661365 # DEPENDENCYPART_ARC
(18,16),1.43074 # DEPENDENCYPART_ARC
(18,17),2.23205 # DEPENDENCYPART_ARC
(18,19),-1.38265 # DEPENDENCYPART_ARC
(18,21),-1.35768 # DEPENDENCYPART_ARC
(18,23),-1.66862 # DEPENDENCYPART_ARC
(19,12),0.222304 # DEPENDENCYPART_ARC
(19,13),-1.07703 # DEPENDENCYPART_ARC
(19,14),-0.843804 # DEPENDENCYPART_ARC
(19,18),1.85185 # DEPENDENCYPART_ARC
(19,23),-1.3214 # DEPENDENCYPART_ARC
(19,24),-0.74565 # DEPENDENCYPART_ARC
(19,25),-1.17518 # DEPENDENCYPART_ARC
(19,26),-0.787373 # DEPENDENCYPART_ARC
(20,22),-0.774041 # DEPENDENCYPART_ARC
(21,18),-1.64197 # DEPENDENCYPART_ARC
(21,20),-0.679599 # DEPENDENCYPART_ARC
(21,22),-1.12049 # DEPENDENCYPART_ARC
(22,16),-1.64059 # DEPENDENCYPART_ARC
(22,17),-1.47058 # DEPENDENCYPART_ARC
(22,18),-1.72848 # DEPENDENCYPART_ARC
(22,20),-0.866964 # DEPENDENCYPART_ARC
(22,21),0.850053 # DEPENDENCYPART_ARC
(23,10),-1.81851 # DEPENDENCYPART_ARC
(23,11),-2.15445 # DEPENDENCYPART_ARC
(23,12),-2.40523 # DEPENDENCYPART_ARC
(23,13),-4.80297 # DEPENDENCYPART_ARC
(23,15),-0.547924 # DEPENDENCYPART_ARC
(23,16),-0.659528 # DEPENDENCYPART_ARC
(23,17),-0.518558 # DEPENDENCYPART_ARC
(23,18),-1.15818 # DEPENDENCYPART_ARC
(23,20),0.446108 # DEPENDENCYPART_ARC
(23,21),1.2355 # DEPENDENCYPART_ARC
(23,22),2.37055 # DEPENDENCYPART_ARC
(24,1),-2.67754 # DEPENDENCYPART_ARC
(24,2),-0.456947 # DEPENDENCYPART_ARC
(24,3),-1.36785 # DEPENDENCYPART_ARC
(24,4),-0.521113 # DEPENDENCYPART_ARC
(24,5),-0.91699 # DEPENDENCYPART_ARC
(24,7),-1.51751 # DEPENDENCYPART_ARC
(24,8),-2.50672 # DEPENDENCYPART_ARC
(24,9),-1.86267 # DEPENDENCYPART_ARC
(24,10),-0.7608 # DEPENDENCYPART_ARC
(24,12),-1.27394 # DEPENDENCYPART_ARC
(24,13),-1.9862 # DEPENDENCYPART_ARC
(24,14),-0.41825 # DEPENDENCYPART_ARC
(24,15),-0.364985 # DEPENDENCYPART_ARC
(24,16),-1.74464 # DEPENDENCYPART_ARC
(24,17),-1.82541 # DEPENDENCYPART_ARC
(24,18),-0.325564 # DEPENDENCYPART_ARC
(24,19),0.407253 # DEPENDENCYPART_ARC
(24,20),-1.4958 # DEPENDENCYPART_ARC
(24,21),-0.957396 # DEPENDENCYPART_ARC
(24,22),-0.66588 # DEPENDENCYPART_ARC
(24,23),1.31745 # DEPENDENCYPART_ARC
(24,25),3.31422 # DEPENDENCYPART_ARC
(24,26),-0.296108 # DEPENDENCYPART_ARC
(25,1),-0.961142 # DEPENDENCYPART_ARC
(25,2),-0.821726 # DEPENDENCYPART_ARC
(25,3),-2.00728 # DEPENDENCYPART_ARC
(25,4),-0.669699 # DEPENDENCYPART_ARC
(25,5),-0.760143 # DEPENDENCYPART_ARC
(25,7),-1.30835 # DEPENDENCYPART_ARC
(25,8),-0.844302 # DEPENDENCYPART_ARC
(25,9),0.255187 # DEPENDENCYPART_ARC
(25,10),-1.92658 # DEPENDENCYPART_ARC
(25,12),-1.12906 # DEPENDENCYPART_ARC
(25,13),0.447172 # DEPENDENCYPART_ARC
(25,14),-0.420124 # DEPENDENCYPART_ARC
(25,15),-0.610069 # DEPENDENCYPART_ARC
(25,16),-1.1528 # DEPENDENCYPART_ARC
(25,17),-0.440708 # DEPENDENCYPART_ARC
(25,18),-0.212538 # DEPENDENCYPART_ARC
(25,19),0.80446 # DEPENDENCYPART_ARC
(25,20),-1.02773 # DEPENDENCYPART_ARC
(25,21),-0.203795 # DEPENDENCYPART_ARC
(25,22),0.340997 # DEPENDENCYPART_ARC
(25,23),2.21815 # DEPENDENCYPART_ARC
(25,24),0.0453407 # DEPENDENCYPART_ARC
(25,26),-0.680528 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0957055 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.11328 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0658333 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.113275 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.100652 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0142149 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.113752 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.113275 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.127923 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.14672 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.127923 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.153678 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0563212 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.130366 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.127923 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.265686 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.246098 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.234698 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.108683 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.239479 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.246098 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.130334 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.188945 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0704094 # DEPENDENCYPART_SIBL
(0,5),(0,24),-0.138628 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.130334 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.234668 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.108718 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.238883 # DEPENDENCYPART_SIBL
(0,10),(0,25),-0.245501 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0607617 # DEPENDENCYPART_SIBL
(0,15),(0,24),-0.128733 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.127562 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.0806015 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.0805794 # DEPENDENCYPART_SIBL
(0,24),(0,25),-0.243199 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0120174 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0212343 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0283462 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.000969415 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00173586 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00158106 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0128033 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.00214658 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.000969415 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0212343 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0245138 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.00128381 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.000969415 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.0161989 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.00186726 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.000969415 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0358298 # DEPENDENCYPART_SIBL
(1,2),(1,25),0.0128033 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.0703177 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0369273 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0281752 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00538502 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00737664 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.00603773 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0252736 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.00832767 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.00538502 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0369273 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.00885194 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.00789906 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.00538502 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0242379 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.00736814 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.00538502 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.00780861 # DEPENDENCYPART_SIBL
(1,3),(1,25),-0.0252736 # DEPENDENCYPART_SIBL
(1,3),(1,26),-0.0263965 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.183268 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0253991 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0319727 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.027562 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0100385 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0265767 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0253991 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0408618 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.00790566 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0292175 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0253991 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.0113674 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.0286692 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.0253991 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.0261974 # DEPENDENCYPART_SIBL
(1,4),(1,25),0.0100385 # DEPENDENCYPART_SIBL
(1,4),(1,26),-0.00874835 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0289306 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00247421 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0299404 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.00560119 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0301077 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0289306 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0476382 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0321488 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.00202158 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0289306 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.0105444 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.00260561 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0289306 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.0115735 # DEPENDENCYPART_SIBL
(1,5),(1,25),-0.00560119 # DEPENDENCYPART_SIBL
(1,5),(1,26),-0.0194507 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0867076 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0167488 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0439832 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0164577 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0170329 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.00393804 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0304135 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0858433 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0170329 # DEPENDENCYPART_SIBL
(1,7),(1,21),0.0492601 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.0868197 # DEPENDENCYPART_SIBL
(1,7),(1,23),0.0170329 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.0353432 # DEPENDENCYPART_SIBL
(1,7),(1,25),-0.0440247 # DEPENDENCYPART_SIBL
(1,7),(1,26),0.0432512 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.02332 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0165989 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0227514 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0239286 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.047724 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.00418306 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.00811781 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.0239286 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0611952 # DEPENDENCYPART_SIBL
(1,8),(1,22),-0.00744071 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.0239286 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.00414916 # DEPENDENCYPART_SIBL
(1,8),(1,25),-0.0165989 # DEPENDENCYPART_SIBL
(1,8),(1,26),0.00488127 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0456657 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0162919 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.0168671 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0114555 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0324081 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0850685 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0168671 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.0487159 # DEPENDENCYPART_SIBL
(1,9),(1,22),0.0860449 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.0168671 # DEPENDENCYPART_SIBL
(1,9),(1,24),-0.0370258 # DEPENDENCYPART_SIBL
(1,9),(1,25),-0.0457073 # DEPENDENCYPART_SIBL
(1,9),(1,26),0.0422983 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.00785981 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.00491716 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0387669 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.00826262 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.00742919 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.00491716 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.0247078 # DEPENDENCYPART_SIBL
(1,10),(1,22),-0.00689827 # DEPENDENCYPART_SIBL
(1,10),(1,23),-0.00491716 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.00649014 # DEPENDENCYPART_SIBL
(1,10),(1,25),-0.0239551 # DEPENDENCYPART_SIBL
(1,10),(1,26),-0.0247291 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0143594 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.00640774 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0336119 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.0831721 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.0143594 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.0465889 # DEPENDENCYPART_SIBL
(1,12),(1,22),0.0841485 # DEPENDENCYPART_SIBL
(1,12),(1,23),0.0143594 # DEPENDENCYPART_SIBL
(1,12),(1,24),-0.041455 # DEPENDENCYPART_SIBL
(1,12),(1,25),-0.0501365 # DEPENDENCYPART_SIBL
(1,12),(1,26),0.0411847 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.00393804 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.0304135 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.0858433 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0170329 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.0492601 # DEPENDENCYPART_SIBL
(1,13),(1,22),0.0868197 # DEPENDENCYPART_SIBL
(1,13),(1,23),0.0170329 # DEPENDENCYPART_SIBL
(1,13),(1,24),-0.0353432 # DEPENDENCYPART_SIBL
(1,13),(1,25),-0.0440247 # DEPENDENCYPART_SIBL
(1,13),(1,26),0.0432512 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.00790566 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.0292175 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.0253991 # DEPENDENCYPART_SIBL
(1,14),(1,21),0.0113674 # DEPENDENCYPART_SIBL
(1,14),(1,22),-0.0286692 # DEPENDENCYPART_SIBL
(1,14),(1,23),-0.0253991 # DEPENDENCYPART_SIBL
(1,14),(1,24),0.0261974 # DEPENDENCYPART_SIBL
(1,14),(1,25),0.0100385 # DEPENDENCYPART_SIBL
(1,14),(1,26),-0.00874835 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.00670536 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.00452423 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.0214313 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.00728914 # DEPENDENCYPART_SIBL
(1,15),(1,23),-0.00452423 # DEPENDENCYPART_SIBL
(1,15),(1,24),0.0480238 # DEPENDENCYPART_SIBL
(1,15),(1,25),0.0237253 # DEPENDENCYPART_SIBL
(1,15),(1,26),-0.0552689 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.0225821 # DEPENDENCYPART_SIBL
(1,17),(1,21),0.060757 # DEPENDENCYPART_SIBL
(1,17),(1,22),-0.00837004 # DEPENDENCYPART_SIBL
(1,17),(1,23),0.0225821 # DEPENDENCYPART_SIBL
(1,17),(1,24),-0.00490925 # DEPENDENCYPART_SIBL
(1,17),(1,25),-0.017359 # DEPENDENCYPART_SIBL
(1,17),(1,26),0.00763855 # DEPENDENCYPART_SIBL
(1,18),(1,21),0.0492601 # DEPENDENCYPART_SIBL
(1,18),(1,22),0.0868197 # DEPENDENCYPART_SIBL
(1,18),(1,23),0.0170329 # DEPENDENCYPART_SIBL
(1,18),(1,24),-0.0353432 # DEPENDENCYPART_SIBL
(1,18),(1,25),-0.0440247 # DEPENDENCYPART_SIBL
(1,18),(1,26),0.0432512 # DEPENDENCYPART_SIBL
