# _root_ Drága mulatság a washoku , de a legfinomabb alapanyagokból készítik , és elképesztő dúskálást lehet vele csapni .
#goldHeads=2,12,4,2,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
#predictedHeads=2,10,4,10,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
(0,2),(0,17),-0.107518 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.10047 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0611812 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.093426 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.00852033 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0591026 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0611809 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.144146 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.183595 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.079498 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.131758 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.144146 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.2208 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.110025 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.238129 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.245466 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0674034 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.114153 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.12355 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.122401 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.107518 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.25814 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.0821017 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0403764 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00977771 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0407261 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0135836 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00564982 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0417582 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0407261 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.00204811 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.00564982 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0459761 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0415018 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0050065 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0128869 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0124631 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0092495 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0176082 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0183184 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0124631 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00396573 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0176082 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0140502 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0183186 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0357031 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0450416 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0181135 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0428432 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0553839 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0450416 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0111639 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0428432 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0539038 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0553844 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0779814 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0963165 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.342981 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.425606 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00482316 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0802639 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.342981 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.434905 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.425607 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.0787788 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00797996 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0250161 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0231178 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0278878 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00797996 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.033845 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0250163 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.108839 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0582154 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.103086 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.000972934 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00471394 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0381984 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.058216 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0485651 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.169079 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.042453 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0764132 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0591214 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0510458 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.215563 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0802639 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.342981 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.434905 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.425607 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0787788 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0392933 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0732903 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.0674514 # DEPENDENCYPART_SIBL
(2,12),(2,18),0.195932 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0381984 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.058216 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0485651 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.0457947 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.226103 # DEPENDENCYPART_SIBL
(2,17),(2,18),0.211148 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.019832 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0916076 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0727624 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0531775 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.136204 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.030588 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00714572 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00519746 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00620354 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.030588 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00388394 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.00519746 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0337188 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00400201 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0321592 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0204537 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0248276 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00400201 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.032818 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0204537 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0683618 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00837413 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0263924 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0213389 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0683618 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00355 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0263924 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.101897 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.161904 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.238836 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0129318 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0737123 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.161904 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.030853 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00877119 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00717348 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.00269308 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.030853 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.036684 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.112135 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0486645 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0594451 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0974438 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0365849 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0532794 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0737123 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.161904 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.0412625 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0208909 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.204626 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00403139 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.147589 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.000777529 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0529519 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00867177 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.000942829 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.002837 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0044881 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0529434 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.00867177 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0511374 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.00295901 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0491774 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0347551 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00281814 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.245333 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0122349 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00740872 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0887101 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.000857917 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00035618 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0141969 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00741443 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0887101 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0204052 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.00254663 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0190015 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0626887 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0198274 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.049209 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.023013 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0129461 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0334768 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0474024 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0249769 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0230187 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0129461 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0735072 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0324863 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.065348 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.156603 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0195945 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0253477 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.023689 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0187019 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0132302 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00895739 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.025342 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.023689 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0291892 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0196959 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.00587272 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0195586 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00714169 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0243364 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.150749 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0119128 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0187772 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.00713012 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0243364 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0374449 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.142855 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.29769 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0452259 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.030519 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0759255 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0334829 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.032558 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0452259 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.030519 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.077683 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0759253 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0413051 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0136341 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0503832 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0166638 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0160865 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0403008 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0136341 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0506178 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0503828 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0306643 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0394183 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0293031 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.00227257 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0387653 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0265686 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.055554 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0394178 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.000430906 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.182194 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0219015 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0603143 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.116857 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0126184 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.00658498 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.222426 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0253648 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.106274 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.141639 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.260654 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.24025 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0842808 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0556573 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0389916 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0518822 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0593006 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0618133 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0136356 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0506196 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0503845 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0306569 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.055554 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0394178 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.000430906 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0126176 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.207957 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.211426 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0857534 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0374862 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0882749 # DEPENDENCYPART_SIBL
