# _root_ Elébb egy , majd két téesz alakult a falu földjein : a Dózsa és a Petőfi , majd ezek egyesültek a nagy Egyetértésben .
#goldHeads=2,4,4,18,6,7,4,9,10,7,4,13,14,4,16,14,18,0,20,18,23,23,20,18,
#predictedHeads=4,4,4,0,6,7,4,9,10,7,7,13,14,7,16,14,18,7,20,18,23,23,20,4,
(4,24),-0.205713 # DEPENDENCYPART_ARC
(5,1),-1.45449 # DEPENDENCYPART_ARC
(5,2),-1.21129 # DEPENDENCYPART_ARC
(5,3),-1.40734 # DEPENDENCYPART_ARC
(5,4),-0.532186 # DEPENDENCYPART_ARC
(5,7),-0.965382 # DEPENDENCYPART_ARC
(5,9),-1.72623 # DEPENDENCYPART_ARC
(5,10),-2.27956 # DEPENDENCYPART_ARC
(5,11),-1.22628 # DEPENDENCYPART_ARC
(5,13),-2.04308 # DEPENDENCYPART_ARC
(5,24),-1.53512 # DEPENDENCYPART_ARC
(6,1),-0.857897 # DEPENDENCYPART_ARC
(6,2),-0.248471 # DEPENDENCYPART_ARC
(6,3),-0.562394 # DEPENDENCYPART_ARC
(6,4),-0.203939 # DEPENDENCYPART_ARC
(6,5),2.00047 # DEPENDENCYPART_ARC
(6,9),-1.33249 # DEPENDENCYPART_ARC
(6,10),-2.18978 # DEPENDENCYPART_ARC
(6,18),-1.59984 # DEPENDENCYPART_ARC
(7,1),0.0687445 # DEPENDENCYPART_ARC
(7,2),-1.00344 # DEPENDENCYPART_ARC
(7,3),-0.420359 # DEPENDENCYPART_ARC
(7,4),0.158173 # DEPENDENCYPART_ARC
(7,5),-0.043964 # DEPENDENCYPART_ARC
(7,6),2.46314 # DEPENDENCYPART_ARC
(7,8),-0.912793 # DEPENDENCYPART_ARC
(7,9),0.726734 # DEPENDENCYPART_ARC
(7,10),1.65428 # DEPENDENCYPART_ARC
(7,11),0.24508 # DEPENDENCYPART_ARC
(7,12),-1.66581 # DEPENDENCYPART_ARC
(7,13),-0.798448 # DEPENDENCYPART_ARC
(7,14),-0.192953 # DEPENDENCYPART_ARC
(7,15),-1.90442 # DEPENDENCYPART_ARC
(7,16),-0.354116 # DEPENDENCYPART_ARC
(7,17),-0.156152 # DEPENDENCYPART_ARC
(7,18),-0.60476 # DEPENDENCYPART_ARC
(7,19),-2.16506 # DEPENDENCYPART_ARC
(7,20),-0.266579 # DEPENDENCYPART_ARC
(7,22),-2.14175 # DEPENDENCYPART_ARC
(7,23),-1.47242 # DEPENDENCYPART_ARC
(7,24),-0.402884 # DEPENDENCYPART_ARC
(9,5),-0.995577 # DEPENDENCYPART_ARC
(9,8),1.61756 # DEPENDENCYPART_ARC
(10,1),-1.62719 # DEPENDENCYPART_ARC
(10,2),-1.93489 # DEPENDENCYPART_ARC
(10,3),-1.23704 # DEPENDENCYPART_ARC
(10,4),-0.641838 # DEPENDENCYPART_ARC
(10,5),-1.19313 # DEPENDENCYPART_ARC
(10,6),-0.560348 # DEPENDENCYPART_ARC
(10,7),-2.96321 # DEPENDENCYPART_ARC
(10,8),0.379582 # DEPENDENCYPART_ARC
(10,9),2.69565 # DEPENDENCYPART_ARC
(10,11),-0.54411 # DEPENDENCYPART_ARC
(10,13),-1.3813 # DEPENDENCYPART_ARC
(10,14),-1.29589 # DEPENDENCYPART_ARC
(10,16),-1.75282 # DEPENDENCYPART_ARC
(10,17),-1.0804 # DEPENDENCYPART_ARC
(10,18),-1.41886 # DEPENDENCYPART_ARC
(10,20),-1.52559 # DEPENDENCYPART_ARC
(10,22),-2.23696 # DEPENDENCYPART_ARC
(10,24),-1.71735 # DEPENDENCYPART_ARC
(13,8),-1.61123 # DEPENDENCYPART_ARC
(13,12),1.26361 # DEPENDENCYPART_ARC
(13,16),-1.50646 # DEPENDENCYPART_ARC
(13,19),-1.92947 # DEPENDENCYPART_ARC
(14,1),-2.28941 # DEPENDENCYPART_ARC
(14,2),-1.58166 # DEPENDENCYPART_ARC
(14,3),-1.5006 # DEPENDENCYPART_ARC
(14,4),-0.911259 # DEPENDENCYPART_ARC
(14,5),-1.52211 # DEPENDENCYPART_ARC
(14,6),-2.14811 # DEPENDENCYPART_ARC
(14,7),-0.528409 # DEPENDENCYPART_ARC
(14,9),-1.53174 # DEPENDENCYPART_ARC
(14,10),-1.40338 # DEPENDENCYPART_ARC
(14,11),-0.650693 # DEPENDENCYPART_ARC
(14,12),-1.37561 # DEPENDENCYPART_ARC
(14,13),-0.359916 # DEPENDENCYPART_ARC
(14,15),-1.14641 # DEPENDENCYPART_ARC
(14,16),-0.538402 # DEPENDENCYPART_ARC
(14,17),-1.00172 # DEPENDENCYPART_ARC
(14,18),-1.33963 # DEPENDENCYPART_ARC
(14,19),-1.91038 # DEPENDENCYPART_ARC
(14,20),-1.10649 # DEPENDENCYPART_ARC
(14,22),-1.75515 # DEPENDENCYPART_ARC
(14,23),-1.6821 # DEPENDENCYPART_ARC
(14,24),-1.5267 # DEPENDENCYPART_ARC
(15,14),-0.615318 # DEPENDENCYPART_ARC
(15,22),-1.46077 # DEPENDENCYPART_ARC
(16,12),-1.29349 # DEPENDENCYPART_ARC
(16,13),-1.43711 # DEPENDENCYPART_ARC
(16,14),-0.7249 # DEPENDENCYPART_ARC
(16,15),1.43758 # DEPENDENCYPART_ARC
(16,17),-0.734386 # DEPENDENCYPART_ARC
(16,19),-1.57677 # DEPENDENCYPART_ARC
(16,20),-1.42206 # DEPENDENCYPART_ARC
(16,23),-2.33547 # DEPENDENCYPART_ARC
(18,1),-1.68311 # DEPENDENCYPART_ARC
(18,2),-1.39922 # DEPENDENCYPART_ARC
(18,3),-1.87671 # DEPENDENCYPART_ARC
(18,4),-0.703992 # DEPENDENCYPART_ARC
(18,5),-1.4535 # DEPENDENCYPART_ARC
(18,6),-2.50485 # DEPENDENCYPART_ARC
(18,7),-0.698577 # DEPENDENCYPART_ARC
(18,9),-1.99536 # DEPENDENCYPART_ARC
(18,10),-2.11513 # DEPENDENCYPART_ARC
(18,11),-1.40933 # DEPENDENCYPART_ARC
(18,13),-1.54805 # DEPENDENCYPART_ARC
(18,14),-0.615364 # DEPENDENCYPART_ARC
(18,15),-1.32685 # DEPENDENCYPART_ARC
(18,16),-1.16582 # DEPENDENCYPART_ARC
(18,17),0.38731 # DEPENDENCYPART_ARC
(18,19),-1.39995 # DEPENDENCYPART_ARC
(18,20),0.115962 # DEPENDENCYPART_ARC
(18,22),-1.30488 # DEPENDENCYPART_ARC
(18,23),-1.69975 # DEPENDENCYPART_ARC
(18,24),-0.0458875 # DEPENDENCYPART_ARC
(19,7),-0.83876 # DEPENDENCYPART_ARC
(19,10),-1.35868 # DEPENDENCYPART_ARC
(19,11),-1.40204 # DEPENDENCYPART_ARC
(19,13),-1.29743 # DEPENDENCYPART_ARC
(19,14),-1.32943 # DEPENDENCYPART_ARC
(19,16),-1.00171 # DEPENDENCYPART_ARC
(19,17),-1.37931 # DEPENDENCYPART_ARC
(19,18),-0.557941 # DEPENDENCYPART_ARC
(19,20),0.114347 # DEPENDENCYPART_ARC
(19,22),-0.940111 # DEPENDENCYPART_ARC
(19,23),-0.887468 # DEPENDENCYPART_ARC
(19,24),-1.24031 # DEPENDENCYPART_ARC
(20,1),-1.47108 # DEPENDENCYPART_ARC
(20,2),-2.81799 # DEPENDENCYPART_ARC
(20,3),-1.34248 # DEPENDENCYPART_ARC
(20,4),-0.893797 # DEPENDENCYPART_ARC
(20,5),-2.61334 # DEPENDENCYPART_ARC
(20,6),-1.48183 # DEPENDENCYPART_ARC
(20,7),-1.49118 # DEPENDENCYPART_ARC
(20,8),-1.80793 # DEPENDENCYPART_ARC
(20,9),-1.491 # DEPENDENCYPART_ARC
(20,10),0.213541 # DEPENDENCYPART_ARC
(20,11),-0.510166 # DEPENDENCYPART_ARC
(20,12),-1.67222 # DEPENDENCYPART_ARC
(20,13),-0.684313 # DEPENDENCYPART_ARC
(20,14),-0.127939 # DEPENDENCYPART_ARC
(20,15),-1.58411 # DEPENDENCYPART_ARC
(20,16),-0.596153 # DEPENDENCYPART_ARC
(20,17),-0.226067 # DEPENDENCYPART_ARC
(20,18),0.23563 # DEPENDENCYPART_ARC
(20,19),1.83931 # DEPENDENCYPART_ARC
(20,21),-0.848449 # DEPENDENCYPART_ARC
(20,22),-0.211512 # DEPENDENCYPART_ARC
(20,23),1.43698 # DEPENDENCYPART_ARC
(20,24),-0.158429 # DEPENDENCYPART_ARC
(21,22),-0.549727 # DEPENDENCYPART_ARC
(22,15),-2.59147 # DEPENDENCYPART_ARC
(22,19),-2.21768 # DEPENDENCYPART_ARC
(22,21),-0.554113 # DEPENDENCYPART_ARC
(22,23),-0.929655 # DEPENDENCYPART_ARC
(23,15),-1.90686 # DEPENDENCYPART_ARC
(23,16),-3.29184 # DEPENDENCYPART_ARC
(23,18),-0.987455 # DEPENDENCYPART_ARC
(23,19),-2.10783 # DEPENDENCYPART_ARC
(23,21),0.819392 # DEPENDENCYPART_ARC
(23,22),1.45255 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0307552 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.123333 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0272109 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.113319 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.120218 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.123333 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0291727 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.113287 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0883411 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0375909 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.081681 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.1032 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0883411 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0182803 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.0816723 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.066224 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.137113 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.185644 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.163776 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0477195 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.13708 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.10758 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.118688 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.125147 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0191749 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.107518 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.220945 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.222849 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.101196 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.245519 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.194757 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0492092 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.12355 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0477195 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.13708 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.109232 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0541149 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0288306 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0578748 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00871222 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0356626 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00870979 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00871222 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0700863 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0210494 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0541149 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0288306 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0357646 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0977733 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.074793 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0752268 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00728509 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.230127 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00662921 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.00728509 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0031883 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0245294 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0481904 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.074793 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.232284 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0552564 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0146898 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00909959 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00523799 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.00910231 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00909959 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0176565 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0324001 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0463395 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0158067 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.00535942 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.000137844 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00750338 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0360571 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00750096 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.00750338 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0676713 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0205248 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0483244 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0286576 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.0361591 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.095479 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0302877 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00521624 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.00543351 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.108504 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0284072 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0550944 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.010715 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0304716 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.022155 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0193233 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0193258 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.100497 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0348023 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.0930622 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0248232 # DEPENDENCYPART_SIBL
(1,7),(1,20),0.00355623 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.052068 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00500688 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.107146 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0259743 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0525642 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.00850712 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0297933 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.0247292 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.108504 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.027086 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0550944 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.00939382 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.0304716 # DEPENDENCYPART_SIBL
(1,10),(1,24),0.0195126 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.124334 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.00274139 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.0968304 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.316002 # DEPENDENCYPART_SIBL
(1,11),(1,24),0.454512 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.0309552 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.0462705 # DEPENDENCYPART_SIBL
(1,14),(1,20),0.0183755 # DEPENDENCYPART_SIBL
(1,14),(1,24),0.0360331 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.074793 # DEPENDENCYPART_SIBL
(1,17),(1,20),0.232284 # DEPENDENCYPART_SIBL
(1,17),(1,24),0.0552564 # DEPENDENCYPART_SIBL
(1,18),(1,20),0.00535942 # DEPENDENCYPART_SIBL
(1,18),(1,24),0.000137844 # DEPENDENCYPART_SIBL
(1,20),(1,24),0.0550772 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.086252 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0313188 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00293435 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0698335 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0728267 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0697203 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0698335 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.132279 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0698335 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0696926 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.086252 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0742376 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.122927 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.12083 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0834317 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.060648 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.362559 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0599957 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.060648 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0417049 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.060648 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.060648 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.00107878 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.364575 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0717468 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00765646 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0118873 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0542698 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0118877 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0118873 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0231269 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0118873 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0118873 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0323875 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0543032 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0276102 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0221545 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.066936 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0221545 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0221545 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.00654716 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0221545 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0221545 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0352733 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0669448 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0212037 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0502827 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0407603 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0405466 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0365624 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0405466 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0406624 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0489538 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.050345 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.0042299 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0014423 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0014423 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0265632 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0014423 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00144235 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0733572 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0339954 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.121982 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.040953 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0352315 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.040953 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0410687 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0464588 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0496931 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.00682655 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0365624 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0405466 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0406624 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0489538 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.050345 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.00158756 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.018227 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.018227 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0131699 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.466408 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.564471 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0406624 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0489538 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.050345 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.00158756 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0489538 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.050345 # DEPENDENCYPART_SIBL
(2,16),(2,24),0.00158756 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.364575 # DEPENDENCYPART_SIBL
(2,17),(2,24),0.0717468 # DEPENDENCYPART_SIBL
(2,20),(2,24),0.124838 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.140005 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.254383 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0128533 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0246549 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.060739 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0245347 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0246549 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0224304 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0246549 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.011746 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0245139 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.020983 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0467425 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0566053 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0238987 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0243546 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0119869 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.397678 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0238738 # DEPENDENCYPART_SIBL
