# _root_ Akkoriban a cég — átmeneti sikerrel — megszerezte a Magyar_Nemzet , az Esti_Hírlap és az Expressz kiadói jogát , 1997 végén pedig megindította a Napi_Magyarország című napilapot .
#goldHeads=8,3,8,8,6,8,8,0,10,18,18,13,18,18,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
#predictedHeads=8,3,8,8,6,8,8,0,10,8,8,13,18,18,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
(16,27),-2.30745 # DEPENDENCYPART_ARC
(17,1),-2.36305 # DEPENDENCYPART_ARC
(17,3),-2.8068 # DEPENDENCYPART_ARC
(17,6),-2.04525 # DEPENDENCYPART_ARC
(17,7),-1.34126 # DEPENDENCYPART_ARC
(17,8),-1.56706 # DEPENDENCYPART_ARC
(17,10),-1.67446 # DEPENDENCYPART_ARC
(17,11),-0.92709 # DEPENDENCYPART_ARC
(17,12),-1.37535 # DEPENDENCYPART_ARC
(17,13),-0.825158 # DEPENDENCYPART_ARC
(17,14),-0.272746 # DEPENDENCYPART_ARC
(17,15),-0.679355 # DEPENDENCYPART_ARC
(17,16),0.928117 # DEPENDENCYPART_ARC
(17,20),-1.42053 # DEPENDENCYPART_ARC
(17,21),-1.63905 # DEPENDENCYPART_ARC
(17,23),-1.5662 # DEPENDENCYPART_ARC
(18,3),-2.50554 # DEPENDENCYPART_ARC
(18,4),-1.33511 # DEPENDENCYPART_ARC
(18,6),-4.66119 # DEPENDENCYPART_ARC
(18,8),-2.34113 # DEPENDENCYPART_ARC
(18,9),-2.06752 # DEPENDENCYPART_ARC
(18,10),-1.07244 # DEPENDENCYPART_ARC
(18,11),-1.03539 # DEPENDENCYPART_ARC
(18,12),-1.27929 # DEPENDENCYPART_ARC
(18,13),0.250532 # DEPENDENCYPART_ARC
(18,14),-0.293555 # DEPENDENCYPART_ARC
(18,15),-0.0531059 # DEPENDENCYPART_ARC
(18,16),2.08677 # DEPENDENCYPART_ARC
(18,17),2.5516 # DEPENDENCYPART_ARC
(18,19),-0.584111 # DEPENDENCYPART_ARC
(18,20),-1.6897 # DEPENDENCYPART_ARC
(18,21),-2.47873 # DEPENDENCYPART_ARC
(18,22),-1.60309 # DEPENDENCYPART_ARC
(18,23),-1.96641 # DEPENDENCYPART_ARC
(18,25),-1.98599 # DEPENDENCYPART_ARC
(18,27),-2.44942 # DEPENDENCYPART_ARC
(20,16),-1.37638 # DEPENDENCYPART_ARC
(20,18),-1.71372 # DEPENDENCYPART_ARC
(20,19),-0.42029 # DEPENDENCYPART_ARC
(20,21),-1.25939 # DEPENDENCYPART_ARC
(20,22),-1.26405 # DEPENDENCYPART_ARC
(20,25),-1.78964 # DEPENDENCYPART_ARC
(20,27),-2.32494 # DEPENDENCYPART_ARC
(20,28),-1.48224 # DEPENDENCYPART_ARC
(21,9),-3.23332 # DEPENDENCYPART_ARC
(21,10),-2.48092 # DEPENDENCYPART_ARC
(21,12),-2.33876 # DEPENDENCYPART_ARC
(21,13),-1.4351 # DEPENDENCYPART_ARC
(21,14),-1.09562 # DEPENDENCYPART_ARC
(21,15),-1.45904 # DEPENDENCYPART_ARC
(21,16),-0.471546 # DEPENDENCYPART_ARC
(21,17),-0.79861 # DEPENDENCYPART_ARC
(21,18),-3.40581 # DEPENDENCYPART_ARC
(21,19),-0.998099 # DEPENDENCYPART_ARC
(21,20),1.90577 # DEPENDENCYPART_ARC
(21,22),-1.55979 # DEPENDENCYPART_ARC
(21,25),-1.51738 # DEPENDENCYPART_ARC
(21,27),-2.30768 # DEPENDENCYPART_ARC
(22,1),-2.04432 # DEPENDENCYPART_ARC
(22,4),-1.46328 # DEPENDENCYPART_ARC
(22,6),-2.79596 # DEPENDENCYPART_ARC
(22,7),-1.3667 # DEPENDENCYPART_ARC
(22,8),-1.02499 # DEPENDENCYPART_ARC
(22,10),-2.19932 # DEPENDENCYPART_ARC
(22,11),-1.78575 # DEPENDENCYPART_ARC
(22,13),-1.98508 # DEPENDENCYPART_ARC
(22,14),-0.769789 # DEPENDENCYPART_ARC
(22,16),-1.5883 # DEPENDENCYPART_ARC
(22,17),-1.60403 # DEPENDENCYPART_ARC
(22,18),-1.76812 # DEPENDENCYPART_ARC
(22,19),-0.683745 # DEPENDENCYPART_ARC
(22,20),-0.766161 # DEPENDENCYPART_ARC
(22,21),-0.559326 # DEPENDENCYPART_ARC
(22,23),0.0485876 # DEPENDENCYPART_ARC
(22,25),-1.20105 # DEPENDENCYPART_ARC
(22,27),-1.64927 # DEPENDENCYPART_ARC
(22,28),-1.38852 # DEPENDENCYPART_ARC
(23,1),-1.34924 # DEPENDENCYPART_ARC
(23,3),-1.56893 # DEPENDENCYPART_ARC
(23,4),-0.950207 # DEPENDENCYPART_ARC
(23,5),-2.61992 # DEPENDENCYPART_ARC
(23,6),-2.18898 # DEPENDENCYPART_ARC
(23,7),-1.22647 # DEPENDENCYPART_ARC
(23,8),-1.07162 # DEPENDENCYPART_ARC
(23,9),-1.9419 # DEPENDENCYPART_ARC
(23,10),-1.002 # DEPENDENCYPART_ARC
(23,11),-0.537146 # DEPENDENCYPART_ARC
(23,12),-1.80023 # DEPENDENCYPART_ARC
(23,13),-0.12418 # DEPENDENCYPART_ARC
(23,14),-0.412359 # DEPENDENCYPART_ARC
(23,15),-1.729 # DEPENDENCYPART_ARC
(23,16),-0.165893 # DEPENDENCYPART_ARC
(23,17),-1.46418 # DEPENDENCYPART_ARC
(23,18),0.243497 # DEPENDENCYPART_ARC
(23,19),-0.214044 # DEPENDENCYPART_ARC
(23,20),-0.363596 # DEPENDENCYPART_ARC
(23,21),1.49256 # DEPENDENCYPART_ARC
(23,22),1.44774 # DEPENDENCYPART_ARC
(23,24),-1.09499 # DEPENDENCYPART_ARC
(23,25),-0.101998 # DEPENDENCYPART_ARC
(23,26),-0.859916 # DEPENDENCYPART_ARC
(23,27),1.24898 # DEPENDENCYPART_ARC
(23,28),-0.6231 # DEPENDENCYPART_ARC
(24,25),-0.759056 # DEPENDENCYPART_ARC
(25,24),0.905632 # DEPENDENCYPART_ARC
(25,27),-1.37455 # DEPENDENCYPART_ARC
(26,7),-1.27036 # DEPENDENCYPART_ARC
(26,13),-1.75602 # DEPENDENCYPART_ARC
(26,14),-0.641272 # DEPENDENCYPART_ARC
(26,16),-1.27149 # DEPENDENCYPART_ARC
(26,18),-1.01933 # DEPENDENCYPART_ARC
(26,19),-0.871841 # DEPENDENCYPART_ARC
(26,20),-0.834257 # DEPENDENCYPART_ARC
(26,21),-0.19352 # DEPENDENCYPART_ARC
(26,22),-0.401815 # DEPENDENCYPART_ARC
(26,24),-0.252708 # DEPENDENCYPART_ARC
(26,25),1.49776 # DEPENDENCYPART_ARC
(27,3),-4.90036 # DEPENDENCYPART_ARC
(27,10),-3.49217 # DEPENDENCYPART_ARC
(27,12),-2.44344 # DEPENDENCYPART_ARC
(27,13),-2.64636 # DEPENDENCYPART_ARC
(27,14),-1.07507 # DEPENDENCYPART_ARC
(27,15),-1.58343 # DEPENDENCYPART_ARC
(27,16),-2.03997 # DEPENDENCYPART_ARC
(27,17),-1.21942 # DEPENDENCYPART_ARC
(27,18),-4.32737 # DEPENDENCYPART_ARC
(27,19),-1.11516 # DEPENDENCYPART_ARC
(27,20),-0.868329 # DEPENDENCYPART_ARC
(27,21),-3.2379 # DEPENDENCYPART_ARC
(27,22),-0.789255 # DEPENDENCYPART_ARC
(27,24),0.687407 # DEPENDENCYPART_ARC
(27,25),1.33937 # DEPENDENCYPART_ARC
(27,26),2.74787 # DEPENDENCYPART_ARC
(27,28),-1.38568 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0295986 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0324436 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0278307 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.113574 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.120218 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.122539 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.113574 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0333887 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0697465 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.11063 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.122086 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.13507 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.110193 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0345957 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0886079 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0987385 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.0869947 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0886079 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.105979 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.120009 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.133571 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.105542 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.221291 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.226963 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.245466 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.180315 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.12355 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.145784 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.060153 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.112823 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.000407992 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.060153 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.025511 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0580941 # DEPENDENCYPART_SIBL
(1,3),(1,28),0.0141795 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0187088 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0539774 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0178593 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0153056 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0910697 # DEPENDENCYPART_SIBL
(1,4),(1,28),-0.0180567 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0194173 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0316474 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0117676 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.00138878 # DEPENDENCYPART_SIBL
(1,5),(1,28),0.00698224 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0664715 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0386072 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0615763 # DEPENDENCYPART_SIBL
(1,6),(1,28),0.028117 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0153056 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0910697 # DEPENDENCYPART_SIBL
(1,7),(1,28),-0.0180567 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0921457 # DEPENDENCYPART_SIBL
(1,8),(1,28),0.0432171 # DEPENDENCYPART_SIBL
(1,11),(1,28),0.0525483 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0586574 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.412512 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0294145 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0148717 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0294145 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0489031 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.129641 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0524143 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.000437783 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0524143 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.00696158 # DEPENDENCYPART_SIBL
(3,2),(3,28),-0.0296677 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.162866 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0929 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.170927 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.0732585 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0622255 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0596133 # DEPENDENCYPART_SIBL
(3,6),(3,28),0.0518554 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.170927 # DEPENDENCYPART_SIBL
(3,7),(3,28),0.0732585 # DEPENDENCYPART_SIBL
(3,8),(3,28),0.206023 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.07599 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.182869 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.118987 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.00458009 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0133961 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.043252 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0137542 # DEPENDENCYPART_SIBL
(5,1),(5,28),0.0610575 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0621188 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.181157 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0157453 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.00548556 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0225869 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.00548556 # DEPENDENCYPART_SIBL
(5,2),(5,28),-0.0375479 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.295763 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.000851871 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0184229 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0207372 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.018963 # DEPENDENCYPART_SIBL
(5,3),(5,28),0.0692352 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.420307 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00469753 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0631697 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.00761798 # DEPENDENCYPART_SIBL
(5,4),(5,28),0.0955724 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.123106 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0343043 # DEPENDENCYPART_SIBL
(5,7),(5,23),0.120021 # DEPENDENCYPART_SIBL
(5,7),(5,28),0.00991246 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0265988 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.0137052 # DEPENDENCYPART_SIBL
(5,8),(5,28),0.0709451 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.0437356 # DEPENDENCYPART_SIBL
(5,10),(5,28),0.0136211 # DEPENDENCYPART_SIBL
(5,23),(5,28),0.0759838 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.401697 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0448445 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.239806 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00375097 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0276628 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0493724 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0118414 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0156359 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0272127 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0497311 # DEPENDENCYPART_SIBL
(6,1),(6,28),0.130031 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0116343 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.463957 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.149819 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.053096 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00861538 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00331961 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00907931 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0192324 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.0086159 # DEPENDENCYPART_SIBL
(6,2),(6,28),-0.0285198 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.477442 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0409504 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0396342 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0131481 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00237359 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00594977 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.00156341 # DEPENDENCYPART_SIBL
(6,3),(6,23),0.0136889 # DEPENDENCYPART_SIBL
(6,3),(6,28),0.047554 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0288954 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.288956 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0469651 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0330674 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0563635 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.014262 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.0440441 # DEPENDENCYPART_SIBL
(6,4),(6,28),-0.0415549 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0542407 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0378368 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00261304 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0306725 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.00737012 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0378353 # DEPENDENCYPART_SIBL
(6,5),(6,28),-0.0020293 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.167232 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.151574 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00263799 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.0232834 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.164147 # DEPENDENCYPART_SIBL
(6,7),(6,28),0.0694154 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0764125 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.169078 # DEPENDENCYPART_SIBL
(6,8),(6,22),0.0189586 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.0510438 # DEPENDENCYPART_SIBL
(6,8),(6,28),0.206123 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.103086 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.0359335 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.0582144 # DEPENDENCYPART_SIBL
(6,10),(6,28),0.0485618 # DEPENDENCYPART_SIBL
(6,11),(6,22),0.123413 # DEPENDENCYPART_SIBL
(6,11),(6,23),0.425603 # DEPENDENCYPART_SIBL
(6,11),(6,28),0.0787731 # DEPENDENCYPART_SIBL
(6,22),(6,23),0.0223323 # DEPENDENCYPART_SIBL
(6,22),(6,28),0.11917 # DEPENDENCYPART_SIBL
(6,23),(6,28),0.211162 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0896583 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.040819 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.00212095 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.00912441 # DEPENDENCYPART_SIBL
(8,1),(8,6),-2.77491e-05 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.00212095 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0693873 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.00918773 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.00521378 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0175802 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.00918773 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0113354 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0175802 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.00918773 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.0145842 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.0187123 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.00521378 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.00870573 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.00126795 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.0387424 # DEPENDENCYPART_SIBL
(8,1),(8,23),-0.0211571 # DEPENDENCYPART_SIBL
(8,1),(8,25),0.00918773 # DEPENDENCYPART_SIBL
(8,1),(8,26),0.00937067 # DEPENDENCYPART_SIBL
(8,1),(8,27),0.00918773 # DEPENDENCYPART_SIBL
(8,1),(8,28),0.0238477 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.023095 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0917734 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0170074 # DEPENDENCYPART_SIBL
