# _root_ Azon fáradozunk , hogy az utánpótlás-nevelésre fordítható öszszeg évről évre emelkedjen , ezzel is segítve a hazai labdarúgás kimozdulását a mély kátyúból .
#goldHeads=2,0,2,2,6,7,8,11,11,11,1,11,15,11,11,18,18,19,15,22,22,15,2,
#predictedHeads=2,0,2,2,6,7,9,9,11,11,1,11,15,15,1,18,18,19,15,22,22,15,2,
(2,19),-2.71537 # DEPENDENCYPART_ARC
(2,22),-2.51527 # DEPENDENCYPART_ARC
(2,23),-0.47431 # DEPENDENCYPART_ARC
(4,1),-0.991285 # DEPENDENCYPART_ARC
(4,2),-1.62997 # DEPENDENCYPART_ARC
(4,3),0.148562 # DEPENDENCYPART_ARC
(4,6),-1.30529 # DEPENDENCYPART_ARC
(4,7),-1.33218 # DEPENDENCYPART_ARC
(4,9),-1.64131 # DEPENDENCYPART_ARC
(4,10),-1.90499 # DEPENDENCYPART_ARC
(4,11),-0.805508 # DEPENDENCYPART_ARC
(4,12),-0.852084 # DEPENDENCYPART_ARC
(4,14),-1.29273 # DEPENDENCYPART_ARC
(4,23),-0.578419 # DEPENDENCYPART_ARC
(5,7),-0.966236 # DEPENDENCYPART_ARC
(6,1),-1.46637 # DEPENDENCYPART_ARC
(6,4),-0.948076 # DEPENDENCYPART_ARC
(6,5),1.81325 # DEPENDENCYPART_ARC
(7,1),-1.46585 # DEPENDENCYPART_ARC
(7,2),-0.875867 # DEPENDENCYPART_ARC
(7,3),-0.798463 # DEPENDENCYPART_ARC
(7,4),-0.448352 # DEPENDENCYPART_ARC
(7,5),-0.655251 # DEPENDENCYPART_ARC
(7,6),1.53858 # DEPENDENCYPART_ARC
(7,9),-1.19106 # DEPENDENCYPART_ARC
(7,10),-1.13046 # DEPENDENCYPART_ARC
(7,15),-1.70651 # DEPENDENCYPART_ARC
(7,23),-1.62051 # DEPENDENCYPART_ARC
(8,2),-0.618828 # DEPENDENCYPART_ARC
(8,3),-0.682846 # DEPENDENCYPART_ARC
(8,4),-0.356066 # DEPENDENCYPART_ARC
(8,5),0.0168775 # DEPENDENCYPART_ARC
(8,6),0.0721044 # DEPENDENCYPART_ARC
(8,7),0.753592 # DEPENDENCYPART_ARC
(8,9),-0.781343 # DEPENDENCYPART_ARC
(8,10),-1.0425 # DEPENDENCYPART_ARC
(8,11),-1.13075 # DEPENDENCYPART_ARC
(8,12),-0.92075 # DEPENDENCYPART_ARC
(8,14),-1.05901 # DEPENDENCYPART_ARC
(8,18),-1.70249 # DEPENDENCYPART_ARC
(8,19),-1.78017 # DEPENDENCYPART_ARC
(8,22),-1.84219 # DEPENDENCYPART_ARC
(9,1),-1.4916 # DEPENDENCYPART_ARC
(9,2),-1.96837 # DEPENDENCYPART_ARC
(9,3),-0.792002 # DEPENDENCYPART_ARC
(9,4),-1.03819 # DEPENDENCYPART_ARC
(9,5),-0.0102617 # DEPENDENCYPART_ARC
(9,6),-1.20986 # DEPENDENCYPART_ARC
(9,7),1.16153 # DEPENDENCYPART_ARC
(9,8),1.2018 # DEPENDENCYPART_ARC
(9,10),-1.68286 # DEPENDENCYPART_ARC
(10,1),-1.75464 # DEPENDENCYPART_ARC
(10,2),-2.55491 # DEPENDENCYPART_ARC
(10,3),-0.92834 # DEPENDENCYPART_ARC
(10,4),-0.850007 # DEPENDENCYPART_ARC
(10,5),-1.13261 # DEPENDENCYPART_ARC
(10,6),-1.93185 # DEPENDENCYPART_ARC
(10,7),-0.26918 # DEPENDENCYPART_ARC
(10,8),0.151867 # DEPENDENCYPART_ARC
(10,9),-0.0486209 # DEPENDENCYPART_ARC
(10,19),-2.8034 # DEPENDENCYPART_ARC
(11,1),-1.45939 # DEPENDENCYPART_ARC
(11,2),-0.687237 # DEPENDENCYPART_ARC
(11,3),-0.71773 # DEPENDENCYPART_ARC
(11,4),-0.82519 # DEPENDENCYPART_ARC
(11,5),-1.38561 # DEPENDENCYPART_ARC
(11,6),0.20721 # DEPENDENCYPART_ARC
(11,7),-0.636167 # DEPENDENCYPART_ARC
(11,8),-0.0692633 # DEPENDENCYPART_ARC
(11,9),1.15518 # DEPENDENCYPART_ARC
(11,10),2.37651 # DEPENDENCYPART_ARC
(11,12),0.513225 # DEPENDENCYPART_ARC
(11,13),-0.517212 # DEPENDENCYPART_ARC
(11,14),-0.696336 # DEPENDENCYPART_ARC
(11,15),-1.0124 # DEPENDENCYPART_ARC
(11,16),-2.21301 # DEPENDENCYPART_ARC
(11,17),-1.45326 # DEPENDENCYPART_ARC
(11,18),-1.81127 # DEPENDENCYPART_ARC
(11,19),-1.24751 # DEPENDENCYPART_ARC
(11,21),-1.78606 # DEPENDENCYPART_ARC
(11,22),-1.60022 # DEPENDENCYPART_ARC
(11,23),-0.964028 # DEPENDENCYPART_ARC
(13,2),-1.09436 # DEPENDENCYPART_ARC
(13,3),-1.36346 # DEPENDENCYPART_ARC
(13,4),-1.13042 # DEPENDENCYPART_ARC
(13,7),-1.83715 # DEPENDENCYPART_ARC
(13,8),-1.57117 # DEPENDENCYPART_ARC
(13,9),-2.06116 # DEPENDENCYPART_ARC
(13,10),-1.81845 # DEPENDENCYPART_ARC
(13,11),-0.526889 # DEPENDENCYPART_ARC
(13,12),-0.729602 # DEPENDENCYPART_ARC
(13,14),-1.0321 # DEPENDENCYPART_ARC
(13,15),-1.36806 # DEPENDENCYPART_ARC
(13,17),-1.36323 # DEPENDENCYPART_ARC
(13,18),-1.16016 # DEPENDENCYPART_ARC
(13,19),-1.5573 # DEPENDENCYPART_ARC
(13,21),-1.35911 # DEPENDENCYPART_ARC
(13,22),-1.57131 # DEPENDENCYPART_ARC
(13,23),-1.47631 # DEPENDENCYPART_ARC
(14,2),-1.90678 # DEPENDENCYPART_ARC
(14,11),-0.88317 # DEPENDENCYPART_ARC
(14,12),-1.75675 # DEPENDENCYPART_ARC
(14,13),-1.3357 # DEPENDENCYPART_ARC
(14,15),-1.61921 # DEPENDENCYPART_ARC
(14,17),-1.66433 # DEPENDENCYPART_ARC
(14,18),-1.81367 # DEPENDENCYPART_ARC
(14,19),-1.98316 # DEPENDENCYPART_ARC
(14,22),-2.3661 # DEPENDENCYPART_ARC
(14,23),-1.8006 # DEPENDENCYPART_ARC
(15,3),-0.438348 # DEPENDENCYPART_ARC
(15,6),-0.6164 # DEPENDENCYPART_ARC
(15,9),-0.573865 # DEPENDENCYPART_ARC
(15,10),-0.492366 # DEPENDENCYPART_ARC
(15,12),0.0180074 # DEPENDENCYPART_ARC
(15,13),0.336157 # DEPENDENCYPART_ARC
(15,14),0.796866 # DEPENDENCYPART_ARC
(15,17),-0.423023 # DEPENDENCYPART_ARC
(15,18),-0.466536 # DEPENDENCYPART_ARC
(15,19),-0.525513 # DEPENDENCYPART_ARC
(15,22),-0.85667 # DEPENDENCYPART_ARC
(15,23),-0.581806 # DEPENDENCYPART_ARC
(16,17),-0.510885 # DEPENDENCYPART_ARC
(16,21),-1.20663 # DEPENDENCYPART_ARC
(17,13),-1.8433 # DEPENDENCYPART_ARC
(17,15),-1.22109 # DEPENDENCYPART_ARC
(17,16),-0.625064 # DEPENDENCYPART_ARC
(17,22),-2.04503 # DEPENDENCYPART_ARC
(18,5),-1.92652 # DEPENDENCYPART_ARC
(18,7),-1.76119 # DEPENDENCYPART_ARC
(18,8),-1.24846 # DEPENDENCYPART_ARC
(18,11),-1.51115 # DEPENDENCYPART_ARC
(18,12),-1.22791 # DEPENDENCYPART_ARC
(18,13),-2.02015 # DEPENDENCYPART_ARC
(18,14),-0.687664 # DEPENDENCYPART_ARC
(18,15),-0.809561 # DEPENDENCYPART_ARC
(18,16),1.23001 # DEPENDENCYPART_ARC
(18,17),2.28572 # DEPENDENCYPART_ARC
(18,22),-2.19511 # DEPENDENCYPART_ARC
(19,6),-3.46514 # DEPENDENCYPART_ARC
(19,8),-1.3727 # DEPENDENCYPART_ARC
(19,9),-3.5569 # DEPENDENCYPART_ARC
(19,11),-3.49503 # DEPENDENCYPART_ARC
(19,12),-1.13589 # DEPENDENCYPART_ARC
(19,13),-2.56155 # DEPENDENCYPART_ARC
(19,14),-0.591325 # DEPENDENCYPART_ARC
(19,15),-0.955468 # DEPENDENCYPART_ARC
(19,16),-0.366929 # DEPENDENCYPART_ARC
(19,17),0.747729 # DEPENDENCYPART_ARC
(19,18),3.06232 # DEPENDENCYPART_ARC
(19,20),-1.5365 # DEPENDENCYPART_ARC
(19,21),-1.3361 # DEPENDENCYPART_ARC
(19,22),-2.00853 # DEPENDENCYPART_ARC
(19,23),-1.1794 # DEPENDENCYPART_ARC
(20,21),-0.512734 # DEPENDENCYPART_ARC
(21,13),-2.21647 # DEPENDENCYPART_ARC
(21,16),-2.07407 # DEPENDENCYPART_ARC
(21,18),-1.97664 # DEPENDENCYPART_ARC
(21,19),-0.920641 # DEPENDENCYPART_ARC
(21,20),-0.659238 # DEPENDENCYPART_ARC
(22,8),-1.40582 # DEPENDENCYPART_ARC
(22,11),-2.15172 # DEPENDENCYPART_ARC
(22,13),-1.98212 # DEPENDENCYPART_ARC
(22,14),-0.719629 # DEPENDENCYPART_ARC
(22,15),-1.29457 # DEPENDENCYPART_ARC
(22,16),-0.702365 # DEPENDENCYPART_ARC
(22,17),-0.296369 # DEPENDENCYPART_ARC
(22,18),-0.94088 # DEPENDENCYPART_ARC
(22,19),-3.00107 # DEPENDENCYPART_ARC
(22,20),1.36454 # DEPENDENCYPART_ARC
(22,21),2.61995 # DEPENDENCYPART_ARC
(22,23),-1.39179 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.106825 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.038254 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.00773937 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.106825 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.265529 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0891057 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.245466 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0581134 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.130334 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0611809 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0363405 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0277139 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00823652 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0149223 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00994141 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00840516 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00888389 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00997513 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0363405 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.00450729 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.000555113 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0151384 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.015005 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.00823652 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.00823652 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0149223 # DEPENDENCYPART_SIBL
(1,2),(1,22),-0.00823652 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0188105 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.257224 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0203315 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0143589 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0256676 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0205001 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0284475 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0797351 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.050014 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0303646 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0429149 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0227073 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0144907 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0203317 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0203315 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.0143589 # DEPENDENCYPART_SIBL
(1,3),(1,22),-0.0203315 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.00123371 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0270649 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00943398 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0106481 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.027247 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0280442 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0649898 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0237836 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.01686 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0112938 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0169045 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.00932373 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0270649 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0270649 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.00943398 # DEPENDENCYPART_SIBL
(1,4),(1,22),-0.0270649 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.00344055 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0732516 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0282043 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.00293682 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00594571 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.00332045 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.00401208 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.00270642 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0303338 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.00793202 # DEPENDENCYPART_SIBL
(1,6),(1,17),0.0731257 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.00276818 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.00276818 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.0732516 # DEPENDENCYPART_SIBL
(1,6),(1,22),-0.00276818 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0335777 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.00616663 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00414727 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.00362582 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.00189013 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0137527 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0194894 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0109955 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0207553 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0244854 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.00431591 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.00431591 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.0243825 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.00431591 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.00591627 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0444353 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0440852 # DEPENDENCYPART_SIBL
(1,8),(1,11),0.0385345 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0176434 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.00475869 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.031976 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0129152 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0414579 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.044604 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.044604 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.0415301 # DEPENDENCYPART_SIBL
(1,8),(1,22),0.044604 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.00159053 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.00677338 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.00382169 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.00334762 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.00304445 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0299957 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.00827006 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.0721116 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.00343263 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.00343263 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.0722375 # DEPENDENCYPART_SIBL
(1,9),(1,22),-0.00343263 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.0332397 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.00524212 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.000165067 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.00333446 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0283919 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0102681 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0717417 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0063879 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.0063879 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.0718676 # DEPENDENCYPART_SIBL
(1,10),(1,22),-0.0063879 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.0302426 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0363405 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.00450729 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.000555113 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.0151384 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.015005 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.00823652 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.00823652 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.0149223 # DEPENDENCYPART_SIBL
(1,11),(1,22),-0.00823652 # DEPENDENCYPART_SIBL
(1,11),(1,23),-0.0188105 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0303646 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.0429149 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.0227073 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.0144907 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.0203317 # DEPENDENCYPART_SIBL
(1,12),(1,19),-0.0203315 # DEPENDENCYPART_SIBL
(1,12),(1,21),-0.0143589 # DEPENDENCYPART_SIBL
(1,12),(1,22),-0.0203315 # DEPENDENCYPART_SIBL
(1,12),(1,23),0.00123371 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0923331 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.0207244 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.0634697 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0672181 # DEPENDENCYPART_SIBL
(1,13),(1,19),0.0672181 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.0635649 # DEPENDENCYPART_SIBL
(1,13),(1,22),0.0672181 # DEPENDENCYPART_SIBL
(1,13),(1,23),-0.0194059 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.0020553 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.0622975 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.00327719 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.00327719 # DEPENDENCYPART_SIBL
(1,14),(1,21),0.0624092 # DEPENDENCYPART_SIBL
(1,14),(1,22),0.00327719 # DEPENDENCYPART_SIBL
(1,14),(1,23),-0.0730749 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.110121 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.160651 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.160651 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.110221 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.160651 # DEPENDENCYPART_SIBL
(1,15),(1,23),0.0455217 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.00486173 # DEPENDENCYPART_SIBL
(1,17),(1,19),0.00486173 # DEPENDENCYPART_SIBL
(1,17),(1,21),-0.0244589 # DEPENDENCYPART_SIBL
(1,17),(1,22),0.00486173 # DEPENDENCYPART_SIBL
(1,17),(1,23),-0.0045087 # DEPENDENCYPART_SIBL
(1,18),(1,19),-0.00276818 # DEPENDENCYPART_SIBL
(1,18),(1,21),0.0732516 # DEPENDENCYPART_SIBL
(1,18),(1,22),-0.00276818 # DEPENDENCYPART_SIBL
(1,18),(1,23),0.0335777 # DEPENDENCYPART_SIBL
(1,19),(1,21),0.0732516 # DEPENDENCYPART_SIBL
(1,19),(1,22),-0.00276818 # DEPENDENCYPART_SIBL
(1,19),(1,23),0.0335777 # DEPENDENCYPART_SIBL
(1,21),(1,22),0.00504063 # DEPENDENCYPART_SIBL
(1,21),(1,23),-0.00446506 # DEPENDENCYPART_SIBL
(1,22),(1,23),0.0335777 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.000335049 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.033281 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0028588 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.021663 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0231681 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0415151 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.021663 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0252214 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0708988 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.000335049 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0307207 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0263104 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0121238 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0234289 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0216631 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.021663 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.021663 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.000381815 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.81544 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0711085 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.07652 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0604985 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0107703 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0765065 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0519767 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.194562 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0129099 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00239327 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0235503 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.10013 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0603791 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0765195 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.07652 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.07652 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0489202 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0557778 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0142557 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0821972 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00256867 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0142961 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0245382 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.108302 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0390228 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0513479 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.01288 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0263008 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0820962 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0142558 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0142557 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0142557 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.124079 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0520221 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00126419 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00497742 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0520086 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0426595 # DEPENDENCYPART_SIBL
