# _root_ Szép_Tibor egyelőre nem kívánt nyilatkozni lapunknak , de annyit elmondott , hogy a munkakör betöltésének napjáig a munkavállaló visszaléphet .
#goldHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
#predictedHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
(10,6),0.643785 # DEPENDENCYPART_ARC
(10,7),0.00976686 # DEPENDENCYPART_ARC
(10,8),0.521384 # DEPENDENCYPART_ARC
(10,9),2.39865 # DEPENDENCYPART_ARC
(10,11),1.11823 # DEPENDENCYPART_ARC
(10,12),2.24263 # DEPENDENCYPART_ARC
(10,13),-1.74854 # DEPENDENCYPART_ARC
(10,14),-1.0148 # DEPENDENCYPART_ARC
(10,15),-0.0109353 # DEPENDENCYPART_ARC
(10,16),-1.17504 # DEPENDENCYPART_ARC
(10,17),-2.14177 # DEPENDENCYPART_ARC
(10,18),-1.63032 # DEPENDENCYPART_ARC
(10,19),0.0484234 # DEPENDENCYPART_ARC
(10,20),-0.561227 # DEPENDENCYPART_ARC
(12,1),-1.97081 # DEPENDENCYPART_ARC
(12,2),-1.53828 # DEPENDENCYPART_ARC
(12,3),-1.61744 # DEPENDENCYPART_ARC
(12,4),-2.94554 # DEPENDENCYPART_ARC
(12,5),-1.9176 # DEPENDENCYPART_ARC
(12,6),-1.59668 # DEPENDENCYPART_ARC
(12,7),-1.43884 # DEPENDENCYPART_ARC
(12,8),-0.356598 # DEPENDENCYPART_ARC
(12,9),-0.878622 # DEPENDENCYPART_ARC
(12,10),-1.97319 # DEPENDENCYPART_ARC
(12,11),0.157056 # DEPENDENCYPART_ARC
(12,14),-1.1095 # DEPENDENCYPART_ARC
(12,15),-1.43541 # DEPENDENCYPART_ARC
(12,16),-1.6012 # DEPENDENCYPART_ARC
(12,18),-1.77581 # DEPENDENCYPART_ARC
(12,19),-0.467669 # DEPENDENCYPART_ARC
(12,20),-0.528766 # DEPENDENCYPART_ARC
(14,11),-1.35775 # DEPENDENCYPART_ARC
(14,13),1.73003 # DEPENDENCYPART_ARC
(14,15),-1.61477 # DEPENDENCYPART_ARC
(14,16),-1.96371 # DEPENDENCYPART_ARC
(15,8),-1.08337 # DEPENDENCYPART_ARC
(15,9),-2.84988 # DEPENDENCYPART_ARC
(15,11),-0.91192 # DEPENDENCYPART_ARC
(15,12),-0.71056 # DEPENDENCYPART_ARC
(15,13),0.0627358 # DEPENDENCYPART_ARC
(15,14),3.53149 # DEPENDENCYPART_ARC
(15,16),-1.59558 # DEPENDENCYPART_ARC
(15,18),-1.5532 # DEPENDENCYPART_ARC
(16,9),-3.65888 # DEPENDENCYPART_ARC
(16,11),-1.08547 # DEPENDENCYPART_ARC
(16,12),-1.03202 # DEPENDENCYPART_ARC
(16,13),-0.878376 # DEPENDENCYPART_ARC
(16,14),1.51127 # DEPENDENCYPART_ARC
(16,15),-0.0232133 # DEPENDENCYPART_ARC
(16,17),-1.45794 # DEPENDENCYPART_ARC
(16,18),-1.12575 # DEPENDENCYPART_ARC
(16,20),-1.17333 # DEPENDENCYPART_ARC
(18,13),-1.19301 # DEPENDENCYPART_ARC
(18,14),-1.72268 # DEPENDENCYPART_ARC
(18,15),-2.54023 # DEPENDENCYPART_ARC
(18,16),-2.59925 # DEPENDENCYPART_ARC
(18,17),1.50845 # DEPENDENCYPART_ARC
(19,1),-0.813691 # DEPENDENCYPART_ARC
(19,2),-0.835654 # DEPENDENCYPART_ARC
(19,3),-1.2469 # DEPENDENCYPART_ARC
(19,4),-1.19505 # DEPENDENCYPART_ARC
(19,5),-0.229914 # DEPENDENCYPART_ARC
(19,6),-0.865542 # DEPENDENCYPART_ARC
(19,7),-0.792675 # DEPENDENCYPART_ARC
(19,8),-0.0743087 # DEPENDENCYPART_ARC
(19,9),-0.842998 # DEPENDENCYPART_ARC
(19,10),-0.814269 # DEPENDENCYPART_ARC
(19,11),-0.409753 # DEPENDENCYPART_ARC
(19,12),-0.485049 # DEPENDENCYPART_ARC
(19,13),-1.39577 # DEPENDENCYPART_ARC
(19,14),0.564456 # DEPENDENCYPART_ARC
(19,15),1.32062 # DEPENDENCYPART_ARC
(19,16),1.61412 # DEPENDENCYPART_ARC
(19,17),-0.63587 # DEPENDENCYPART_ARC
(19,18),2.45848 # DEPENDENCYPART_ARC
(19,20),-0.1911 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0636606 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.066328 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.107699 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.10767 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.158434 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0197625 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.107522 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.136432 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0765421 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.115176 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.115042 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.14477 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0261739 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.114957 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.106915 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.114954 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.112446 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.112311 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.147757 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0348582 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.112226 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.11733 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.112223 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.247688 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.251025 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.100742 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.247416 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.265534 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.247415 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.252732 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.100669 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.245054 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.268866 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.245053 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0563242 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.144146 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.165387 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.144146 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.109296 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.0508398 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.109296 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.265531 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.245467 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.130334 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0762761 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0737136 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.0490031 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0573546 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0573949 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.00746238 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00909761 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00656711 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.110422 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00430381 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00521701 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0095676 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.00956778 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0237813 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00676557 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0395886 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0974359 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0246357 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00754677 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.00754834 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0694053 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0380418 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0959545 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0225452 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00945218 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.00945375 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.0733862 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0490782 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0121602 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0309658 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.0309699 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0300429 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0390805 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.224663 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.224665 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.0620614 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00233858 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.00233852 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.0128696 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.00949617 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0745645 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.0745646 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.185155 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0302689 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.198996 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0305209 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0407629 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0332711 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0413366 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0332713 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.101702 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0162966 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.174923 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00204702 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.010715 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0198009 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.040275 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0198009 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.217094 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00103424 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0803969 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0100676 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0198289 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.00722555 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0198273 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.055607 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0220681 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0273779 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00685359 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00361419 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.00684947 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.00666472 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0570952 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.212648 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.333512 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.212649 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.087121 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0110264 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0198445 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0110263 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0384745 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.00350722 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0197843 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.056786 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0307467 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.103598 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.0567861 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0265411 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0212794 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0278004 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0039338 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00901444 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0592873 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0381074 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0232737 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.00901444 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0157655 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0217828 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0217828 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0217828 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0222185 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0232732 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.000365981 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0252507 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0237884 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0066345 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00491655 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.124666 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00801255 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0196127 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00491655 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00889513 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.000753511 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.000753511 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.000753511 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00137792 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0196125 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0176663 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0572587 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00415581 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00370947 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.108443 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0149875 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0611203 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00370947 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.025468 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0032322 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0032322 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0032322 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0038566 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0611205 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.00610507 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0161221 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0420388 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00403406 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0352098 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0099353 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0420388 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0257226 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0163245 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0163245 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0163245 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0167801 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.00993334 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0135344 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0263954 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.046566 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0330776 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0250709 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0263954 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0314548 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0212082 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0212082 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0212082 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0217273 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0250664 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.00870067 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.154872 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00344922 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.1954 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.023093 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.798198 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.074475 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.074475 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.074475 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0734689 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.195403 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0511908 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0182947 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0341338 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0575958 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0285993 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0167985 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0167985 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0167985 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0158728 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0341333 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0282723 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0419539 # DEPENDENCYPART_SIBL
(4,9),(4,11),-2.36055e-05 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.128999 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.00515026 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.00515026 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.00515026 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.00457746 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0419535 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0134769 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0495119 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0140814 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.00884841 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.00884841 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00884841 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.00930402 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.00777852 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.017499 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.798198 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.074475 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.074475 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.074475 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0734689 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.195403 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0511908 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0193996 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0193996 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0193996 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0203253 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.102857 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.115655 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0241171 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0241171 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0246361 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0243107 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.00689544 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0241171 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0246361 # DEPENDENCYPART_SIBL
