# _root_ Mint mondja , ősszel ők ketten lőtték a csapat góljainak felét , és ők vittek látványosságot a játékba .
#goldHeads=2,0,2,7,7,7,2,9,10,7,7,2,2,15,2,15,18,15,2,
#predictedHeads=2,13,2,7,7,7,13,9,10,7,7,13,0,15,13,15,18,15,13,
(5,16),-1.31025 # DEPENDENCYPART_ARC
(5,18),-1.22309 # DEPENDENCYPART_ARC
(5,19),-1.48089 # DEPENDENCYPART_ARC
(6,1),-1.40608 # DEPENDENCYPART_ARC
(6,2),-1.42921 # DEPENDENCYPART_ARC
(6,3),-0.924873 # DEPENDENCYPART_ARC
(6,4),-0.729307 # DEPENDENCYPART_ARC
(6,7),-0.93543 # DEPENDENCYPART_ARC
(6,9),-1.83079 # DEPENDENCYPART_ARC
(6,10),-2.18639 # DEPENDENCYPART_ARC
(6,11),-2.29117 # DEPENDENCYPART_ARC
(6,12),-1.27376 # DEPENDENCYPART_ARC
(6,15),-1.82947 # DEPENDENCYPART_ARC
(6,16),-2.47381 # DEPENDENCYPART_ARC
(6,18),-2.51051 # DEPENDENCYPART_ARC
(6,19),-1.43886 # DEPENDENCYPART_ARC
(7,1),-0.454202 # DEPENDENCYPART_ARC
(7,2),-0.137009 # DEPENDENCYPART_ARC
(7,3),-0.21944 # DEPENDENCYPART_ARC
(7,4),0.891433 # DEPENDENCYPART_ARC
(7,5),1.1284 # DEPENDENCYPART_ARC
(7,6),2.45615 # DEPENDENCYPART_ARC
(7,8),-0.975618 # DEPENDENCYPART_ARC
(7,9),0.157141 # DEPENDENCYPART_ARC
(7,10),1.58352 # DEPENDENCYPART_ARC
(7,11),1.80591 # DEPENDENCYPART_ARC
(7,12),0.0761656 # DEPENDENCYPART_ARC
(7,13),-0.082375 # DEPENDENCYPART_ARC
(7,14),-1.77228 # DEPENDENCYPART_ARC
(7,15),-0.216438 # DEPENDENCYPART_ARC
(7,16),-0.669819 # DEPENDENCYPART_ARC
(7,18),-1.17435 # DEPENDENCYPART_ARC
(7,19),-0.697839 # DEPENDENCYPART_ARC
(9,4),-2.02824 # DEPENDENCYPART_ARC
(9,5),-1.94018 # DEPENDENCYPART_ARC
(9,6),-2.01376 # DEPENDENCYPART_ARC
(9,8),1.44862 # DEPENDENCYPART_ARC
(10,2),-3.59101 # DEPENDENCYPART_ARC
(10,3),-1.51525 # DEPENDENCYPART_ARC
(10,4),-1.50036 # DEPENDENCYPART_ARC
(10,5),-0.807163 # DEPENDENCYPART_ARC
(10,6),-2.7228 # DEPENDENCYPART_ARC
(10,7),-2.09028 # DEPENDENCYPART_ARC
(10,8),0.16972 # DEPENDENCYPART_ARC
(10,9),3.37916 # DEPENDENCYPART_ARC
(10,11),-1.97953 # DEPENDENCYPART_ARC
(10,12),-1.15939 # DEPENDENCYPART_ARC
(10,13),-1.52534 # DEPENDENCYPART_ARC
(11,2),-3.48444 # DEPENDENCYPART_ARC
(11,3),-1.34503 # DEPENDENCYPART_ARC
(11,4),-1.50178 # DEPENDENCYPART_ARC
(11,5),-1.71292 # DEPENDENCYPART_ARC
(11,6),-2.59508 # DEPENDENCYPART_ARC
(11,8),-0.715614 # DEPENDENCYPART_ARC
(11,9),2.01297 # DEPENDENCYPART_ARC
(11,10),0.694634 # DEPENDENCYPART_ARC
(11,12),-0.691284 # DEPENDENCYPART_ARC
(11,13),-1.56084 # DEPENDENCYPART_ARC
(11,15),-1.44042 # DEPENDENCYPART_ARC
(11,16),-2.22403 # DEPENDENCYPART_ARC
(11,18),-2.77256 # DEPENDENCYPART_ARC
(13,2),-1.06571 # DEPENDENCYPART_ARC
(13,3),-1.67885 # DEPENDENCYPART_ARC
(13,4),-1.73869 # DEPENDENCYPART_ARC
(13,6),-1.60346 # DEPENDENCYPART_ARC
(13,7),-0.118604 # DEPENDENCYPART_ARC
(13,8),-2.03867 # DEPENDENCYPART_ARC
(13,9),-1.58701 # DEPENDENCYPART_ARC
(13,10),-1.26378 # DEPENDENCYPART_ARC
(13,11),-1.76062 # DEPENDENCYPART_ARC
(13,12),0.442275 # DEPENDENCYPART_ARC
(13,15),0.316419 # DEPENDENCYPART_ARC
(13,16),-1.22832 # DEPENDENCYPART_ARC
(13,18),-1.68418 # DEPENDENCYPART_ARC
(13,19),-0.297935 # DEPENDENCYPART_ARC
(14,2),-0.696861 # DEPENDENCYPART_ARC
(14,7),-0.726387 # DEPENDENCYPART_ARC
(14,12),-1.01272 # DEPENDENCYPART_ARC
(14,13),-0.16542 # DEPENDENCYPART_ARC
(14,16),-1.05007 # DEPENDENCYPART_ARC
(14,18),-0.933544 # DEPENDENCYPART_ARC
(14,19),-1.23862 # DEPENDENCYPART_ARC
(15,1),-1.52385 # DEPENDENCYPART_ARC
(15,2),-1.39199 # DEPENDENCYPART_ARC
(15,3),-1.30901 # DEPENDENCYPART_ARC
(15,4),-1.16474 # DEPENDENCYPART_ARC
(15,5),-1.48875 # DEPENDENCYPART_ARC
(15,6),-0.435233 # DEPENDENCYPART_ARC
(15,7),-1.38356 # DEPENDENCYPART_ARC
(15,8),-1.90353 # DEPENDENCYPART_ARC
(15,9),-1.09306 # DEPENDENCYPART_ARC
(15,10),0.552649 # DEPENDENCYPART_ARC
(15,11),-0.804184 # DEPENDENCYPART_ARC
(15,12),-0.358324 # DEPENDENCYPART_ARC
(15,13),-0.235189 # DEPENDENCYPART_ARC
(15,14),1.72687 # DEPENDENCYPART_ARC
(15,16),1.30256 # DEPENDENCYPART_ARC
(15,17),-1.35746 # DEPENDENCYPART_ARC
(15,18),0.783738 # DEPENDENCYPART_ARC
(15,19),-0.29839 # DEPENDENCYPART_ARC
(16,4),-2.10193 # DEPENDENCYPART_ARC
(16,6),-3.02922 # DEPENDENCYPART_ARC
(16,8),-1.59232 # DEPENDENCYPART_ARC
(16,9),-2.40392 # DEPENDENCYPART_ARC
(16,10),-3.89632 # DEPENDENCYPART_ARC
(16,11),-3.9286 # DEPENDENCYPART_ARC
(16,13),-0.961866 # DEPENDENCYPART_ARC
(16,14),-0.636479 # DEPENDENCYPART_ARC
(16,15),-0.591056 # DEPENDENCYPART_ARC
(16,17),-1.31652 # DEPENDENCYPART_ARC
(16,18),-1.68734 # DEPENDENCYPART_ARC
(16,19),-1.09653 # DEPENDENCYPART_ARC
(18,13),-1.45204 # DEPENDENCYPART_ARC
(18,14),-2.30776 # DEPENDENCYPART_ARC
(18,16),-2.29352 # DEPENDENCYPART_ARC
(18,17),1.61918 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.128135 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0571175 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0271633 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0326594 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.125337 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.114977 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0271633 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.125337 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.114974 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.103122 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.109652 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.249367 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.229019 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.103122 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.249367 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0294946 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0296308 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.113592 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.120417 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0294946 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.113592 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0134848 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.10624 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.109115 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.035533 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.10624 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0805805 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.101737 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.0179766 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0805805 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.2208 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.101503 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.245466 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0521758 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.12355 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.10624 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.217568 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0546941 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0555119 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.077213 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.217568 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0298161 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.000595102 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.000595102 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.106133 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0176878 # DEPENDENCYPART_SIBL
(1,7),(1,19),0.0397145 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.019069 # DEPENDENCYPART_SIBL
(1,10),(1,12),0.0573733 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0437812 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0388973 # DEPENDENCYPART_SIBL
(1,11),(1,12),0.0573652 # DEPENDENCYPART_SIBL
(1,11),(1,15),0.0437674 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.0388786 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.217568 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.0298161 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0397145 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.073287 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0138578 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0240062 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0591579 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0754012 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0365377 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0401531 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0401531 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.073287 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.042021 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0754012 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0401531 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0401531 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0395978 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0695096 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00340259 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00341393 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.135815 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00230435 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0032248 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00550065 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0521589 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0273705 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.135815 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0032248 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0032248 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0124312 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0449457 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00919283 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0296493 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0183852 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0168273 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0161869 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0285759 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00617421 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0296493 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0168273 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0168273 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0103018 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00054062 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0470219 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.02101 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0219306 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.022571 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0169505 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0132018 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0470219 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0219306 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0219306 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0192491 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0294788 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0426948 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0436154 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0442558 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0131472 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0257139 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0294788 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0436154 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0436154 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00742458 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0357452 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0360774 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0367177 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0359839 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0521334 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0237796 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0360774 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0360774 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.00714174 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0758681 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0765086 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0144627 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0109155 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0593124 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0758681 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0758681 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.00655659 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0769328 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0136308 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.01029 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0595378 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0762923 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0762923 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.00819482 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0136308 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0102926 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0595406 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0762923 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0762923 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.00820015 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0273705 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.135815 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0032248 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0032248 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0124312 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.019173 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0888244 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0888244 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0124156 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0360774 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0360774 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.00714174 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0762923 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.00819482 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.00819482 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.103145 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.098104 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0307657 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0282997 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.146619 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.14552 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.145515 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0149704 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0570898 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0282997 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.14552 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.14552 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.15176 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.454254 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0158158 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0420433 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0901649 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0904067 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0904015 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0169774 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0222216 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0420433 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0904067 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0904067 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.123775 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0116289 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00792083 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.049585 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0495851 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0495799 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0632487 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0206387 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.00792083 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0495851 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0495851 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0296361 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0372446 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0106399 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0106399 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0106399 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.056265 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0228309 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0372446 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0106399 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0106399 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0992251 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0188071 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0193956 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0193956 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0936246 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0350419 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00363365 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0193956 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0193956 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0549242 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00536232 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.00536225 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0552299 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0265025 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0295694 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.00536232 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.00536232 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0199593 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.00536457 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0550284 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0270297 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0303389 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.00536465 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.00536465 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0193546 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0550202 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0270164 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0303252 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.00535656 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.00535656 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0193359 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0245194 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.232222 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.00726849 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.00726849 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0551664 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0183273 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0106971 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0106971 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0359543 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0193956 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0193956 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0549242 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.00536465 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0193546 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0193546 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.234818 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00288957 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0290633 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0297886 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0297886 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.00288957 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0297886 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.0297886 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0743406 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00142088 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.084827 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0850688 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0850688 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00142088 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0850688 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0850688 # DEPENDENCYPART_SIBL
(5,3),(5,19),0.0814772 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0102148 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00844919 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00844919 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00663366 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.00844919 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.00844919 # DEPENDENCYPART_SIBL
