# _root_ A képmutató terminus technicus jelentése , hogy az egyik etnikum fegyveres alakulatai tömegesen elüldözik a másik népcsoport civil lakosságát , hogy egy adott területet a sajátjai számára " megtisztítson " .
#goldHeads=4,4,4,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,7,
#predictedHeads=3,3,5,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,7,
(14,30),-1.00934 # DEPENDENCYPART_ARC
(14,31),-0.57021 # DEPENDENCYPART_ARC
(16,15),-0.351081 # DEPENDENCYPART_ARC
(16,17),-0.631643 # DEPENDENCYPART_ARC
(16,19),-1.25219 # DEPENDENCYPART_ARC
(16,20),-0.839978 # DEPENDENCYPART_ARC
(16,24),-1.70138 # DEPENDENCYPART_ARC
(16,26),-1.28577 # DEPENDENCYPART_ARC
(16,28),-0.883774 # DEPENDENCYPART_ARC
(16,29),-0.0296263 # DEPENDENCYPART_ARC
(16,30),-0.911921 # DEPENDENCYPART_ARC
(16,31),-1.15317 # DEPENDENCYPART_ARC
(17,4),-1.60975 # DEPENDENCYPART_ARC
(17,8),-1.50734 # DEPENDENCYPART_ARC
(17,9),-1.08679 # DEPENDENCYPART_ARC
(17,12),-3.01861 # DEPENDENCYPART_ARC
(17,13),-3.12835 # DEPENDENCYPART_ARC
(17,14),-1.02171 # DEPENDENCYPART_ARC
(17,15),1.01366 # DEPENDENCYPART_ARC
(17,16),1.81591 # DEPENDENCYPART_ARC
(17,19),-1.41667 # DEPENDENCYPART_ARC
(17,20),-0.646486 # DEPENDENCYPART_ARC
(17,24),-1.8678 # DEPENDENCYPART_ARC
(17,27),-1.33445 # DEPENDENCYPART_ARC
(17,28),-1.18539 # DEPENDENCYPART_ARC
(17,29),-1.85498 # DEPENDENCYPART_ARC
(18,7),-0.984604 # DEPENDENCYPART_ARC
(18,10),-1.99148 # DEPENDENCYPART_ARC
(18,12),-2.04273 # DEPENDENCYPART_ARC
(18,13),-1.06872 # DEPENDENCYPART_ARC
(18,15),-1.03856 # DEPENDENCYPART_ARC
(18,16),-0.453721 # DEPENDENCYPART_ARC
(18,17),0.483448 # DEPENDENCYPART_ARC
(18,21),-1.5174 # DEPENDENCYPART_ARC
(18,24),-2.30284 # DEPENDENCYPART_ARC
(19,8),-1.8834 # DEPENDENCYPART_ARC
(19,9),-1.19833 # DEPENDENCYPART_ARC
(19,10),-0.723567 # DEPENDENCYPART_ARC
(19,11),-1.09135 # DEPENDENCYPART_ARC
(19,12),-0.957948 # DEPENDENCYPART_ARC
(19,13),-3.58202 # DEPENDENCYPART_ARC
(19,14),-2.26805 # DEPENDENCYPART_ARC
(19,15),-0.144489 # DEPENDENCYPART_ARC
(19,16),0.0793674 # DEPENDENCYPART_ARC
(19,17),2.22585 # DEPENDENCYPART_ARC
(19,18),2.57286 # DEPENDENCYPART_ARC
(19,20),-0.791842 # DEPENDENCYPART_ARC
(19,24),-2.06002 # DEPENDENCYPART_ARC
(19,27),-1.73968 # DEPENDENCYPART_ARC
(19,28),-1.41074 # DEPENDENCYPART_ARC
(19,29),-2.78707 # DEPENDENCYPART_ARC
(19,30),-1.79222 # DEPENDENCYPART_ARC
(21,2),-1.59491 # DEPENDENCYPART_ARC
(21,3),-2.13498 # DEPENDENCYPART_ARC
(21,5),-1.9446 # DEPENDENCYPART_ARC
(21,6),-1.80632 # DEPENDENCYPART_ARC
(21,7),-0.953518 # DEPENDENCYPART_ARC
(21,9),-1.13007 # DEPENDENCYPART_ARC
(21,10),-1.52411 # DEPENDENCYPART_ARC
(21,11),-1.18256 # DEPENDENCYPART_ARC
(21,12),-1.16202 # DEPENDENCYPART_ARC
(21,13),-1.25817 # DEPENDENCYPART_ARC
(21,14),-2.48647 # DEPENDENCYPART_ARC
(21,16),-0.419387 # DEPENDENCYPART_ARC
(21,17),-0.260401 # DEPENDENCYPART_ARC
(21,18),-0.0709813 # DEPENDENCYPART_ARC
(21,19),-0.397119 # DEPENDENCYPART_ARC
(21,20),0.163788 # DEPENDENCYPART_ARC
(21,23),-1.03545 # DEPENDENCYPART_ARC
(21,24),-1.29682 # DEPENDENCYPART_ARC
(21,26),-1.2575 # DEPENDENCYPART_ARC
(21,28),-0.70613 # DEPENDENCYPART_ARC
(21,29),-0.907336 # DEPENDENCYPART_ARC
(21,30),-0.734117 # DEPENDENCYPART_ARC
(21,31),-0.488694 # DEPENDENCYPART_ARC
(22,23),-0.344142 # DEPENDENCYPART_ARC
(23,19),-1.46591 # DEPENDENCYPART_ARC
(23,21),-0.936226 # DEPENDENCYPART_ARC
(23,22),-0.229335 # DEPENDENCYPART_ARC
(23,27),-1.51643 # DEPENDENCYPART_ARC
(24,8),-2.4168 # DEPENDENCYPART_ARC
(24,9),-1.86775 # DEPENDENCYPART_ARC
(24,14),-2.30898 # DEPENDENCYPART_ARC
(24,15),-1.18087 # DEPENDENCYPART_ARC
(24,16),-1.0829 # DEPENDENCYPART_ARC
(24,17),-1.91086 # DEPENDENCYPART_ARC
(24,18),-0.645394 # DEPENDENCYPART_ARC
(24,19),-3.6408 # DEPENDENCYPART_ARC
(24,20),-1.27391 # DEPENDENCYPART_ARC
(24,21),-0.851642 # DEPENDENCYPART_ARC
(24,22),1.48984 # DEPENDENCYPART_ARC
(24,23),2.38998 # DEPENDENCYPART_ARC
(24,25),-1.39871 # DEPENDENCYPART_ARC
(24,26),-1.57263 # DEPENDENCYPART_ARC
(24,27),-1.0322 # DEPENDENCYPART_ARC
(24,28),-0.740452 # DEPENDENCYPART_ARC
(24,30),-1.07186 # DEPENDENCYPART_ARC
(26,15),-3.2269 # DEPENDENCYPART_ARC
(26,16),-2.17548 # DEPENDENCYPART_ARC
(26,21),-1.83492 # DEPENDENCYPART_ARC
(26,22),-1.41378 # DEPENDENCYPART_ARC
(26,23),-1.19336 # DEPENDENCYPART_ARC
(26,24),-1.72362 # DEPENDENCYPART_ARC
(26,25),1.10503 # DEPENDENCYPART_ARC
(26,28),-0.997 # DEPENDENCYPART_ARC
(26,30),-1.28462 # DEPENDENCYPART_ARC
(27,17),-1.30044 # DEPENDENCYPART_ARC
(27,18),-1.30196 # DEPENDENCYPART_ARC
(27,19),-1.01087 # DEPENDENCYPART_ARC
(27,20),-0.619252 # DEPENDENCYPART_ARC
(27,23),-0.792304 # DEPENDENCYPART_ARC
(27,24),-0.168403 # DEPENDENCYPART_ARC
(27,25),-0.187739 # DEPENDENCYPART_ARC
(27,26),2.47059 # DEPENDENCYPART_ARC
(27,28),-0.537893 # DEPENDENCYPART_ARC
(27,30),-0.85753 # DEPENDENCYPART_ARC
(27,31),-1.4715 # DEPENDENCYPART_ARC
(29,2),-2.43087 # DEPENDENCYPART_ARC
(29,3),-1.58335 # DEPENDENCYPART_ARC
(29,5),-2.08239 # DEPENDENCYPART_ARC
(29,6),-0.850337 # DEPENDENCYPART_ARC
(29,7),-0.524285 # DEPENDENCYPART_ARC
(29,8),-1.68775 # DEPENDENCYPART_ARC
(29,9),-1.96294 # DEPENDENCYPART_ARC
(29,10),-1.2322 # DEPENDENCYPART_ARC
(29,11),-1.94717 # DEPENDENCYPART_ARC
(29,12),-1.24856 # DEPENDENCYPART_ARC
(29,13),-0.436755 # DEPENDENCYPART_ARC
(29,14),-0.401422 # DEPENDENCYPART_ARC
(29,15),-1.54 # DEPENDENCYPART_ARC
(29,16),-1.2417 # DEPENDENCYPART_ARC
(29,17),-0.711377 # DEPENDENCYPART_ARC
(29,18),-1.45382 # DEPENDENCYPART_ARC
(29,19),-1.13151 # DEPENDENCYPART_ARC
(29,20),-0.180492 # DEPENDENCYPART_ARC
(29,21),-0.327777 # DEPENDENCYPART_ARC
(29,22),-1.00922 # DEPENDENCYPART_ARC
(29,23),-0.94906 # DEPENDENCYPART_ARC
(29,24),0.206452 # DEPENDENCYPART_ARC
(29,25),-1.09475 # DEPENDENCYPART_ARC
(29,26),0.327382 # DEPENDENCYPART_ARC
(29,27),0.939103 # DEPENDENCYPART_ARC
(29,28),0.871576 # DEPENDENCYPART_ARC
(29,30),0.419621 # DEPENDENCYPART_ARC
(29,31),-0.122092 # DEPENDENCYPART_ARC
(0,4),(0,7),-0.0923855 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.00373994 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0111726 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0111693 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0611809 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0923855 # DEPENDENCYPART_SIBL
(0,4),(0,29),-0.0611809 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0691647 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0754198 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0754849 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.130379 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.181747 # DEPENDENCYPART_SIBL
(0,7),(0,29),-0.130334 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.02587 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0258698 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.109388 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0513188 # DEPENDENCYPART_SIBL
(0,9),(0,29),-0.109388 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0621303 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.0886097 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0839372 # DEPENDENCYPART_SIBL
(0,11),(0,29),-0.0886095 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.0886082 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.083936 # DEPENDENCYPART_SIBL
(0,13),(0,29),-0.0886079 # DEPENDENCYPART_SIBL
(0,14),(0,21),-0.265529 # DEPENDENCYPART_SIBL
(0,14),(0,29),-0.245466 # DEPENDENCYPART_SIBL
(0,21),(0,29),-0.130334 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.155843 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0237574 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.00331962 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0086177 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.00749537 # DEPENDENCYPART_SIBL
(3,1),(3,31),-0.0285178 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00977765 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00413406 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0400738 # DEPENDENCYPART_SIBL
(3,2),(3,27),-0.00771133 # DEPENDENCYPART_SIBL
(3,2),(3,31),-0.00425058 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0427834 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0553844 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0356236 # DEPENDENCYPART_SIBL
(3,4),(3,31),0.0779814 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0569572 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.0492519 # DEPENDENCYPART_SIBL
(3,5),(3,31),0.044511 # DEPENDENCYPART_SIBL
(3,14),(3,27),0.0349756 # DEPENDENCYPART_SIBL
(3,14),(3,31),0.212013 # DEPENDENCYPART_SIBL
(3,27),(3,31),0.175209 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.183267 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0437358 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0263925 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0683618 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0231311 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0263924 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0263924 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0263924 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.046485 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00671306 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0227738 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0277873 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00673341 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00673341 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.00673341 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0198727 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00400201 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0262361 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0204537 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0204537 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0204537 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.11233 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0252558 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0594272 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0594272 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0594272 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.339673 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.161904 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.161904 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.161904 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0038523 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0038523 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0038523 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0594451 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0594451 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0594451 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.162671 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00473343 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.145596 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0091576 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.008538 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.00341521 # DEPENDENCYPART_SIBL
(5,1),(5,27),-0.00757507 # DEPENDENCYPART_SIBL
(5,1),(5,29),0.008538 # DEPENDENCYPART_SIBL
(5,1),(5,30),0.117929 # DEPENDENCYPART_SIBL
(5,1),(5,31),-0.0285975 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00892649 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0645088 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0330542 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0402162 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.00427201 # DEPENDENCYPART_SIBL
(5,2),(5,27),-0.00785369 # DEPENDENCYPART_SIBL
(5,2),(5,29),-0.0402158 # DEPENDENCYPART_SIBL
(5,2),(5,30),0.129801 # DEPENDENCYPART_SIBL
(5,2),(5,31),-0.00439295 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0539504 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00291403 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00721975 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.000807968 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.040502 # DEPENDENCYPART_SIBL
(5,3),(5,29),0.00758272 # DEPENDENCYPART_SIBL
(5,3),(5,30),0.013065 # DEPENDENCYPART_SIBL
(5,3),(5,31),0.0416066 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0410893 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00544396 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0103264 # DEPENDENCYPART_SIBL
(5,4),(5,27),0.041361 # DEPENDENCYPART_SIBL
(5,4),(5,29),-0.00544396 # DEPENDENCYPART_SIBL
(5,4),(5,30),0.0314489 # DEPENDENCYPART_SIBL
(5,4),(5,31),0.0289004 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.425239 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.342981 # DEPENDENCYPART_SIBL
(5,6),(5,27),0.0811855 # DEPENDENCYPART_SIBL
(5,6),(5,29),0.425607 # DEPENDENCYPART_SIBL
(5,6),(5,30),-0.00164706 # DEPENDENCYPART_SIBL
(5,6),(5,31),0.0787787 # DEPENDENCYPART_SIBL
(5,14),(5,24),0.0764131 # DEPENDENCYPART_SIBL
(5,14),(5,27),0.0349756 # DEPENDENCYPART_SIBL
(5,14),(5,29),0.0510458 # DEPENDENCYPART_SIBL
(5,14),(5,30),0.135434 # DEPENDENCYPART_SIBL
(5,14),(5,31),0.212013 # DEPENDENCYPART_SIBL
(5,24),(5,27),0.0500906 # DEPENDENCYPART_SIBL
(5,24),(5,29),0.0582148 # DEPENDENCYPART_SIBL
(5,24),(5,30),0.0153985 # DEPENDENCYPART_SIBL
(5,24),(5,31),0.0380509 # DEPENDENCYPART_SIBL
(5,27),(5,29),0.074109 # DEPENDENCYPART_SIBL
(5,27),(5,30),0.0928186 # DEPENDENCYPART_SIBL
(5,27),(5,31),0.175209 # DEPENDENCYPART_SIBL
(5,29),(5,30),0.135434 # DEPENDENCYPART_SIBL
(5,29),(5,31),0.211166 # DEPENDENCYPART_SIBL
(5,30),(5,31),0.0261875 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0194483 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0143951 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0195497 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.327313 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0154723 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0975938 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0154723 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0967073 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.134975 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.00135196 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.0694975 # DEPENDENCYPART_SIBL
(7,2),(7,28),0.0161273 # DEPENDENCYPART_SIBL
(7,2),(7,29),0.135109 # DEPENDENCYPART_SIBL
(7,2),(7,30),0.0161273 # DEPENDENCYPART_SIBL
(7,2),(7,31),0.10308 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00764751 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0247183 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.389874 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0804009 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0489189 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0804009 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0476027 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.113394 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0210176 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.0317016 # DEPENDENCYPART_SIBL
(7,3),(7,28),-0.043792 # DEPENDENCYPART_SIBL
(7,3),(7,29),0.113961 # DEPENDENCYPART_SIBL
(7,3),(7,30),-0.043792 # DEPENDENCYPART_SIBL
(7,3),(7,31),0.13343 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.034887 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.29108 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00626532 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0529652 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00626532 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0520774 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.114083 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.0379448 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.0255905 # DEPENDENCYPART_SIBL
(7,4),(7,28),-0.0302768 # DEPENDENCYPART_SIBL
(7,4),(7,29),0.114216 # DEPENDENCYPART_SIBL
