# _root_ Ugyanaz év júniusában a felügyelet felszólította a Bank_Austria_Creditanstalt_Hungary_Rt.-t , hogy tudatosítsa hirdetményeiben : a Nonstopbank nem különálló vállalkozása , hanem csak egy szolgáltatása .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,11,11,15,11,18,18,15,11,11,11,23,21,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,11,6,15,18,17,18,11,20,6,20,23,21,6,
(17,10),-0.96621 # DEPENDENCYPART_ARC
(17,12),-1.11687 # DEPENDENCYPART_ARC
(17,13),-0.714727 # DEPENDENCYPART_ARC
(17,14),-1.08335 # DEPENDENCYPART_ARC
(17,15),-0.327089 # DEPENDENCYPART_ARC
(17,16),0.664598 # DEPENDENCYPART_ARC
(17,23),-1.94927 # DEPENDENCYPART_ARC
(18,1),-2.33897 # DEPENDENCYPART_ARC
(18,5),-1.99793 # DEPENDENCYPART_ARC
(18,6),-1.79429 # DEPENDENCYPART_ARC
(18,7),-2.44104 # DEPENDENCYPART_ARC
(18,8),-4.17584 # DEPENDENCYPART_ARC
(18,9),-1.46847 # DEPENDENCYPART_ARC
(18,10),-1.26651 # DEPENDENCYPART_ARC
(18,12),-3.39777 # DEPENDENCYPART_ARC
(18,13),-1.31272 # DEPENDENCYPART_ARC
(18,14),-0.521017 # DEPENDENCYPART_ARC
(18,15),0.995148 # DEPENDENCYPART_ARC
(18,16),-0.189538 # DEPENDENCYPART_ARC
(18,17),2.06993 # DEPENDENCYPART_ARC
(18,19),-0.695284 # DEPENDENCYPART_ARC
(18,20),-1.7245 # DEPENDENCYPART_ARC
(18,21),-1.70596 # DEPENDENCYPART_ARC
(18,23),-1.85886 # DEPENDENCYPART_ARC
(20,1),-2.60006 # DEPENDENCYPART_ARC
(20,2),-2.46754 # DEPENDENCYPART_ARC
(20,3),-2.37555 # DEPENDENCYPART_ARC
(20,5),-2.63958 # DEPENDENCYPART_ARC
(20,6),-1.56993 # DEPENDENCYPART_ARC
(20,8),-2.92908 # DEPENDENCYPART_ARC
(20,9),-1.94677 # DEPENDENCYPART_ARC
(20,10),-0.853924 # DEPENDENCYPART_ARC
(20,11),-1.11285 # DEPENDENCYPART_ARC
(20,12),-2.1077 # DEPENDENCYPART_ARC
(20,13),-1.54089 # DEPENDENCYPART_ARC
(20,15),-1.40686 # DEPENDENCYPART_ARC
(20,16),-0.710953 # DEPENDENCYPART_ARC
(20,17),-1.24258 # DEPENDENCYPART_ARC
(20,18),-1.6199 # DEPENDENCYPART_ARC
(20,19),0.183188 # DEPENDENCYPART_ARC
(20,21),-1.03228 # DEPENDENCYPART_ARC
(20,23),-1.34289 # DEPENDENCYPART_ARC
(20,24),-0.323733 # DEPENDENCYPART_ARC
(21,6),-1.39073 # DEPENDENCYPART_ARC
(21,10),-1.22786 # DEPENDENCYPART_ARC
(21,11),-1.2475 # DEPENDENCYPART_ARC
(21,12),-1.72695 # DEPENDENCYPART_ARC
(21,13),-1.19416 # DEPENDENCYPART_ARC
(21,15),-1.4422 # DEPENDENCYPART_ARC
(21,16),-0.873664 # DEPENDENCYPART_ARC
(21,17),-1.34413 # DEPENDENCYPART_ARC
(21,18),-1.11311 # DEPENDENCYPART_ARC
(21,19),-1.08632 # DEPENDENCYPART_ARC
(21,20),-0.283398 # DEPENDENCYPART_ARC
(21,23),-0.565789 # DEPENDENCYPART_ARC
(21,24),-0.642632 # DEPENDENCYPART_ARC
(23,14),-2.16791 # DEPENDENCYPART_ARC
(23,15),-1.12467 # DEPENDENCYPART_ARC
(23,16),-1.92754 # DEPENDENCYPART_ARC
(23,17),-2.0869 # DEPENDENCYPART_ARC
(23,18),-1.40069 # DEPENDENCYPART_ARC
(23,19),-1.41876 # DEPENDENCYPART_ARC
(23,20),-0.798071 # DEPENDENCYPART_ARC
(23,21),-0.946511 # DEPENDENCYPART_ARC
(23,22),1.24314 # DEPENDENCYPART_ARC
(23,24),-1.49562 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0332795 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0332418 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.106432 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0430859 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.106432 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0242126 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0829314 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0254918 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0702478 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.106786 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.137707 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.106383 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0684194 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.153774 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0657629 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.10798 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.136432 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.107578 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.066328 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.1525 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0636738 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.265536 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.246072 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.108008 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.198812 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.112767 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.130334 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0952971 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.16816 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0807828 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.108008 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.198808 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.112767 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.137508 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0738542 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.0697553 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00255144 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00255445 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00868571 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00255519 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0117997 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00812701 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.00726629 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.00255519 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.0529517 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.00255519 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.014523 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0900898 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.00246639 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.0117997 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.00933285 # DEPENDENCYPART_SIBL
(1,2),(1,21),0.0246667 # DEPENDENCYPART_SIBL
(1,2),(1,23),0.0190695 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0599869 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00802537 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00883264 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00802611 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0149064 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00539031 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.00741322 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.00802611 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0557196 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.00802611 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0177995 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0921564 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.00793731 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0149064 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.00659615 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0279408 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.0245404 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0622197 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00877242 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00802575 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0149409 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.00538987 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.007353 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.00802575 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0557534 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.00802575 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0177997 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0921566 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.00793695 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.0149409 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.00659571 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.027941 # DEPENDENCYPART_SIBL
(1,5),(1,23),0.0245401 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.0622783 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0082345 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0356714 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0184308 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.00617718 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0082345 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.00997259 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0082345 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.00589934 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.00785695 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0082345 # DEPENDENCYPART_SIBL
(1,6),(1,19),0.0356714 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0736527 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.00727208 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.00156774 # DEPENDENCYPART_SIBL
(1,6),(1,24),-0.00188998 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0149409 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.00538987 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.007353 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.00802632 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.0557534 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.00802632 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0177997 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0921566 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.00793751 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.0149409 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.00659571 # DEPENDENCYPART_SIBL
(1,8),(1,21),0.027941 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.0245406 # DEPENDENCYPART_SIBL
(1,8),(1,24),0.0622794 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.210155 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0605245 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0144904 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0640785 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0144904 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0365926 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.000959591 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.014716 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0439281 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.184374 # DEPENDENCYPART_SIBL
(1,9),(1,21),0.0388396 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.00277483 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.0226337 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.015528 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0474889 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0403905 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0474889 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.0248125 # DEPENDENCYPART_SIBL
(1,10),(1,17),-7.25163e-05 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.0474889 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.044545 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.0253489 # DEPENDENCYPART_SIBL
(1,10),(1,21),-0.000462819 # DEPENDENCYPART_SIBL
(1,10),(1,23),-0.0403734 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.00769377 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.00720223 # DEPENDENCYPART_SIBL
(1,11),(1,13),0.0108402 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.00720223 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.00665335 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.00710294 # DEPENDENCYPART_SIBL
(1,11),(1,18),-0.00720223 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.0366527 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.0744137 # DEPENDENCYPART_SIBL
(1,11),(1,21),0.0080261 # DEPENDENCYPART_SIBL
(1,11),(1,23),0.0026 # DEPENDENCYPART_SIBL
(1,11),(1,24),-0.00328923 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0557534 # DEPENDENCYPART_SIBL
(1,12),(1,15),0.00802632 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.0177997 # DEPENDENCYPART_SIBL
(1,12),(1,17),0.0921566 # DEPENDENCYPART_SIBL
(1,12),(1,18),0.00793751 # DEPENDENCYPART_SIBL
(1,12),(1,19),0.0149409 # DEPENDENCYPART_SIBL
(1,12),(1,20),-0.00659571 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.027941 # DEPENDENCYPART_SIBL
(1,12),(1,23),0.0245406 # DEPENDENCYPART_SIBL
(1,12),(1,24),0.0622794 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.0551829 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.0586992 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.0128368 # DEPENDENCYPART_SIBL
(1,13),(1,18),-0.0552957 # DEPENDENCYPART_SIBL
(1,13),(1,19),-0.039305 # DEPENDENCYPART_SIBL
(1,13),(1,20),0.121394 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.063595 # DEPENDENCYPART_SIBL
(1,13),(1,23),-0.042872 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.406238 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0177997 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0921566 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.00793751 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.0149409 # DEPENDENCYPART_SIBL
(1,15),(1,20),-0.00659571 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.027941 # DEPENDENCYPART_SIBL
(1,15),(1,23),0.0245406 # DEPENDENCYPART_SIBL
(1,15),(1,24),0.0622794 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.092547 # DEPENDENCYPART_SIBL
(1,16),(1,18),0.119262 # DEPENDENCYPART_SIBL
(1,16),(1,19),0.0361849 # DEPENDENCYPART_SIBL
(1,16),(1,20),0.0241396 # DEPENDENCYPART_SIBL
(1,16),(1,21),0.0116228 # DEPENDENCYPART_SIBL
(1,16),(1,23),0.126795 # DEPENDENCYPART_SIBL
(1,16),(1,24),0.0554456 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.011818 # DEPENDENCYPART_SIBL
(1,17),(1,19),0.0215668 # DEPENDENCYPART_SIBL
(1,17),(1,20),0.0374193 # DEPENDENCYPART_SIBL
(1,17),(1,21),0.0120774 # DEPENDENCYPART_SIBL
(1,17),(1,23),0.0171439 # DEPENDENCYPART_SIBL
(1,17),(1,24),0.0155163 # DEPENDENCYPART_SIBL
(1,18),(1,19),0.0145899 # DEPENDENCYPART_SIBL
(1,18),(1,20),-0.00659571 # DEPENDENCYPART_SIBL
(1,18),(1,21),0.027941 # DEPENDENCYPART_SIBL
(1,18),(1,23),0.0244702 # DEPENDENCYPART_SIBL
(1,18),(1,24),0.0682248 # DEPENDENCYPART_SIBL
(1,19),(1,20),0.184374 # DEPENDENCYPART_SIBL
(1,19),(1,21),0.0388396 # DEPENDENCYPART_SIBL
(1,19),(1,23),0.00277483 # DEPENDENCYPART_SIBL
(1,19),(1,24),0.0226337 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.0127853 # DEPENDENCYPART_SIBL
(1,20),(1,23),0.00609071 # DEPENDENCYPART_SIBL
(1,20),(1,24),-0.027382 # DEPENDENCYPART_SIBL
(1,21),(1,23),0.0931561 # DEPENDENCYPART_SIBL
(1,21),(1,24),-0.00340235 # DEPENDENCYPART_SIBL
(1,23),(1,24),0.0612261 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00503601 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00503606 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00384806 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0464594 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0194378 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.00584038 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0343218 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00584038 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.00562396 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0343218 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0054027 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0416861 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0123654 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0201295 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00176128 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.000588599 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00176035 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0187473 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.000890871 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.00629943 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0148148 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0373649 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0176082 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0183186 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0176082 # DEPENDENCYPART_SIBL
