# _root_ Egy hétre 14 1/4 százalékon hangzottak el ajánlatok , hosszabb távra viszont drágábban , 14 1/2-3/8 százalékon lehetett pénzhez jutni .
#goldHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,18,17,17,20,6,20,18,6,
#predictedHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,6,17,17,20,6,20,18,6,
(10,9),-0.299981 # DEPENDENCYPART_ARC
(10,12),-1.53066 # DEPENDENCYPART_ARC
(10,17),-1.77904 # DEPENDENCYPART_ARC
(11,1),-1.52251 # DEPENDENCYPART_ARC
(11,2),-3.16442 # DEPENDENCYPART_ARC
(11,3),-1.48343 # DEPENDENCYPART_ARC
(11,6),-1.6228 # DEPENDENCYPART_ARC
(11,8),-1.73125 # DEPENDENCYPART_ARC
(11,9),-0.582487 # DEPENDENCYPART_ARC
(11,10),1.97696 # DEPENDENCYPART_ARC
(11,12),-1.32165 # DEPENDENCYPART_ARC
(11,13),-1.59361 # DEPENDENCYPART_ARC
(11,16),-1.90732 # DEPENDENCYPART_ARC
(11,17),-2.52431 # DEPENDENCYPART_ARC
(12,6),-0.407846 # DEPENDENCYPART_ARC
(12,8),-1.52334 # DEPENDENCYPART_ARC
(12,9),-0.977823 # DEPENDENCYPART_ARC
(12,10),-0.938752 # DEPENDENCYPART_ARC
(12,11),-0.68552 # DEPENDENCYPART_ARC
(12,13),-1.50974 # DEPENDENCYPART_ARC
(12,14),-1.06481 # DEPENDENCYPART_ARC
(12,15),-1.47666 # DEPENDENCYPART_ARC
(12,16),-1.55262 # DEPENDENCYPART_ARC
(12,17),-1.8122 # DEPENDENCYPART_ARC
(12,18),-0.962936 # DEPENDENCYPART_ARC
(12,19),-1.95188 # DEPENDENCYPART_ARC
(12,20),-2.03268 # DEPENDENCYPART_ARC
(12,21),-1.63551 # DEPENDENCYPART_ARC
(13,2),-3.00105 # DEPENDENCYPART_ARC
(13,5),-2.62663 # DEPENDENCYPART_ARC
(13,6),-2.19033 # DEPENDENCYPART_ARC
(13,8),-2.87163 # DEPENDENCYPART_ARC
(13,9),-0.722654 # DEPENDENCYPART_ARC
(13,10),-0.983298 # DEPENDENCYPART_ARC
(13,11),-1.19773 # DEPENDENCYPART_ARC
(13,12),0.133204 # DEPENDENCYPART_ARC
(13,14),-0.40151 # DEPENDENCYPART_ARC
(13,15),-1.12649 # DEPENDENCYPART_ARC
(13,16),-1.18104 # DEPENDENCYPART_ARC
(13,17),-1.47107 # DEPENDENCYPART_ARC
(13,18),-1.84906 # DEPENDENCYPART_ARC
(13,19),-1.88461 # DEPENDENCYPART_ARC
(13,20),-1.74673 # DEPENDENCYPART_ARC
(13,21),-1.24809 # DEPENDENCYPART_ARC
(15,9),-1.34369 # DEPENDENCYPART_ARC
(15,11),-1.57309 # DEPENDENCYPART_ARC
(15,13),-1.43829 # DEPENDENCYPART_ARC
(15,14),-0.364683 # DEPENDENCYPART_ARC
(15,17),-1.22969 # DEPENDENCYPART_ARC
(15,18),-0.585671 # DEPENDENCYPART_ARC
(15,19),-1.51101 # DEPENDENCYPART_ARC
(15,20),-1.22811 # DEPENDENCYPART_ARC
(15,21),-0.992107 # DEPENDENCYPART_ARC
(16,11),-1.60878 # DEPENDENCYPART_ARC
(16,14),-0.920515 # DEPENDENCYPART_ARC
(16,15),0.15413 # DEPENDENCYPART_ARC
(16,19),-1.92804 # DEPENDENCYPART_ARC
(17,1),-1.56606 # DEPENDENCYPART_ARC
(17,8),-2.73436 # DEPENDENCYPART_ARC
(17,9),-0.912429 # DEPENDENCYPART_ARC
(17,10),-1.04618 # DEPENDENCYPART_ARC
(17,11),-2.33843 # DEPENDENCYPART_ARC
(17,12),-0.956312 # DEPENDENCYPART_ARC
(17,13),-2.12866 # DEPENDENCYPART_ARC
(17,14),-0.227491 # DEPENDENCYPART_ARC
(17,15),1.22779 # DEPENDENCYPART_ARC
(17,16),2.28389 # DEPENDENCYPART_ARC
(17,19),-1.68262 # DEPENDENCYPART_ARC
(18,1),-2.48354 # DEPENDENCYPART_ARC
(18,2),-1.57909 # DEPENDENCYPART_ARC
(18,3),-2.40728 # DEPENDENCYPART_ARC
(18,5),-0.868172 # DEPENDENCYPART_ARC
(18,6),-1.69323 # DEPENDENCYPART_ARC
(18,8),-1.52322 # DEPENDENCYPART_ARC
(18,9),-0.69293 # DEPENDENCYPART_ARC
(18,10),-1.72053 # DEPENDENCYPART_ARC
(18,11),-0.529906 # DEPENDENCYPART_ARC
(18,12),0.190397 # DEPENDENCYPART_ARC
(18,13),-0.0405071 # DEPENDENCYPART_ARC
(18,14),-0.615726 # DEPENDENCYPART_ARC
(18,15),-0.846137 # DEPENDENCYPART_ARC
(18,16),-0.471613 # DEPENDENCYPART_ARC
(18,17),2.20127 # DEPENDENCYPART_ARC
(18,19),1.72229 # DEPENDENCYPART_ARC
(18,20),2.79024 # DEPENDENCYPART_ARC
(18,21),-0.249399 # DEPENDENCYPART_ARC
(19,10),-1.97599 # DEPENDENCYPART_ARC
(19,12),-1.37434 # DEPENDENCYPART_ARC
(19,13),-3.32844 # DEPENDENCYPART_ARC
(19,14),-0.898511 # DEPENDENCYPART_ARC
(19,15),-0.756732 # DEPENDENCYPART_ARC
(19,17),-1.14776 # DEPENDENCYPART_ARC
(19,18),-0.185174 # DEPENDENCYPART_ARC
(20,1),-1.36089 # DEPENDENCYPART_ARC
(20,2),-0.38248 # DEPENDENCYPART_ARC
(20,3),-1.25369 # DEPENDENCYPART_ARC
(20,5),0.111578 # DEPENDENCYPART_ARC
(20,6),-2.43819 # DEPENDENCYPART_ARC
(20,8),-1.74852 # DEPENDENCYPART_ARC
(20,9),-0.472403 # DEPENDENCYPART_ARC
(20,10),-0.759026 # DEPENDENCYPART_ARC
(20,11),0.526092 # DEPENDENCYPART_ARC
(20,12),0.0957251 # DEPENDENCYPART_ARC
(20,13),0.410773 # DEPENDENCYPART_ARC
(20,14),-0.344849 # DEPENDENCYPART_ARC
(20,15),-0.334632 # DEPENDENCYPART_ARC
(20,16),-0.160107 # DEPENDENCYPART_ARC
(20,17),1.98115 # DEPENDENCYPART_ARC
(20,18),-1.13393 # DEPENDENCYPART_ARC
(20,19),3.04262 # DEPENDENCYPART_ARC
(20,21),-0.470887 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0375909 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0128912 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0128905 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0375913 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0816723 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0310754 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0899304 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0816771 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.0816723 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0394548 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0394506 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0660979 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.107082 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0619892 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.128028 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.106045 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.107232 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0122125 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0361487 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0805855 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0352986 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0884793 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0805904 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0805855 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0361442 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0805794 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0352985 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0884793 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0805842 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0805794 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.107519 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0619596 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.128028 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.106482 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.107669 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.110161 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.227293 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.24487 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.245466 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.12775 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0986005 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.099132 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.13302 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.131031 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.237096 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0199233 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0671846 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0671265 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0671835 # DEPENDENCYPART_SIBL
(1,3),(1,21),0.0241392 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.050344 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.051327 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.0501921 # DEPENDENCYPART_SIBL
(1,5),(1,21),0.00157048 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0345397 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0340482 # DEPENDENCYPART_SIBL
(1,6),(1,21),0.124838 # DEPENDENCYPART_SIBL
(1,18),(1,20),0.0424517 # DEPENDENCYPART_SIBL
(1,18),(1,21),0.152169 # DEPENDENCYPART_SIBL
(1,20),(1,21),0.134395 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00355258 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00354863 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00416928 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0231434 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0233504 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0251854 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.035348 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0253746 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0507633 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0507203 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.120822 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0253866 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0507778 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0507348 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.120833 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0580338 # DEPENDENCYPART_SIBL
(2,5),(2,20),0.057836 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.048477 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0509301 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.211166 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.220424 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0703729 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0287621 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0235994 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0147936 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0147936 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.014307 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0281021 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0287527 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0161275 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0673645 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.022765 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0656145 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0656932 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.025716 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.073142 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0716668 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0355001 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00304788 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00815264 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.00815318 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.0149105 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0285496 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0280061 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.11084 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0330751 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0330786 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.00526883 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0471401 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0459791 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.00651811 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0125852 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.021351 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0514341 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0515733 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.0295314 # DEPENDENCYPART_SIBL
(3,13),(3,15),0.021351 # DEPENDENCYPART_SIBL
(3,13),(3,18),0.0514341 # DEPENDENCYPART_SIBL
(3,13),(3,20),0.0515733 # DEPENDENCYPART_SIBL
(3,13),(3,21),0.0296776 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.0629154 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.0629464 # DEPENDENCYPART_SIBL
(3,15),(3,21),0.0160113 # DEPENDENCYPART_SIBL
(3,18),(3,20),0.0364325 # DEPENDENCYPART_SIBL
(3,18),(3,21),0.138217 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.120397 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0723157 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0151108 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.027502 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0238042 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.00181851 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00128888 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0254811 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.023264 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0834594 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0830583 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0183203 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0429348 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0128639 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0699206 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0415864 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0128639 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.104913 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0415864 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0699206 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0372678 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0130134 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.0396764 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0128639 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0224815 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0333661 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0147696 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0148611 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.030831 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00534055 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0130349 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0111741 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00857736 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0130349 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.073496 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00849857 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0111741 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0106337 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0132413 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.00832038 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0130349 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.00411357 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.00459071 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0294521 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0125348 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.069448 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00965373 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0133404 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0180237 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00965373 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0806176 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0180237 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0133404 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0153748 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.00950421 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0173771 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.00965373 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.00018284 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.00141876 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0125465 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0694593 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00967891 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0133232 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0180161 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00967891 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0806113 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0180161 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0133232 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0153687 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.00952939 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0173677 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.00967891 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.000173435 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.00139484 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00260655 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00577785 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00365629 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00289498 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00577785 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0674334 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00281619 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.00365629 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00457111 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0059842 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.00102588 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.00577785 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0114081 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0255874 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0312049 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0316853 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0460689 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0312049 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.040442 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.046069 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0316853 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0142715 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.0311465 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0318141 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0312049 # DEPENDENCYPART_SIBL
(6,7),(6,20),0.016708 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0195392 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0430489 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0263322 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0191053 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.000763946 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0263357 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0430489 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0126694 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.019148 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.00214795 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0191053 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0190848 # DEPENDENCYPART_SIBL
(6,8),(6,21),-1.62179e-05 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0604984 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.07652 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.227334 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0604985 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0129099 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0374016 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0764074 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.215597 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.07652 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.194485 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0489202 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0236204 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.00786867 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0345334 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.000360319 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0165362 # DEPENDENCYPART_SIBL
