# _root_ A versenyeken továbbra is lassúak voltunk , és egy idő után arra a következtetésre jutottunk , hogy valószínűleg nem bennünk van a hiba .
#goldHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
#predictedHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
(5,24),-1.09066 # DEPENDENCYPART_ARC
(6,1),-1.05126 # DEPENDENCYPART_ARC
(6,2),2.1268 # DEPENDENCYPART_ARC
(6,3),1.24394 # DEPENDENCYPART_ARC
(6,4),1.39662 # DEPENDENCYPART_ARC
(6,5),2.09245 # DEPENDENCYPART_ARC
(6,7),0.556921 # DEPENDENCYPART_ARC
(6,8),-0.238553 # DEPENDENCYPART_ARC
(6,10),-1.53563 # DEPENDENCYPART_ARC
(6,11),-0.507282 # DEPENDENCYPART_ARC
(6,12),-1.74098 # DEPENDENCYPART_ARC
(6,13),-2.08281 # DEPENDENCYPART_ARC
(6,14),-1.58684 # DEPENDENCYPART_ARC
(6,15),-0.0495463 # DEPENDENCYPART_ARC
(6,16),-0.68992 # DEPENDENCYPART_ARC
(6,17),-0.930782 # DEPENDENCYPART_ARC
(6,18),-1.94069 # DEPENDENCYPART_ARC
(6,19),-1.79433 # DEPENDENCYPART_ARC
(6,20),-2.06405 # DEPENDENCYPART_ARC
(6,21),-0.759399 # DEPENDENCYPART_ARC
(6,24),-0.971088 # DEPENDENCYPART_ARC
(8,2),-1.9926 # DEPENDENCYPART_ARC
(8,3),-1.36964 # DEPENDENCYPART_ARC
(8,4),-0.591644 # DEPENDENCYPART_ARC
(8,5),-1.40585 # DEPENDENCYPART_ARC
(8,6),0.654134 # DEPENDENCYPART_ARC
(8,7),0.545406 # DEPENDENCYPART_ARC
(8,10),-0.438113 # DEPENDENCYPART_ARC
(8,11),-0.550501 # DEPENDENCYPART_ARC
(8,12),-1.42038 # DEPENDENCYPART_ARC
(8,14),-1.31444 # DEPENDENCYPART_ARC
(8,15),0.0109145 # DEPENDENCYPART_ARC
(8,16),-0.662905 # DEPENDENCYPART_ARC
(8,17),-0.773578 # DEPENDENCYPART_ARC
(8,18),-1.22698 # DEPENDENCYPART_ARC
(8,19),-1.21717 # DEPENDENCYPART_ARC
(8,21),-1.04005 # DEPENDENCYPART_ARC
(8,23),-1.66675 # DEPENDENCYPART_ARC
(8,24),0.516031 # DEPENDENCYPART_ARC
(10,1),-1.98606 # DEPENDENCYPART_ARC
(10,6),-1.28236 # DEPENDENCYPART_ARC
(10,7),-1.11968 # DEPENDENCYPART_ARC
(10,8),-0.548461 # DEPENDENCYPART_ARC
(10,9),1.77301 # DEPENDENCYPART_ARC
(10,14),-1.86646 # DEPENDENCYPART_ARC
(11,2),-1.26863 # DEPENDENCYPART_ARC
(11,3),-1.41274 # DEPENDENCYPART_ARC
(11,4),-0.969121 # DEPENDENCYPART_ARC
(11,5),-1.37541 # DEPENDENCYPART_ARC
(11,7),-0.619925 # DEPENDENCYPART_ARC
(11,8),0.148194 # DEPENDENCYPART_ARC
(11,10),2.27831 # DEPENDENCYPART_ARC
(11,14),-1.30196 # DEPENDENCYPART_ARC
(11,16),-1.05787 # DEPENDENCYPART_ARC
(11,18),-1.4062 # DEPENDENCYPART_ARC
(11,21),-1.35421 # DEPENDENCYPART_ARC
(11,23),-1.92052 # DEPENDENCYPART_ARC
(12,2),-2.0986 # DEPENDENCYPART_ARC
(12,3),-1.43078 # DEPENDENCYPART_ARC
(12,4),-0.971973 # DEPENDENCYPART_ARC
(12,5),-2.08348 # DEPENDENCYPART_ARC
(12,6),-0.571087 # DEPENDENCYPART_ARC
(12,7),-1.15597 # DEPENDENCYPART_ARC
(12,8),-0.898383 # DEPENDENCYPART_ARC
(12,10),-1.44599 # DEPENDENCYPART_ARC
(12,11),-0.236313 # DEPENDENCYPART_ARC
(12,14),-0.861074 # DEPENDENCYPART_ARC
(12,15),0.914412 # DEPENDENCYPART_ARC
(12,16),-0.272585 # DEPENDENCYPART_ARC
(12,17),-0.546388 # DEPENDENCYPART_ARC
(12,18),-0.494793 # DEPENDENCYPART_ARC
(12,19),-0.492176 # DEPENDENCYPART_ARC
(12,20),-0.558217 # DEPENDENCYPART_ARC
(12,21),0.655699 # DEPENDENCYPART_ARC
(12,23),-0.822071 # DEPENDENCYPART_ARC
(12,24),-1.16857 # DEPENDENCYPART_ARC
(14,9),-0.802002 # DEPENDENCYPART_ARC
(14,10),-1.91752 # DEPENDENCYPART_ARC
(14,11),-1.38315 # DEPENDENCYPART_ARC
(14,12),0.544796 # DEPENDENCYPART_ARC
(14,13),1.41082 # DEPENDENCYPART_ARC
(15,1),-1.78298 # DEPENDENCYPART_ARC
(15,2),0.275553 # DEPENDENCYPART_ARC
(15,3),-0.628939 # DEPENDENCYPART_ARC
(15,4),-0.353216 # DEPENDENCYPART_ARC
(15,5),-0.755472 # DEPENDENCYPART_ARC
(15,6),-1.11249 # DEPENDENCYPART_ARC
(15,7),-0.702025 # DEPENDENCYPART_ARC
(15,8),-0.334644 # DEPENDENCYPART_ARC
(15,9),-1.08235 # DEPENDENCYPART_ARC
(15,10),-0.791571 # DEPENDENCYPART_ARC
(15,11),0.960228 # DEPENDENCYPART_ARC
(15,12),0.254079 # DEPENDENCYPART_ARC
(15,13),-0.458722 # DEPENDENCYPART_ARC
(15,14),2.4641 # DEPENDENCYPART_ARC
(15,16),0.330594 # DEPENDENCYPART_ARC
(15,17),1.81787 # DEPENDENCYPART_ARC
(15,18),-0.740544 # DEPENDENCYPART_ARC
(15,19),-0.811571 # DEPENDENCYPART_ARC
(15,20),-1.01293 # DEPENDENCYPART_ARC
(15,21),0.203023 # DEPENDENCYPART_ARC
(15,23),-2.5698 # DEPENDENCYPART_ARC
(15,24),-1.0916 # DEPENDENCYPART_ARC
(17,2),-2.4054 # DEPENDENCYPART_ARC
(17,3),-1.39274 # DEPENDENCYPART_ARC
(17,4),-0.853109 # DEPENDENCYPART_ARC
(17,5),-1.23625 # DEPENDENCYPART_ARC
(17,6),-2.65506 # DEPENDENCYPART_ARC
(17,7),-1.4676 # DEPENDENCYPART_ARC
(17,8),-0.601562 # DEPENDENCYPART_ARC
(17,10),-1.23827 # DEPENDENCYPART_ARC
(17,11),-1.02339 # DEPENDENCYPART_ARC
(17,12),-1.09552 # DEPENDENCYPART_ARC
(17,14),-0.686437 # DEPENDENCYPART_ARC
(17,15),-1.41767 # DEPENDENCYPART_ARC
(17,16),0.451278 # DEPENDENCYPART_ARC
(17,18),-0.979912 # DEPENDENCYPART_ARC
(17,21),-0.533417 # DEPENDENCYPART_ARC
(17,23),-2.04095 # DEPENDENCYPART_ARC
(17,24),-0.269818 # DEPENDENCYPART_ARC
(18,17),-1.08554 # DEPENDENCYPART_ARC
(18,20),-1.17043 # DEPENDENCYPART_ARC
(18,23),-1.56439 # DEPENDENCYPART_ARC
(19,16),-1.15294 # DEPENDENCYPART_ARC
(19,17),-1.18492 # DEPENDENCYPART_ARC
(19,18),-0.454008 # DEPENDENCYPART_ARC
(19,21),-1.01371 # DEPENDENCYPART_ARC
(19,23),-1.41948 # DEPENDENCYPART_ARC
(20,6),-1.41132 # DEPENDENCYPART_ARC
(20,15),-1.18154 # DEPENDENCYPART_ARC
(20,16),-1.09676 # DEPENDENCYPART_ARC
(20,17),-0.728927 # DEPENDENCYPART_ARC
(20,18),-0.699474 # DEPENDENCYPART_ARC
(20,19),0.0257163 # DEPENDENCYPART_ARC
(20,23),-1.05739 # DEPENDENCYPART_ARC
(20,24),-1.20917 # DEPENDENCYPART_ARC
(21,2),-1.56874 # DEPENDENCYPART_ARC
(21,3),-1.82058 # DEPENDENCYPART_ARC
(21,4),-1.36294 # DEPENDENCYPART_ARC
(21,5),-1.91171 # DEPENDENCYPART_ARC
(21,6),-1.41452 # DEPENDENCYPART_ARC
(21,7),-1.20685 # DEPENDENCYPART_ARC
(21,8),-1.00367 # DEPENDENCYPART_ARC
(21,10),-1.81282 # DEPENDENCYPART_ARC
(21,11),-0.840921 # DEPENDENCYPART_ARC
(21,12),-1.79385 # DEPENDENCYPART_ARC
(21,13),-2.2933 # DEPENDENCYPART_ARC
(21,14),-0.783707 # DEPENDENCYPART_ARC
(21,15),-0.840906 # DEPENDENCYPART_ARC
(21,16),-0.57285 # DEPENDENCYPART_ARC
(21,17),-0.572062 # DEPENDENCYPART_ARC
(21,18),0.716583 # DEPENDENCYPART_ARC
(21,19),0.892347 # DEPENDENCYPART_ARC
(21,20),1.89339 # DEPENDENCYPART_ARC
(21,22),-0.958633 # DEPENDENCYPART_ARC
(21,23),1.41643 # DEPENDENCYPART_ARC
(21,24),-0.163663 # DEPENDENCYPART_ARC
(23,12),-3.02246 # DEPENDENCYPART_ARC
(23,19),-1.68139 # DEPENDENCYPART_ARC
(23,20),-1.56385 # DEPENDENCYPART_ARC
(23,22),1.68378 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0898008 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0264371 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.115998 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.115891 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0116937 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0241269 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.115768 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.104386 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0715297 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.10947 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0300744 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.132514 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.16887 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0605647 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0343148 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.131863 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.131004 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0746652 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.150189 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0886293 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0987385 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.00400053 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0189273 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0886079 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.083936 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0396953 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.0950615 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.2208 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.118628 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.102547 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.245466 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.265529 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.108008 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.249574 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0720692 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.0558015 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.12355 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.197516 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.0841714 # DEPENDENCYPART_SIBL
(0,8),(0,21),-0.139637 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0105162 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.101895 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.10287 # DEPENDENCYPART_SIBL
(0,11),(0,19),0.000872921 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.107154 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.114737 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0179104 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0271462 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.120497 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.265529 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.108008 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.249574 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.0952971 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.14977 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.105997 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.000624756 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.110624 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0216905 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0114819 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0249384 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.099253 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00695855 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0172107 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0397077 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0393693 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0117819 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.00969401 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0131586 # DEPENDENCYPART_SIBL
(3,11),(3,24),0.0340567 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.0550674 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0391508 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00498948 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0159737 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0208345 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0276708 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00850706 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0344852 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0426024 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0474908 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0189023 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0147379 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.057066 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0442478 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0418517 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0858304 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.103248 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0646759 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0203333 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.106547 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0588959 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.168094 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00506476 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00187757 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0265337 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0449005 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0036285 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.00943723 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.100271 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0788592 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.114588 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0718905 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.119591 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.113797 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.166833 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0274819 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0403909 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0770123 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.076597 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0245268 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0502913 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.160212 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.104147 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0162452 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0102601 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0205807 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0265689 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0258334 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0527911 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.016282 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0256376 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.00779088 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.00881604 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0104795 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.0452303 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.103036 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0434088 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0482825 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0108695 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0730067 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0017814 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0805777 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.00664353 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0123849 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.00259539 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0500667 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0104432 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.102719 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0330168 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.155364 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.335321 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.212034 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.119236 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.158325 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.357181 # DEPENDENCYPART_SIBL
(4,7),(4,24),0.0480349 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0209976 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.029922 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.034054 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.00402909 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0965061 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0180489 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0243694 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0137721 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.058815 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.039866 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0967431 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0289396 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0426884 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.000399321 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.005624 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0497054 # DEPENDENCYPART_SIBL
(4,10),(4,24),0.0444151 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0527721 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.00859726 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0537999 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0268711 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.030101 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0163658 # DEPENDENCYPART_SIBL
(4,11),(4,24),0.00893335 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0131725 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0332296 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.017409 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.00613143 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0188439 # DEPENDENCYPART_SIBL
(4,12),(4,24),0.0190019 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0799203 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.00730097 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0130423 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.00193799 # DEPENDENCYPART_SIBL
(4,15),(4,24),0.0584053 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0418284 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.04607 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.0276936 # DEPENDENCYPART_SIBL
(4,17),(4,24),0.0738869 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0557748 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.0110133 # DEPENDENCYPART_SIBL
(4,18),(4,24),-0.0273056 # DEPENDENCYPART_SIBL
(4,19),(4,21),0.0127118 # DEPENDENCYPART_SIBL
(4,19),(4,24),-0.0041599 # DEPENDENCYPART_SIBL
(4,21),(4,24),0.127033 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0679518 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00988543 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.14583 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00553784 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.000880212 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0194889 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0225834 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0225869 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.00548556 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.000880212 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.00245338 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0225869 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0375479 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.133674 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.370809 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00652981 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0211606 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.014166 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.019875 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0205572 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0108504 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0211606 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0345659 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0205527 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0621801 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.358203 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00883098 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.013422 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0349118 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0437557 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0467611 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0119733 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.013422 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0382348 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.04675 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0599084 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00282745 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0122681 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00272268 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00290338 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.00367332 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.000598505 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0122681 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.00319289 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.00367218 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0450153 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0933056 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00316354 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.026199 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0265974 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0137038 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0933056 # DEPENDENCYPART_SIBL
